compound,target,assay_type,affinity_type,affinity_value,affinity_unit,species,system,study_doi,study_title,study_year,evidence_level,source,notes,source_type,access_level,evidence_location,evidence_locator,study_design,authors,paper_type
S-ketamine,NMDA receptor,[3H]MK-801 binding,Ki,0.3,uM,rat,in_vitro,10.1016/S0014-2999(97)01116-3,Norketamine is a noncompetitive antagonist at the NMDA receptor,1997,high,doi,Ki reported for S-ketamine in abstract,primary_study,abstract_only,abstract,Abstract,in_vitro_binding_assay,Bjarke Ebert; Soren Mikkelsen; Christian Thorkildsen; Finn M. Borgbjerg,primary_results
R-ketamine,NMDA receptor,[3H]MK-801 binding,Ki,1.4,uM,rat,in_vitro,10.1016/S0014-2999(97)01116-3,Norketamine is a noncompetitive antagonist at the NMDA receptor,1997,high,doi,Ki reported for R-ketamine in abstract,primary_study,abstract_only,abstract,Abstract,in_vitro_binding_assay,Bjarke Ebert; Soren Mikkelsen; Christian Thorkildsen; Finn M. Borgbjerg,primary_results
S-ketamine,NMDA receptor,functional assay,Ki,1000.0,nM,,in_vivo,10.1007/s12640-017-9759-0,Comparison of the Psychopharmacological Effects of Tiletamine and Ketamine in Rodents,2017,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"PDF extraction snippet: r ol ; # P < 0. 05 v s. ac qu is it io n tr ia l 55 0 N eu ro to x Re s ( 20 17 ) 32 :5 44  55 4 R R ti me s mo re po te nt . At pr es en t, we ca nn ot of fe r an ex pl an at io",preclinical_study,Piotr Popik; Małgorzata Hołuj; Tomasz Kos; Gabriel Nowak; Tadeusz Librowski; Kinga Sałat,primary_results
LSD,5-HT2A,functional assay,Ki,0.044,nM,,in_vivo,10.3389/fphar.2019.01406,Neurochemical and Behavioral Profiling in Male and Female Rats of the Psychedelic Agent 25I-NBOMe,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"PDF extraction snippet: e), a r e p r o b a b l y t h e m os t fa m o u s; t h e y u s e d t o b e m a r k et e d a s a lega l l ys er g ic acid diet h y l a mide (LS D), w i t h a li a s es s uc h a s ",preclinical_study,Cristina Miliano; Matteo Marti; Nicholas Pintori; M. Paola Castelli; Micaela Tirri; Raffaella Arfè; Maria Antonietta De Luca,primary_results
Ketamine,NMDA receptor,functional assay,Ki,3.1,uM,,in_vivo,10.1038/s41380-020-0740-6,Reproducing the dopamine pathophysiology of schizophrenia and approaches to ameliorate it: a translational imaging study with ketamine,2020,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: in schizophrenia patients and were acquired using an equivalent PET imaging technique. It should be noted that we investigated dopamine synthesis capacity in the striatum and, alth",preclinical_study,Michelle Kokkinou; Elaine E. Irvine; David R. Bonsall; Sridhar Natesan; Lisa Wells; Mark A. Smith; Justyna Glegola; Eleanor J. Paul; Kyoko Tossell; Mattia Veronese,primary_results
S-ketamine,NMDA receptor,radioligand binding,Ki,1000.0,nM,,in_vitro,10.1038/s41398-021-01540-2,N-methyl-D-aspartate receptor availability in first-episode psychosis: a PET-MR brain imaging study,2021,medium,doi,Auto-generated stub from DOI queue; Full-text PDF autofill for mechanistic affinity fields (comparator `>` retained in context only),primary_study,full_text_seen,text,Metadata/title snippet: N-methyl-D-aspartate receptor availability in first-episode psychosis: a PET-MR brain imaging study,in_vitro_binding_assay,Katherine Beck; Atheeshaan Arumuham; Mattia Veronese; Barbara Santangelo; Colm J. McGinnity; Joel Dunn; Robert A. McCutcheon; Stephen J. Kaar; Nisha Singh; Toby Pillinger,primary_results
LSD,5-HT2A,radioligand binding,Kd,0.425,nM,,in_vitro,10.1038/s41593-023-01316-5,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: require intact TrkB signaling12,13, we set out to explore whether direct binding to TrkB might mediate the neuroplastic effects behind their therapeutic potential. Results Psychede",preclinical_study,Rafael Moliner; Mykhailo Girych; Cecilia A. Brunello; Vera Kovaleva; Caroline Biojone; Giray Enkavi; Lina Antenucci; Erik F. Kot; Sergey A. Goncharuk; Katja Kaurinkoski,primary_results
Psilocin,5-HT2A,radioligand binding,Kd,0.425,nM,,in_vitro,10.1038/s41593-023-01316-5,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: require intact TrkB signaling12,13, we set out to explore whether direct binding to TrkB might mediate the neuroplastic effects behind their therapeutic potential. Results Psychede",preclinical_study,Rafael Moliner; Mykhailo Girych; Cecilia A. Brunello; Vera Kovaleva; Caroline Biojone; Giray Enkavi; Lina Antenucci; Erik F. Kot; Sergey A. Goncharuk; Katja Kaurinkoski,primary_results
MDMA,SERT,uptake inhibition,Ki,0.6,uM,,in_vitro,10.1186/1471-2210-6-6,Comparison of the monoamine transporters from human and mouse in their sensitivities to psychostimulant drugs,2006,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: Dawn D Han1 and Howard H Gu*1,2 Address: 1Department of Pharmacology, The Ohio State University College of Medicine, USA and 2Department of Psychiatry, The Ohio State University Co",preclinical_study,Dawn D. Han; Howard H. Gu,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,Ki,0.6,uM,,in_vitro,10.1186/1471-2210-6-6,Comparison of the monoamine transporters from human and mouse in their sensitivities to psychostimulant drugs,2006,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: Dawn D Han1 and Howard H Gu*1,2 Address: 1Department of Pharmacology, The Ohio State University College of Medicine, USA and 2Department of Psychiatry, The Ohio State University Co",preclinical_study,Dawn D. Han; Howard H. Gu,primary_results
