dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
mechanistic,1776,10.1001/archgenpsychiatry.2009.58,A Reverse-Translational Study of Dysfunctional Exploration in Psychiatric Disorders,2009,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1782,10.1001/jamanetworkopen.2022.10339,Efficacy and Safety of Difelikefalin in Japanese Patients With Moderate to Severe Pruritus Receiving Hemodialysis,2022,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1784,10.1001/jamaneurol.2015.1921,Chemogenetics—A Transformational and Translational Platform,2015,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1787,10.1001/jamapsychiatry.2013.399,RETRACTED: Association of Posttraumatic Stress Disorder With Reduced In Vivo Norepinephrine Transporter Availability in the Locus Coeruleus,2013,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1788,10.1001/jamapsychiatry.2016.1478,Positron Emission Tomographic Imaging of the Serotonergic System and Prediction of Risk and Lethality of Future Suicidal Behavior,2016,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1789,10.1001/jamapsychiatry.2017.0135,"Association of Stimulant Use With Dopaminergic Alterations in Users of Cocaine, Amphetamine, or Methamphetamine",2017,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1796,10.1002/(sici)1098-2396(199806)29:2<183::aid-syn9>3.0.co;2-3,In vivo detection of short- and long-term MDMA neurotoxicity?a positron emission tomography study in the living baboon brain,1998,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1798,10.1002/(sici)1522-2586(199910)10:4<521::aid-jmri4>3.0.co;2-9,"Cerebral1H MRS alterations in recreational 3,4-methylenedioxymethamphetamine (MDMA, ?ecstasy?) users",1999,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1805,10.1002/2211-5463.13219,Salvinorin A inhibits ovalbumin‐stimulated allergic rhinitis and RBL‐2H3 cells degranulation,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1815,10.1002/adhm.202100639,"Liposomes and Extracellular Vesicles as Drug Delivery Systems: A Comparison of Composition, Pharmacokinetics, and Functionalization",2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
