dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
mechanistic,1,10.1002/1873-3468.15099,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,3,10.1002/acn3.51406,Recurrent seizure-related GRIN1 variant: Molecular mechanism and targeted therapy.,2021,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,5,10.1002/advs.202500808,"Utilizing
                    <i>Caenorhabditis Elegans</i>
                    as a Rapid and Precise Model for Assessing Amphetamine‐Type Stimulants: A Novel Approach to Evaluating New Psychoactive Substances Activity and Mechanisms",2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,3,,,
mechanistic,6,10.1002/advs.202516024,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,7,10.1002/anie.202203034,"Enlightening the ""Spirit Molecule"": Photomodulation of the 5-HT(2A) Receptor by a Light-Controllable N,N-Dimethyltryptamine Derivative.",2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,8,10.1002/ardp.70022,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,True,downloaded,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,9,10.1002/brb3.1423,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,4,,,
mechanistic,11,10.1002/cbic.202200183,Assessment of Bioactivity-Modulating Pseudo-Ring Formation in Psilocin and Related Tryptamines.,2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,13,10.1002/cpt.2487,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,3,,,
mechanistic,14,10.1002/cpt.3478,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,15,10.1002/cpt.70018,Safety and Efficacy of the NMDA-2b-Selective Negative Allosteric Modulator BI 1569912: A Phase Ib Randomized Trial in Major Depressive Disorder.,2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,16,10.1002/dta.1732,"Synthesis, characterization, and monoamine transporter activity of the new psychoactive substance 3′,4′‐methylenedioxy‐4‐methylaminorex (MDMAR)",2014,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,5,,,
mechanistic,17,10.1002/dta.1884,Return of the lysergamides. Part I: Analytical and behavioural characterization of 1‐propionyl‐<i>d</i>‐lysergic acid diethylamide (1P‐LSD),2015,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,18,10.1002/dta.1985,"Return of the lysergamides. Part II: Analytical and behavioural characterization of <i>N</i><sup>6</sup>‐allyl‐6‐norlysergic acid diethylamide (AL‐LAD) and (2’<i>S</i>,4’<i>S</i>)‐lysergic acid 2,4‐dimethylazetidide (LSZ)",2016,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,3,,,
mechanistic,20,10.1002/dta.2222,Return of the lysergamides. Part IV: Analytical and pharmacological characterization of lysergic acid morpholide (LSM‐775),2017,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,3,,,
mechanistic,21,10.1002/dta.2396,"Synthesis, analytical characterization, and monoamine transporter activity of the new psychoactive substance 4‐methylphenmetrazine (4‐MPM), with differentiation from its <i>ortho</i>‐ and <i>meta</i>‐ positional isomers",2018,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,5,,,
mechanistic,22,10.1002/dta.2613,Return of the lysergamides. Part V: Analytical and behavioural characterization of 1‐butanoyl‐<i>d</i>‐lysergic acid diethylamide (1B‐LSD),2019,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,23,10.1002/dta.3281,"Analytical profile, in vitro metabolism and behavioral properties of the lysergamide 1P-AL-LAD.",2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,24,10.1002/dta.3547,Characterization of neurotransmitter inhibition for seven cathinones by a proprietary fluorescent dye method,2023,True,downloaded,escalate,in-scope compound/intervention term appears in title or abstract,True,9,,,
mechanistic,25,10.1002/dta.3829,Analytical and Pharmacological Characterization of 1-(Furan-2-Carbonyl)-LSD (1F-LSD) and Comparison With 1-(Thiophene-2-Carbonyl)-LSD (1T-LSD).,2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,26,10.1002/ece3.73522,Wherefore the Magic? The Evolutionary Role of Psilocybin in Nature,2026,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,28,10.1002/epi4.12552,"Combination of antiseizure medications phenobarbital, ketamine, and midazolam reduces soman-induced epileptogenesis and brain pathology in rats.",2021,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,29,10.1002/hbm.24511,Trait Openness and serotonin 2A receptors in healthy volunteers: A positron emission tomography study,2019,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,30,10.1002/hup.2811,"Serotonin transporter availability, neurocognitive function and their correlation in abstinent 3,4‐methylenedioxymethamphetamine users",2021,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,31,10.1002/hup.2835,"N,N‐dimethyltryptamine and Amazonian ayahuasca plant medicine",2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,7,,,
mechanistic,32,10.1002/hup.70019,Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,7,,,
mechanistic,33,10.1002/ibra.12094,Ketamine as a therapeutic agent in major depressive disorder and posttraumatic stress disorder: Potential medicinal and deleterious effects,2023,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,36,10.1002/jnr.25257,"Understanding the role of the
                    <scp>NMDA</scp>
                    receptor subunit,
                    <scp>GluN2D</scp>
                    , in mediating
                    <scp>NMDA</scp>
                    receptor antagonist‐induced behavioral disruptions in male and female mice",2023,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,37,10.1002/mco2.156,The molecular pathophysiology of depression and the new therapeutics,2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,1,,,
mechanistic,38,10.1002/mdc3.12369,Comment on: Dopamine Transporter (DaT) Scan Utilization in a Movement Disorder Center,2017,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,39,10.1002/minf.201300013,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,True,already_present,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,40,10.1002/npr2.12161,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,6,,,
mechanistic,41,10.1002/npr2.12420,Effect of intermittent subchronic MK-801 administration on dopamine synthesis capacity and responsiveness in the prefrontal cortex.,2024,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,43,10.1002/pcn5.146,"Ayahuasca: A review of historical, pharmacological, and therapeutic aspects",2023,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,44,10.1002/phar.2707,Safety and effectiveness of NMDA receptor antagonists for depression: A multidisciplinary review.,2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,4,,,
mechanistic,45,10.1002/prp2.1035,Dose‐dependent effects of esketamine on brain activity in awake mice: A <scp>BOLD phMRI</scp> study,2022,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
mechanistic,46,10.1002/prp2.458,"Binding characterization of N-(2-chloro-5-thiomethylphenyl)-N'-(3-[(3) H](3) methoxy phenyl)-N'-methylguanidine ([(3) H]GMOM), a non-competitive N-methyl-D-aspartate (NMDA) receptor antagonist.",2019,True,already_present,escalate,in-scope compound/intervention term appears in title or abstract,True,2,,,
