dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
mechanistic,1777,10.1001/archgenpsychiatry.2011.2287,Genome-wide Epigenetic Regulation by Early-Life Trauma,2012,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,1,,,
mechanistic,1780,10.1001/jama.2021.7939,Acute Treatments for Episodic Migraine in Adults,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1781,10.1001/jamanetworkopen.2019.14940,Assessment of the Association of D2 Dopamine Receptor Gene and Reported Allele Frequencies With Alcohol Use Disorders,2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1785,10.1001/jamaneurol.2019.0755,Association Between Sumatriptan Treatment During a Migraine Attack and Central 5-HT<sub>1B</sub> Receptor Binding,2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1804,10.1002/2211-5463.12699,Dopamine receptor D<sub>2</sub> activation suppresses the radiosensitizing effect of aripiprazole via activation of AMPK,2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,1,,,
mechanistic,1806,10.1002/2211-5463.70135,Molecular determinants of signal transduction in tropomyosin receptor kinases,2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,1,,,
mechanistic,1822,10.1002/advs.202407572,Chemogenomic Screening in a Patient‐Derived 3D Fatty Liver Disease Model Reveals the CHRM1‐TRPM8 Axis as a Novel Module for Targeted Intervention,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1823,10.1002/advs.202410728,Neuroligin 1 Regulates Autistic‐Like Repetitive Behavior through Modulating the Activity of Striatal D2 Receptor‐Expressing Medium Spiny Neurons,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1826,10.1002/ajmg.b.30865,Genome‐wide association study of response to methylphenidate in 187 children with attention‐deficit/hyperactivity disorder,2008,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1838,10.1002/ardp.201400201,"Design, Synthesis, Biological Evaluation and Binding Mode Modeling of Benzimidazole Derivatives Targeting the Cannabinoid Receptor Type 1",2015,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1839,10.1002/ardp.201400392,"Structure–5‐HT Receptor Affinity Relationship in a New Group of 7‐Arylpiperazynylalkyl and 7‐Tetrahydroisoquinolinylalkyl Derivatives of 8‐Amino‐1,3‐dimethyl‐1<i>H</i>‐purine‐2,6(3<i>H</i>,7<i>H</i>)‐dione",2015,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,1,,,
mechanistic,1840,10.1002/ardp.201500180,Antiarrhythmic and α‐Adrenoceptor Antagonistic Properties of Novel Arylpiperazine Derivatives of Pyrrolidin‐2‐one,2015,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,1,,,
