pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-01501e5d8f7c16e6,disorder,full_text_relevant,10.1001/jamapsychiatry.2017.3572,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,Utility of Imaging-Based Biomarkers for Glutamate-Targeted Drug Development in Psychotic Disorders,2017,Daniel C. Javitt; Cameron S. Carter; John H. Krystal; Joshua T. Kantrowitz; Ragy R. Girgis; Lawrence S. Kegeles; John D. Ragland; Richard J. Maddock; Tyler A. Lesh; Costin Tanase,JAMA Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-02a1295ccec6db6a,disorder,full_text_relevant,10.1038/s41591-021-01336-3,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,"MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study",2021,Jennifer M. Mitchell; Michael Bogenschutz; Alia Lilienstein; Charlotte Harrison; Sarah Kleiman; Kelly Parker-Guilbert; Marcela Ot’alora G.; Wael Garas; Casey Paleos; Ingmar Gorman,Nature Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01fb997c38b5f737,disorder,full_text_relevant,10.1080/14656566.2024.2424316,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary,Pharmacotherapeutic strategies for the treatment of anorexia nervosa - novel targets to break a vicious cycle.,2024,Kirchberg MC; Pinson C; Frank GKW,Expert opinion on pharmacotherapy,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01c6fb5aa3ceb01f,disorder,full_text_relevant,10.1093/ijnp/pyae059.567,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,"EFFICACY AND SAFETY OF INTRAVENOUS KETAMINE TREATMENT IN JAPANESE PATIENTS WITH TREATMENT-RESISTANT DEPRESSION: A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED TRIAL",2025,*Yohei Ohtani; Hideaki Tani; Kie Nomoto-Takahashi; Taisuke Yatomi; Kengo Yonezawa; Sota Tomiyama; Nobuhiro Nagai; Keisuke Kusudo; Shiori Honda; Shinichiro Nakajima,International Journal of Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0305aabad895640e,disorder,full_text_relevant,10.1097/md.0000000000038821,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary | title_secondary,Effects of perioperative application of esketamine on postpartum depression in cesarean section: A systematic review and meta-analysis.,2024,Ma B; Tao X; Qi Y; Cao H; Cao Q; Zhou Z; Wang S,Medicine,Journal Article | Systematic Review | Meta-Analysis,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01cd7421d73ea0de,disorder,full_text_relevant,10.1186/s12873-016-0107-0,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,"Intranasal ketamine for acute traumatic pain in the Emergency Department: a prospective, randomized clinical trial of efficacy and safety",2016,Shachar Shimonovich; Roy Gigi; Amir Shapira; Tal Sarig-Meth; Danielle Nadav; Mattan Rozenek; Debra West; Pinchas Halpern,BMC Emergency Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-029d60568c981a62,disorder,full_text_relevant,10.1186/s12888-024-05525-5,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,2024,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,BMC Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-020d993001906228,disorder,full_text_relevant,10.1192/bjo.2025.10830,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,(Es)ketamine as a treatment for depressive episodes with psychotic features: systematic review,2025,Henrique Castro Santos; Alexandra Rodrigues; Tiago Machado; Manuel Gonçalves-Pinho; Allan H. Young; Mario F. Juruena,BJPsych Open,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-022634c5d9b6257b,disorder,full_text_relevant,10.1192/j.eurpsy.2022.1431,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Intranasal Esketamine + CBT: a 6 months follow-up of a resistant depression complicated case,2022,V. Martiadis; F. Raffone; R. Cerlino; F. Mistico; M. Russo,European Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0165d347cc8127fa,disorder,full_text_relevant,10.1192/j.eurpsy.2024.875,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,The Effect of the Apollo Neuro Device on Anxiety Among Participants who Underwent Ketamine Assisted Therapy,2024,V. Tsang,European Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
