pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-008b256ad0cf1855,disorder,full_text_relevant,10.1007/s00213-019-05236-w,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",2019,M. V. Uthaug; R. Lancelotta; K. van Oorsouw; K. P. C. Kuypers; N. Mason; J. Rak; A. Šuláková; R. Jurok; M. Maryška; M. Kuchař,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-013e6fde5d6ae09f,disorder,full_text_relevant,10.1192/bjo.2021.1059,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,"Repeated, low-dose oral esketamine in patients with treatment-resistant depression: pilot study",2021,Sanne Y. Smith-Apeldoorn; Jolien K. E. Veraart; Henricus G. Ruhé; Marije aan het Rot; Jeanine Kamphuis; Marrit K. de Boer; Robert A. Schoevers,BJPsych Open,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-00aca6ef67f08ac0,disorder,full_text_relevant,10.12775/qs.2026.54.69942,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,2026,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,Quality in Sport,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01164e75b3bc3e8b,disorder,full_text_relevant,10.3389/fpsyt.2022.948115,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Holding on or letting go? Patient experiences of control, context, and care in oral esketamine treatment for treatment-resistant depression: A qualitative study",2022,Joost J. Breeksema; Alistair Niemeijer; Bouwe Kuin; Jolien Veraart; Jeanine Kamphuis; Nina Schimmel; Wim van den Brink; Eric Vermetten; Robert Schoevers,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-011475f2108cf775,disorder,full_text_relevant,10.53941/cna.2025.100006,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",2025,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,Clinical Neuropsychopharmacology and Addiction,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01de6a8b18b8a296,mechanistic,full_text_relevant,10.1089/psymed.2023.0023,full_text,full_text_seen,relevant,likely_secondary,low,abstract_secondary,Balancing Therapeutic Efficacy and Safety of MDMA and Novel MDXX Analogues as Novel Treatments for Autism Spectrum Disorder,2023,Harpreet Kaur; Sedat Karabulut; James W. Gauld; Stephen A. Fagot; Kalee N. Holloway; Hannah E. Shaw; William E. Fantegrossi,Psychedelic Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-01906525e930b85b,mechanistic,full_text_relevant,10.1254/fpj.97.4_209,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Anxiolytic effects of lisuride and its agonistic action to central 5-HT1A receptors.,1991,Tetsuo AKAI; Masaya TAKAHASHI; Yukie NAKADA; Reiko OHNISHI; Yukihiro IKOMA; Motonori YAMAGUCHI,Folia Pharmacologica Japonica,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-017977a5a0046f81,mechanistic,full_text_relevant,10.21203/rs.3.rs-1321542/v1,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,2022,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,Research Square,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-017164b6c1bc7340,mechanistic,full_text_relevant,10.2967/jnumed.122.264391,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",2022,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,Journal of Nuclear Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0170a781205ea184,mechanistic,full_text_relevant,10.3390/ph17060669,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,2024,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,Pharmaceuticals,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
