pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-008b256ad0cf1855,disorder,full_text_relevant,10.1007/s00213-019-05236-w,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",2019,M. V. Uthaug; R. Lancelotta; K. van Oorsouw; K. P. C. Kuypers; N. Mason; J. Rak; A. Šuláková; R. Jurok; M. Maryška; M. Kuchař,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-00659cf85d2a1d78,disorder,full_text_relevant,10.1192/j.eurpsy.2025.1046,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Real clinical experience of inhaled esketamine in bipolar depression. A retrospective study,2025,S. Benavente López; A. Lara Fernández; E. Toro Carrasco; I. Pedrero Torrejon; A. Parra González; M. Mejia Quiterio; A. Viñas Arboleda; E. Losantos Ucha; E. Baca García,European Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-00aca6ef67f08ac0,disorder,full_text_relevant,10.12775/qs.2026.54.69942,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,2026,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,Quality in Sport,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-002c5e8fbd304697,disorder,full_text_relevant,10.3389/fphar.2021.659644,full_text,full_text_seen,relevant,likely_context_only,medium,title_context,Protocol for Outcome Evaluation of Ayahuasca-Assisted Addiction Treatment: The Case of Takiwasi Center,2021,Brian Rush; Olivia Marcus; Sara García; Anja Loizaga-Velder; Gabriel Loewinger; Ariane Spitalier; Fernando Mendive,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-01164e75b3bc3e8b,disorder,full_text_relevant,10.3389/fpsyt.2022.948115,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Holding on or letting go? Patient experiences of control, context, and care in oral esketamine treatment for treatment-resistant depression: A qualitative study",2022,Joost J. Breeksema; Alistair Niemeijer; Bouwe Kuin; Jolien Veraart; Jeanine Kamphuis; Nina Schimmel; Wim van den Brink; Eric Vermetten; Robert Schoevers,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-011475f2108cf775,disorder,full_text_relevant,10.53941/cna.2025.100006,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",2025,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,Clinical Neuropsychopharmacology and Addiction,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-000d5083c693c53b,disorder,full_text_relevant,10.59324/ejahss.2024.1(3).10,full_text,full_text_seen,relevant,ambiguous,medium,abstract_secondary | abstract_primary,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,2024,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,"European Journal of Arts, Humanities and Social Sciences",journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-01906525e930b85b,mechanistic,full_text_relevant,10.1254/fpj.97.4_209,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Anxiolytic effects of lisuride and its agonistic action to central 5-HT1A receptors.,1991,Tetsuo AKAI; Masaya TAKAHASHI; Yukie NAKADA; Reiko OHNISHI; Yukihiro IKOMA; Motonori YAMAGUCHI,Folia Pharmacologica Japonica,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-017977a5a0046f81,mechanistic,full_text_relevant,10.21203/rs.3.rs-1321542/v1,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,2022,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,Research Square,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-01425de63d1b6929,mechanistic,full_text_relevant,10.21203/rs.3.rs-2667175/v1,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,2023,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,Research Square,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-017164b6c1bc7340,mechanistic,full_text_relevant,10.2967/jnumed.122.264391,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",2022,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,Journal of Nuclear Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-01213753d31b9bf3,mechanistic,full_text_relevant,10.3389/fnagi.2025.1505908,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine does not rescue plaque load or gap detection in the 5XFAD mouse model of Alzheimer's disease,2025,Alexa L. Wright; Aldis P. Weible; Olivia B. Estes; Michael Wehr,Frontiers in Aging Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0088c7841c8e16a1,mechanistic,full_text_relevant,10.3389/fphar.2021.794254,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",2022,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
