pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-042ac41ce2bfe746,disorder,full_text_relevant,10.1001/jamanetworkopen.2023.52844,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,Ketamine Compared With Morphine for Out-of-Hospital Analgesia for Patients With Traumatic Pain,2024,Clément Le Cornec; Marion Le Pottier; Hélène Broch; Alexandre Marguinaud Tixier; Emmanuel Rousseau; Said Laribi; Charles Janière; Vivien Brenckmann; Anne Guillerm; Florence Deciron,JAMA Network Open,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0432cbe751eae8fc,disorder,full_text_relevant,10.1038/npp.2014.80,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,A Window into the Intoxicated Mind? Speech as an Index of Psychoactive Drug Effects,2014,Gillinder Bedi; Guillermo A Cecchi; Diego F Slezak; Facundo Carrillo; Mariano Sigman; Harriet de Wit,Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0438a31a4437a42b,disorder,full_text_relevant,10.1038/s41598-022-18645-3,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,2022,Grant M. Jones; Matthew K. Nock,Scientific Reports,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-04ebd63efe43a006,disorder,full_text_relevant,10.1080/02791072.2025.2520224,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,2025,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,Journal of Psychoactive Drugs,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-04458b7757d7be6b,disorder,full_text_relevant,10.1093/ijnp/pyae059.161,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,EXPLORING THE NEUROBIOLOGICAL AND PSYCHOLOGICAL MECHANISMS OF KETAMINE IN PROBLEMATIC GAMBLING: A MECHANISTIC STUDY,2025,*Joy Krecké; Jessica Ottewill; Sarah Statton; Simon Depla; Flora Fraser; Alex D Shaw; Celia Morgan,International Journal of Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-03f765dea885d9e1,disorder,full_text_relevant,10.1101/2023.01.11.23284248,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,"Ketamine-assisted psychotherapy provides lasting and effective results in the treatment of depression, anxiety and post traumatic stress disorder at 3 and 6 months: Findings from a large single-arm retrospective effectiveness trial",2023,Ryan Yermus; Michael Verbora; Sidney Kennedy; Robert McMaster; Sarah Kratina; Elizabeth Wolfson; Ben Medrano; Nathan Bryson; Nabid Zaer; John Bottos,medRxiv,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-04cd032d2392a6b9,disorder,full_text_relevant,10.1136/bcr-2016-216088,full_text,full_text_seen,relevant,likely_primary,high,trial_registry_present,New use for an old drug: oral ketamine for treatment-resistant depression,2016,Kevin M Swiatek; Kim Jordan; Julie Coffman,BMJ Case Reports,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-04a475a9dc9f4be0,disorder,full_text_relevant,10.1155/2015/842817,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,"Ketamine, Transcranial Magnetic Stimulation, and Depression Specific Yoga and Mindfulness Based Cognitive Therapy in Management of Treatment Resistant Depression: Review and Some Data on Efficacy",2015,Basant Pradhan; Tapan Parikh; Ramkrishna Makani; Madhusmita Sahoo,Depression Research and Treatment,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0449cb8031608e0c,disorder,full_text_relevant,10.20471/dec.2025.61.03.09,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,BPL-003,2025,Vjekoslav Peitl; Darko Vlahović,Archives of Psychiatry Research,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-04e06a3e6416594c,disorder,full_text_relevant,10.2147/dddt.s565937,full_text,full_text_seen,relevant,likely_primary,high,publication_type_primary,Effects of Intravenous Subanesthetic-Dose Esketamine on Early Postoperative Pain in Elderly Patients Undergoing Thoracoscopic Lung Surgery: A Randomized Double-Blind Controlled Trial.,2025,Zhao H; Liu Z; Zhang Y; Liu M; Ning Y; Gao D; Hui K; Ji Q; Zhang L,"Drug design, development and therapy",Journal Article | Randomized Controlled Trial,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0503d8f4a0e87c65,disorder,full_text_relevant,10.3174/ajnr.a8118,full_text,full_text_seen,relevant,likely_secondary,low,abstract_secondary,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,2024,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,American Journal of Neuroradiology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-048f6f60226c95b5,disorder,full_text_relevant,10.3389/fpsyt.2023.1138772,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine as an alternative to ECT in catatonia in elderly women with bipolar disorder: A case report,2023,Shanthi Sarma; Arulmathy Arunachalam; Memunatu Kamara; Grace Branjerdporn,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
