pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-00037dac0d7c7eac,disorder,full_text_relevant,10.1556/2054.2021.00179,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,2021,Alan K. Davis; Pratheek Mangini; Yitong Xin,Journal of Psychedelic Studies,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0009d548736c869c,disorder,full_text_relevant,10.3389/fphar.2021.739012,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ibogaine Blocks Cue- and Drug-Induced Reinstatement of Conditioned Place Preference to Ethanol in Male Mice,2021,Gabrielle M. Henriques; Alexia Anjos-Santos; Isa R. S. Rodrigues; Victor Nascimento-Rocha; Henrique S. Reis; Matheus Libarino-Santos; Thaísa Barros-Santos; Thais S. Yokoyama; Natalia B. Bertagna; Cristiane A. Favoretto,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-007823959dd5d06c,mechanistic,full_text_relevant,10.1002/phar.2707,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary | title_secondary,Safety and effectiveness of NMDA receptor antagonists for depression: A multidisciplinary review.,2022,Moore TJ; Alami A; Alexander GC; Mattison DR,Pharmacotherapy,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0019f662940b3b65,mechanistic,full_text_relevant,10.1111/papr.13203,full_text,full_text_seen,relevant,likely_primary,high,title_secondary | trial_registry_present,Are psychedelics the answer to chronic pain: A review of current literature,2023,Nina I. Kooijman; Tim Willegers; Anke Reuser; Wim M. Mulleners; Cornelis Kramers; Kris C. P. Vissers; Selina E. I. van der Wal,Pain Practice,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0086d18dc47990ce,disorder,full_text_uncertain,10.1016/s2215-0366(19)30292-5,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,US Food and Drug Administration approval of esketamine and brexanolone.,2019,I. Cristea; F. Naudet,The lancet. Psychiatry,JournalArticle,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0066ecd69e904031,disorder,full_text_uncertain,10.2147/ndt.s157475,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary,Novel treatment options in depression and psychosis,2018,Eva Češková; Petr Šilhán,Neuropsychiatric disease and treatment,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-01bc1b649ebb7550,mechanistic,full_text_uncertain,10.1126/sciadv.abl6989,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Trips and neurotransmitters: Discovering principled patterns across 6850 hallucinogenic experiences,2022,Galen Ballentine; Samuel Freesun Friedman; Danilo Bzdok,Science Advances,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-015fe5e510944757,mechanistic,full_text_uncertain,10.3389/fnhum.2015.00346,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Restructuring consciousness â€“the psychedelic state in light of integrated information theory,2015,Andrew R. Gallimore,Frontiers in Human Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0021ab042bbf635a,disorder,abstract_relevant,10.1080/13651501.2025.2576205,abstract,abstract_only,relevant,likely_secondary,medium,title_secondary,A systematic review and meta-analysis of the efficacy of ketamine compared to electroconvulsive therapy for treatment-resistant depression,2025,Guoguang Song; Ugwah-Oguejiofor Chinenye Jane,International Journal of Psychiatry in Clinical Practice,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-0007f418f2f4e4ea,disorder,abstract_relevant,10.1111/pme.12705,abstract,abstract_only,relevant,likely_primary,low,abstract_primary,Low-Dose Ketamine Infusion for Emergency Department Patients with Severe Pain,2015,Terence L. Ahern; Andrew A. Herring; Steve Miller; Bradley W. Frazee,Pain Medicine,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-000cc74fd70ba613,mechanistic,abstract_relevant,10.1007/s00213-003-1530-y,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Serotonin receptors in platelets of bipolar and schizoaffective patients: effect of lithium treatment,2003,Ghanshyam N. Pandey; Subhash C. Pandey; Xinguo Ren; Yogesh Dwivedi; Philip G. Janicak,Psychopharmacology,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-000026afa04c1020,mechanistic,abstract_relevant,10.1016/j.jphs.2017.11.001,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Role of NMDA receptor GluN2D subunit in the antidepressant effects of enantiomers of ketamine,2017,Soichiro Ide; Yuiko Ikekubo; Masayoshi Mishina; Kenji Hashimoto; Kazutaka Ikeda,Journal of Pharmacological Sciences,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
pilot-0273e5f6723d8fcf,disorder,abstract_uncertain,10.1016/j.jpsychires.2021.06.039,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Blood transcriptional response to treatment-resistant depression during electroconvulsive therapy,2021,Ifat Israel-Elgali; Libi Hertzberg; Guy Shapira; Aviv Segev; Israel Krieger; Uri Nitzan; Yuval Bloch; Nir Pillar; Ori Mayer; Abraham Weizman,Journal of Psychiatric Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-01006a09f968bb50,disorder,abstract_uncertain,10.1353/book.3470,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,Psychedelic Psychiatry,2008,Erika Dyck,Johns Hopkins University Press eBooks,book,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-0179402e6e25f128,mechanistic,abstract_uncertain,10.1007/7854_2016_29,abstract,abstract_only,uncertain,unknown,low,publication_type_generic,The Discriminative Stimulus Properties of Hallucinogenic and Dissociative Anesthetic Drugs,2016,Tomohisa Mori; Tsutomu Suzuki,Current topics in behavioral neurosciences,book-chapter,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_extraction_candidates.jsonl
