pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-03e8d0d6084b377a,disorder,full_text_relevant,10.1093/ijnp/pyae059.125,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,BEHAVIORAL AND ELECTROPHYSIOLOGICAL EFFECTS OF LYSERGIC ACID DIETHYLAMIDE (LSD) IN A MOUSE MODEL OF ALCOHOL USE DISORDER (AUD),2025,*Danilo De Gregorio; Carolina Giulia Ferroni; Noemi Nicosia; Margherita Spadaccini,International Journal of Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-036631d8bf442c2c,disorder,full_text_relevant,10.1186/s13722-024-00517-y,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,Survey of Massachusetts peer recovery coaches’ attitudes toward the use of psychedelics to treat substance use disorders,2024,Veronica Szpak; Amanda Kim; Zachary Sager; Joji Suzuki,Addiction Science & Clinical Practice,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-033bbd7b62378ffc,disorder,full_text_relevant,10.12688/f1000research.121529.1,full_text,full_text_seen,relevant,likely_primary,high,title_context | trial_registry_present,Protocol for the Ketamine for Postoperative Avoidance of Depressive Symptoms (K-PASS) feasibility study: A randomized clinical trial,2022,Bradley A. Fritz; Bethany R. Tellor Pennington; Ben J.A. Palanca; Julie A. Schweiger; Jon T. Willie; Nuri B. Farber,F1000Research,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-036ad067152d8f55,disorder,full_text_relevant,10.21037/jtd.2019.08.62,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,The quantification and monitoring of intraoperative nociception levels in thoracic surgery: a review,2019,Ismael Ghanty; Stefan Schraag,Journal of Thoracic Disease,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-034eb26599503257,disorder,full_text_relevant,10.31275/20222633,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"The History, Legalization and Potentials of Psilocybin-Assisted Psychotherapy",2023,Jeffery Heilman,Journal of Scientific Exploration,article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-03b46e3b32e5782f,disorder,full_text_relevant,10.3389/fpsyt.2023.1287196,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,2023,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0357aff17006693a,disorder,full_text_relevant,10.3390/brainsci14030248,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,A Systematic Review of the Neurocognitive Effects of Psychedelics in Healthy Populations: Implications for Depressive Disorders and Post-Traumatic Stress Disorder,2024,Mario Renato Velit-Salazar; Paulo R. Shiroma; Eloise Cherian,Brain Sciences,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-051bc57e3d781c0f,mechanistic,full_text_relevant,10.1002/brb3.1423,full_text,full_text_seen,relevant,likely_context_only,medium,title_context,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,Chuanjun Zhuo; Hongjun Tian; Gongying Li; Min Chen; Deguo Jiang; Xiaodong Lin; Yong Xu; Wenqiang Wang,Brain and Behavior,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-05808e39520ac5d2,mechanistic,full_text_relevant,10.1007/s00213-005-0174-5,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",2005,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-05f5d81da28a9c98,mechanistic,full_text_relevant,10.1016/j.heliyon.2021.e07784,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Induced fit, ensemble binding space docking and Monte Carlo simulations of MDMA 'ecstasy' and 3D pharmacophore design of MDMA derivatives on the human serotonin transporter (hSERT).",2021,Islas ÁA; Moreno LG; Scior T,Heliyon,Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
