row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1001/jamapsychiatry.2017.3572,pilot-01501e5d8f7c16e6,disorder:10.1001/jamapsychiatry.2017.3572,relevant,primary_evidence,5,0,found,0,6,0
2,ok,disorder,10.1038/s41591-021-01336-3,pilot-02a1295ccec6db6a,disorder:10.1038/s41591-021-01336-3,relevant,primary_evidence,3,0,found,0,4,0
3,ok,disorder,10.1080/14656566.2024.2424316,pilot-01fb997c38b5f737,disorder:10.1080/14656566.2024.2424316,relevant,secondary_literature,0,10,found,0,11,0
4,ok,disorder,10.1093/ijnp/pyae059.567,pilot-01c6fb5aa3ceb01f,disorder:10.1093/ijnp/pyae059.567,relevant,primary_evidence,5,0,found,0,6,0
5,ok,disorder,10.1097/md.0000000000038821,pilot-0305aabad895640e,disorder:10.1097/md.0000000000038821,relevant,secondary_literature,0,2,found,0,3,0
6,ok,disorder,10.1186/s12873-016-0107-0,pilot-01cd7421d73ea0de,disorder:10.1186/s12873-016-0107-0,relevant,primary_evidence,3,0,found,0,4,0
7,ok,disorder,10.1186/s12888-024-05525-5,pilot-029d60568c981a62,disorder:10.1186/s12888-024-05525-5,relevant,primary_evidence,6,0,found,0,7,0
8,ok,disorder,10.1192/bjo.2025.10830,pilot-020d993001906228,disorder:10.1192/bjo.2025.10830,relevant,secondary_literature,0,1,found,0,2,0
9,ok,disorder,10.1192/j.eurpsy.2022.1431,pilot-022634c5d9b6257b,disorder:10.1192/j.eurpsy.2022.1431,relevant,primary_evidence,1,0,found,0,2,0
10,ok,disorder,10.1192/j.eurpsy.2024.875,pilot-0165d347cc8127fa,disorder:10.1192/j.eurpsy.2024.875,relevant,human_review,0,0,found,0,1,0
11,ok,disorder,10.1192/j.eurpsy.2025.684,pilot-0204daf495619c30,disorder:10.1192/j.eurpsy.2025.684,relevant,primary_evidence,3,0,found,0,4,0
12,ok,disorder,10.15386/cjmed-500,pilot-02aa7833e338f324,disorder:10.15386/cjmed-500,relevant,secondary_literature,0,2,found,0,3,0
13,ok,disorder,10.2147/ndt.s282208,pilot-0185f38f004657b8,disorder:10.2147/ndt.s282208,relevant,secondary_literature,0,10,found,0,11,0
14,ok,disorder,10.3389/fpsyt.2021.702838,pilot-02b00643103d6111,disorder:10.3389/fpsyt.2021.702838,relevant,primary_evidence,5,0,found,0,6,0
15,ok,disorder,10.3389/fpsyt.2021.706017,pilot-02a30a797b4e1463,disorder:10.3389/fpsyt.2021.706017,relevant,secondary_literature,0,5,found,0,6,0
16,ok,disorder,10.3389/frcha.2024.1364617,pilot-0267a99e233c837a,disorder:10.3389/frcha.2024.1364617,relevant,primary_evidence,6,0,found,0,7,0
17,ok,disorder,10.3390/healthcare12161560,pilot-0254d00e92270a86,disorder:10.3390/healthcare12161560,relevant,secondary_literature,0,3,found,0,4,0
18,ok,disorder,10.3390/neurosci6030083,pilot-01d87827f7888107,disorder:10.3390/neurosci6030083,relevant,secondary_literature,0,5,found,0,6,0
19,ok,disorder,10.3390/ph16040568,pilot-032e533c843d3a0f,disorder:10.3390/ph16040568,relevant,secondary_literature,0,2,found,0,3,0
20,ok,disorder,10.7759/cureus.44909,pilot-020de72df8a8ca8c,disorder:10.7759/cureus.44909,relevant,primary_evidence,3,0,found,0,4,0
21,ok,mechanistic,10.1007/s00213-006-0576-z,pilot-04f493ffa1f6ea2d,mechanistic:10.1007/s00213-006-0576-z,relevant,primary_evidence,1,0,found,0,2,0
