row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1192/j.eurpsy.2025.1046,pilot-00659cf85d2a1d78,disorder:10.1192/j.eurpsy.2025.1046,relevant,primary_evidence,1,0,found,0,2,0
2,ok,disorder,10.1556/2054.2021.00179,pilot-00037dac0d7c7eac,disorder:10.1556/2054.2021.00179,relevant,primary_evidence,4,0,found,0,5,0
3,ok,disorder,10.3389/fphar.2021.659644,pilot-002c5e8fbd304697,disorder:10.3389/fphar.2021.659644,relevant,context_only,0,1,found,0,2,0
4,ok,disorder,10.3389/fphar.2021.739012,pilot-0009d548736c869c,disorder:10.3389/fphar.2021.739012,relevant,primary_evidence,1,0,found,0,2,0
5,ok,disorder,10.59324/ejahss.2024.1(3).10,pilot-000d5083c693c53b,disorder:10.59324/ejahss.2024.1(3).10,relevant,secondary_literature,0,1,found,0,2,0
6,ok,mechanistic,10.1002/phar.2707,pilot-007823959dd5d06c,mechanistic:10.1002/phar.2707,relevant,secondary_literature,0,3,found,0,4,0
7,ok,mechanistic,10.1111/papr.13203,pilot-0019f662940b3b65,mechanistic:10.1111/papr.13203,relevant,secondary_literature,0,7,found,0,8,0
8,ok,mechanistic,10.21203/rs.3.rs-2667175/v1,pilot-01425de63d1b6929,mechanistic:10.21203/rs.3.rs-2667175/v1,relevant,primary_evidence,4,0,found,0,5,0
9,ok,mechanistic,10.3389/fnagi.2025.1505908,pilot-01213753d31b9bf3,mechanistic:10.3389/fnagi.2025.1505908,relevant,primary_evidence,6,0,found,0,7,0
10,quote_error,mechanistic,10.3389/fphar.2021.794254,pilot-0088c7841c8e16a1,mechanistic:10.3389/fphar.2021.794254,relevant,primary_evidence,9,0,found,0,10,1
11,ok,disorder,10.1016/j.phrs.2024.107338,pilot-00ac3901bfcfab43,disorder:10.1016/j.phrs.2024.107338,relevant,secondary_literature,0,5,found,0,6,0
12,ok,disorder,10.1016/s2215-0366(19)30292-5,pilot-0086d18dc47990ce,disorder:10.1016/s2215-0366(19)30292-5,relevant,context_only,0,3,found,0,4,0
13,quote_error,disorder,10.1089/psymed.2023.0061,pilot-0423400fb625a0c9,disorder:10.1089/psymed.2023.0061,relevant,primary_evidence,2,0,found,0,3,1
14,quote_error,disorder,10.12927/hcpol.2023.27048,pilot-00ba2c0c8dae1e23,disorder:10.12927/hcpol.2023.27048,relevant,secondary_literature,0,4,found,0,5,1
15,ok,disorder,10.2147/ndt.s157475,pilot-0066ecd69e904031,disorder:10.2147/ndt.s157475,relevant,secondary_literature,0,5,found,0,6,0
16,ok,mechanistic,10.1038/s41386-023-01725-x,pilot-039892b81aaf45e8,mechanistic:10.1038/s41386-023-01725-x,relevant,secondary_literature,0,10,found,0,11,0
17,ok,mechanistic,10.1126/sciadv.abl6989,pilot-01bc1b649ebb7550,mechanistic:10.1126/sciadv.abl6989,relevant,primary_evidence,2,0,found,0,3,0
18,ok,mechanistic,10.1177/2470547018796102,pilot-03b51893d8731b8c,mechanistic:10.1177/2470547018796102,relevant,primary_evidence,2,0,found,0,3,0
19,ok,mechanistic,10.2174/157015911795017209,pilot-036e8acdf0f0fd4a,mechanistic:10.2174/157015911795017209,relevant,human_review,0,6,found,0,7,0
20,ok,mechanistic,10.3389/fnhum.2015.00346,pilot-015fe5e510944757,mechanistic:10.3389/fnhum.2015.00346,relevant,secondary_literature,0,5,found,0,6,0
21,ok,disorder,10.1007/s004820050098,pilot-0027a3b495c8d0bb,,relevant,secondary_literature,0,4,found,0,5,0
22,ok,disorder,10.1017/s1461145713001119,pilot-007b5bd742c6c42d,,relevant,primary_evidence,3,0,found,0,4,0
23,ok,disorder,10.1080/13651501.2025.2576205,pilot-0021ab042bbf635a,,relevant,secondary_literature,0,1,found,0,2,0
24,ok,disorder,10.1111/pme.12705,pilot-0007f418f2f4e4ea,,relevant,primary_evidence,1,0,found,0,2,0
25,ok,disorder,10.1556/2054.2022.00222,pilot-00515b13cd7eea19,,relevant,human_review,0,3,found,0,4,0
26,ok,mechanistic,10.1007/s00213-003-1530-y,pilot-000cc74fd70ba613,,relevant,primary_evidence,1,0,found,0,2,0
27,ok,mechanistic,10.1016/j.ejphar.2017.03.043,pilot-0029d9b408f903d1,,relevant,primary_evidence,2,0,found,0,3,0
28,ok,mechanistic,10.1016/j.jphs.2017.11.001,pilot-000026afa04c1020,,relevant,primary_evidence,1,0,found,0,2,0
29,ok,mechanistic,10.1021/acs.jmedchem.5c00442,pilot-0064e17599198de5,,relevant,primary_evidence,3,0,found,0,4,0
30,ok,mechanistic,10.1097/01.ju.0001008772.30001.48.03,pilot-00397f45cfd9bbaa,,relevant,primary_evidence,2,0,found,0,3,0
31,ok,disorder,10.1016/j.copsyc.2025.102129,pilot-04f63f5964bb9007,,relevant,secondary_literature,0,3,found,0,4,0
32,ok,disorder,10.1016/j.jpsychires.2021.06.039,pilot-0273e5f6723d8fcf,,relevant,human_review,0,1,found,0,2,0
33,ok,disorder,10.1093/bioinformatics/btm266,pilot-04c068b02eeca2c0,,not_relevant,exclude,0,0,found,0,1,0
34,ok,disorder,10.1101/2023.09.21.558828,pilot-04d2a11baea8af1c,,relevant,human_review,0,8,found,0,9,0
35,ok,disorder,10.1353/book.3470,pilot-01006a09f968bb50,,relevant,human_review,0,1,found,0,2,0
36,ok,mechanistic,10.1007/7854_2016_29,pilot-0179402e6e25f128,,relevant,secondary_literature,0,8,found,0,9,0
37,ok,mechanistic,10.1016/s0028-3908(02)00119-3,pilot-01007a54228034fe,,relevant,primary_evidence,1,0,found,0,2,0
38,ok,mechanistic,10.1101/2020.05.06.080937,pilot-062158dd60bb9ba8,,relevant,primary_evidence,2,0,found,0,3,0
39,ok,mechanistic,10.1124/jpet.111.179572,pilot-04d392819f5928e5,,relevant,primary_evidence,8,0,found,0,9,0
40,ok,mechanistic,10.4238/2015.march.13.13,pilot-02c38d23c30166df,,relevant,primary_evidence,4,0,found,0,5,0
41,ok,disorder,10.1002/hbm.23234,pilot-00399169a1ea872e,,not_relevant,exclude,0,0,found,0,1,0
42,ok,disorder,10.1089/psymed.2022.0014,pilot-007774aa91b74571,,not_relevant,exclude,0,0,found,0,1,0
43,ok,disorder,10.1097/aco.0000000000000230,pilot-003de6827479f91e,,not_relevant,exclude,0,0,found,0,1,0
44,ok,disorder,10.1503/cmaj.1096029,pilot-0001cfed2367ba29,,relevant,context_only,0,1,found,0,2,0
45,ok,disorder,10.31234/osf.io/ugr69_v2,pilot-00533422d6bd75b2,,not_relevant,exclude,0,0,found,0,1,0
46,ok,mechanistic,10.1007/bf02245789,pilot-005f400452f9a428,,not_relevant,exclude,0,0,found,0,1,0
47,ok,mechanistic,10.1007/s00213-012-2870-2,pilot-012d4d4ca4696cd1,,not_relevant,exclude,0,0,found,0,1,0
48,ok,mechanistic,10.1016/0922-4106(94)90087-6,pilot-013ecebc100610f8,,relevant,primary_evidence,3,0,found,0,4,0
49,ok,mechanistic,10.1111/add.12570,pilot-0052357b3b5d98c3,,not_relevant,exclude,0,0,found,0,1,0
50,ok,mechanistic,10.2174/1570159x21666221017085612,pilot-00badf74de6ca5ff,,not_relevant,exclude,0,0,found,0,1,0
