row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1007/s00213-019-05236-w,pilot-008b256ad0cf1855,disorder:10.1007/s00213-019-05236-w,relevant,primary_evidence,4,0,found,0,5,0
2,ok,disorder,10.1192/bjo.2021.1059,pilot-013e6fde5d6ae09f,disorder:10.1192/bjo.2021.1059,relevant,primary_evidence,2,0,found,0,3,0
3,ok,disorder,10.12775/qs.2026.54.69942,pilot-00aca6ef67f08ac0,disorder:10.12775/qs.2026.54.69942,relevant,secondary_literature,0,5,found,0,6,0
4,ok,disorder,10.3389/fpsyt.2022.948115,pilot-01164e75b3bc3e8b,disorder:10.3389/fpsyt.2022.948115,relevant,primary_evidence,1,0,found,0,2,0
5,ok,disorder,10.53941/cna.2025.100006,pilot-011475f2108cf775,disorder:10.53941/cna.2025.100006,relevant,secondary_literature,0,17,found,0,18,0
6,ok,mechanistic,10.1089/psymed.2023.0023,pilot-01de6a8b18b8a296,mechanistic:10.1089/psymed.2023.0023,relevant,secondary_literature,0,2,found,0,3,0
7,ok,mechanistic,10.1254/fpj.97.4_209,pilot-01906525e930b85b,mechanistic:10.1254/fpj.97.4_209,relevant,primary_evidence,5,0,found,0,6,0
8,ok,mechanistic,10.21203/rs.3.rs-1321542/v1,pilot-017977a5a0046f81,mechanistic:10.21203/rs.3.rs-1321542/v1,relevant,primary_evidence,5,0,found,0,6,0
9,ok,mechanistic,10.2967/jnumed.122.264391,pilot-017164b6c1bc7340,mechanistic:10.2967/jnumed.122.264391,relevant,primary_evidence,4,0,found,0,5,0
10,ok,mechanistic,10.3390/ph17060669,pilot-0170a781205ea184,mechanistic:10.3390/ph17060669,relevant,primary_evidence,5,0,found,0,6,0
11,ok,disorder,10.1001/jamanetworkopen.2025.7803,pilot-0888311f52b87aad,disorder:10.1001/jamanetworkopen.2025.7803,relevant,primary_evidence,7,0,found,0,8,0
12,ok,disorder,10.1038/s41398-024-03059-8,pilot-081a7de8db842ebc,disorder:10.1038/s41398-024-03059-8,relevant,primary_evidence,1,0,found,0,2,0
13,ok,disorder,10.1038/s41598-022-11999-8,pilot-0878a96ccad67668,disorder:10.1038/s41598-022-11999-8,relevant,primary_evidence,4,0,found,0,5,0
14,ok,disorder,10.1192/bjp.bp.116.194738,pilot-0782791068992702,disorder:10.1192/bjp.bp.116.194738,relevant,secondary_literature,0,4,found,0,5,0
15,ok,disorder,10.20944/preprints202407.2400.v1,pilot-0801a3409a4244ac,disorder:10.20944/preprints202407.2400.v1,relevant,secondary_literature,0,7,found,0,8,0
16,ok,mechanistic,10.1007/s00213-006-0320-8,pilot-054dcf1d681924b9,mechanistic:10.1007/s00213-006-0320-8,relevant,human_review,0,5,found,0,6,0
17,ok,mechanistic,10.1016/j.isci.2024.109631,pilot-041c23e4d7c1a5c2,mechanistic:10.1016/j.isci.2024.109631,relevant,secondary_literature,0,5,found,0,6,0
18,ok,mechanistic,10.1038/s41398-023-02690-1,pilot-0684d35f91c31f98,mechanistic:10.1038/s41398-023-02690-1,relevant,primary_evidence,3,0,found,0,4,0
19,ok,mechanistic,10.1093/schbul/sbaf068,pilot-06d4d96b82eb3796,mechanistic:10.1093/schbul/sbaf068,relevant,secondary_literature,0,16,found,0,17,0
20,ok,mechanistic,10.48550/arxiv.2411.19840,pilot-03e014510389279b,mechanistic:10.48550/arxiv.2411.19840,relevant,secondary_literature,0,7,found,0,8,0
21,ok,disorder,10.1007/978-3-540-74806-9_15,pilot-00cd95178344d3f3,,relevant,secondary_literature,0,16,found,0,17,0
22,ok,disorder,10.1016/j.jpsychires.2025.11.030,pilot-00bbd8b6490e6e85,pilot-00bbd8b6490e6e85,relevant,primary_evidence,6,0,found,0,7,0
23,ok,disorder,10.1016/j.psychres.2018.08.078,pilot-00e445aca3cefec6,,relevant,primary_evidence,1,0,found,0,2,0
24,ok,disorder,10.1016/s0885-3924(01)00253-6,pilot-008b0d0d4eb3b9a4,,relevant,primary_evidence,1,0,found,0,2,0
25,ok,disorder,10.1097/hrp.0000000000000198,pilot-00e5d8496d0f8d96,,relevant,secondary_literature,0,5,found,0,6,0
26,ok,mechanistic,10.1016/0304-3940(88)90658-1,pilot-0094c3f987c3e187,,relevant,primary_evidence,6,0,found,0,7,0
27,ok,mechanistic,10.1016/j.tiv.2018.11.006,pilot-00d240fd48d0cafa,,relevant,primary_evidence,3,0,found,0,4,0
28,ok,mechanistic,10.1016/s0006-8993(02)02291-6,pilot-007a06662eea63b5,,relevant,primary_evidence,3,0,found,0,4,0
29,ok,mechanistic,10.1126/scitranslmed.aaf7151,pilot-009514af3ed3a415,,relevant,primary_evidence,3,0,found,0,4,0
30,ok,mechanistic,10.1177/0269881119844185,pilot-00a1616e29ce5c7b,,relevant,primary_evidence,7,0,found,0,8,0
31,ok,disorder,10.1016/j.autrev.2018.10.003,pilot-0afc92bc733aeb25,,relevant,secondary_literature,0,2,found,0,3,0
32,ok,disorder,10.1080/02604027.2024.2330255,pilot-06b824ade0d7f928,pilot-06b824ade0d7f928,relevant,secondary_literature,0,1,found,0,2,0
33,ok,disorder,10.1080/02791072.2024.2420044,pilot-068cf12698237615,,relevant,human_review,0,0,found,0,1,0
34,ok,disorder,10.1089/psymed.2024.0015,pilot-07b1bdbcc1eefffd,,relevant,context_only,0,2,found,0,3,0
35,ok,disorder,10.1136/bmj.o74,pilot-05b3a70996fc9e2a,,relevant,human_review,0,0,found,0,1,0
36,ok,mechanistic,10.1007/s00213-015-4142-4,pilot-07bb9934a667e409,,relevant,human_review,0,0,found,0,1,0
37,ok,mechanistic,10.1016/j.neulet.2024.138026,pilot-08d4d4d53d859e23,,relevant,primary_evidence,2,0,found,0,3,0
