row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1007/s00213-019-05236-w,pilot-008b256ad0cf1855,disorder:10.1007/s00213-019-05236-w,relevant,primary_evidence,6,0,found,0,7,0
2,ok,disorder,10.1192/j.eurpsy.2025.1046,pilot-00659cf85d2a1d78,disorder:10.1192/j.eurpsy.2025.1046,relevant,primary_evidence,4,0,found,0,5,0
3,ok,disorder,10.12775/qs.2026.54.69942,pilot-00aca6ef67f08ac0,disorder:10.12775/qs.2026.54.69942,relevant,secondary_literature,0,6,found,0,7,0
4,ok,disorder,10.3389/fphar.2021.659644,pilot-002c5e8fbd304697,disorder:10.3389/fphar.2021.659644,relevant,context_only,0,1,found,0,2,0
5,ok,disorder,10.3389/fpsyt.2022.948115,pilot-01164e75b3bc3e8b,disorder:10.3389/fpsyt.2022.948115,relevant,primary_evidence,1,0,found,0,2,0
6,ok,disorder,10.53941/cna.2025.100006,pilot-011475f2108cf775,disorder:10.53941/cna.2025.100006,relevant,secondary_literature,0,4,found,0,5,0
7,ok,disorder,10.59324/ejahss.2024.1(3).10,pilot-000d5083c693c53b,disorder:10.59324/ejahss.2024.1(3).10,relevant,secondary_literature,0,23,found,0,24,0
8,ok,mechanistic,10.1254/fpj.97.4_209,pilot-01906525e930b85b,mechanistic:10.1254/fpj.97.4_209,relevant,primary_evidence,1,0,found,0,2,0
9,ok,mechanistic,10.21203/rs.3.rs-1321542/v1,pilot-017977a5a0046f81,mechanistic:10.21203/rs.3.rs-1321542/v1,relevant,primary_evidence,6,0,found,0,7,0
10,ok,mechanistic,10.21203/rs.3.rs-2667175/v1,pilot-01425de63d1b6929,mechanistic:10.21203/rs.3.rs-2667175/v1,relevant,primary_evidence,8,0,found,0,9,0
11,ok,mechanistic,10.2967/jnumed.122.264391,pilot-017164b6c1bc7340,mechanistic:10.2967/jnumed.122.264391,relevant,primary_evidence,2,0,found,0,3,0
12,ok,mechanistic,10.3389/fnagi.2025.1505908,pilot-01213753d31b9bf3,mechanistic:10.3389/fnagi.2025.1505908,relevant,context_only,0,4,found,0,5,0
13,ok,mechanistic,10.3389/fphar.2021.794254,pilot-0088c7841c8e16a1,mechanistic:10.3389/fphar.2021.794254,relevant,primary_evidence,6,0,found,0,7,0
14,ok,mechanistic,10.3390/ph17060669,pilot-0170a781205ea184,mechanistic:10.3390/ph17060669,relevant,primary_evidence,6,0,found,0,7,0
15,ok,disorder,10.1016/j.phrs.2024.107338,pilot-00ac3901bfcfab43,disorder:10.1016/j.phrs.2024.107338,relevant,secondary_literature,0,5,found,0,6,0
16,ok,disorder,10.1038/s41398-024-03059-8,pilot-081a7de8db842ebc,disorder:10.1038/s41398-024-03059-8,relevant,primary_evidence,2,0,found,0,3,0
17,ok,disorder,10.1038/s41598-022-11999-8,pilot-0878a96ccad67668,disorder:10.1038/s41598-022-11999-8,relevant,primary_evidence,2,0,found,0,3,0
18,ok,disorder,10.1089/psymed.2023.0061,pilot-0423400fb625a0c9,disorder:10.1089/psymed.2023.0061,relevant,context_only,0,4,found,0,5,0
19,ok,disorder,10.1192/bjp.bp.116.194738,pilot-0782791068992702,disorder:10.1192/bjp.bp.116.194738,relevant,context_only,0,4,found,0,5,0
20,ok,disorder,10.12927/hcpol.2023.27048,pilot-00ba2c0c8dae1e23,disorder:10.12927/hcpol.2023.27048,relevant,context_only,0,17,found,0,18,0
21,ok,disorder,10.20944/preprints202407.2400.v1,pilot-0801a3409a4244ac,disorder:10.20944/preprints202407.2400.v1,relevant,secondary_literature,0,1,found,0,2,0
22,ok,mechanistic,10.1007/s00213-006-0320-8,pilot-054dcf1d681924b9,mechanistic:10.1007/s00213-006-0320-8,relevant,primary_evidence,8,0,found,0,9,0
23,ok,mechanistic,10.1016/j.isci.2024.109631,pilot-041c23e4d7c1a5c2,mechanistic:10.1016/j.isci.2024.109631,relevant,secondary_literature,0,1,found,0,2,0
24,ok,mechanistic,10.1038/s41386-023-01725-x,pilot-039892b81aaf45e8,mechanistic:10.1038/s41386-023-01725-x,relevant,secondary_literature,0,10,found,0,11,0
25,ok,mechanistic,10.1038/s41398-023-02690-1,pilot-0684d35f91c31f98,mechanistic:10.1038/s41398-023-02690-1,relevant,context_only,0,2,found,0,3,0
26,ok,mechanistic,10.1177/2470547018796102,pilot-03b51893d8731b8c,mechanistic:10.1177/2470547018796102,relevant,context_only,0,3,found,0,4,0
27,ok,mechanistic,10.2174/157015911795017209,pilot-036e8acdf0f0fd4a,mechanistic:10.2174/157015911795017209,relevant,human_review,0,0,found,0,1,0
28,ok,mechanistic,10.48550/arxiv.2411.19840,pilot-03e014510389279b,mechanistic:10.48550/arxiv.2411.19840,relevant,secondary_literature,0,6,found,0,7,0
29,ok,disorder,10.1007/978-3-540-74806-9_15,pilot-00cd95178344d3f3,pilot-00cd95178344d3f3,relevant,secondary_literature,0,9,found,0,10,0
30,ok,disorder,10.1007/s004820050098,pilot-0027a3b495c8d0bb,pilot-0027a3b495c8d0bb,relevant,secondary_literature,0,5,found,0,6,0
31,ok,disorder,10.1016/j.jpsychires.2025.11.030,pilot-00bbd8b6490e6e85,,relevant,primary_evidence,6,0,found,0,7,0
32,ok,disorder,10.1016/j.psychres.2018.08.078,pilot-00e445aca3cefec6,pilot-00e445aca3cefec6,relevant,primary_evidence,2,0,found,0,3,0
33,ok,disorder,10.1016/s0885-3924(01)00253-6,pilot-008b0d0d4eb3b9a4,,relevant,primary_evidence,1,0,found,0,2,0
34,ok,disorder,10.1017/s1461145713001119,pilot-007b5bd742c6c42d,,relevant,primary_evidence,3,0,found,0,4,0
35,ok,disorder,10.1556/2054.2022.00222,pilot-00515b13cd7eea19,pilot-00515b13cd7eea19,relevant,human_review,0,0,found,0,1,0
36,ok,mechanistic,10.1016/0304-3940(88)90658-1,pilot-0094c3f987c3e187,pilot-0094c3f987c3e187,relevant,primary_evidence,6,0,found,0,7,0
37,ok,mechanistic,10.1016/j.ejphar.2017.03.043,pilot-0029d9b408f903d1,pilot-0029d9b408f903d1,relevant,primary_evidence,1,0,found,0,2,0
38,ok,mechanistic,10.1016/s0006-8993(02)02291-6,pilot-007a06662eea63b5,pilot-007a06662eea63b5,relevant,primary_evidence,4,0,found,0,5,0
39,ok,mechanistic,10.1021/acs.jmedchem.5c00442,pilot-0064e17599198de5,pilot-0064e17599198de5,relevant,primary_evidence,2,0,found,0,3,0
40,ok,mechanistic,10.1097/01.ju.0001008772.30001.48.03,pilot-00397f45cfd9bbaa,pilot-00397f45cfd9bbaa,relevant,primary_evidence,2,0,found,0,3,0
41,ok,mechanistic,10.1126/scitranslmed.aaf7151,pilot-009514af3ed3a415,pilot-009514af3ed3a415,relevant,primary_evidence,3,0,found,0,4,0
42,ok,mechanistic,10.1177/0269881119844185,pilot-00a1616e29ce5c7b,,relevant,primary_evidence,8,0,found,0,9,0
43,ok,disorder,10.1016/j.copsyc.2025.102129,pilot-04f63f5964bb9007,pilot-04f63f5964bb9007,relevant,secondary_literature,0,3,found,0,4,0
44,ok,disorder,10.1080/02604027.2024.2330255,pilot-06b824ade0d7f928,pilot-06b824ade0d7f928,relevant,secondary_literature,0,3,found,0,4,0
45,ok,disorder,10.1080/02791072.2024.2420044,pilot-068cf12698237615,pilot-068cf12698237615,relevant,context_only,0,1,found,0,2,0
46,ok,disorder,10.1089/psymed.2024.0015,pilot-07b1bdbcc1eefffd,pilot-07b1bdbcc1eefffd,relevant,context_only,0,1,found,0,2,0
47,ok,disorder,10.1093/bioinformatics/btm266,pilot-04c068b02eeca2c0,pilot-04c068b02eeca2c0,uncertain,human_review,0,0,found,0,1,0
48,ok,disorder,10.1101/2023.09.21.558828,pilot-04d2a11baea8af1c,pilot-04d2a11baea8af1c,relevant,context_only,0,1,found,0,2,0
49,ok,disorder,10.1136/bmj.o74,pilot-05b3a70996fc9e2a,pilot-05b3a70996fc9e2a,not_relevant,exclude,0,0,found,0,1,0
50,ok,mechanistic,10.1007/s00213-015-4142-4,pilot-07bb9934a667e409,pilot-07bb9934a667e409,relevant,context_only,0,5,found,0,6,0
51,ok,disorder,10.1093/ijnp/pyae059.125,pilot-03e8d0d6084b377a,disorder:10.1093/ijnp/pyae059.125,relevant,primary_evidence,3,0,found,0,4,0
52,ok,disorder,10.1186/s13722-024-00517-y,pilot-036631d8bf442c2c,disorder:10.1186/s13722-024-00517-y,relevant,context_only,0,4,found,0,5,0
53,ok,disorder,10.12688/f1000research.121529.1,pilot-033bbd7b62378ffc,disorder:10.12688/f1000research.121529.1,relevant,context_only,0,2,found,0,3,0
54,ok,disorder,10.21037/jtd.2019.08.62,pilot-036ad067152d8f55,disorder:10.21037/jtd.2019.08.62,relevant,secondary_literature,0,1,found,0,2,0
55,ok,disorder,10.31275/20222633,pilot-034eb26599503257,disorder:10.31275/20222633,relevant,secondary_literature,0,7,found,0,8,0
