row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1001/jamanetworkopen.2023.52844,pilot-042ac41ce2bfe746,disorder:10.1001/jamanetworkopen.2023.52844,relevant,primary_evidence,2,0,found,0,3,0
2,ok,disorder,10.1038/npp.2014.80,pilot-0432cbe751eae8fc,disorder:10.1038/npp.2014.80,relevant,primary_evidence,3,0,found,0,4,0
3,ok,disorder,10.1038/s41598-022-18645-3,pilot-0438a31a4437a42b,disorder:10.1038/s41598-022-18645-3,relevant,primary_evidence,10,0,found,0,11,0
4,ok,disorder,10.1080/02791072.2025.2520224,pilot-04ebd63efe43a006,disorder:10.1080/02791072.2025.2520224,relevant,primary_evidence,7,0,found,0,8,0
5,ok,disorder,10.1093/ijnp/pyae059.161,pilot-04458b7757d7be6b,disorder:10.1093/ijnp/pyae059.161,relevant,primary_evidence,4,0,found,0,5,0
6,ok,disorder,10.1101/2023.01.11.23284248,pilot-03f765dea885d9e1,disorder:10.1101/2023.01.11.23284248,relevant,primary_evidence,3,0,found,0,4,0
7,ok,disorder,10.1136/bcr-2016-216088,pilot-04cd032d2392a6b9,disorder:10.1136/bcr-2016-216088,relevant,primary_evidence,4,0,found,0,5,0
8,ok,disorder,10.1155/2015/842817,pilot-04a475a9dc9f4be0,disorder:10.1155/2015/842817,relevant,secondary_literature,0,2,found,0,3,0
9,ok,disorder,10.20471/dec.2025.61.03.09,pilot-0449cb8031608e0c,disorder:10.20471/dec.2025.61.03.09,relevant,primary_evidence,2,0,found,0,3,0
10,ok,disorder,10.2147/dddt.s565937,pilot-04e06a3e6416594c,disorder:10.2147/dddt.s565937,relevant,primary_evidence,6,0,found,0,7,0
11,ok,disorder,10.3174/ajnr.a8118,pilot-0503d8f4a0e87c65,disorder:10.3174/ajnr.a8118,relevant,secondary_literature,0,5,found,0,6,0
12,ok,disorder,10.3389/fpsyt.2023.1138772,pilot-048f6f60226c95b5,disorder:10.3389/fpsyt.2023.1138772,relevant,primary_evidence,2,0,found,0,3,0
13,ok,disorder,10.55563/clinexprheumatol/buhd2z,pilot-04c9aca97c7edce5,disorder:10.55563/clinexprheumatol/buhd2z,relevant,secondary_literature,0,1,found,0,2,0
14,ok,mechanistic,10.1007/s43440-023-00550-9,pilot-06b449c91270eb18,mechanistic:10.1007/s43440-023-00550-9,relevant,secondary_literature,0,5,found,0,6,0
15,ok,mechanistic,10.1021/acschemneuro.3c00267,pilot-07ee0bac42986524,mechanistic:10.1021/acschemneuro.3c00267,relevant,primary_evidence,5,0,found,0,6,0
16,ok,mechanistic,10.1021/acschemneuro.9b00044,pilot-06386d668f2b8c67,mechanistic:10.1021/acschemneuro.9b00044,relevant,secondary_literature,0,7,found,0,8,0
17,ok,mechanistic,10.1038/s41380-021-01159-1,pilot-06fd12899ebb2669,mechanistic:10.1038/s41380-021-01159-1,relevant,human_review,0,5,found,0,6,0
18,ok,mechanistic,10.1038/s41398-018-0321-5,pilot-0744dda17541b700,mechanistic:10.1038/s41398-018-0321-5,relevant,primary_evidence,1,0,found,0,2,0
19,ok,mechanistic,10.1038/s41467-023-44016-1,pilot-06f940d5d3b51ed0,mechanistic:10.1038/s41467-023-44016-1,relevant,primary_evidence,5,0,found,0,6,0
20,ok,mechanistic,10.1093/ijnp/pyv065,pilot-07d5c6a5af8901a3,mechanistic:10.1093/ijnp/pyv065,relevant,primary_evidence,1,0,found,0,2,0
21,ok,mechanistic,10.1111/j.1476-5381.1994.tb16176.x,pilot-07d8a68e2e2d1c9c,mechanistic:10.1111/j.1476-5381.1994.tb16176.x,relevant,primary_evidence,6,0,found,0,7,0
22,ok,mechanistic,10.1186/s12974-020-01843-z,pilot-06e2379787bb1ad6,mechanistic:10.1186/s12974-020-01843-z,relevant,primary_evidence,6,0,found,0,7,0
23,ok,mechanistic,10.12688/f1000research.8384.1,pilot-06d401ec21cb18bf,mechanistic:10.12688/f1000research.8384.1,relevant,context_only,0,5,found,0,6,0
24,ok,mechanistic,10.1371/journal.pone.0006755,pilot-0723d023bf82be51,mechanistic:10.1371/journal.pone.0006755,relevant,primary_evidence,2,0,found,0,3,0
25,ok,mechanistic,10.55674/cs.v18i1.264689,pilot-07533fdaffe0c3b3,mechanistic:10.55674/cs.v18i1.264689,relevant,secondary_literature,0,8,found,0,9,0
26,ok,mechanistic,10.55782/ane-2012-1894,pilot-06320f87516afbe6,mechanistic:10.55782/ane-2012-1894,relevant,context_only,0,3,found,0,4,0
27,ok,disorder,10.1007/s11013-022-09814-0,pilot-32528fab01b33cbb,disorder:10.1007/s11013-022-09814-0,relevant,secondary_literature,0,4,found,0,5,0
28,ok,disorder,10.1016/j.neubiorev.2024.105538,pilot-306416f4cfba7006,disorder:10.1016/j.neubiorev.2024.105538,relevant,secondary_literature,0,4,found,0,5,0
29,ok,disorder,10.1017/s1092852924002451,pilot-2ee73cf7eabb3f73,disorder:10.1017/s1092852924002451,relevant,primary_evidence,5,0,found,0,6,0
30,ok,disorder,10.1101/2024.02.04.578811,pilot-33e71dbd02ce07c5,disorder:10.1101/2024.02.04.578811,relevant,primary_evidence,1,0,found,0,2,0
31,ok,disorder,10.1177/0271678x20938137,pilot-36051d8c4f68d124,disorder:10.1177/0271678x20938137,relevant,primary_evidence,5,0,found,0,6,0
32,ok,disorder,10.18192/uojm.v15i2.7456,pilot-30b705f0387f91fd,disorder:10.18192/uojm.v15i2.7456,relevant,secondary_literature,0,4,found,0,5,0
