row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,ok,disorder,10.1093/ijnp/pyae059.125,pilot-03e8d0d6084b377a,disorder:10.1093/ijnp/pyae059.125,relevant,primary_evidence,3,0,found,0,4,0
2,ok,disorder,10.1186/s13722-024-00517-y,pilot-036631d8bf442c2c,disorder:10.1186/s13722-024-00517-y,relevant,context_only,0,4,found,0,5,0
3,ok,disorder,10.12688/f1000research.121529.1,pilot-033bbd7b62378ffc,disorder:10.12688/f1000research.121529.1,relevant,context_only,0,2,found,0,3,0
4,ok,disorder,10.21037/jtd.2019.08.62,pilot-036ad067152d8f55,disorder:10.21037/jtd.2019.08.62,relevant,secondary_literature,0,1,found,0,2,0
5,ok,disorder,10.31275/20222633,pilot-034eb26599503257,disorder:10.31275/20222633,relevant,secondary_literature,0,7,found,0,8,0
6,ok,disorder,10.3389/fpsyt.2023.1287196,pilot-03b46e3b32e5782f,disorder:10.3389/fpsyt.2023.1287196,relevant,primary_evidence,6,0,found,0,7,0
7,ok,disorder,10.3390/brainsci14030248,pilot-0357aff17006693a,disorder:10.3390/brainsci14030248,relevant,secondary_literature,0,5,found,0,6,0
8,ok,mechanistic,10.1002/brb3.1423,pilot-051bc57e3d781c0f,mechanistic:10.1002/brb3.1423,relevant,context_only,0,1,found,0,2,0
9,ok,mechanistic,10.1007/s00213-005-0174-5,pilot-05808e39520ac5d2,mechanistic:10.1007/s00213-005-0174-5,relevant,primary_evidence,9,0,found,0,10,0
10,ok,mechanistic,10.1016/j.heliyon.2021.e07784,pilot-05f5d81da28a9c98,mechanistic:10.1016/j.heliyon.2021.e07784,relevant,primary_evidence,14,0,found,0,15,0
11,ok,mechanistic,10.1124/jpet.123.001837,pilot-05ddf078a7ec6ade,mechanistic:10.1124/jpet.123.001837,relevant,primary_evidence,30,0,found,0,31,0
12,ok,mechanistic,10.1590/1516-4446-2020-1685,pilot-059e529179d700ff,mechanistic:10.1590/1516-4446-2020-1685,relevant,secondary_literature,0,3,found,0,4,0
13,ok,mechanistic,10.3389/fnins.2016.00423,pilot-060643facb90686b,mechanistic:10.3389/fnins.2016.00423,relevant,primary_evidence,1,0,found,0,2,0
14,ok,mechanistic,10.3389/fphar.2023.1239159,pilot-05b0c1f6053ef47a,mechanistic:10.3389/fphar.2023.1239159,relevant,secondary_literature,0,10,found,0,11,0
15,ok,disorder,10.1007/s00213-016-4377-8,pilot-2b4c0cff0b1b2481,disorder:10.1007/s00213-016-4377-8,relevant,context_only,0,2,found,0,3,0
