row_index,status,dataset,study_doi,input_record_id,input_packet_id,relevance,route,claim_count,coverage_mention_count,context_status,schema_error_count,quote_check_count,quote_failure_count
1,quote_error,disorder,10.1001/jamapsychiatry.2017.3572,pilot-01501e5d8f7c16e6,disorder:10.1001/jamapsychiatry.2017.3572,relevant,primary_evidence,1,0,found,0,2,1
2,ok,disorder,10.1038/s41591-021-01336-3,pilot-02a1295ccec6db6a,disorder:10.1038/s41591-021-01336-3,relevant,human_review,0,0,found,0,1,0
3,ok,disorder,10.1080/14656566.2024.2424316,pilot-01fb997c38b5f737,disorder:10.1080/14656566.2024.2424316,relevant,secondary_literature,0,8,found,0,9,0
4,quote_error,disorder,10.1093/ijnp/pyae059.567,pilot-01c6fb5aa3ceb01f,disorder:10.1093/ijnp/pyae059.567,relevant,primary_evidence,3,0,found,0,4,1
5,ok,disorder,10.1097/md.0000000000038821,pilot-0305aabad895640e,disorder:10.1097/md.0000000000038821,relevant,secondary_literature,0,3,found,0,4,0
6,ok,disorder,10.1186/s12873-016-0107-0,pilot-01cd7421d73ea0de,disorder:10.1186/s12873-016-0107-0,relevant,primary_evidence,4,0,found,0,5,0
7,ok,disorder,10.1186/s12888-024-05525-5,pilot-029d60568c981a62,disorder:10.1186/s12888-024-05525-5,relevant,primary_evidence,6,0,found,0,7,0
8,ok,disorder,10.1192/bjo.2025.10830,pilot-020d993001906228,disorder:10.1192/bjo.2025.10830,relevant,secondary_literature,0,1,found,0,2,0
9,quote_error,disorder,10.1192/j.eurpsy.2022.1431,pilot-022634c5d9b6257b,disorder:10.1192/j.eurpsy.2022.1431,relevant,human_review,0,0,found,0,1,1
10,ok,disorder,10.1192/j.eurpsy.2024.875,pilot-0165d347cc8127fa,disorder:10.1192/j.eurpsy.2024.875,relevant,context_only,0,1,found,0,2,0
11,ok,disorder,10.1192/j.eurpsy.2025.684,pilot-0204daf495619c30,disorder:10.1192/j.eurpsy.2025.684,relevant,primary_evidence,3,0,found,0,4,0
12,ok,disorder,10.15386/cjmed-500,pilot-02aa7833e338f324,disorder:10.15386/cjmed-500,relevant,secondary_literature,0,3,found,0,4,0
13,ok,disorder,10.2147/ndt.s282208,pilot-0185f38f004657b8,disorder:10.2147/ndt.s282208,relevant,secondary_literature,0,8,found,0,9,0
14,ok,disorder,10.3389/fpsyt.2021.702838,pilot-02b00643103d6111,disorder:10.3389/fpsyt.2021.702838,relevant,human_review,0,0,found,0,1,0
15,ok,disorder,10.3389/fpsyt.2021.706017,pilot-02a30a797b4e1463,disorder:10.3389/fpsyt.2021.706017,relevant,secondary_literature,0,6,found,0,7,0
16,ok,disorder,10.3389/frcha.2024.1364617,pilot-0267a99e233c837a,disorder:10.3389/frcha.2024.1364617,relevant,primary_evidence,3,0,found,0,4,0
17,ok,disorder,10.3390/healthcare12161560,pilot-0254d00e92270a86,disorder:10.3390/healthcare12161560,relevant,secondary_literature,0,3,found,0,4,0
18,ok,disorder,10.3390/neurosci6030083,pilot-01d87827f7888107,disorder:10.3390/neurosci6030083,relevant,secondary_literature,0,9,found,0,10,0
19,ok,disorder,10.3390/ph16040568,pilot-032e533c843d3a0f,disorder:10.3390/ph16040568,relevant,secondary_literature,0,5,found,0,6,0
20,ok,disorder,10.7759/cureus.44909,pilot-020de72df8a8ca8c,disorder:10.7759/cureus.44909,relevant,primary_evidence,4,0,found,0,5,0
21,ok,mechanistic,10.1007/s00213-006-0576-z,pilot-04f493ffa1f6ea2d,mechanistic:10.1007/s00213-006-0576-z,relevant,primary_evidence,2,0,found,0,3,0
22,quote_error,mechanistic,10.1007/s00228-017-2392-2,pilot-05161f6206cf0c97,mechanistic:10.1007/s00228-017-2392-2,relevant,primary_evidence,1,0,found,0,2,2
23,ok,mechanistic,10.1016/j.bpj.2022.01.024,pilot-04dea2d9591d27e5,mechanistic:10.1016/j.bpj.2022.01.024,relevant,primary_evidence,4,0,found,0,5,0
24,ok,mechanistic,10.1016/j.neures.2022.12.015,pilot-03b8e8c35682d2db,mechanistic:10.1016/j.neures.2022.12.015,relevant,secondary_literature,0,4,found,0,5,0
25,ok,mechanistic,10.1038/tp.2016.51,pilot-024391aa441f13b4,mechanistic:10.1038/tp.2016.51,relevant,primary_evidence,3,0,found,0,4,0
26,ok,mechanistic,10.1038/tp.2016.71,pilot-0334181359ad548d,mechanistic:10.1038/tp.2016.71,relevant,secondary_literature,0,10,found,0,11,0
27,ok,mechanistic,10.1093/ijnp/pyaf052.363,pilot-050b8edd82bd0ea4,mechanistic:10.1093/ijnp/pyaf052.363,relevant,primary_evidence,5,0,found,0,6,0
28,ok,mechanistic,10.1111/bph.17420,pilot-04dc85c0c738a5c9,mechanistic:10.1111/bph.17420,relevant,secondary_literature,0,6,found,0,7,0
29,ok,mechanistic,10.1177/1536012118788636,pilot-026796778bcab505,mechanistic:10.1177/1536012118788636,relevant,primary_evidence,1,0,found,0,2,0
30,ok,mechanistic,10.1192/bjp.2024.143,pilot-023aed444c948219,mechanistic:10.1192/bjp.2024.143,relevant,primary_evidence,1,0,found,0,2,0
31,ok,mechanistic,10.1523/jneurosci.22-01-j0003.2002,pilot-01f5a396639366d8,mechanistic:10.1523/jneurosci.22-01-j0003.2002,relevant,primary_evidence,3,0,found,0,4,0
32,ok,mechanistic,10.1523/jneurosci.23-26-08836.2003,pilot-02c7462840418be1,mechanistic:10.1523/jneurosci.23-26-08836.2003,relevant,human_review,0,0,found,0,1,0
33,ok,mechanistic,10.31083/j.jin2105148,pilot-026a8314628c0da3,mechanistic:10.31083/j.jin2105148,relevant,secondary_literature,0,4,found,0,5,0
34,ok,mechanistic,10.3389/fnhum.2016.00612,pilot-0324a39a31dbe3cf,mechanistic:10.3389/fnhum.2016.00612,relevant,secondary_literature,0,12,found,0,13,0
35,ok,mechanistic,10.3389/fnins.2021.698633,pilot-0263cc2a005d11fd,mechanistic:10.3389/fnins.2021.698633,relevant,primary_evidence,5,0,found,0,6,0
36,ok,mechanistic,10.3389/fphar.2018.00374,pilot-04baf846c01a20e8,mechanistic:10.3389/fphar.2018.00374,relevant,primary_evidence,3,0,found,0,4,0
37,ok,mechanistic,10.3389/fphar.2021.749068,pilot-026bdd7356b31deb,mechanistic:10.3389/fphar.2021.749068,relevant,secondary_literature,0,4,found,0,5,0
38,ok,mechanistic,10.3390/ijms21207581,pilot-024d319511b72cf4,mechanistic:10.3390/ijms21207581,relevant,primary_evidence,4,0,found,0,5,0
39,ok,mechanistic,10.3892/ol.2017.6806,pilot-02900ba25fd1fc66,mechanistic:10.3892/ol.2017.6806,relevant,primary_evidence,2,0,found,0,3,0
40,ok,mechanistic,10.48091/gsr.v3i2.62,pilot-0351d558081d660d,mechanistic:10.48091/gsr.v3i2.62,relevant,secondary_literature,0,5,found,0,6,0
41,ok,disorder,10.1007/s40122-017-0090-5,pilot-21ca095b59c60a37,disorder:10.1007/s40122-017-0090-5,relevant,secondary_literature,0,5,found,0,6,0
42,ok,disorder,10.1007/s42399-020-00275-3,pilot-1839f8116a67ae2d,disorder:10.1007/s42399-020-00275-3,relevant,primary_evidence,4,0,found,0,5,0
43,ok,disorder,10.1016/j.curtheres.2021.100627,pilot-2309cca05ca6d88f,disorder:10.1016/j.curtheres.2021.100627,relevant,primary_evidence,7,0,found,0,8,0
44,ok,disorder,10.1021/acsptsci.4c00133,pilot-0ec18c580c7094f2,disorder:10.1021/acsptsci.4c00133,relevant,primary_evidence,1,0,found,0,2,0
45,ok,disorder,10.1080/07853890.2025.2604409,pilot-2232e922e91275ef,disorder:10.1080/07853890.2025.2604409,relevant,secondary_literature,0,5,found,0,6,0
46,ok,disorder,10.1111/crj.70108,pilot-23feacaa50a20e48,disorder:10.1111/crj.70108,relevant,primary_evidence,4,0,found,0,5,0
47,ok,disorder,10.1177/2045125320967197,pilot-23267f6e52d941fb,disorder:10.1177/2045125320967197,relevant,secondary_literature,0,13,found,0,14,0
48,ok,disorder,10.1192/bjo.2021.697,pilot-1e5e35e9a5943ad0,disorder:10.1192/bjo.2021.697,relevant,secondary_literature,0,1,found,0,2,0
49,ok,disorder,10.1371/journal.pone.0306381,pilot-0bf77914496e100a,disorder:10.1371/journal.pone.0306381,relevant,context_only,0,3,found,0,4,0
50,quote_error,disorder,10.1556/2054.2021.00157,pilot-1154da1b551a1e7b,disorder:10.1556/2054.2021.00157,relevant,primary_evidence,4,0,found,0,5,1
