normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,language,trial_registry_ids,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,keywords,funders,grant_ids,related_dois,publication_relations,semantic_scholar_id
normalized,compound and graph entity matched local registry,Lisuride,5-HT1A receptor,,Lisuride,5-HT1A,,,,,5-HT1A receptors,molecular_target,5-HT1A receptor,target,True,10.1254/fpj.97.4_209,Anxiolytic effects of lisuride and its agonistic action to central 5-HT1A receptors.,compound_target,not_applicable,not_reported,Agonist,Radioligand binding assay,Binding,Agonist,Ki,0.5,nM,not_applicable,rat,hippocampal membrane fractions,in_vitro,Tetsuo AKAI; Masaya TAKAHASHI; Yukie NAKADA; Reiko OHNISHI; Yukihiro IKOMA; Motonori YAMAGUCHI,1991,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Inhibitory effects of lisuride on bindings of [3H]8-OH-DPAT in the hippocampus was almost the same as that of 5-HT (Ki = 0.5 nM) and stronger than those of the 5-HT agonist 5-MeO-DMT (Ki = 2.1 nM)... These findings indicated that lisuride acts as a strong agonist on central 5-HT1A receptors,full_text_seen,abstract,abstract,in vitro binding assay,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Folia Pharmacologica Japonica,journal-article,1991-01-01,0015-5691,1347-8397,Japanese Pharmacological Society,"Animals | Anti-Anxiety Agents / pharmacology | Brain / drug effects | Electroencephalography / drug effects | In Vitro Techniques | Lisuride / pharmacology | Locomotion / drug effects | Male | Rabbits | Rats | Rats, Inbred Strains | Receptors, Serotonin / drug effects",jpn,not_reported,,,,,,,,,,,,,,,high,mechanistic,targets,label,target_variant,Lisuride,5-HT1A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR1A""}",5-HT1A,1.0,,,,,,
entity_unmapped,graph entity `Piccolo` did not match registry,Psilocybin,Piccolo,,Psilocybin,,,,,,presynaptic Piccolo protein expression,molecular_target,Piccolo,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,upregulation,"Immunocytochemistry, Synaptic puncta quantification (SynQuant)",,upregulation,,,,not_applicable,mouse,primary hippocampal neuronal cultures,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,Treatment with psilocybin signi cantly increased the number of presynaptic Piccolo (Fig. 2a ) ... puncta/µm at 1 (p = .000049) and 3 h (p = .000049) post-treatment.,full_text_seen,text,C010,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,Piccolo,needs_external_id_lookup,,{},{},,0.0,,,,,,
entity_unmapped,graph entity `Homer1` did not match registry,Psilocybin,Homer1,,Psilocybin,,,,,,postsynaptic Homer1 protein expression,molecular_target,Homer1,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,upregulation,"Immunocytochemistry, Synaptic puncta quantification (SynQuant)",,upregulation,,,,not_applicable,mouse,primary hippocampal neuronal cultures,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,and post-synaptic Homer1 (Fig. 2b ) puncta/µm at 1 (p = .0053) and 3 h (p = 0.014) post-treatment.,full_text_seen,text,C010,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,Homer1,needs_external_id_lookup,,{},{},,0.0,,,,,,
entity_unmapped,graph entity `Synapsin-1` did not match registry,Psilocybin,Synapsin-1,,Psilocybin,,,,,,presynaptic Synapsin-1 density,molecular_target,Synapsin-1,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,biphasic regulation,"Immunocytochemistry, Synaptic puncta quantification",,biphasic regulation,,,,not_applicable,mouse,primary hippocampal neuronal cultures,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Doing this, we observe gradual increases in Synapsin-1 density after only 15 minutes of psilocybin exposure. Similar to our prior experiment in Fig. 2 , this increase peaked at 3 h, with the density also dropping after the peak, albeit at an earlier timepoint, 4 h, (Fig. 3a ). However, at 72 h post-psilocybin treatment, a second signi cant increase in total number of Synapsin-1 puncta occurred.",full_text_seen,text,C011,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,Synapsin-1,needs_external_id_lookup,,{},{},,0.0,,,,,,
entity_unmapped,graph entity `TNF-α` did not match registry,Psilocybin,TNF-α,,Psilocybin,,,,,,tumor necrosis factor-alpha (TNF-α) secretion,molecular_target,TNF-α,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,reduction,ELISA,,reduction,Other,10^-5,M,not_applicable,mouse,immortalized microglia cell line (IMG) challenged with LPS,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"With increased doses of psilocybin against the LPS challenge, a trend in TNF-α decrease was observed at a dose of 10 -7 M with signi cant decreases observed at the 10 -5 M dose (p = 0.00035, Fig. 5b ).",full_text_seen,text,C013,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,TNF-α,needs_external_id_lookup,,{},{},,0.0,,,,,,
entity_unmapped,graph entity `Piccolo and Homer1` did not match registry,Psilocybin,Piccolo and Homer1,,Psilocybin,,,,,,colocalized Piccolo and Homer1 puncta,molecular_target,Piccolo and Homer1,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,decrease,"Immunocytochemistry, Synaptic puncta quantification (SynQuant)",,decrease,,,,not_applicable,mouse,primary cortical neuronal cultures,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The number of colocalized Piccolo and Homer1 puncta were decreased at both 1 h (p = .012) and 3 h (p = .0068) (Fig. 4c ).,full_text_seen,text,C012,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,Piccolo and Homer1,needs_external_id_lookup,,{},{},,0.0,,,,,,
entity_unmapped,graph entity `Piccolo` did not match registry,Psilocybin,Piccolo,,Psilocybin,,,,,,Piccolo positive puncta,molecular_target,Piccolo,target,True,10.21203/rs.3.rs-1321542/v1,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,compound_target,not_applicable,not_reported,decrease,"Immunocytochemistry, Synaptic puncta quantification (SynQuant)",,decrease,,,,not_applicable,mouse,primary cortical neuronal cultures,in_vitro,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,2022,preprint,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Surprisingly, the number of Piccolo positive puncta decreased signi cantly at 1 h (p = 0.00157) and 3 h (p = .000037) the duration of treatment (Fig. 4d ).",full_text_seen,text,C012,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Research Square,posted-content,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Psilocybin,Piccolo,needs_external_id_lookup,,{},{},,0.0,,,,,,
compound_unmapped,compound `Tryptamine` did not match registry,Tryptamine,RmNMT,,,,,,,,"RmNMT was able to fully N-methylate both tryptamine and serotonin yielding DMT and bufotenin, respectively",molecular_target,RmNMT,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,N-methylation,N-methyltransferase activity assay,enzyme activity,N-methylation,,,,not_applicable,Rhinella marina,recombinant RmNMT in E. coli,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The toad enzyme was able to fully N-methylate both tryptamine and serotonin yielding DMT and bufotenin, respectively",full_text_seen,text,C004,in vitro enzyme assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,,,Tryptamine,RmNMT,,,{},{},,0.0,,,,,,
compound_unmapped,compound `Serotonin` did not match registry,Serotonin,RmNMT,,,,,,,,"RmNMT was able to fully N-methylate both tryptamine and serotonin yielding DMT and bufotenin, respectively",molecular_target,RmNMT,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,N-methylation,N-methyltransferase activity assay,enzyme activity,N-methylation,,,,not_applicable,Rhinella marina,recombinant RmNMT in E. coli,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The toad enzyme was able to fully N-methylate both tryptamine and serotonin yielding DMT and bufotenin, respectively",full_text_seen,text,C004,in vitro enzyme assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,,,Serotonin,RmNMT,,,{},{},,0.0,,,,,,
normalized,compound and graph entity matched local registry,DMT,5-HT2A receptor,,DMT,5-HT2A,,,,,"DMT 1,513 ± 639",molecular_target,5-HT2A receptor,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,binding,radioligand competition binding,binding,binding,Ki,"1,513 ± 639",nM,not_applicable,human,membranes containing 5-HT2A,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"DMT 87 ± 15 1,513 ± 639",full_text_seen,table,T001,radioligand competition assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,target_variant,DMT,5-HT2A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,
