claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,ketamine,traumatic pain,mean pain score change,outcome_measure,out-of-hospital traumatic pain,traumatic pain,indication,True,not_applicable,efficacy,pain,positive,verbal rating scale pain scores,adults with out-of-hospital traumatic pain,clinical,10.1001/jamanetworkopen.2023.52844,,Ketamine Compared With Morphine for Out-of-Hospital Analgesia for Patients With Traumatic Pain,Clément Le Cornec; Marion Le Pottier; Hélène Broch; Alexandre Marguinaud Tixier; Emmanuel Rousseau; Said Laribi; Charles Janière; Vivien Brenckmann; Anne Guillerm; Florence Deciron,2024,JAMA Network Open,journal-article,NCT03236805,2024-01-29,2574-3805,2574-3805,American Medical Association (AMA),"Adult | Aged | Female | Humans | Male | Middle Aged | Acute Pain | Analgesia | Analgesics, Opioid / therapeutic use | Hospitals | Ketamine / therapeutic use | Morphine / therapeutic use | Single-Blind Method",,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,C001,"multicenter, single-blind, noninferiority randomized clinical trial",251,intravenous morphine sulfate,intravenous ketamine hydrochloride,"20 mg, followed by 10 mg every 5 minutes",intravenous,multiple doses,30 minutes later,,,,not_reported,"The mean pain score change was -3.7 (95% CI, -4.2 to -3.2) in the ketamine group compared with -3.8 (95% CI, -4.2 to -3.4) in the morphine group. The difference in mean pain score change was 0.1 (95% CI, -0.7 to 0.9) points. ... In the KETAMORPH study of patients with out-of-hospital traumatic pain, the use of intravenous ketamine compared with morphine showed noninferiority for pain reduction.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ketamine,not_applicable,adverse effects,safety_or_adverse_event,out-of-hospital traumatic pain,none,none,False,Adverse events are not canonical graph edges for the disorder dataset.,safety,adverse events,negative,incidence of adverse effects,adults with out-of-hospital traumatic pain,clinical,10.1001/jamanetworkopen.2023.52844,,Ketamine Compared With Morphine for Out-of-Hospital Analgesia for Patients With Traumatic Pain,Clément Le Cornec; Marion Le Pottier; Hélène Broch; Alexandre Marguinaud Tixier; Emmanuel Rousseau; Said Laribi; Charles Janière; Vivien Brenckmann; Anne Guillerm; Florence Deciron,2024,JAMA Network Open,journal-article,NCT03236805,2024-01-29,2574-3805,2574-3805,American Medical Association (AMA),"Adult | Aged | Female | Humans | Male | Middle Aged | Acute Pain | Analgesia | Analgesics, Opioid / therapeutic use | Hospitals | Ketamine / therapeutic use | Morphine / therapeutic use | Single-Blind Method",,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,C001,"multicenter, single-blind, noninferiority randomized clinical trial",251,intravenous morphine,intravenous ketamine,"20 mg, followed by 10 mg every 5 minutes",intravenous,not_reported,30 minutes after administration,,,,"emergence phenomenon (20.0%), visual disturbance (17.5%), nausea (6.7%), decreased consciousness (6.7%), hypertension (4.2%)","The intravenous morphine group had 19 of 113 (16.8% [95% CI, 10.4%-25.0%]) adverse effects reported (most commonly nausea [12 of 113 (10.6%)]) compared with 49 of 120 (40.8% [95% CI, 32.0%-49.6%]) in the ketamine group (most commonly emergence phenomenon [24 of 120 (20.0%)]). No adverse events required intervention.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,MDMA,not_applicable,"semantic proximity to the concepts friend, support, intimacy, and rapport",functional_outcome,ecstasy users,none,none,False,"This is an observed effect on speech characteristics/mental state, not a therapeutic indication for a disorder.",behavioral,Social cognition,positive,"Semantic proximity to friend, support, intimacy, and rapport",ecstasy users,clinical,10.1038/npp.2014.80,,A Window into the Intoxicated Mind? Speech as an Index of Psychoactive Drug Effects,Gillinder Bedi; Guillermo A Cecchi; Diego F Slezak; Facundo Carrillo; Mariano Sigman; Harriet de Wit,2014,Neuropsychopharmacology,journal-article,not_reported,2014-04-03,0893-133X,1740-634X,Springer Science and Business Media LLC,"Adolescent | Adult | Artificial Intelligence | Double-Blind Method | Female | Humans | Illicit Drugs | Male | Mental Processes / drug effects | Methamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | Pattern Recognition, Automated | Psychotropic Drugs / administration & dosage | Semantics | Speech / drug effects | Substance-Related Disorders / psychology | Young Adult",,NCATS NIH HHS | NIDA NIH HHS,UL1 TR000430 | DA02812 | R21 DA026570 | K23 DA034877 | R01 DA002812 | R03 DA029679 | DA029679 | DA026570 | DA034877,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,"within subject, double blind, and randomized",13,placebo,MDMA (1.5 mg/kg),1.5 mg/kg,oral,single session,130 min after the capsule,,,,not_reported,"Speech after MDMA (1.5 mg/kg) had greater semantic proximity than placebo to the concepts friend, support, intimacy, and rapport.",NCATS NIH HHS | NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,MDMA,not_applicable,semantic proximity to empathy,functional_outcome,ecstasy users,none,none,False,"This is an observed effect on speech characteristics/mental state, not a therapeutic indication for a disorder.",behavioral,Emotional processing,positive,Semantic proximity to empathy,ecstasy users,clinical,10.1038/npp.2014.80,,A Window into the Intoxicated Mind? Speech as an Index of Psychoactive Drug Effects,Gillinder Bedi; Guillermo A Cecchi; Diego F Slezak; Facundo Carrillo; Mariano Sigman; Harriet de Wit,2014,Neuropsychopharmacology,journal-article,not_reported,2014-04-03,0893-133X,1740-634X,Springer Science and Business Media LLC,"Adolescent | Adult | Artificial Intelligence | Double-Blind Method | Female | Humans | Illicit Drugs | Male | Mental Processes / drug effects | Methamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | Pattern Recognition, Automated | Psychotropic Drugs / administration & dosage | Semantics | Speech / drug effects | Substance-Related Disorders / psychology | Young Adult",,NCATS NIH HHS | NIDA NIH HHS,UL1 TR000430 | DA02812 | R21 DA026570 | K23 DA034877 | R01 DA002812 | R03 DA029679 | DA029679 | DA026570 | DA034877,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,"within subject, double blind, and randomized",13,placebo,MDMA (0.75 mg/kg),0.75 mg/kg,oral,single session,130 min after the capsule,,,,not_reported,Speech on MDMA (0.75 mg/kg) had greater proximity to empathy than placebo.,NCATS NIH HHS | NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Methamphetamine,not_applicable,semantic proximity to compassion,functional_outcome,ecstasy users,none,none,False,"This is an observed effect on speech characteristics/mental state, not a therapeutic indication for a disorder.",behavioral,Emotional processing,negative,Semantic proximity to compassion,ecstasy users,clinical,10.1038/npp.2014.80,,A Window into the Intoxicated Mind? Speech as an Index of Psychoactive Drug Effects,Gillinder Bedi; Guillermo A Cecchi; Diego F Slezak; Facundo Carrillo; Mariano Sigman; Harriet de Wit,2014,Neuropsychopharmacology,journal-article,not_reported,2014-04-03,0893-133X,1740-634X,Springer Science and Business Media LLC,"Adolescent | Adult | Artificial Intelligence | Double-Blind Method | Female | Humans | Illicit Drugs | Male | Mental Processes / drug effects | Methamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | Pattern Recognition, Automated | Psychotropic Drugs / administration & dosage | Semantics | Speech / drug effects | Substance-Related Disorders / psychology | Young Adult",,NCATS NIH HHS | NIDA NIH HHS,UL1 TR000430 | DA02812 | R21 DA026570 | K23 DA034877 | R01 DA002812 | R03 DA029679 | DA029679 | DA026570 | DA034877,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,"within subject, double blind, and randomized",13,placebo,methamphetamine (20 mg),20 mg,oral,single session,130 min after the capsule,,,,not_reported,"Conversely, speech on methamphetamine was further from compassion than placebo.",NCATS NIH HHS | NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,MDMA,Psychological distress,Past Mo. distress,symptom_or_problem,White participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Psychological distress,positive,Past month psychological distress,White participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime MDMA use,lifetime MDMA use,not_reported,not_reported,lifetime use,past month,,,,not_reported,"White MDMA 0.89** (0.82, 0.96)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,MDMA,Suicidal ideation,Past Yr. S.I,symptom_or_problem,White participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Suicidality,positive,Past year suicidal ideation,White participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime MDMA use,lifetime MDMA use,not_reported,not_reported,lifetime use,past year,,,,not_reported,"White MDMA 0.85*** (0.78, 0.93)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,MDMA,Suicidal planning,Past Yr. S.P,symptom_or_problem,White participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Suicidality,positive,Past year suicidal planning,White participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime MDMA use,lifetime MDMA use,not_reported,not_reported,lifetime use,past year,,,,not_reported,"White MDMA 0.82* (0.70, 0.96)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Psilocybin,Psychological distress,Past Mo. distress,symptom_or_problem,White participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Psychological distress,positive,Past month psychological distress,White participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime psilocybin use,lifetime psilocybin use,not_reported,not_reported,lifetime use,past month,,,,not_reported,"White Psilocybin 0.80*** (0.75, 0.87)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Psilocybin,Suicidal ideation,Past Yr. S.I,symptom_or_problem,White participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Suicidality,positive,Past year suicidal ideation,White participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime psilocybin use,lifetime psilocybin use,not_reported,not_reported,lifetime use,past year,,,,not_reported,"White Psilocybin 0.90* (0.82, 0.98)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
