claim_type,compound,target,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_target,LSD,5-HT2A receptor,β-arrestin2 recruitment,molecular_target,not_reported,5-HT2A receptor,target,True,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,12.3,nM,not_applicable,human,HEK293T cells,in_vitro,10.1021/acschemneuro.3c00267,,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2023-07-20,1948-7193,1948-7193,,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 1,in vitro pharmacology study,,,,,,,,,,,,,,,LSD 99.4 (92.5-106) 7.91 (7.70-8.12) 12.3 (7.56-20.0),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,Serotonin,5-HT2A receptor,miniGαq recruitment,molecular_target,not_reported,5-HT2A receptor,target,True,not_reported,agonist,miniGαq recruitment assay,functional complementation assay,agonist,EC50,88.1,nM,not_applicable,human,HEK293T cells,in_vitro,10.1021/acschemneuro.3c00267,,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2023-07-20,1948-7193,1948-7193,,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 1,in vitro pharmacology study,,,,,,,,,,,,,,,5-HT 207 (196-219) 7.06 (6.90-7.21) 88.1 (61.4-125),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,25N-NBOH (2e),5-HT2A receptor,β-arrestin2 recruitment,molecular_target,not_reported,5-HT2A receptor,target,True,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,0.662,nM,not_applicable,human,HEK293T cells,in_vitro,10.1021/acschemneuro.3c00267,,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2023-07-20,1948-7193,1948-7193,,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 1,in vitro pharmacology study,,,,,,,,,,,,,,,25N-NBOH (2e) 189 (169-210) 9.18 (8.91-9.46) 0.662 (0.35-1.23),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,25N-NBMD (2h),5-HT2A receptor,β-arrestin2 recruitment,molecular_target,not_reported,5-HT2A receptor,target,True,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,1.94,nM,not_applicable,human,HEK293T cells,in_vitro,10.1021/acschemneuro.3c00267,,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2023-07-20,1948-7193,1948-7193,,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 1,in vitro pharmacology study,,,,,,,,,,,,,,,25N-NBMD (2h) 124 (110-137) 8.71 (8.48-8.94) 1.94 (1.16-3.31),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,2C-T-7 (1f),5-HT2A receptor,miniGαq recruitment,molecular_target,not_reported,5-HT2A receptor,target,True,not_reported,agonist,miniGαq recruitment assay,functional complementation assay,agonist,EC50,37.1,nM,not_applicable,human,HEK293T cells,in_vitro,10.1021/acschemneuro.3c00267,,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2023-07-20,1948-7193,1948-7193,,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 1,in vitro pharmacology study,,,,,,,,,,,,,,,2C-T-7 (1f) 121 (112-131) 7.43 (7.20-7.67) 37.1 (21.3-63.2),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,Ketamine,N-methyl-D-aspartate receptor,N-methyl-D-aspartate receptor,molecular_target,not_applicable,NMDA receptor,target,True,not_reported,antagonist,,,antagonist,,,,not_applicable,not_reported,not_reported,not_applicable,10.1038/s41398-018-0321-5,,Ketamine and selective activation of parvalbumin interneurons inhibit stress-induced dendritic spine elimination,Lhotse Hei Lui Ng; Yuhua Huang; Lei Han; Raymond Chuen-Chung Chang; Ying Shing Chan; Cora Sau Wan Lai,2018,Translational Psychiatry,journal-article,not_reported,2018-12-10,2158-3188,2158-3188,Springer Science and Business Media LLC,"Animals | Dendritic Spines / drug effects | Dendritic Spines / physiology | Excitatory Amino Acid Antagonists / administration & dosage | Female | Frontal Lobe / drug effects | Frontal Lobe / physiopathology | Interneurons / drug effects | Interneurons / metabolism | Interneurons / physiology | Ketamine / administration & dosage | Male | Mice, Inbred C57BL | Neuronal Plasticity / drug effects | Parvalbumins / metabolism | Restraint, Physical | Stress, Psychological / physiopathology",,,,,,,,eng,,primary_results,medium,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,Abstract,not_reported,,,,,,,,,,,,,,,The N-methyl-D-aspartate receptor antagonist ketamine inhibited stress-induced spine loss mainly by protecting mushroom spines from elimination.,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_target,25N-N1-Nap (16),5-HT2A receptor,"5-HT 2A R Gq-efficacy, 5-HT 2A R β-arrestin2-efficacy",molecular_target,not_applicable,5-HT2A receptor,target,True,not_applicable,β-arrestin-biased agonist,"Gq dissociation BRET assay, β-arrestin2 recruitment BRET assay",,β-arrestin-biased agonist,Other,"reduced Gq-efficacy, preserved β-arrestin2-efficacy",,not_applicable,human,HEK293T cells,in_vitro,10.1038/s41467-023-44016-1,,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,Nature Communications,journal-article,,2023-12-15,2041-1723,2041-1723,Springer Science and Business Media LLC,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,,,eng,,primary_results,medium,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,Chunk C006,experimental,,,,,,,,,,,,,,,"Strikingly, 25N-N1-Nap (16) and 25N-NBPh (17) showed a substantial reduction in 5-HT 2A R Gq-efficacy yet preserved 5-HT 2A R β-arrestin2-efficacy, thus exhibiting β-arrestin-biased agonism at 5-HT 2A R compared to the balanced agonist 25N-NBOMe (4) (Fig. 3A ; Supplementary Table 13 ).",,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_target,25N-N1-Nap (16),5-HT2A receptor,5-HT 2A R internalization,molecular_target,not_applicable,5-HT2A receptor,target,True,not_applicable,induce internalization,NanoBit Internalization Assay,,induce internalization,Other,robust internalization,,not_applicable,human,HEK293T cells,in_vitro,10.1038/s41467-023-44016-1,,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,Nature Communications,journal-article,,2023-12-15,2041-1723,2041-1723,Springer Science and Business Media LLC,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,,,eng,,primary_results,medium,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,Chunk C013,experimental,,,,,,,,,,,,,,,"25N-N1-Nap (16) and 25N-NBPh (17) also induced robust internalization, similar to their potencies in β-arrestin2 recruitment assays (Fig. 8B ).",,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_target,25N-NB-2-OH-3-Me (18),5-HT2A receptor Gq signaling,"5-HT 2A R Gq-efficacy, 5-HT 2A R-β-arrestin2 efficacy",molecular_target,not_applicable,5-HT2A receptor Gq signaling,target,True,not_applicable,reduced efficacy,"Gq dissociation BRET assay, β-arrestin2 recruitment BRET assay",,reduced efficacy,Other,selective reduction in Gq-efficacy,,not_applicable,human,HEK293T cells,in_vitro,10.1038/s41467-023-44016-1,,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,Nature Communications,journal-article,,2023-12-15,2041-1723,2041-1723,Springer Science and Business Media LLC,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,,,eng,,primary_results,medium,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,Chunk C004,experimental,,,,,,,,,,,,,,,"25N-NB-2-OH-3-Me (18) showed a selective reduction in 5-HT 2A R Gq-efficacy but not 5-HT 2A R-β-arrestin2 efficacy compared to 25N-NBOH (3) (Fig. 2E ), which lacks 3-methyl substitution, providing a critical clue that steric effects in the 3-position influence 5-HT 2A R biased-agonist activity.",,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_target,25N-NBI (10),5-HT2A receptor,5-HT 2A R selectivity,molecular_target,not_applicable,5-HT2A receptor,target,True,not_applicable,selective agonist,"Gq dissociation BRET assay, calcium flux assay, competitive binding studies",,selective agonist,Other,23-fold selectivity for 5-HT 2A R over 5-HT 2C R,fold,not_applicable,human,HEK293T cells,in_vitro,10.1038/s41467-023-44016-1,,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,Nature Communications,journal-article,,2023-12-15,2041-1723,2041-1723,Springer Science and Business Media LLC,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,,,eng,,primary_results,medium,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,Chunk C004,experimental,,,,,,,,,,,,,,,"We compared 25N-NBI (10), the most selective 5-HT 2A R agonist from this series, to the purported 5-HT 2A R-selective agonist 25CN-NBOH 29 and determined 25N-NBI (10) showed 23-fold selectivity for 5-HT 2A R over 5-HT 2C R, whereas 25CN-NBOH shows only 7-fold selectivity (Fig. 2D ). We confirmed the superior 5-HT 2A R selectivity of 25N-NBI (10) using an orthogonal assay measuring Gqmediated calcium flux (Supplementary Fig. 4B ; Supplementary Table 7 ), confirming in two functional assays that 25N-NBI (10) has greater 5-HT 2A R selectivity than 25CN-NBOH. 25N-NBI (10) also showed selectivity for 5-HT 2A R over 5-HT 2B R and 5-HT 2C R in competitive binding studies (Supplementary Table 8 ).",,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
