normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,mesh_terms,keywords,language,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,publisher,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,semantic_scholar_id
normalized,compound and graph entity matched local registry,LSD,5-HT2A,,LSD,5-HT2A,LSD,5-HT2A receptor,,5-HT2A receptor,β-arrestin2 recruitment,molecular_target,5-HT2A,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,12.3,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,LSD 99.4 (92.5-106) 7.91 (7.70-8.12) 12.3 (7.56-20.0),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",,,,,,,
normalized,compound and graph entity matched local registry,Ketamine,NMDA receptor,,Ketamine,NMDA receptor,Ketamine,N-methyl-D-aspartate receptor,,NMDA receptor,N-methyl-D-aspartate receptor,molecular_target,NMDA receptor,target,True,10.1038/s41398-018-0321-5,Ketamine and selective activation of parvalbumin interneurons inhibit stress-induced dendritic spine elimination,compound_target,not_applicable,not_reported,antagonist,,,antagonist,,,,not_applicable,not_reported,not_reported,not_applicable,Lhotse Hei Lui Ng; Yuhua Huang; Lei Han; Raymond Chuen-Chung Chang; Ying Shing Chan; Cora Sau Wan Lai,2018,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The N-methyl-D-aspartate receptor antagonist ketamine inhibited stress-induced spine loss mainly by protecting mushroom spines from elimination.,full_text_seen,abstract,Abstract,not_reported,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Translational Psychiatry,journal-article,2018-12-10,2158-3188,2158-3188,"Animals | Dendritic Spines / drug effects | Dendritic Spines / physiology | Excitatory Amino Acid Antagonists / administration & dosage | Female | Frontal Lobe / drug effects | Frontal Lobe / physiopathology | Interneurons / drug effects | Interneurons / metabolism | Interneurons / physiology | Ketamine / administration & dosage | Male | Mice, Inbred C57BL | Neuronal Plasticity / drug effects | Parvalbumins / metabolism | Restraint, Physical | Stress, Psychological / physiopathology",,eng,,,,,,,,,,,,,,,medium,label,label,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},Springer Science and Business Media LLC,not_reported,,,,,
normalized,compound and graph entity matched local registry,Salvinorin A,kappa opioid receptor (OPRK1),,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin-A,kappa-opioid receptor,,kappa-opioid receptor,kappa-opioid receptor,molecular_target,kappa opioid receptor (OPRK1),target,True,10.1093/ijnp/pyv065,"Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans.",compound_target,not_applicable,not_reported,agonist,functional assay,receptor pharmacology,agonist,,,,not_applicable,not_reported,not_reported,in_vitro,Maqueda AE; Valle M; Addy PH; Antonijoan RM; Puntes M; Coimbra J; Ballester MR; Garrido M; González M; Claramunt J,2015,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Salvinorin-A is a terpene with agonist properties at the kappa-opioid receptor, the binding site of endogenous dynorphins.",full_text_seen,abstract,Abstract,not_applicable,NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,The international journal of neuropsychopharmacology,"Journal Article | Research Support, Non-U.S. Gov't",2015-06-05,1461-1457,1469-5111,"Adult | Auditory Perception / drug effects | Consciousness / drug effects | Diterpenes, Clerodane / administration & dosage | Dose-Response Relationship, Drug | Double-Blind Method | Female | Hallucinations / chemically induced | Humans | Interoception / drug effects | Male | Narration | Ownership | Psychotropic Drugs / administration & dosage | Self Concept | Visual Perception / drug effects | Young Adult",Body ownership | dissociative effects | dynorphins | human | interoception | kappa opioid receptor | salvia divinorum. | salvinorin-A,eng,,,,,,,,,,,,,,,medium,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""OPRK1""}",,,NIDA NIH HHS,R01 DA003889,,,
normalized,compound and graph entity matched local registry,Ketamine,NMDA receptor,,Ketamine,NMDA receptor,ketamine,NMDA receptor,,NMDA receptor,NMDA receptor (NMDAr),molecular_target,NMDA receptor,target,True,10.1371/journal.pone.0006755,NMDA Receptor Hypofunction Leads to Generalized and Persistent Aberrant γ Oscillations Independent of Hyperlocomotion and the State of Consciousness,compound_target,not_applicable,not_reported,non-competitive antagonist,Electrocorticography (ECoG) and local field potential (LFP) recordings (measuring gamma oscillations),electrophysiology,non-competitive antagonist,,,,not_applicable,Rats,rodent CNS,in_vivo,Tahir Hakami; Nigel C. Jones; Elena A. Tolmacheva; Julien Gaudias; Joseph Chaumont; Michael Salzberg; Terence J. O'Brien; Didier Pinault,2009,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The psychotomimetics ketamine and MK-801, non-competitive NMDA receptor (NMDAr) antagonists, induce cognitive impairment and aggravate schizophrenia symptoms.",full_text_seen,abstract,C001,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,PLoS ONE,journal-article,2009-08-24,1932-6203,1932-6203,"Animals | Consciousness | Dizocilpine Maleate / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Ketamine / pharmacology | Locomotion | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / physiology",,eng,,,,,,,,,,,,,,,medium,label,label,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},Public Library of Science (PLoS),,,,,,
normalized,compound and graph entity matched local registry,Ketamine,NMDA receptor,,Ketamine,NMDA receptor,ketamine,NMDA receptor,,NMDA receptor,NMDA antagonist,molecular_target,NMDA receptor,target,True,10.1016/0006-3223(95)00046-1,Age-specific neurotoxicity in the rat associated with NMDA receptor blockade: Potential relevance to schizophrenia?,compound_target,not_applicable,not_reported,antagonist,psychotomimetic effects,functional assay,antagonist,,,,not_applicable,human,not_reported,clinical,Nuri B. Farber; David F. Wozniak; Madelon T. Price; Joann Labruyere; Janice Huss; Heidi St. Peter; John W. Olney,1995,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Susceptibility to the psychotomimetic effects of the NMDA antagonist, ketamine is minimal or absent in children and becomes maximal in early adulthood. ... NMDA receptor hypofunction, the mechanism underlying the neurotoxic and psychotomimetic actions of NMDA antagonists...",abstract_only,abstract,abstract,not_reported,NIDA NIH HHS | NIMH NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Biological Psychiatry,journal-article,1995-12-01,0006-3223,1873-2402,"Adolescent | Adult | Age Factors | Animals | Cerebral Cortex / drug effects | Cerebral Cortex / physiopathology | Child | Disease Models, Animal | Dizocilpine Maleate / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Female | Gyrus Cinguli / drug effects | Gyrus Cinguli / physiopathology | Humans | Ketamine / pharmacology | Limbic System / drug effects | Limbic System / physiopathology | Neurons / drug effects | Rats | Rats, Sprague-Dawley | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / physiology | Schizophrenia / physiopathology",,eng,,,,,,,,,,,,,,,medium,label,label,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},Elsevier BV,not_reported,NIDA NIH HHS | NIMH NIH HHS,DA 05072 | MH 14677 | MH 38894,10.1016/0006-3223(95)00529-3,CommentIn PMID:8750035 Biol Psychiatry. 1995 Dec 15;38(12):783-7. doi: 10.1016/0006-3223(95)00529-3.,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),"(±)-3,4-Methylenedioxymethamphetamine (MDMA)",Serotonin transporter,,Serotonin transporter,potency as SERT substrates,molecular_target,SERT (SLC6A4),target,True,10.1016/j.ejphar.2011.10.033,Effects of MDMA and related analogs on plasma 5-HT: Relevance to 5-HT transporters in blood and brain,compound_target,not_applicable,not_reported,substrate,correlation with potency as SERT substrates,functional assay,substrate,,,,not_applicable,rat,rat brain synaptosomes,in_vitro,Samanta Yubero-Lahoz; Mario A. Ayestas; Bruce E. Blough; John S. Partilla; Richard B. Rothman; Rafael de la Torre; Michael H. Baumann,2011,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,The ability of MDMA and related analogs to elevate plasma 5-HT is correlated with their potency as SERT substrates in rat brain synaptosomes.,abstract_only,abstract,abstract,in vitro correlation study,NIDA NIH HHS | Intramural NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,European Journal of Pharmacology,journal-article,2011-11-03,0014-2999,1879-0712,"Animals | Brain / drug effects | Brain / metabolism | Male | Microdialysis | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / analogs & derivatives | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Protein Transport / drug effects | Rats | Rats, Sprague-Dawley | Serotonin / blood | Serotonin / metabolism | Serotonin Plasma Membrane Transport Proteins / blood | Serotonin Plasma Membrane Transport Proteins / metabolism",,eng,,,,,,,,,,,,,,,medium,alias,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",Elsevier BV,,NIDA NIH HHS | Intramural NIH HHS,R01 DA017987 | Z01 DA000523 | Z99 DA999999,,,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),"(±)-3,4-Methylenedioxymethamphetamine (MDMA)",Serotonin transporter,,Serotonin transporter,increase plasma 5-HT by a SERT-dependent mechanism,molecular_target,SERT (SLC6A4),target,True,10.1016/j.ejphar.2011.10.033,Effects of MDMA and related analogs on plasma 5-HT: Relevance to 5-HT transporters in blood and brain,compound_target,not_applicable,not_reported,increases release,in vitro microdialysis,microdialysis,increases release,,,,not_applicable,rat,rat blood specimens,in_vitro,Samanta Yubero-Lahoz; Mario A. Ayestas; Bruce E. Blough; John S. Partilla; Richard B. Rothman; Rafael de la Torre; Michael H. Baumann,2011,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The in vitro results show that test drugs evoke dose-related increases in plasma 5-HT ranging from two- to sevenfold above baseline, with MDMA and its metabolite, (±)-3,4-methylenedioxyamphetamine (MDA), producing the largest effects. Collectively, our findings indicate that MDMA and its metabolites increase plasma 5-HT by a SERT-dependent mechanism",abstract_only,abstract,abstract,in vitro microdialysis,NIDA NIH HHS | Intramural NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,European Journal of Pharmacology,journal-article,2011-11-03,0014-2999,1879-0712,"Animals | Brain / drug effects | Brain / metabolism | Male | Microdialysis | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / analogs & derivatives | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Protein Transport / drug effects | Rats | Rats, Sprague-Dawley | Serotonin / blood | Serotonin / metabolism | Serotonin Plasma Membrane Transport Proteins / blood | Serotonin Plasma Membrane Transport Proteins / metabolism",,eng,,,,,,,,,,,,,,,medium,alias,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",Elsevier BV,,NIDA NIH HHS | Intramural NIH HHS,R01 DA017987 | Z01 DA000523 | Z99 DA999999,,,
normalized,compound and graph entity matched local registry,MDA,SERT (SLC6A4),,MDA,SERT (SLC6A4),"(±)-3,4-methylenedioxyamphetamine (MDA)",Serotonin transporter,,Serotonin transporter,increase plasma 5-HT by a SERT-dependent mechanism,molecular_target,SERT (SLC6A4),target,True,10.1016/j.ejphar.2011.10.033,Effects of MDMA and related analogs on plasma 5-HT: Relevance to 5-HT transporters in blood and brain,compound_target,not_applicable,not_reported,increases release,in vitro microdialysis,microdialysis,increases release,,,,not_applicable,rat,rat blood specimens,in_vitro,Samanta Yubero-Lahoz; Mario A. Ayestas; Bruce E. Blough; John S. Partilla; Richard B. Rothman; Rafael de la Torre; Michael H. Baumann,2011,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The in vitro results show that test drugs evoke dose-related increases in plasma 5-HT ranging from two- to sevenfold above baseline, with MDMA and its metabolite, (±)-3,4-methylenedioxyamphetamine (MDA), producing the largest effects. Collectively, our findings indicate that MDMA and its metabolites increase plasma 5-HT by a SERT-dependent mechanism",abstract_only,abstract,abstract,in vitro microdialysis,NIDA NIH HHS | Intramural NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,European Journal of Pharmacology,journal-article,2011-11-03,0014-2999,1879-0712,"Animals | Brain / drug effects | Brain / metabolism | Male | Microdialysis | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / analogs & derivatives | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Protein Transport / drug effects | Rats | Rats, Sprague-Dawley | Serotonin / blood | Serotonin / metabolism | Serotonin Plasma Membrane Transport Proteins / blood | Serotonin Plasma Membrane Transport Proteins / metabolism",,eng,,,,,,,,,,,,,,,medium,alias,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",Elsevier BV,,NIDA NIH HHS | Intramural NIH HHS,R01 DA017987 | Z01 DA000523 | Z99 DA999999,,,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),MDMA,serotonin transporter (SERT),,serotonin transporter,serotonin transporter (SERT),molecular_target,SERT (SLC6A4),target,True,10.1016/j.neuro.2015.11.009,"Involvement of autophagy upregulation in 3,4-methylenedioxymethamphetamine (‘ecstasy’)-induced serotonergic neurotoxicity",compound_target,not_reported,not_reported,mediation,,,mediation,,,,not_applicable,rat,cultured serotonergic neurons,in_vitro,I-Hsun Li; Kuo-Hsing Ma; Tzu-Jen Kao; Yang-Yi Lin; Shao-Ju Weng; Ting-Yin Yen; Lih-Chi Chen; Yuahn-Sieh Huang,2015,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,MDMA-induced autophagy activation in cultured serotonergic neurons might be mediated by serotonin transporter (SERT).,abstract_only,abstract,abstract,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,NeuroToxicology,journal-article,2015-11-21,0161-813X,1872-9711,"Adenine / analogs & derivatives | Adenine / pharmacology | Animals | Autophagy / drug effects | Benzylamines / metabolism | Brain Stem / drug effects | Cells, Cultured | Citalopram / pharmacology | Dose-Response Relationship, Drug | Down-Regulation / drug effects | Fluorine Radioisotopes / metabolism | Functional Neuroimaging | Male | N-Methyl-3,4-methylenedioxyamphetamine / antagonists & inhibitors | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Nerve Degeneration / chemically induced | Nerve Degeneration / pathology | Neurites / pathology | Neuroprotective Agents / pharmacology | Phagosomes / metabolism | Positron-Emission Tomography | Rats | Serotonergic Neurons / drug effects | Serotonergic Neurons / pathology | Serotonin Plasma Membrane Transport Proteins / metabolism",3-Methyladenine | Autophagy | LC3B | MDMA | Serotonergic neuron | Tryptophan hydroxylase,eng,,,,,,,,,,,,,,,medium,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",Elsevier BV,not_reported,,,,,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),MDMA,serotonin transporter (SERT),,serotonin transporter,downregulation of SERT,molecular_target,SERT (SLC6A4),target,True,10.1016/j.neuro.2015.11.009,"Involvement of autophagy upregulation in 3,4-methylenedioxymethamphetamine (‘ecstasy’)-induced serotonergic neurotoxicity",compound_target,not_reported,not_reported,downregulation,animal-PET with 4-[(18)F]-ADAM,imaging,downregulation,,,,not_applicable,animal,in vivo animal model,in_vivo,I-Hsun Li; Kuo-Hsing Ma; Tzu-Jen Kao; Yang-Yi Lin; Shao-Ju Weng; Ting-Yin Yen; Lih-Chi Chen; Yuahn-Sieh Huang,2015,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"In an in vivo animal model administered MDMA, neuroimaging showed that 3-MA protected the serotonin system against MDMA-induced downregulation of SERT evaluated by animal-PET with 4-[(18)F]-ADAM, a SERT radioligand.",abstract_only,abstract,abstract,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,NeuroToxicology,journal-article,2015-11-21,0161-813X,1872-9711,"Adenine / analogs & derivatives | Adenine / pharmacology | Animals | Autophagy / drug effects | Benzylamines / metabolism | Brain Stem / drug effects | Cells, Cultured | Citalopram / pharmacology | Dose-Response Relationship, Drug | Down-Regulation / drug effects | Fluorine Radioisotopes / metabolism | Functional Neuroimaging | Male | N-Methyl-3,4-methylenedioxyamphetamine / antagonists & inhibitors | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Nerve Degeneration / chemically induced | Nerve Degeneration / pathology | Neurites / pathology | Neuroprotective Agents / pharmacology | Phagosomes / metabolism | Positron-Emission Tomography | Rats | Serotonergic Neurons / drug effects | Serotonergic Neurons / pathology | Serotonin Plasma Membrane Transport Proteins / metabolism",3-Methyladenine | Autophagy | LC3B | MDMA | Serotonergic neuron | Tryptophan hydroxylase,eng,,,,,,,,,,,,,,,medium,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",Elsevier BV,not_reported,,,,,
