normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,language,trial_registry_ids,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,keywords,funders,grant_ids,related_dois,publication_relations
normalized,compound and graph entity matched local registry,Lisuride,5-HT1A,,Lisuride,5-HT1A,Lisuride,5-HT1A receptor,,5-HT1A receptor,5-HT1A receptors,molecular_target,5-HT1A,target,True,10.1254/fpj.97.4_209,Anxiolytic effects of lisuride and its agonistic action to central 5-HT1A receptors.,compound_target,not_applicable,not_reported,Agonist,Radioligand binding assay,Binding,Agonist,Ki,0.5,nM,not_applicable,rat,hippocampal membrane fractions,in_vitro,Tetsuo AKAI; Masaya TAKAHASHI; Yukie NAKADA; Reiko OHNISHI; Yukihiro IKOMA; Motonori YAMAGUCHI,1991,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Inhibitory effects of lisuride on bindings of [3H]8-OH-DPAT in the hippocampus was almost the same as that of 5-HT (Ki = 0.5 nM) and stronger than those of the 5-HT agonist 5-MeO-DMT (Ki = 2.1 nM)... These findings indicated that lisuride acts as a strong agonist on central 5-HT1A receptors,full_text_seen,abstract,abstract,in vitro binding assay,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Folia Pharmacologica Japonica,journal-article,1991-01-01,0015-5691,1347-8397,Japanese Pharmacological Society,"Animals | Anti-Anxiety Agents / pharmacology | Brain / drug effects | Electroencephalography / drug effects | In Vitro Techniques | Lisuride / pharmacology | Locomotion / drug effects | Male | Rabbits | Rats | Rats, Inbred Strains | Receptors, Serotonin / drug effects",jpn,not_reported,,,,,,,,,,,,,,,high,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR1A""}",,,,,
normalized,compound and graph entity matched local registry,DMT,5-HT2A,,DMT,5-HT2A,DMT,5-HT2A receptor,,5-HT2A receptor,"DMT 1,513 ± 639",molecular_target,5-HT2A,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,binding,radioligand competition binding,binding,binding,Ki,"1,513 ± 639",nM,not_applicable,human,membranes containing 5-HT2A,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"DMT 87 ± 15 1,513 ± 639",full_text_seen,table,T001,radioligand competition assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",,,,,
normalized,compound and graph entity matched local registry,Psilocin,5-HT2A,,Psilocin,5-HT2A,Psilocin,5-HT2A receptor,,5-HT2A receptor,Psilocin 331 ± 96,molecular_target,5-HT2A,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,binding,radioligand competition binding,binding,binding,Ki,331 ± 96,nM,not_applicable,human,membranes containing 5-HT2A,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Psilocin 84 ± 26 331 ± 96,full_text_seen,table,T001,radioligand competition assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",,,,,
normalized,compound and graph entity matched local registry,DMT,5-HT2A,,DMT,5-HT2A,DMT,5-HT2A receptor,,5-HT2A receptor,"DMT 6,325 ± 1,574",molecular_target,5-HT2A,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,agonist,calcium flux assay,functional activity,agonist,EC50,"6,325 ± 1,574",nM,not_applicable,human,CHO-K1/5-HT2A cell line,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"DMT 1,293 ± 80 6,325 ± 1,574",full_text_seen,table,C022,functional receptor potency assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",,,,,
normalized,compound and graph entity matched local registry,Psilocin,5-HT2A,,Psilocin,5-HT2A,Psilocin,5-HT2A receptor,,5-HT2A receptor,"Psilocin 3,836 ± 2,930",molecular_target,5-HT2A,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_applicable,agonist,calcium flux assay,functional activity,agonist,EC50,"3,836 ± 2,930",nM,not_applicable,human,CHO-K1/5-HT2A cell line,in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Psilocin 853 ± 500 3,836 ± 2,930",full_text_seen,table,C022,functional receptor potency assay,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",,,,,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),MDMA,Serotonin transporter (SERT),,Serotonin transporter,SERT occupancies,molecular_target,SERT (SLC6A4),target,True,10.2967/jnumed.122.264391,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",compound_target,not_applicable,not_reported,blockage,11 C-DASB PET/fMRI,PET imaging,blockage,Other,decreased,BPND,not_applicable,rats,in vivo,preclinical,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"We further demonstrated a strong correlation between SERT occupancies and regional BOLD reductions after acute MDMA administration. ... In a second cohort, we used 11 C-3-amino-4-(2-dimethylaminomethylphenylsulfanyl)-benzonitrile ( 11 C-DASB) to investigate relationships between hemodynamic alterations and changes in serotonin transporter (SERT) availability, one of the main targets of MDMA ( 18 ). ... After the challenge, binding in all regions decreased either immediately (1 -2 min after the challenge) in areas with high binding values (BPND . 1.8) or with a delay of approximately 10 min in regions with lower 11 C-DASB binding values. At 30 min after the challenge, binding remained stable until the end of the scan.",full_text_seen,abstract,"abstract, C002, C003",experimental study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Journal of Nuclear Medicine,journal-article,2022-09-29,2159-662X,1535-5667,Society of Nuclear Medicine,"Rats | Animals | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | Fluorodeoxyglucose F18 / metabolism | Hallucinogens / pharmacology | Hallucinogens / metabolism | Brain / metabolism | Multimodal Imaging | Glucose / metabolism | Serotonin Plasma Membrane Transport Proteins / metabolism | Positron-Emission Tomography / methods | Magnetic Resonance Imaging / methods",eng,not_reported,,,,,,,,,,,,,,,medium,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",PET/fMRI | hemodynamics | metabolism | methylenedioxymethamphetamine | neurovascular coupling | serotonin,,,,
normalized,compound and graph entity matched local registry,MDMA,5-HT2A,,MDMA,5-HT2A,MDMA,5-HT2A receptor,,5-HT2A receptor,5-HT2A receptor,molecular_target,5-HT2A,target,True,10.2967/jnumed.122.264391,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",compound_target,not_applicable,not_reported,agonist,,,agonist,,,,not_applicable,not_reported,in vivo (peripheral blood vessels),preclinical,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.8,False,"The 5-HT2A receptor, which is postulated -along with the 5-HT1B receptor -to mediate vasoconstrictive effects ( 40,41 ), is one of the main targets of MDMA ( 5,42 ). However, because MDMA has a much stronger af fi nity to the 5-HT2A receptor than to the 5-HT1B receptor ( 5 ), direct agonist action of MDMA at 5-HT2A in peripheral blood vessels likely drives our results ( 40 ).",full_text_seen,text,C005,experimental study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False,Journal of Nuclear Medicine,journal-article,2022-09-29,2159-662X,1535-5667,Society of Nuclear Medicine,"Rats | Animals | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | Fluorodeoxyglucose F18 / metabolism | Hallucinogens / pharmacology | Hallucinogens / metabolism | Brain / metabolism | Multimodal Imaging | Glucose / metabolism | Serotonin Plasma Membrane Transport Proteins / metabolism | Positron-Emission Tomography / methods | Magnetic Resonance Imaging / methods",eng,not_reported,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",PET/fMRI | hemodynamics | metabolism | methylenedioxymethamphetamine | neurovascular coupling | serotonin,,,,
normalized,compound and graph entity matched local registry,MDMA,SERT (SLC6A4),,MDMA,SERT (SLC6A4),MDMA,Serotonin transporter (SERT),,Serotonin transporter (SERT),SERT,molecular_target,SERT (SLC6A4),target,True,10.1007/s00213-006-0320-8,Reinforcing effects of methylenedioxy amphetamine congeners in rhesus monkeys: are intravenous self-administration experiments relevant to MDMA neurotoxicity?,compound_target,not_applicable,not_reported,"site of action, occupancy",,,"site of action, occupancy",,,,not_applicable,not_applicable,not_applicable,not_applicable,William E. Fantegrossi,2006,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.8,False,"It seems reasonable to assume, however, that the persistent effects of MDMA would be related to the degree of occupancy achieved at the drug's sites of action, the most obvious of which is the SERT (Rudnick and Wall 1992)",full_text_seen,text,C016,not_reported,NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False,Psychopharmacology,journal-article,2006-03-22,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Behavior, Animal / drug effects | Biogenic Monoamines / metabolism | Brain / drug effects | Brain / metabolism | Dose-Response Relationship, Drug | Hallucinogens / administration & dosage | Hallucinogens / toxicity | Injections, Intravenous | Macaca mulatta | Models, Animal | Molecular Structure | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / analogs & derivatives | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Reinforcement, Psychology | Self Administration | Structure-Activity Relationship",eng,not_reported,,,,,,,,,,,,,,,medium,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",,NIDA NIH HHS,DA00206 | DA05707 | DA05923 | DA09161,,
normalized,compound and graph entity matched local registry,MDA,5-HT1A,,MDA,5-HT1A,MDA,5-hydroxytryptamine1A (5-HT1A),,5-HT1A receptor,5-hydroxytryptamine1A (5-HT1A),molecular_target,5-HT1A,target,True,10.1016/0304-3940(88)90658-1,Ring-substituted amphetamine interactions with neurotransmitter receptor binding sites in human cortex,compound_target,not_applicable,not_reported,binding,binding affinity determination,receptor binding,binding,Other,4-5,microM,not_applicable,human,cortex,in_vitro,Pamela A. Pierce; Stephen J. Peroutka,1988,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"MDA displays moderate affinity (4-5 microM) for the 5-hydroxytryptamine1A (5-HT1A), 5-HT1D, and alpha 2-adrenergic sites in human cortex.",abstract_only,abstract,abstract,not_reported,NINDS NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Neuroscience Letters,journal-article,1988-12-01,0304-3940,1872-7972,Elsevier BV,"3,4-Methylenedioxyamphetamine / analogs & derivatives | 3,4-Methylenedioxyamphetamine / pharmacology | Amphetamines / pharmacology | Cerebral Cortex / drug effects | Cerebral Cortex / metabolism | Humans | N-Methyl-3,4-methylenedioxyamphetamine | Receptors, Neurotransmitter / drug effects | Receptors, Neurotransmitter / metabolism",eng,not_reported,,,,,,,,,,,,,,,medium,label,target_variant,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR1A""}",,NINDS NIH HHS,NS 12151-13 | NS 23560-02,,
normalized,compound and graph entity matched local registry,Ketamine,NMDA receptor,,Ketamine,NMDA receptor,ketamine,NMDA receptor,,NMDA receptor,NMDA receptor antagonist ketamine,molecular_target,NMDA receptor,target,True,10.1016/s0006-8993(02)02291-6,Nuclear factor κB activation is mediated by NMDA and non-NMDA receptor and L-type voltage-gated Ca2+ channel following severe global ischemia in rat hippocampus,compound_target,not_applicable,not_reported,antagonist,NF-kappaB nuclear translocation assay,functional assay,antagonist,,,,not_applicable,rat,"rat hippocampus, global ischemia model",preclinical,Wanhua Shen; Chunyi Zhang; Guangyi Zhang,2002,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,N-methyl-D-aspartate (NMDA) receptor antagonist ketamine... The NF-kappaB nuclear translocation was completely blocked by these three antagonists in a dose-dependent manner after ischemia/reperfusion 6 h.,abstract_only,abstract,abstract,in vivo experiment,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Brain Research,journal-article,2002-04-01,0006-8993,1872-6240,Elsevier BV,"Animals | Brain Ischemia / metabolism | Calcium Channel Blockers / pharmacology | Calcium Channels, L-Type / drug effects | Calcium Channels, L-Type / physiology | Cytoplasm / metabolism | Excitatory Amino Acid Antagonists / pharmacology | Hippocampus / metabolism | I-kappa B Proteins / physiology | Ketamine / pharmacology | Male | NF-kappa B / physiology | Nifedipine / pharmacology | Quinoxalines / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, AMPA / antagonists & inhibitors | Receptors, AMPA / physiology | Receptors, Amino Acid / physiology | Kainic Acid Receptors / antagonists & inhibitors | Kainic Acid Receptors / physiology | Receptors, N-Methyl-D-Aspartate / physiology | Reperfusion Injury / metabolism | Time Factors",eng,not_reported,,,,,,,,,,,,,,,medium,label,label,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},,,,,
