normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,funders,grant_ids,language,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,keywords,trial_registry_ids,semantic_scholar_id,related_dois,publication_relations
normalized,compound and graph entity matched local registry,(±)-MDMA,Dopamine transporter,,MDMA,DAT (SLC6A3),,,,,DAT,molecular_target,Dopamine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,substrate / transport,[3H](±)-MDMA transport,transport assay,substrate / transport,Other,1490.0,nM,not_applicable,human,HEK-293 cells stably transfected with human DAT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 1 1 Affinities (K m , nM) and maximal transport velocity (V max , fmol min -1 10 6 cells -1 ) of [ 3 H](±)MDMA, [ 3 H](+)MDMA, and [ 3 H](-) MDMA at the DAT, NET, and SERT and [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT Radioligand DAT NET SERT ... [ 3 H](±)MDMA 1,490±393 (n=8) ... The transport of [ 3 H](±)-MDMA by the DAT was saturable (Fig. 3a , top left), and the affinity K m 1,490±393 nM was similar to that of [ 3 H]DA (Table 1 ).",full_text_seen,mixed,"Table 1, Chunk C011",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Dopamine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A3""}",DAT (SLC6A3),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Dopamine transporter,,MDMA,DAT (SLC6A3),,,,,DAT,molecular_target,Dopamine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,inhibitor,[3H]DA transport inhibition,inhibition assay,inhibitor,IC50,1020.0,nM,not_applicable,human,HEK-293 cells stably transfected with human DAT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 2 2 Comparison of the affinities of MDMA, endoge- Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) nous substrates, and uptake inhibitors (IC 50 ) for inhibiting the transport of [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT (±)MDMA 1,020±291 (n=5) ... (±)-MDMA inhibited [ 3 H]DA transport in a concentration-dependent manner (Fig. 3b , top right), with relatively low affinity (IC 50 1,020±291 nM)",full_text_seen,mixed,"Table 2, Chunk C011",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Dopamine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A3""}",DAT (SLC6A3),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Dopamine transporter,,MDMA,DAT (SLC6A3),,,,,DAT,molecular_target,Dopamine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,release,[3H]DA release assay,release assay,release,IC50,1290.0,nM,not_applicable,human,HEK-293 cells stably transfected with human DAT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 4 4 Potency of (±)MDMA and DA, NE, or 5-HT to release preloaded [ 3 H]DA from the DAT, [ 3 H]NE from the NET, and [ 3 H]5-HT from the SERT Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) (±)MDMA 1,290±198 (n=3) ... (±)-MDMA released DA from the cells, in a concentration-dependent manner, with an apparent affinity (1,290±198 nM) that corresponded to its affinity as a substrate (Fig. 3d and Tables 1 , 2 , and 4 ).",full_text_seen,mixed,"Table 4, Chunk C012",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Dopamine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A3""}",DAT (SLC6A3),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Norepinephrine transporter,,MDMA,NET (SLC6A2),,,,,NET,molecular_target,Norepinephrine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,substrate / transport,[3H](±)-MDMA transport,transport assay,substrate / transport,Other,377.0,nM,not_applicable,human,HEK-293 cells stably transfected with human NET,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 1 1 Affinities (K m , nM) and maximal transport velocity (V max , fmol min -1 10 6 cells -1 ) of [ 3 H](±)MDMA, [ 3 H](+)MDMA, and [ 3 H](-) MDMA at the DAT, NET, and SERT and [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT Radioligand DAT NET SERT ... [ 3 H](±)MDMA ... 377±235 (n=9) ... Under these assay conditions, the affinity of [ 3 H](±)-MDMA (K m 377±235 nM) for the NET was four times higher than its affinity for the DAT and higher than that of [ 3 H]NE for the NET (K m 789±126 nM) (Table 1 and Fig. 4a ).",full_text_seen,mixed,"Table 1, Chunk C012",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Norepinephrine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A2""}",NET (SLC6A2),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Norepinephrine transporter,,MDMA,NET (SLC6A2),,,,,NET,molecular_target,Norepinephrine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,inhibitor,[3H]NE transport inhibition,inhibition assay,inhibitor,IC50,375.0,nM,not_applicable,human,HEK-293 cells stably transfected with human NET,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 2 2 Comparison of the affinities of MDMA, endoge- Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) nous substrates, and uptake inhibitors (IC 50 ) for inhibiting the transport of [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT (±)MDMA ... 375±60 (n=5) ... The affinity of [ 3 H](±)-MDMA as a NET substrate (K m 377±235 nM) paralleled its potency for blocking [ 3 H]NE transport (IC 50 375±60 nM) (Fig. 4a , b , Tables 1 and 2 ).",full_text_seen,mixed,"Table 2, Chunk C012",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Norepinephrine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A2""}",NET (SLC6A2),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Norepinephrine transporter,,MDMA,NET (SLC6A2),,,,,NET,molecular_target,Norepinephrine transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,release,[3H]NE release assay,release assay,release,IC50,267.0,nM,not_applicable,human,HEK-293 cells stably transfected with human NET,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 4 4 Potency of (±)MDMA and DA, NE, or 5-HT to release preloaded [ 3 H]DA from the DAT, [ 3 H]NE from the NET, and [ 3 H]5-HT from the SERT Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) (±)MDMA ... 267±25 (n=4) ... (±)-MDMA released [ 3 H]NE from hNET cells preloaded with [ 3 H]NE in a dose-dependent manner (Fig. 4d and Table 4 ). The apparent affinity for [ 3 H]NE release, 267±25, corresponded to its affinity as a NET substrate (Fig. 4d and Tables 1 , 2 , and 4 )",full_text_seen,mixed,"Table 4, Chunk C012",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Norepinephrine transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A2""}",NET (SLC6A2),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Serotonin transporter,,MDMA,SERT (SLC6A4),,,,,SERT,molecular_target,Serotonin transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,substrate / transport,[3H](±)-MDMA transport,transport assay,substrate / transport,Other,910.0,nM,not_applicable,human,HEK-293 cells stably transfected with human SERT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 1 1 Affinities (K m , nM) and maximal transport velocity (V max , fmol min -1 10 6 cells -1 ) of [ 3 H](±)MDMA, [ 3 H](+)MDMA, and [ 3 H](-) MDMA at the DAT, NET, and SERT and [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT Radioligand DAT NET SERT ... [ 3 H](±)MDMA ... 910±496 (n=6) ... In comparison with [ 3 H]5-HT, [ 3 H](±)MDMA affinity was approximately 50% lower (K m 910±496 nM)",full_text_seen,mixed,"Table 1, Chunk C013",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Serotonin transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",SERT (SLC6A4),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Serotonin transporter,,MDMA,SERT (SLC6A4),,,,,SERT,molecular_target,Serotonin transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,inhibitor,[3H]5-HT transport inhibition,inhibition assay,inhibitor,IC50,1340.0,nM,not_applicable,human,HEK-293 cells stably transfected with human SERT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 2 2 Comparison of the affinities of MDMA, endoge- Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) nous substrates, and uptake inhibitors (IC 50 ) for inhibiting the transport of [ 3 H]DA at the DAT, [ 3 H]NE at the NET, and [ 3 H]5-HT at the SERT (±)MDMA ... 1,340±280 (n=5) ... Unlabeled (±)-MDMA was a relatively weak inhibitor of [ 3 H]5-HT transport by the human SERT, with potencies falling in the same range as transport affinities (K m 910±496 vs 1,340±280 nM, Tables 1 , 2 and Fig. 5b , top right).",full_text_seen,mixed,"Table 2, Chunk C013",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Serotonin transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",SERT (SLC6A4),1.0,,,,,
normalized,compound and graph entity matched local registry,(±)-MDMA,Serotonin transporter,,MDMA,SERT (SLC6A4),,,,,SERT,molecular_target,Serotonin transporter,target,True,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",compound_target,not_applicable,not_applicable,release,[3H]5-HT release assay,release assay,release,IC50,874.0,nM,not_applicable,human,HEK-293 cells stably transfected with human SERT,in_vitro,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,2005,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Table 4 4 Potency of (±)MDMA and DA, NE, or 5-HT to release preloaded [ 3 H]DA from the DAT, [ 3 H]NE from the NET, and [ 3 H]5-HT from the SERT Compound DAT IC 50 (nM) NET IC 50 (nM) SERT IC 50 (nM) (±)MDMA ... 874±35 (n=3) ... (±)-MDMA effectively released [ 3 H]5-HT from hSERT cells preloaded with [ 3 H]5-HT (Table 4 ). The apparent ... affinity for [ 3 H]5-HT release, 874±35, corresponded to its affinity as a SERT substrate (Fig. 5d and Tables 1 , 2 and 4 ).",full_text_seen,mixed,"Table 4, Chunk C013",in vitro experiment,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Psychopharmacology,journal-article,2005-10-11,0033-3158,1432-2072,Springer Science and Business Media LLC,"Binding, Competitive | Brain / drug effects | Brain / metabolism | Cell Line | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Kinetics | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / metabolism | Norepinephrine / metabolism | Norepinephrine Plasma Membrane Transport Proteins / drug effects | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Plasma Membrane Neurotransmitter Transport Proteins / drug effects | Plasma Membrane Neurotransmitter Transport Proteins / genetics | Plasma Membrane Neurotransmitter Transport Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / chemistry | Serotonin Agents / metabolism | Serotonin Agents / toxicity | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism | Stereoisomerism | Temperature | Transfection",NIDA NIH HHS | NCRR NIH HHS | NIH HHS,DA06303 | RR 00168 | DA11558 | P51 OD011103 | P51 RR000168 | DA15305 | K05 DA015305 | R01 DA011558,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,alias,(±)-MDMA,Serotonin transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",SERT (SLC6A4),1.0,,,,,
entity_unmapped,graph entity `Asp98` did not match registry,MDMA,hSERT,,MDMA,,,,,,amine-Asp98 ionic and edge-to-face π-π interactions,molecular_target,Asp98,target,True,10.1016/j.heliyon.2021.e07784,"Induced fit, ensemble binding space docking and Monte Carlo simulations of MDMA 'ecstasy' and 3D pharmacophore design of MDMA derivatives on the human serotonin transporter (hSERT).",compound_target,not_applicable,not_applicable,"ionic interaction, pi-pi interaction","computational modeling, Monte Carlo simulations",binding,"ionic interaction, pi-pi interaction",,,,not_applicable,human,computational model,in_vitro,Islas ÁA; Moreno LG; Scior T,2021,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"We conclude that the conserved amine-Asp98 ionic and edge-to-face π-π interactions are crucial to the mode of action of MDMA on the hSERT, underscoring the contributions of Tyr95 and gating residues Phe341, Tyr176 and Phe335.",full_text_seen,abstract,S001,computational modeling,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Heliyon,Journal Article,2021-08-13,2405-8440,,,,,,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,MDMA,Asp98,needs_external_id_lookup,,{},{},,0.0,Entactogen | MDA | MDAI | Psychoactive | Symporter,,,,
