study_doi,dataset,extraction_scope,best_llm_relevance,included_from_runs,screening_record_count,readiness_status,extraction_input_tier,fulltext_ready,fulltext_artifact_path,fulltext_char_count,has_abstract,pdf_local_path,pdf_download_status,study_title,study_year,authors,study_journal,publication_type,publication_date,pmid,pmcid
10.1001/archgenpsychiatry.2007.37,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Glutamate and the Neural Basis of the Subjective Effects of Ketamine,2008,J. F. William Deakin; Jane Lees; Shane McKie; Jaime E. C. Hallak; Steve R. Williams; Serdar M. Dursun,Archives of General Psychiatry,journal-article,2008-02-01,18250253,
10.1001/archgenpsychiatry.2011.156,mechanistic,psychedelic_compound_x_target,relevant,direct_pair_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,"Evidence for Chronically Altered Serotonin Function in the Cerebral Cortex of Female 3,4-Methylenedioxymethamphetamine Polydrug Users",2011,Tristan J. Watkins,Archives of General Psychiatry,journal-article,2011-12-06,22147810,PMC3538835
10.1001/archgenpsychiatry.2011.56,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,download_failed,"In Vivo Imaging of Cerebral Serotonin Transporter and Serotonin2A Receptor Binding in 3,4-Methylenedioxymethamphetamine (MDMA or “Ecstasy”) and Hallucinogen Users",2011,David Erritzoe; Vibe G. Frokjaer; Klaus K. Holst; Maria Christoffersen; Sys S. Johansen; Claus Svarer; Jacob Madsen; Peter M. Rasmussen; Thomas Ramsøy; Terry L. Jernigan,Archives of General Psychiatry,journal-article,2011-06-06,21646575,
10.1001/archpsyc.1981.01780280046004,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Tritiated LSD Binding in Frontal Cortex in Schizophrenia,1981,Patricia M. Whitaker,Archives of General Psychiatry,journal-article,1981-03-01,6111301,
10.1001/archpsyc.57.12.1139,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Ketamine-Induced Deficits in Auditory and Visual Context-Dependent Processing in Healthy Volunteers,2000,Daniel Umbricht; Liselotte Schmid; Rene Koller; Franz X. Vollenweider; Daniel Hell; Daniel C. Javitt,Archives of General Psychiatry,journal-article,2000-12-01,11115327,
10.1001/archpsyc.57.3.270,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Attenuation of the Neuropsychiatric Effects of Ketamine With Lamotrigine,2000,Amit Anand; Dennis S. Charney; Dan A. Oren; Robert M. Berman; X. Sylvia Hu; Angela Cappiello; John H. Krystal,Archives of General Psychiatry,journal-article,2000-03-01,10711913,
10.1001/archpsyc.58.10.901,mechanistic,psychedelic_compound_x_target,uncertain,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,"Cortical Serotonin Transporter Density and Verbal Memory in Individuals Who Stopped Using 3,4-Methylenedioxymethamphetamine (MDMA or ""Ecstasy"")",2001,Liesbeth Reneman; Jules Lavalaye; Ben Schmand; Frederik A. de Wolff; Wim van den Brink; Gerard J. den Heeten; Jan Booij,Archives of General Psychiatry,journal-article,2001-10-01,11576026,
10.1001/archpsyc.63.8.856,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,download_failed,A Randomized Trial of an N-methyl-D-aspartate Antagonist in Treatment-Resistant Major Depression,2006,Carlos A. Zarate; Jaskaran B. Singh; Paul J. Carlson; Nancy E. Brutsche; Rezvan Ameli; David A. Luckenbaugh; Dennis S. Charney; Husseini K. Manji,Archives of General Psychiatry,journal-article,2006-08-01,16894061,
10.1002/(sici)1098-2396(199806)29:2<142::aid-syn5>3.0.co;2-7,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Effects of NMDA antagonism on striatal dopamine release in healthy subjects: Application of a novel PET approach,1998,Alan Breier; Caleb M. Adler; Neil Weisenfeld; Tung-Ping Su; Igor Elman; Lisa Picken; Anil K. Malhotra; David Pickar,Synapse,journal-article,1998-06-01,9593104,
10.1002/(sici)1098-2396(199806)29:2<183::aid-syn9>3.0.co;2-3,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,download_failed,In vivo detection of short- and long-term MDMA neurotoxicity?a positron emission tomography study in the living baboon brain,1998,Ursula Scheffel; Zsolt Szabo; William B. Mathews; Paige A. Finley; Robert F. Dannals; Hayden T. Ravert; Katalina Szabo; Jie Yuan; George A. Ricaurte,Synapse,journal-article,1998-06-01,9593108,
10.1002/(sici)1098-2396(200004)36:1<75::aid-syn8>3.0.co;2-i,mechanistic,psychedelic_compound_x_target,relevant,direct_pair_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,"3,4-Methylenedioxymetamphetamine (ecstasy) induces c-fos-like protein and mRNA in rat organotypic dorsal striatal slices",2000,Dieter S. Schatz; Walter A. Kaufmann; Rufina Schuligoi; Christian Humpel; Alois Saria,Synapse,journal-article,2000-04-01,10700028,
10.1002/(sici)1099-1263(199607)16:4<297::aid-jat356>3.0.co;2-v,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,"NMDA Receptor-blocker Ketamine Protects During Acute Carbon Monoxide Poisoning, While Calcium Channel-blocker Verapamil Does Not",1996,David G. Penney; Kangmei Chen,Journal of Applied Toxicology,journal-article,1996-07-01,8854215,
10.1002/(sici)1520-636x(1999)11:10<741::aid-chir1>3.0.co;2-2,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Determination of absolute configuration of ketamine enantiomers by HPLC-CD-UV technique,1999,Andr�s Gergely; Ferenc Zsila; P�ter Horv�th; Gy�rgy Sz�sz,Chirality,journal-article,1999-01-01,10561702,
10.1002/(sici)1520-6394(1997)5:1<29::aid-da5>3.0.co;2-0,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,"Acute effects of ketamine in the holeboard, the elevated-plus maze, and the social interaction test in Wistar rats",1997,J.S. Silvestre; R. Nadal; M. Pallar�s; N. Ferr�,Depression and Anxiety,journal-article,1997-01-01,9250438,
10.1002/(sici)1521-3838(199912)18:6<548::aid-qsar548>3.0.co;2-b,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Quasi-atomistic Receptor Surrogates for the 5-HT2A Receptor: A 3D-QSAR Study on Hallucinogenic Substances,1999,Meike Schulze-Alexandru; Karl-Artur Kovar; Angelo Vedani,Quantitative Structure-Activity Relationships,journal-article,1999-12,,
10.1002/(sici)1522-2586(199910)10:4<521::aid-jmri4>3.0.co;2-9,mechanistic,psychedelic_compound_x_target,uncertain,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,download_failed,"Cerebral1H MRS alterations in recreational 3,4-methylenedioxymethamphetamine (MDMA, ?ecstasy?) users",1999,L. Chang; T. Ernst; C.S. Grob; R.E. Poland,Journal of Magnetic Resonance Imaging,journal-article,1999-10-01,10508318,
10.1002/(sici)1522-7146(1996)11:5<217::aid-jbt2>3.0.co;2-n,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Characterization of [3H]MK-801 binding to N-methyl-D-aspartate receptors in cultured rat cerebellar granule neurons and involvement in glutamate-mediated toxicity,1996,Frederick W. Berman; Thomas F. Murray,Journal of Biochemical Toxicology,journal-article,1996-01-01,9110243,
10.1002/1097-4547(20000915)61:6<674::aid-jnr11>3.0.co;2-f,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,In vitro autoradiography of serotonin 5-HT2A/2C receptor-activated G protein: Guanosine-5?-(?-[35S]thio)triphosphate binding in rat brain,2000,Mella Adlersberg; Victoria Arango; Shu-chi Hsiung; J. John Mann; Mark D. Underwood; Kuo-peing Liu; Suham A. Kassir; David A. Ruggiero; Hadassah Tamir,Journal of Neuroscience Research,journal-article,2000-01-01,10972964,
10.1002/1098-2396(200008)37:2<95::aid-syn3>3.0.co;2-h,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Ketamine decreased striatal [11C]raclopride binding with no alterations in static dopamine concentrations in the striatal extracellular fluid in the monkey brain: Multiparametric PET studies combined with microdialysis analysis,2000,Hideo Tsukada; Norihiro Harada; Shingo Nishiyama; Hiroyuki Ohba; Kengo Sato; Dai Fukumoto; Takeharu Kakiuchi,Synapse,journal-article,2000-01-01,10881030,
10.1002/14651858.cd006380.pub2,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Pharmacologic interventions for treating phantom limb pain,2011,Maria Jenelyn M Alviar; Tom Hale; Monalisa Dungca,Cochrane Database of Systematic Reviews,reference-entry,2011-12-05,22161403,
10.1002/1521-3838(200012)19:6<565::aid-qsar565>3.0.co;2-2,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,not_open_access,Induced Fit—The Key for Understanding LSD Activity? A 4D‐QSAR Study on the 5‐HT2A Receptor System,2000,D. Streich; Margareta Neuburger‐Zehnder; A. Vedani,Quantitative Structure-activity Relationships,journal-article,2000-12-01,,
10.1002/1873-3468.15099,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,full_text_ready,full_text,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/mechanistic/10_1002_1873_3468_15099.json,172033,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_1873-3468.15099__e6bab781a7.pdf,already_present,"Molecular insights into the modulation of the 5 <scp>HT</scp> <sub> 2 <scp>A</scp> </sub> receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,FEBS Letters,journal-article,2025-01-26,39865564,PMC11931985
10.1002/2211-5463.13219,mechanistic,psychedelic_compound_x_target,relevant,grouped_search_2026_05,1,full_text_ready,full_text,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/mechanistic/10_1002_2211_5463_13219.json,30021,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_2211-5463.13219__9e52c95949.pdf,already_present,Salvinorin A inhibits ovalbumin‐stimulated allergic rhinitis and RBL‐2H3 cells degranulation,2021,Qiyang Shou; Tao Tan; Faying Xu,FEBS Open Bio,journal-article,2021-06-06,34092045,PMC8329952
10.1002/ab.22022,mechanistic,psychedelic_compound_x_target,relevant,screened_corpus_2026_05,1,abstract_only_needs_pdf_access,abstract,False,,0,True,,download_failed,Opposing effects of NMDA receptor antagonists on early life stress‐induced aggression in mice,2022,Jacob C. Nordman; Caitlyn J. Bartsch; Zheng Li,Aggressive Behavior,journal-article,2022-02-04,35122262,PMC9007895
