claim_type,compound,target,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,source_access_level,evidence_location,evidence_locator,study_design,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_target,Psychedelics,serotonin 2A receptor (5-HT2AR),serotonin 2A receptor (5-HT2AR),molecular_target,,serotonin 2A receptor (5-HT2AR),target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1016/j.isci.2024.109631,,Human pluripotent stem cells as a translational toolkit in psychedelic research in vitro.,Salerno JA; Rehen S,2024,iScience,Journal Article | Review,,2024-03-28,2589-0042,2589-0042,,,Biological sciences | Cell biology | Cellular neuroscience | Natural sciences | Neuroscience | Pharmacology | Stem cells research,,,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,abstract,C001,secondary_literature,,,,,,,,,,,,,,,Murine neurons and immortalized non-neural cell lines harboring overexpressed constructs have shed light on neuroplastic changes mediated by the serotonin 2A receptor (5-HT2AR) as the primary mechanism.,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Psychedelics,5HT2A receptors,5HT2A receptors,molecular_target,,5HT2A receptors,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"The effects of psychedelics are considered to be mediated by their binding to 5HT2A receptors, and 5HT2A receptor antagonists indeed block the hallucinogenic effects of these compounds [140, 141].",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,LSD,TrkB receptors,TrkB receptors,molecular_target,,TrkB receptors,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Psilocin,TrkB receptors,TrkB receptors,molecular_target,,TrkB receptors,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Methoxetamine,NMDAR,NMDAR,molecular_target,,NMDAR,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"Like ketamine, MXE is thought to act as a noncompetitive NMDAR antagonist, with slightly higher af fi nity (Ki = 0.259 
	M) than ketamine (Ki = 0.659 
	M) for the PCP site [132]",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Methoxetamine,SERT,SERT,molecular_target,,SERT,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"it also inhibits SERT at low concentrations (Ki = 0.481 
	M [132] and IC50 = 2 
	M [133]), unlike ketamine and more potently than PCP (Ki = 2.234 
	M[132])",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Methoxetamine,NET,NET,molecular_target,,NET,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Methoxetamine,DAT,DAT,molecular_target,,DAT,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C009,secondary_literature,,,,,,,,,,,,,,,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Ketamine,TrkB,TrkB,molecular_target,,TrkB,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C008,secondary_literature,,,,,,,,,,,,,,,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_target,Esketamine,TrkB,TrkB,molecular_target,,TrkB,target,True,,secondary literature coverage,,,,,,,not_applicable,,,unknown,10.1038/s41386-023-01725-x,,"Antidepressants enter cells, organelles, and membranes",Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,,eng,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,text,C008,secondary_literature,,,,,,,,,,,,,,,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
