normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,funders,grant_ids,language,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,keywords,related_dois,publication_relations,semantic_scholar_id,has_correction
normalized,compound and graph entity matched local registry,LSD,TrkB (NTRK2),,LSD,TrkB (NTRK2),LSD,TrkB receptors,,TrkB receptors,TrkB receptors,molecular_target,TrkB (NTRK2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",,,,,
normalized,compound and graph entity matched local registry,Psilocin,TrkB (NTRK2),,Psilocin,TrkB (NTRK2),Psilocin,TrkB receptors,,TrkB receptors,TrkB receptors,molecular_target,TrkB (NTRK2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",,,,,
normalized,compound and graph entity matched local registry,Methoxetamine,NMDA receptor,,Methoxetamine,NMDA receptor,Methoxetamine,NMDAR,,NMDAR,NMDAR,molecular_target,NMDA receptor,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Like ketamine, MXE is thought to act as a noncompetitive NMDAR antagonist, with slightly higher af fi nity (Ki = 0.259 
	M) than ketamine (Ki = 0.659 
	M) for the PCP site [132]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},,,,,
normalized,compound and graph entity matched local registry,Methoxetamine,SERT (SLC6A4),,Methoxetamine,SERT (SLC6A4),Methoxetamine,SERT,,SERT,SERT,molecular_target,SERT (SLC6A4),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"it also inhibits SERT at low concentrations (Ki = 0.481 
	M [132] and IC50 = 2 
	M [133]), unlike ketamine and more potently than PCP (Ki = 2.234 
	M[132])",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",,,,,
normalized,compound and graph entity matched local registry,Methoxetamine,NET (SLC6A2),,Methoxetamine,NET (SLC6A2),Methoxetamine,NET,,NET,NET,molecular_target,NET (SLC6A2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A2""}",,,,,
normalized,compound and graph entity matched local registry,Methoxetamine,DAT (SLC6A3),,Methoxetamine,DAT (SLC6A3),Methoxetamine,DAT,,DAT,DAT,molecular_target,DAT (SLC6A3),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A3""}",,,,,
normalized,compound and graph entity matched local registry,Ketamine,TrkB (NTRK2),,Ketamine,TrkB (NTRK2),Ketamine,TrkB,,TrkB,TrkB,molecular_target,TrkB (NTRK2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",secondary_summary,full_text_seen,text,C008,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",,,,,
normalized,compound and graph entity matched local registry,S-ketamine,TrkB (NTRK2),,S-ketamine,TrkB (NTRK2),Esketamine,TrkB,,TrkB,TrkB,molecular_target,TrkB (NTRK2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",secondary_summary,full_text_seen,text,C008,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,alias,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",,,,,
normalized,compound and graph entity matched local registry,"(2R,6R)-hydroxynorketamine",TrkB (NTRK2),,"(2R,6R)-hydroxynorketamine",TrkB (NTRK2),"(2R,6R)-hydroxynorketamine",TrkB,,TrkB,TrkB,molecular_target,TrkB (NTRK2),target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"2 R,6R-HNK was subsequently found to bind to TrkB, and its plasticity-promoting effects are lost in TrkB mutants with poorer af fi nity [14, 58, 60]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,NCT05414422,2023-10-02,0893-133X,1740-634X,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,eng,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",,,,,
normalized,compound and graph entity matched local registry,LSD,Neuroplasticity,,LSD,Neuroplasticity,LSD,neuroplasticity,,neuroplasticity,neuroplasticity,molecular_target,Neuroplasticity,target,True,10.48550/arxiv.2411.19840,Neuroplasticity and Psychedelics: a comprehensive examination of classic and non-classic compounds in pre and clinical models,compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Claudio Agnorelli; Meg J. Spriggs; Kate Godfrey; Gabriela Sawicka; Bettina Bohl; Hannah Douglass; Andrea Fagiolini; Hashemi Parastoo; Robin Carhart‐Harris; David Nutt,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"This review examines how classic psychedelics (e.g., LSD, psilocybin, N,N-DMT) and non-classic psychedelics (e.g., ketamine, MDMA) influence neuroplasticity.",secondary_summary,full_text_seen,abstract,C001,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",,,,2024,,,,,,,,low,label,label,needs_external_id_lookup,pathway_or_process,{},{},,,,,
