normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,keywords,language,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,trial_registry_ids,publisher,mesh_terms,funders,grant_ids,related_dois,publication_relations,semantic_scholar_id,has_correction
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,Psychedelics,serotonin 2A receptor (5-HT2AR),,,5-HT2A,,,,,serotonin 2A receptor (5-HT2AR),molecular_target,serotonin 2A receptor (5-HT2AR),target,True,10.1016/j.isci.2024.109631,Human pluripotent stem cells as a translational toolkit in psychedelic research in vitro.,compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Salerno JA; Rehen S,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Murine neurons and immortalized non-neural cell lines harboring overexpressed constructs have shed light on neuroplastic changes mediated by the serotonin 2A receptor (5-HT2AR) as the primary mechanism.,secondary_summary,full_text_seen,abstract,C001,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",iScience,Journal Article | Review,2024-03-28,2589-0042,2589-0042,Biological sciences | Cell biology | Cellular neuroscience | Natural sciences | Neuroscience | Pharmacology | Stem cells research,eng,low,mechanistic,targets,,alias,Psychedelics,serotonin 2A receptor (5-HT2AR),,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,Psychedelics,5HT2A receptors,,,5-HT2A,,,,,5HT2A receptors,molecular_target,5HT2A receptors,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"The effects of psychedelics are considered to be mediated by their binding to 5HT2A receptors, and 5HT2A receptor antagonists indeed block the hallucinogenic effects of these compounds [140, 141].",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,,alias,Psychedelics,5HT2A receptors,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
normalized,compound and graph entity matched local registry,LSD,TrkB receptors,,LSD,TrkB (NTRK2),,,,,TrkB receptors,molecular_target,TrkB receptors,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,label,alias,LSD,TrkB receptors,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",TrkB (NTRK2),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
normalized,compound and graph entity matched local registry,Psilocin,TrkB receptors,,Psilocin,TrkB (NTRK2),,,,,TrkB receptors,molecular_target,TrkB receptors,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"In other recent data, LSD and psilocin bind to TrkB receptors with high af fi nity, thereby sensitizing TrkB to BDNF, and their plasticity-promoting and antidepressant-like effects are mediated by TrkB; but the hallucinogenic effects are produced through 5HT2A receptors [7].",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,label,alias,Psilocin,TrkB receptors,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",TrkB (NTRK2),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
compound_unmapped,compound `Methoxetamine` did not match registry,Methoxetamine,NMDAR,,,NMDA receptor,,,,,NMDAR,molecular_target,NMDAR,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Like ketamine, MXE is thought to act as a noncompetitive NMDAR antagonist, with slightly higher af fi nity (Ki = 0.259 
	M) than ketamine (Ki = 0.659 
	M) for the PCP site [132]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,,alias,Methoxetamine,NMDAR,,complex_target_needs_subunit_mapping,{},{},NMDA receptor,1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
compound_unmapped,compound `Methoxetamine` did not match registry,Methoxetamine,SERT,,,SERT (SLC6A4),,,,,SERT,molecular_target,SERT,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"it also inhibits SERT at low concentrations (Ki = 0.481 
	M [132] and IC50 = 2 
	M [133]), unlike ketamine and more potently than PCP (Ki = 2.234 
	M[132])",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,,alias,Methoxetamine,SERT,,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",SERT (SLC6A4),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
compound_unmapped,compound `Methoxetamine` did not match registry,Methoxetamine,NET,,,NET (SLC6A2),,,,,NET,molecular_target,NET,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,,alias,Methoxetamine,NET,,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A2""}",NET (SLC6A2),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
compound_unmapped,compound `Methoxetamine` did not match registry,Methoxetamine,DAT,,,DAT (SLC6A3),,,,,DAT,molecular_target,DAT,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"and it can also inhibit the NE transporter (NET; IC50 = 20 
	M) and the DA transporter (DAT; IC50 = 33 
	M) [133]",secondary_summary,full_text_seen,text,C009,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,,alias,Methoxetamine,DAT,,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A3""}",DAT (SLC6A3),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
normalized,compound and graph entity matched local registry,Ketamine,TrkB,,Ketamine,TrkB (NTRK2),,,,,TrkB,molecular_target,TrkB,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",secondary_summary,full_text_seen,text,C008,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,label,alias,Ketamine,TrkB,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",TrkB (NTRK2),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
normalized,compound and graph entity matched local registry,Esketamine,TrkB,,S-ketamine,TrkB (NTRK2),,,,,TrkB,molecular_target,TrkB,target,True,10.1038/s41386-023-01725-x,"Antidepressants enter cells, organelles, and membranes",compound_target,,,secondary literature coverage,,,,,,,not_applicable,,,unknown,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Ketamine and esketamine were recently shown to bind to the BDNF receptor TrkB, which was shown to mediate many of the plasticity-promoting effects in vitro and in mice [7, 57]",secondary_summary,full_text_seen,text,C008,secondary_literature,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychopharmacology,journal-article,2023-10-02,0893-133X,1740-634X,,eng,low,mechanistic,targets,alias,alias,Esketamine,TrkB,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""NTRK2""}",TrkB (NTRK2),1.0,NCT05414422,Springer Science and Business Media LLC,Ketamine | Antidepressive Agents / therapeutic use | Selective Serotonin Reuptake Inhibitors | Norepinephrine / metabolism | Organelles / metabolism,Tobacco-Related Disease Research Program (TRDRP) | NIGMS NIH HHS | NIDA NIH HHS,27IP-0057 | R01 GM123582 | R21 DA043829 | R21 DA049140,,,,
