access_level,affinity_type,affinity_unit,affinity_value,assay_type,authors,compound,created_at_utc,evidence_level,evidence_location,evidence_locator,notes,openalex_id,paper_type,source,source_type,species,stub_status,study_design,study_doi,study_title,study_year,system,target
abstract_only,Other,,,radioligand binding,Mella Adlersberg; Victoria Arango; Shu-chi Hsiung; J. John Mann; Mark D. Underwood; Kuo-peing Liu; Suham A. Kassir; David A. Ruggiero; Hadassah Tamir,DOI,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: Agonist activation of G protein-coupled receptors induces an increase in the binding of guanosine 5'-(gamma-[(35)S]thio)triphosphate ([(35)S]GTPgammaS); this increase in,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/1097-4547(20000915)61:6<674::AID-JNR11>3.0.CO;2-F,In vitro autoradiography of serotonin 5-HT2A/2C receptor-activated G protein: Guanosine-5?-(?-[35S]thio)triphosphate binding in rat brain,2000,in_vitro,5-HT2A
abstract_only,Other,,,radioligand binding,Daniel Streich; Margareta Neuburger-Zehnder; Angelo Vedani,LSD,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Using a 4D-QSAR approach (software Quasar) allowing for multiple-conformation, orientation and protonation-state ligand representation as well as for the simulation of in",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/1521-3838(200012)19:6<565::aid-qsar565>3.0.co;2-2,Induced Fit—The Key for Understanding LSD Activity? A 4D-QSAR Study on the 5-HT2A Receptor System,2000,unknown,5-HT2A
abstract_only,Other,,,radioligand binding,Jacob C. Nordman; Caitlyn J. Bartsch; Zheng Li,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: Rates of childhood trauma are high amongst violent offenders who frequently recidivate. Few clinical options are available to treat excessive and recurring violent aggres,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,protocol,doi,primary_study,,pending_curation,preclinical_study,10.1002/ab.22022,Opposing effects of NMDA receptor antagonists on early life stress‐induced aggression in mice,2022,unknown,NMDA receptor
abstract_only,Other,,,,Yinxin Wang; Jiangang Xu; Xinyu Zhou; Lu Che; Minghan Qiu; Yang Liu; Ming Gao; Zhen Yang,S-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Esketamine and ketamine are perioperative analgesics and anesthetics that have been widely adopted in clinical practice in Europe and the United States. However, their ap",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/advs.202516024,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,unknown,NMDA receptor
abstract_only,Other,,,functional assay,Chuanjun Zhuo; Hongjun Tian; Gongying Li; Min Chen; Deguo Jiang; Xiaodong Lin; Yong Xu; Wenqiang Wang,S-ketamine,2026-04-22T05:12:28.269832+00:00,high,abstract,"Abstract snippet: Abstract Background The breakthrough discovery has been made that a single dose of ketamine, an N‐methyl‐D‐aspartate receptor antagonist, achieves rapid and sustained (~7",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,protocol,doi,primary_study,,pending_curation,randomized_controlled_trial,10.1002/brb3.1423,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,unknown,NMDA receptor
abstract_only,Other,,,radioligand binding,Louisa Temme; Dirk Schepmann; Julian A. Schreiber; Bastian Frehland; Bernhard Wünsch,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Because only a few studies have investigated the affinity and functional activity of NMDA receptor open channel blockers under the same assay conditions, a compa",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/cmdc.201700810,Comparative Pharmacological Study of Common NMDA Receptor Open Channel Blockers Regarding Their Affinity and Functional Activity toward GluN2A and GluN2B NMDA Receptors,2018,unknown,NMDA receptor
abstract_only,Other,,,radioligand binding,Louisa Temme; Dirk Schepmann; Julian A. Schreiber; Bastian Frehland; Bernhard Wünsch,R-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Because only a few studies have investigated the affinity and functional activity of NMDA receptor open channel blockers under the same assay conditions, a compa",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/cmdc.201700810,Comparative Pharmacological Study of Common NMDA Receptor Open Channel Blockers Regarding Their Affinity and Functional Activity toward GluN2A and GluN2B NMDA Receptors,2018,unknown,NMDA receptor
abstract_only,Other,,,,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt,Psilocybin,2026-04-22T05:12:28.269832+00:00,high,abstract,Abstract snippet: The psychedelic psilocybin is being investigated for the treatment of depression and anxiety. Unclear is whether antidepressant treatments interact with psilocybin. The p,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,randomized_controlled_trial,10.1002/cpt.2487,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,unknown,5-HT2A
abstract_only,Other,,,,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt,Psilocin,2026-04-22T05:12:28.269832+00:00,high,abstract,Abstract snippet: The psychedelic psilocybin is being investigated for the treatment of depression and anxiety. Unclear is whether antidepressant treatments interact with psilocybin. The p,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,randomized_controlled_trial,10.1002/cpt.2487,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,unknown,5-HT2A
abstract_only,Other,,,radioligand binding,Brian J. Piper; Christina S. Henderson; Jerrold S. Meyer,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: Intermittent MDMA pretreatment blocked the reductions in serotonin transporter (SERT) binding induced by an MDMA binge in a prior study in adolescent male rats. The objec,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/dev.21169,Adolescent MDMA exposure diminishes the physiological and neurotoxic consequences of an MDMA binge in female rats,2013,unknown,SERT (SLC6A4)
