action_reason,authors,best_pdf_url,contexts,library_status,open_access_is_oa,open_access_status,pdf_download_status,pdf_local_path,study_doi,study_title,study_year
triage_excluded_irrelevant,Kinga Gaweł; Ewa Gibuła‐Tarłowska; Marta Marszałek‐Grabska; Joanna Filarowska; Jolanta H. Kotlińska,https://link.springer.com/content/pdf/10.1007/s00210-018-1589-y.pdf,MDMA -> Post-traumatic stress disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00210-018-1589-y,Assessment of spatial learning and memory in the Barnes maze task in rodents—methodological consideration,2018
triage_excluded_irrelevant,Kim P. C. Kuypers; Jordi Riba; Mario de la Fuente Revenga; Steven A. Barker; Eef L. Theunissen; Johannes G. Ramaekers,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4377-8.pdf,MDMA -> Post-traumatic stress disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-016-4377-8,Ayahuasca enhances creative divergent thinking while decreasing conventional convergent thinking,2016
triage_excluded_irrelevant,Matthias E. Liechti; Patrick C. Dolder; Yasmin Schmid,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4453-0.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-016-4453-0,Alterations of consciousness and mystical-type experiences after acute LSD in humans,2016
triage_excluded_irrelevant,Patrick C. Dolder; Felix Müller; Yasmin Schmid; Stefan Borgwardt; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4650-5.pdf,MDMA -> Post-traumatic stress disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-017-4650-5,"Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects",2017
triage_excluded_irrelevant,Yasmin Schmid; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4733-3.pdf,Psilocybin -> Alcohol use disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-017-4733-3,Long-lasting subjective effects of LSD in normal subjects,2017
triage_excluded_irrelevant,Mendel Kaelen; Bruna Giribaldi; Jordan Raine; Lisa Evans; Christopher Timmerman; Natalie Rodriguez; Leor Roseman; Amanda Feilding; David Nutt; Robin Carhart‐Harris,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4820-5.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-017-4820-5,The hidden therapist: evidence for a central role of music in psychedelic therapy,2018
triage_excluded_irrelevant,Luisa Prochazkova; Dominique P. Lippelt; Lorenza S. Colzato; Martin Kuchař; Zsuzsika Sjoerds; Bernhard Hommel,https://link.springer.com/content/pdf/10.1007/s00213-018-5049-7.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-018-5049-7,Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting,2018
triage_excluded_irrelevant,Malin V. Uthaug; Rafael Lancelotta; Kim van Oorsouw; Kim P. C. Kuypers; Natasha L. Mason; Jakub Rak; Anna Šuláková; Radek Jurok; Michal Maryška; Martin Kuchař,https://link.springer.com/content/pdf/10.1007/s00213-019-05236-w.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-019-05236-w,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",2019
triage_excluded_irrelevant,Malin V. Uthaug; Rafael Lancelotta; Attila Szabó; Alan K. Davis; Jordi Riba; Johannes G. Ramaekers,https://link.springer.com/content/pdf/10.1007/s00213-019-05414-w.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-019-05414-w,"Prospective examination of synthetic 5-methoxy-N,N-dimethyltryptamine inhalation: effects on salivary IL-6, cortisol levels, affect, and non-judgment",2019
triage_excluded_irrelevant,Neiloufar Family; Émeline L. Maillet; Luke T. J. Williams; Erwin Krediet; Robin Carhart‐Harris; Tom A. Williams; Charles D. Nichols; Daniel J. Goble; Shlomi Raz,https://link.springer.com/content/pdf/10.1007/s00213-019-05417-7.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-019-05417-7,"Safety, tolerability, pharmacokinetics, and pharmacodynamics of low dose lysergic acid diethylamide (LSD) in healthy older volunteers",2019
triage_excluded_irrelevant,Nicole Leite Galvão‐Coelho; Wolfgang Marx; Maria Gonzalez; Justin Sinclair; Michael de Manincor; Daniel Perkins; Jerome Sarris,https://link.springer.com/content/pdf/10.1007/s00213-020-05719-1.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-020-05719-1,Classic serotonergic psychedelics for mood and depressive symptoms: a meta-analysis of mood disorder patients and healthy participants,2021
triage_excluded_irrelevant,Rosalind Watts; Hannes Kettner; Dana Geerts; Sam Gandy; Laura Kärtner; Lea J. Mertens; Christopher Timmermann; Matthew M. Nour; Mendel Kaelen; David Nutt,https://link.springer.com/content/pdf/10.1007/s00213-022-06187-5.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s00213-022-06187-5,"The Watts Connectedness Scale: a new scale for measuring a sense of connectedness to self, others, and world",2022
triage_excluded_irrelevant,Alisha M. Bruton; Dalton G. Wesemann; Taryn A. Machingo; Gop Majak; Jeanette M. Johnstone; Rebecca Marshall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12208172/pdf/nihms-2008752.pdf,S-ketamine -> Major depressive disorder,excluded_not_relevant,true,green,pruned_irrelevant,,10.1007/s00787-024-02458-y,"Ketamine for mood disorders, anxiety, and suicidality in children and adolescents: a systematic review",2024
triage_excluded_irrelevant,Belle H. de Rooij; Nicole P. M. Ezendam; Kim A.H. Nicolaije; Paul Lodder; M. Caroline Vos; Johanna M.A. Pijnenborg; Dorry Boll; Roy F.P.M. Kruitwagen; Lonneke V. van de Poll‐Franse,https://link.springer.com/content/pdf/10.1007%2Fs11136-018-1825-4.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s11136-018-1825-4,Survivorship care plans have a negative impact on long-term quality of life and anxiety through more threatening illness perceptions in gynecological cancer patients: the ROGY care trial,2018
triage_excluded_irrelevant,Hua Liu; Mei Song; Zhonghui Zhai; Ruijie Shi; Xiaolan Zhou,https://link.springer.com/content/pdf/10.1007/s11136-018-2063-5.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s11136-018-2063-5,Group singing improves depression and life quality in patients with stable COPD: a randomized community-based trial in China,2019
triage_excluded_irrelevant,Paola Rebora; Valentina Spedale; Giuseppe Occhino; Michela Luciani; Rosaria Alvaro; Ercole Vellone; Bárbara Riegel; Davide Ausili,https://link.springer.com/content/pdf/10.1007/s11136-021-02788-3.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s11136-021-02788-3,"Effectiveness of motivational interviewing on anxiety, depression, sleep quality and quality of life in heart failure patients: secondary analysis of the MOTIVATE-HF randomized controlled trial",2021
triage_excluded_irrelevant,Serena Barello; Gloria Anderson; Marta Acampora; Caterina Bosio; Elena Guida; Vincenzo Irace; Carlo Guastoni; Barbara Bertani; Guendalina Graffigna,https://pmc.ncbi.nlm.nih.gov/articles/PMC10030538/pdf/11255_2022_Article_3374.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s11255-022-03374-3,"The effect of psychosocial interventions on depression, anxiety, and quality of life in hemodialysis patients: a systematic review and a meta-analysis",2022
triage_excluded_irrelevant,Sarah Fitzpatrick; Donald M. Cohen; Ashley Clark,https://link.springer.com/content/pdf/10.1007/s12105-018-0981-8.pdf,MDMA -> Post-traumatic stress disorder,excluded_not_relevant,true,bronze,pruned_irrelevant,,10.1007/s12105-018-0981-8,Ulcerated Lesions of the Oral Mucosa: Clinical and Histologic Review,2018
triage_excluded_irrelevant,Matthew W. Johnson; Roland R. Griffiths,https://link.springer.com/content/pdf/10.1007/s13311-017-0542-y.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,bronze,pruned_irrelevant,,10.1007/s13311-017-0542-y,Potential Therapeutic Effects of Psilocybin,2017
triage_excluded_irrelevant,Emmanuelle A. D. Schindler; R. Andrew Sewell; Christopher Gottschalk; Christina Luddy; L. Taylor Flynn; Hayley Lindsey; Brian Pittman; Nicholas V. Cozzi; Deepak Cyril D’Souza,https://link.springer.com/content/pdf/10.1007/s13311-020-00962-y.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,bronze,pruned_irrelevant,,10.1007/s13311-020-00962-y,Exploratory Controlled Study of the Migraine-Suppressing Effects of Psilocybin,2020
triage_excluded_irrelevant,Patrick C. Dolder; Yasmin Schmid; Andrea E. Steuer; Thomas Kræmer; Katharina Rentsch; Felix Hammann; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs40262-017-0513-9.pdf,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s40262-017-0513-9,Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide in Healthy Subjects,2017
triage_excluded_irrelevant,Joost J. Breeksema; Alistair Niemeijer; Erwin Krediet; Eric Vermetten; Robert A. Schoevers,https://link.springer.com/content/pdf/10.1007/s40263-020-00748-y.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s40263-020-00748-y,Psychedelic Treatments for Psychiatric Disorders: A Systematic Review and Thematic Synthesis of Patient Experiences in Qualitative Studies,2020
triage_excluded_irrelevant,Malia A. Belnap; Kaitlin R. McManus; Erica N. Grodin; Lara A. Ray,https://link.springer.com/content/pdf/10.1007/s40290-024-00526-x.pdf,Psilocybin -> Alcohol use disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1007/s40290-024-00526-x,Endpoints for Pharmacotherapy Trials for Alcohol Use Disorder,2024
triage_excluded_irrelevant,R. Hamish McAllister‐Williams; Celso Arango; Pierre Blier; Koen Demyttenaere; Peter Falkai; Philip Gorwood; Malcolm Hopwood; Afzal Javed; Siegfried Kasper; Gin S. Malhi,https://ars.els-cdn.com/content/image/1-s2.0-S0165032719321925-fx1_lrg.jpg,S-ketamine -> Major depressive disorder,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1016/j.jad.2020.02.023,"The identification, assessment and management of difficult-to-treat depression: An international consensus statement",2020
triage_excluded_irrelevant,Salvador M. Guinjoan,https://pmc.ncbi.nlm.nih.gov/articles/PMC10034711/pdf/nihms-1881054.pdf,S-ketamine -> Major depressive disorder,excluded_not_relevant,true,green,pruned_irrelevant,,10.1016/j.pmip.2023.100100,Personalized definition of surgical targets in major depression and obsessive-compulsive disorder: A potential role for low-intensity focused ultrasound?,2023
triage_excluded_irrelevant,Hayley S. Hancock; Ken Pituch; Karen Uzark; Priya Bhat; Carly G. Fifer; Maria J. Silveira; Sunkyung Yu; Suzanne Welch; Janet E. Donohue; Ray Lowery,https://digitalcommons.wustl.edu/open_access_pubs/6728,LSD -> Anxiety associated with life-threatening disease,excluded_not_relevant,true,green,pruned_irrelevant,,10.1017/S1047951117002761,A randomised trial of early palliative care for maternal stress in infants prenatally diagnosed with single-ventricle heart disease,2018
triage_excluded_irrelevant,Robin Carhart‐Harris; Guy M. Goodwin,https://www.nature.com/articles/npp201784.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,bronze,pruned_irrelevant,,10.1038/npp.2017.84,"The Therapeutic Potential of Psychedelic Drugs: Past, Present, and Future",2017
triage_excluded_irrelevant,Matthias E. Liechti,https://www.nature.com/articles/npp201786.pdf,Psilocybin -> Treatment-resistant depression,excluded_not_relevant,true,hybrid,pruned_irrelevant,,10.1038/npp.2017.86,Modern Clinical Research on LSD,2017
