action_reason,authors,best_pdf_url,contexts,funders,grant_ids,has_correction,is_retracted,journal_eissn,journal_issn,keywords,language,library_status,mesh_terms,metadata_lookup_error,metadata_lookup_warnings,metadata_missing_reason,metadata_provider,metadata_provider_chain,open_access_is_oa,open_access_status,paper_metadata_schema_version,pdf_download_selected_url,pdf_download_status,pdf_local_path,pdf_url_candidates,pmc_europepmc_pdf_url,pmc_oa_checked,pmc_oa_license,pmc_oa_pdf_url,publication_date,publication_relations,publication_type,publisher,related_dois,semantic_scholar_id,study_doi,study_journal,study_title,study_year,trial_registry_ids,unpaywall_best_pdf_url,unpaywall_checked,unpaywall_oa_status,unpaywall_pdf_url_candidates
,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,https://europepmc.org/api/getPdf?pmcid=PMC11931985,Psilocin -> 5-HT2A | Psilocin -> 5-HT2A | Psilocin -> 5-HT2A,Novo Nordisk Fonden | Lundbeck Foundation,NNF18OC0032608 | NNF18OC0034936 | R344-2020-1023,,,1873-3468,0014-5793,5HT2AR | G protein‐coupled receptors | free energy calculations | molecular dynamics simulations | psilocin | psychedelics,eng,in_database,"Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / chemistry | Molecular Dynamics Simulation | Serotonin / chemistry | Serotonin / metabolism | Serotonin / pharmacology | Humans | Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Psilocybin / metabolism | Protein Binding | Ligands | Protein Conformation | Binding Sites",,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC11931985,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_1873-3468.15099__e6bab781a7.pdf,https://europepmc.org/api/getPdf?pmcid=PMC11931985 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11931985/pdf/FEB2-599-876.pdf | https://findresearcher.sdu.dk/ws/files/287811720/FEBS_Letters_-_2025_-_Viohl_-_Molecular_insights_into_the_modulation_of_the_5HT2A_receptor_by_serotonin_psilocin_and_the.pdf | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/1873-3468.15099,,true,CC BY,,2025-01-26,,journal-article,Wiley,,,10.1002/1873-3468.15099,FEBS Letters,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,,https://europepmc.org/api/getPdf?pmcid=PMC11931985,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC11931985 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11931985/pdf/FEB2-599-876.pdf | https://findresearcher.sdu.dk/ws/files/287811720/FEBS_Letters_-_2025_-_Viohl_-_Molecular_insights_into_the_modulation_of_the_5HT2A_receptor_by_serotonin_psilocin_and_the.pdf | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/1873-3468.15099
,Xu Y; Song R; Chen W; Strong K; Shrey D; Gedela S; Traynelis SF; Zhang G; Yuan H,https://europepmc.org/api/getPdf?pmcid=PMC8283169,Ketamine -> NMDA receptor,NICHD NIH HHS | NIMH NIH HHS | NINDS NIH HHS,R01 HD082373 | R21 MH127404 | R35 NS111619,,,2328-9503,2328-9503,,eng,in_database,"Adolescent | Amino Acid Sequence | Animals | Anticonvulsants / pharmacology | Anticonvulsants / therapeutic use | Child, Preschool | Dose-Response Relationship, Drug | Excitatory Amino Acid Agents / pharmacology | Female | Genetic Variation / genetics | HEK293 Cells | Humans | Male | Mutation, Missense / genetics | Nerve Tissue Proteins / agonists | Nerve Tissue Proteins / chemistry | Nerve Tissue Proteins / genetics | Pedigree | Protein Structure, Secondary | Receptors, N-Methyl-D-Aspartate / agonists | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / genetics | Recurrence | Seizures / drug therapy | Seizures / genetics | Seizures / physiopathology | Exome Sequencing / methods | Xenopus laevis",,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC8283169,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_acn3.51406__d043310b53.pdf,https://europepmc.org/api/getPdf?pmcid=PMC8283169 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/2c/37/ACN3-8-1480.PMC8283169.pdf,https://europepmc.org/api/getPdf?pmcid=PMC8283169,true,CC BY-NC-ND,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/2c/37/ACN3-8-1480.PMC8283169.pdf,2021-07-06,,"Case Reports | Journal Article | Research Support, N.I.H., Extramural",,,,10.1002/acn3.51406,Annals of clinical and translational neurology,Recurrent seizure-related GRIN1 variant: Molecular mechanism and targeted therapy.,2021,,,,,
,Yuanpeng Li; Hongyuan Li; Hongshuang Wang; Xiaohui Wang,https://europepmc.org/api/getPdf?pmcid=PMC12061310,DMT -> TAAR1 | MDMA -> DOP-3 | MDMA -> SER-4,"National Natural Science Foundation of China | STI2030-Major Projects | Science and Technology Development Plan Project of Jilin Province | Strategic Priority Research Program of the Chinese Academy of Sciences | Open Research Fund of the State Key Laboratory of Brain-Machine Intelligence, Zhejiang University",T2341003 | T2394480(T2394483) | 2021ZD0203000(2021ZD0203003) | 20240304115SF | XDB0450102 | BMI2400014,,,2198-3844,2198-3844,amphetamine‐type stimulants | dopaminergic and serotonergic pathways | new psychoactive substances | structure‐activity relationships | swimming‐induced paralysis,eng,in_database,Animals | Caenorhabditis elegans / drug effects | Central Nervous System Stimulants / pharmacology | Amphetamines / pharmacology | Amphetamine / pharmacology | Psychotropic Drugs / pharmacology | Methamphetamine / pharmacology,,,,pubmed,pubmed|pmc|unpaywall,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC12061310,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_advs.202500808__d2b03892a6.pdf,https://europepmc.org/api/getPdf?pmcid=PMC12061310 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202500808,,true,CC BY,,2025-03-11,,journal-article,Wiley,,,10.1002/advs.202500808,Advanced Science,"Utilizing
                    <i>Caenorhabditis Elegans</i>
                    as a Rapid and Precise Model for Assessing Amphetamine‐Type Stimulants: A Novel Approach to Evaluating New Psychoactive Substances Activity and Mechanisms",2025,,https://europepmc.org/api/getPdf?pmcid=PMC12061310,true,gold,https://europepmc.org/api/getPdf?pmcid=PMC12061310 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202500808
,Yinxin Wang; Jiangang Xu; Xinyu Zhou; Lu Che; Minghan Qiu; Yang Liu; Ming Gao; Zhen Yang,https://europepmc.org/api/getPdf?pmcid=PMC12866882,S-ketamine -> NMDA receptor | S-ketamine -> NMDA receptor,Tianjin Health Research Project | Natural Science Foundation of Tianjin Municipal Science and Technology Commission | Tianjin Municipal Transportation Commission Science and Technology Development Plan Project,TJWJ2023QN039 | 21JCYBJC01190 | 24JCYBJC01560 | 2024ZXZD013,,,2198-3844,2198-3844,analgesia | antidepressant | antitumor | esketamine | immune‐inflammatory | ketamine,eng,in_database,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Analgesics / pharmacology | Analgesics / therapeutic use | Psychiatry / methods | Animals | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Anesthesia / methods | Medical Oncology / methods",,openalex: RuntimeError: retry_after_exceeded:6442.0s,providers_returned_no_abstract,pubmed,pubmed|pmc|unpaywall,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC12866882,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_advs.202516024__a28daaecc5.pdf,https://europepmc.org/api/getPdf?pmcid=PMC12866882 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202516024,,true,CC BY,,2025-12-14,,journal-article,Wiley,,,10.1002/advs.202516024,Advanced Science,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,,https://europepmc.org/api/getPdf?pmcid=PMC12866882,true,gold,https://europepmc.org/api/getPdf?pmcid=PMC12866882 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202516024
,Gerwe H; He F; Pottie E; Stove C; Decker M,https://europepmc.org/api/getPdf?pmcid=PMC9324199,DMT -> 5-HT2A | LSD -> 5-HT2A,NIDA NIH HHS,HHSN271201800023C,,,1521-3773,1433-7851,5-HT2A Receptor | Phenylazoindoles | Photopharmacology | Psychedelics | Tryptamines,eng,in_database,"Hallucinogens / metabolism | Ligands | N,N-Dimethyltryptamine / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin",,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC9324199,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_anie.202203034__0967e920c5.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9324199 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/06/0a/ANIE-61-0.PMC9324199.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9324199,true,CC BY-NC,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/06/0a/ANIE-61-0.PMC9324199.pdf,2022-04-29,,"Journal Article | Research Support, Non-U.S. Gov't | Research Support, N.I.H., Extramural",,,,10.1002/anie.202203034,Angewandte Chemie (International ed. in English),"Enlightening the ""Spirit Molecule"": Photomodulation of the 5-HT(2A) Receptor by a Light-Controllable N,N-Dimethyltryptamine Derivative.",2022,,,,,
,Judith Stirn; Christian D. Klein,https://europepmc.org/api/getPdf?pmcid=PMC12287680,Psilocybin -> 5-HT2A | Psilocybin -> 5-HT2A,This work was financed solely by internal funds of Heidelberg University and the state of Baden-Württemberg.,,,,1521-4184,0365-6233,ACOM prodrug | buccal/sublingual | psilocin | psychedelic‐assisted therapy | tryptamine,eng,in_database,Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Tryptamines / chemistry | Tryptamines / pharmacology | Prodrugs / chemical synthesis | Carbamates | Indoles | Molecular Structure | Sumatriptan / chemistry | Drug Administration Routes | Humans,,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC12287680,downloaded,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_ardp.70022__e101aff291.pdf,https://europepmc.org/api/getPdf?pmcid=PMC12287680 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ardp.70022,,true,CC BY,,2025-07-01,,journal-article,Wiley,,,10.1002/ardp.70022,Archiv der Pharmazie,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,,https://europepmc.org/api/getPdf?pmcid=PMC12287680,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC12287680 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ardp.70022
,Chuanjun Zhuo; Hongjun Tian; Gongying Li; Min Chen; Deguo Jiang; Xiaodong Lin; Yong Xu; Wenqiang Wang,https://europepmc.org/api/getPdf?pmcid=PMC6851815,S-ketamine -> NMDA receptor | ketamine -> NMDA receptor | ketamine -> synaptic homeostasis | ketamine -> circadian rhythm,,,,,2162-3279,2162-3279,circadian rhythm | depression | functional connectivity | functional magnetic resonance imaging | ketamine | major depressive disorder | synaptic homeostasis | treatment-resistant depression,eng,in_database,"Adolescent | Adult | Aged | Brain / diagnostic imaging | Brain / metabolism | Brain / physiopathology | Circadian Rhythm | Major Depressive Disorder / diagnostic imaging | Major Depressive Disorder / drug therapy | Major Depressive Disorder / metabolism | Major Depressive Disorder / physiopathology | Depressive Disorder, Treatment-Resistant / diagnostic imaging | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / metabolism | Depressive Disorder, Treatment-Resistant / physiopathology | Drug Chronotherapy | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Female | Functional Neuroimaging | Homeostasis | Humans | Infusions, Intravenous | Ketamine / administration & dosage | Ketamine / therapeutic use | Magnetic Resonance Imaging | Male | Middle Aged | Polysomnography | Positron-Emission Tomography | Prospective Studies | Psychiatric Status Rating Scales | Synapses | Time Factors | Young Adult | Randomized Controlled Trials as Topic",,openalex: RuntimeError: retry_after_exceeded:6436.0s,providers_returned_no_abstract,pubmed,pubmed|pmc|unpaywall,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC6851815,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_brb3.1423__9ddfca71a3.pdf,https://europepmc.org/api/getPdf?pmcid=PMC6851815 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/brb3.1423,,true,CC BY,,2019-10-15,,journal-article,Wiley,,,10.1002/brb3.1423,Brain and Behavior,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,,https://europepmc.org/api/getPdf?pmcid=PMC6851815,true,gold,https://europepmc.org/api/getPdf?pmcid=PMC6851815 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/brb3.1423
,Lenz C; Dörner S; Trottmann F; Hertweck C; Sherwood A; Hoffmeister D,https://europepmc.org/api/getPdf?pmcid=PMC9401598,Psilocin -> 5-HT2A,,,,,1439-7633,1439-4227,bufotenin | hydrogen bonds | pharmacology | psilocybin | tryptamine,eng,in_database,Major Depressive Disorder | Hallucinogens / pharmacology | Humans | Prodrugs | Psilocybin / analogs & derivatives | Tryptamines,,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC9401598,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_cbic.202200183__00061cfcd0.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9401598 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/74/73/CBIC-23-0.PMC9401598.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9401598,true,CC BY-NC-ND,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/74/73/CBIC-23-0.PMC9401598.pdf,2022-05-18,,"Journal Article | Research Support, Non-U.S. Gov't",,,,10.1002/cbic.202200183,Chembiochem : a European journal of chemical biology,Assessment of Bioactivity-Modulating Pseudo-Ring Formation in Psilocin and Related Tryptamines.,2022,,,,,
,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt,https://europepmc.org/api/getPdf?pmcid=PMC9299061,Ayahuasca | Psilocybin -> 5-HT2A | Psilocin -> 5-HT2A,University Hospital Basel and Mind Medicine,,,,1532-6535,0009-9236,,eng,in_database,Antidepressive Agents / adverse effects | Brain-Derived Neurotrophic Factor / genetics | Citalopram / adverse effects | Cross-Over Studies | Double-Blind Method | Escitalopram | Healthy Volunteers | Humans | Psilocybin / adverse effects,,openalex: RuntimeError: retry_after_exceeded:6431.0s,providers_returned_no_abstract,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC9299061,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_cpt.2487__cb18fe04fc.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9299061 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/49/f4/CPT-111-886.PMC9299061.pdf,https://europepmc.org/api/getPdf?pmcid=PMC9299061,true,CC BY-NC,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/49/f4/CPT-111-886.PMC9299061.pdf,2021-11-22,,"Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",,,,10.1002/cpt.2487,Clinical pharmacology and therapeutics,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,NCT03912974,,,,
,K. A. Vekhova; Eugenia D. Namiot; Jörgen Jönsson; Helgi B. Schiöth,https://europepmc.org/api/getPdf?pmcid=PMC11739757,R-ketamine -> NMDA receptor | S-ketamine -> NMDA receptor,,,,,1532-6535,0009-9236,,eng,in_database,"Ketamine / therapeutic use | Ketamine / adverse effects | Ketamine / pharmacology | Ketamine / analogs & derivatives | Humans | United States | Depressive Disorder, Treatment-Resistant / drug therapy | United States Food and Drug Administration | Clinical Trials as Topic | Drug Approval | Antidepressive Agents / therapeutic use | Antidepressive Agents / adverse effects",,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,https://europepmc.org/api/getPdf?pmcid=PMC11739757,already_present,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_cpt.3478__09f04df804.pdf,https://europepmc.org/api/getPdf?pmcid=PMC11739757 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/69/a2/CPT-117-374.PMC11739757.pdf,https://europepmc.org/api/getPdf?pmcid=PMC11739757,true,CC BY-NC,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/69/a2/CPT-117-374.PMC11739757.pdf,2024-10-20,,Journal Article | Review,,,,10.1002/cpt.3478,Clinical pharmacology and therapeutics,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,,,,,
