doi,known_study_title,known_study_role,known_study_review_status,known_study_selection_method,in_discovered_queue,in_triage_queue,in_paper_library,has_local_pdf,in_curated_claims,library_status,pdf_download_status,study_title
10.1038/s41593-023-01316-5,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,True,True,in_database,already_present,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB
10.1186/1471-2210-6-6,Comparison of the monoamine transporters from human and mouse in their sensitivities to psychostimulant drugs,search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,True,True,in_database,already_present,Comparison of the monoamine transporters from human and mouse in their sensitivities to psychostimulant drugs
10.1523/jneurosci.4034-14.2015,Amphetamine action at the cocaine- and antidepressant-sensitive serotonin transporter is modulated by alphaCaMKII,search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,True,True,needs_download,download_failed,Amphetamine Action at the Cocaine- and Antidepressant-Sensitive Serotonin Transporter Is Modulated by αCaMKII
10.1523/jneurosci.1171-11.2011,"Characterization of 3,4-methylenedioxymethamphetamine (MDMA) enantiomers in vitro and in the MPTP-lesioned primate",search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,True,True,in_database,already_present,"Characterization of 3,4-Methylenedioxymethamphetamine (MDMA) Enantiomers<i>In Vitro</i>and in the MPTP-Lesioned Primate:<i>R</i>-MDMA Reduces Severity of Dyskinesia, Whereas<i>S</i>-MDMA Extends Duration of ON-Time"
10.1016/s0014-2999(97)01116-3,Norketamine is a noncompetitive antagonist at the NMDA receptor,search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,False,True,needs_manual_access,not_open_access,"Norketamine, the main metabolite of ketamine, is a non-competitive NMDA receptor antagonist in the rat cortex and spinal cord"
10.1007/s00213-011-2616-6,"Behavioral effects of alpha,alpha,beta,beta-tetradeutero-5-MeO-DMT in rats",search_development_seed,known_relevant_seed,existing_curated_or_landmark_study,True,True,True,False,False,needs_manual_access,not_open_access,"Behavioral effects of α,α,β,β-tetradeutero-5-MeO-DMT in rats: comparison with 5-MeO-DMT administered in combination with a monoamine oxidase inhibitor"
10.1371/journal.pone.0009019,Psychedelics and the Human Receptorome,known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,True,False,in_database,already_present,Psychedelics and the Human Receptorome
10.1016/j.euroneuro.2016.05.001,Receptor interaction profiles of novel psychoactive tryptamines compared with classic hallucinogens,known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_manual_access,not_open_access,Receptor interaction profiles of novel psychoactive tryptamines compared with classic hallucinogens
10.1007/s00213-014-3557-7,Interaction of psychoactive tryptamines with biogenic amine transporters and serotonin receptor subtypes,known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,no_pdf_url,Interaction of psychoactive tryptamines with biogenic amine transporters and serotonin receptor subtypes
10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,True,True,True,True,in_database,downloaded,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines"
10.1126/science.1166127,"The hallucinogen N,N-dimethyltryptamine (DMT) is an endogenous sigma-1 receptor regulator",known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,True,True,False,False,needs_download,download_failed,"The Hallucinogen
            <i>N,N</i>
            -Dimethyltryptamine (DMT) Is an Endogenous Sigma-1 Receptor Regulator"
10.1073/pnas.182234399,Salvinorin A: A potent naturally occurring nonnitrogenous kappa opioid selective agonist,known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,no_pdf_url,Salvinorin A: A potent naturally occurring nonnitrogenous κ opioid selective agonist
10.1021/jm049438q,"Studies toward the pharmacophore of salvinorin A, a potent kappa opioid receptor agonist",known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,True,True,False,False,needs_download,no_pdf_url,"Studies toward the Pharmacophore of Salvinorin A, a Potent κ Opioid Receptor Agonist"
10.1016/j.ejphar.2012.12.006,Neurochemical profiles of some novel psychoactive substances,known_relevant_primary_or_mechanistic_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,no_pdf_url,Neurochemical profiles of some novel psychoactive substances
10.1016/j.cell.2016.12.033,Crystal Structure of an LSD-Bound Human Serotonin Receptor,known_relevant_mechanistic_structure_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,skipped,Crystal Structure of an LSD-Bound Human Serotonin Receptor
10.1038/nature06612,Identification of a serotonin/glutamate receptor complex implicated in psychosis,known_relevant_mechanistic_pathway_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,no_pdf_url,Identification of a serotonin/glutamate receptor complex implicated in psychosis
10.1016/j.neuron.2007.01.008,Hallucinogens Recruit Specific Cortical 5-HT2A Receptor-Mediated Signaling Pathways to Affect Behavior,known_relevant_mechanistic_pathway_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,False,False,False,False,False,,,
10.1073/pnas.0708862105,Agonist-directed signaling of the serotonin 2A receptor depends on beta-arrestin-2 interactions in vivo,known_relevant_mechanistic_pathway_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,True,True,False,False,needs_download,no_pdf_url,"Agonist-directed signaling of the serotonin 2A receptor depends on β-arrestin-2 interactions
            <i>in vivo</i>"
10.1038/s41586-024-07403-2,Structural pharmacology and therapeutic potential of 5-methoxytryptamines,known_relevant_mechanistic_structure_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_download,skipped,Structural pharmacology and therapeutic potential of 5-methoxytryptamines
10.1016/j.ejmech.2024.117049,Structural insights into tryptamine psychedelics: The role of hydroxyl indole ring site in 5-HT2A receptor activation and psychedelic-like activity,known_relevant_mechanistic_structure_study,reviewed_relevant_by_user,prior_review_reference_check_and_manual_literature_search,True,False,True,False,False,needs_manual_access,not_open_access,Structural insights into tryptamine psychedelics: The role of hydroxyl indole ring site in 5-HT2A receptor activation and psychedelic-like activity
