action_reason,contexts,contexts_all,library_status,matched_context_count,needs_metadata_or_manual_screen,paper_type_reasons,paper_type_suggested,pdf_local_path,protected_context_count,relevance_reasons,relevance_score,relevance_suggested,screening_status,source_type_reasons,source_type_suggested,study_doi,study_title,study_year,synthesized_context_count,triage_rescue_reasons
,,S-ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1001/jamanetworkopen.2024.0953,Perioperative Adjunctive Esketamine for Postpartum Depression Among Women Undergoing Elective Cesarean Delivery,2024,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/0470868007.ch8,The Analysis of Psilocybin and Psilocin from Fungi,2003,0,
closed_or_unknown_access,,D4 receptor (DRD4),needs_manual_access,0,False,"contains primary-results signals (affinity, agonist, antagonist, binding)",primary_results,,0,allowed entity mention (5 ht2a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, agonist, antagonist, binding)",primary_study,10.1002/1521-4184(200212)335:9<443::AID-ARDP443>3.0.CO;2-U,Dopamine/Serotonin Receptor Ligands. Part IV [1]: Synthesis and Pharmacology of Novel 3-Benzazecines and 3-Benzazonines as Potential 5-HT2A and Dopamine Receptor Ligands,2002,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/ardp.19763090804,Polymorphe Modifikationen und Solvate von Psilocin und Psilocybin,1976,0,
,,Psilocybin->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht2b) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/bdr2.2506,Teratogenic Effects of Serotonin Receptor <scp>2B</scp> Disruption on the Migration and Cardiac Derivatives of the Cardiac Neural Crest,2025,0,
,,Psilocin->5-HT2A | LSD->5-HT2C | Psilocin->5-HT1A,needs_download,0,False,no strong paper-type signal,other,,0,allowed compound mention (psilocybin) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/cpt.2958,"Assessment of the Acute Effects of <scp>2C‐B</scp> vs. Psilocybin on Subjective Experience, Mood, and Cognition",2023,0,
,,R-ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (R-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/cpt.3478,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,0,
closed_or_unknown_access,,Psilocin->5-HT1A,needs_manual_access,0,False,"contains primary-results signals (agonist, receptor)",primary_results,,0,allowed compound mention (2 5 dimethoxy 4 iodoamphetamine) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, receptor)",primary_study,10.1002/dta.1333,"Head‐twitch response in rodents induced by the hallucinogen 2,5‐dimethoxy‐4‐iodoamphetamine: a comprehensive history, a re‐evaluation of mechanisms, and its utility as a model",2012,0,
HTTPError: HTTP Error 403: Forbidden,,Psilocin->5-HT2A,needs_download,0,False,"contains primary-results signals (in vitro, ki)",primary_results,,0,allowed compound mention (lysergic acid diethylamide) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (in vitro, ki)",primary_study,10.1002/dta.2821,Pharmacokinetics and subjective effects of 1P‐LSD in humans after oral and intravenous administration,2020,0,
,,Ibogaine->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ibogaine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/ejoc.202400432,Disrupting Substance Use Disorder: The Chemistry of Iboga Alkaloids,2024,0,
