# Deterministic prescreen excluded queue for disorder generated at 2026-05-18T04:18:46.532277+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1001/archgenpsychiatry.2011.1503,,,Use and Abuse of Alcohol and Illicit Drugs in US Adolescents,2012,Marcy Burstein,Archives of General Psychiatry,journal-article,,2012-04-01,0003-990X,1538-3636,American Medical Association (AMA),Adolescent | Adolescent Behavior / psychology | Age Factors | Age of Onset | Alcohol Drinking / epidemiology | Alcoholism / epidemiology | Cross-Sectional Studies | Demography / statistics & numerical data | Female | Health Surveys / statistics & numerical data | Humans | Male | Prevalence | Substance-Related Disorders / epidemiology | United States / epidemiology,,NIMH NIH HHS | Intramural NIH HHS,U01-MH60220 | ZIA MH002808 | Z01 MH002808 | U01 MH060220 | Z01 MH002808-08,,,,,eng,
10.1001/archpsyc.58.8.721,,,Psychiatric Disorders and Drug Use Among Human Immunodeficiency Virus–Infected Adults in the United States,2001,Eric G. Bing; M. Audrey Burnam; Douglas Longshore; John A. Fleishman; Cathy Donald Sherbourne; Andrew S. London; Barbara J. Turner; Ferd Eggan; Robin Beckman; Benedetto Vitiello,Archives of General Psychiatry,journal-article,,2001-08-01,0003-990X,1538-3636,American Medical Association (AMA),Adolescent | Adult | Cohort Studies | Comorbidity | Delivery of Health Care / standards | Female | HIV Infections / epidemiology | Health Care Surveys | Health Policy | Humans | Logistic Models | Male | Mental Disorders / epidemiology | Middle Aged | Prevalence | Psychiatric Status Rating Scales / statistics & numerical data | Sampling Studies | Substance-Related Disorders / epidemiology | United States / epidemiology,,NIAAA NIH HHS | NIMH NIH HHS | AHRQ HHS,AA11899 | MH00990 | U-01HS08578,,,,,eng,
10.1001/jamanetworkopen.2018.0382,,,Substance Use Among American Indian Youths on Reservations Compared With a National Sample of US Adolescents,2018,Randall C. Swaim; Linda R. Stanley,JAMA Network Open,journal-article,,2018-05-31,2574-3805,2574-3805,American Medical Association (AMA),"Adolescent | Female | Humans | Indians, North American | Marijuana Smoking | Schools | Students | Substance-Related Disorders",,NIDA NIH HHS,R01 DA003371,10.1001/jamanetworkopen.2018.0381,CommentIn PMID:30646056 JAMA Netw Open. 2018 May 18;1(1):e180381. doi: 10.1001/jamanetworkopen.2018.0381.,,,eng,
10.1001/jamanetworkopen.2019.21513,,,Prevalence of Electronic Cigarette Dependence Among Youth and Its Association With Future Use,2020,Erin A. Vogel; Junhan Cho; Rob S. McConnell; Jessica L. Barrington-Trimis; Adam M. Leventhal,JAMA Network Open,journal-article,,2020-02-19,2574-3805,2574-3805,American Medical Association (AMA),Adolescent | Cross-Sectional Studies | Female | Humans | Los Angeles / epidemiology | Male | Prevalence | Prospective Studies | Self Report | Surveys and Questionnaires | Tobacco Use Disorder / epidemiology | Vaping / epidemiology,,NCI NIH HHS | NIDA NIH HHS,P50 CA180905 | K24 DA048160 | P30 CA014089 | U54 CA180905 | P50 CA180908,,,,,eng,
10.1001/jamapsychiatry.2013.399,,,RETRACTED: Association of Posttraumatic Stress Disorder With Reduced In Vivo Norepinephrine Transporter Availability in the Locus Coeruleus,2013,Robert H. Pietrzak; Jean-Dominique Gallezot; Yu-Shin Ding; Shannan Henry; Marc N. Potenza; Steven M. Southwick; John H. Krystal; Richard E. Carson; Alexander Neumeister,JAMA Psychiatry,journal-article,,2013-09-18,2168-622X,2168-6238,American Medical Association (AMA),"Adult | Carbon Isotopes | Case-Control Studies | Female | Functional Neuroimaging | Humans | Locus Coeruleus / diagnostic imaging | Locus Coeruleus / metabolism | Male | Morpholines | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Radionuclide Imaging | Reboxetine | Severity of Illness Index | Stress Disorders, Post-Traumatic / diagnostic imaging | Stress Disorders, Post-Traumatic / metabolism | Wounds and Injuries / metabolism",,NIMH NIH HHS | NIAAA NIH HHS,R21 MH096105 | R01MH096876-01A1 | R01 MH102566 | RL1 AA017540 | R01 MH096876 | R21 MH081103 | R21 MH085627,10.1001/jamapsychiatry.2020.0365,CommentIn PMID:31929661 Fed Regist. 2020 Jan 7;85(4):723-724. | RetractionIn PMID:32074384 JAMA Psychiatry. 2020 May 1;77(5):454. doi: 10.1001/jamapsychiatry.2020.0365.,true,,eng,
10.1001/jamapsychiatry.2018.0335,,,Association of Cannabis With Cognitive Functioning in Adolescents and Young Adults,2018,J. Cobb Scott; Samantha T. Slomiak; Jason D. Jones; Adon F. G. Rosen; Tyler M. Moore; Ruben C. Gur,JAMA Psychiatry,journal-article,,2018-04-18,2168-622X,2168-6238,American Medical Association (AMA),Adolescent | Cognition | Cognitive Dysfunction / epidemiology | Cognitive Dysfunction / psychology | Humans | Marijuana Use / epidemiology | Marijuana Use / psychology | Neuropsychological Tests | Young Adult,,,,,,,,eng,
10.1002/14651858.cd009269.pub2,,,Psychosocial interventions to reduce alcohol consumption in concurrent problem alcohol and illicit drug users,2012,Jan Klimas; Catherine-Anne Field; Walter Cullen; Clodagh SM O'Gorman; Liam G Glynn; Eamon Keenan; Jean Saunders; Gerard Bury; Colum Dunne,Cochrane Database of Systematic Reviews,reference-entry,,2012-11-08,1464-780X,1465-184X,"John Wiley & Sons, Ltd","Adaptation, Psychological | Adult | Alcohol Drinking / prevention & control | Alcohol Drinking / psychology | Cocaine-Related Disorders / complications | Cocaine-Related Disorders / therapy | Hepatitis C / prevention & control | Humans | Motivational Interviewing / methods | Psychotherapy / methods | Psychotherapy, Brief | Randomized Controlled Trials as Topic | Substance-Related Disorders / complications | Substance-Related Disorders / therapy | Temperance",,,,10.1002/14651858.CD009269.pub3,UpdateIn PMID:25470303 Cochrane Database Syst Rev. 2014 Dec 03;(12):CD009269. doi: 10.1002/14651858.CD009269.pub3.,,,eng,
10.1002/14651858.cd009269.pub3,,,Psychosocial interventions to reduce alcohol consumption in concurrent problem alcohol and illicit drug users,2014,Jan Klimas; Helen Tobin; Catherine-Anne Field; Clodagh SM O'Gorman; Liam G Glynn; Eamon Keenan; Jean Saunders; Gerard Bury; Colum Dunne; Walter Cullen,Cochrane Database of Systematic Reviews,journal-article,,2014-12-03,1464-780X,1465-184X,Wiley,"Adaptation, Psychological | Adult | Alcohol Drinking / prevention & control | Alcohol Drinking / psychology | Cocaine-Related Disorders / complications | Cocaine-Related Disorders / therapy | Hepatitis C / prevention & control | Humans | Motivational Interviewing / methods | Psychotherapy / methods | Psychotherapy, Brief | Randomized Controlled Trials as Topic | Substance-Related Disorders / complications | Substance-Related Disorders / therapy | Temperance",,,,10.1002/14651858.CD009269.pub2 | 10.1002/14651858.CD009269.pub4,UpdateOf PMID:23152270 Cochrane Database Syst Rev. 2012 Nov 14;11:CD009269. doi: 10.1002/14651858.CD009269.pub2. | UpdateIn PMID:30521696 Cochrane Database Syst Rev. 2018 Dec 05;12:CD009269. doi: 10.1002/14651858.CD009269.pub4.,,,eng,
10.1002/brb3.70338,,,Sugar Addiction: Neural Mechanisms and Health Implications,2025,Di Qin; Jiayu Qi; Fuqiang Shi; Zhihua Guo; Hongwu Li,Brain and Behavior,journal-article,,2025-07-01,2162-3279,2162-3279,Wiley,"Humans | Behavior, Addictive / physiopathology | Behavior, Addictive / psychology | Behavior, Addictive / therapy | Brain / physiopathology | Craving / physiology | Food Addiction / physiopathology | Reward | Sugars / adverse effects | Animals",high‐sugar food | pharmacological interventions | psychological interventions | sugar addiction | treatment of addiction,Scientific and Technological Research Foundation of Education Department of Jilin Province,JJKH20200688KJ),,,,,eng,
10.1002/chem.202303985,,,Total Synthesis of Ervaoffine J and K,2024,Alexander J. Hughes; Steven D. Townsend,Chemistry - A European Journal,journal-article,,2024-01-05,0947-6539,1521-3765,Wiley,,Winterfeldt oxidation | ervaoffine alkaloids | iboga alkaloids | total synthesis,NIGMS NIH HHS,R35 GM133602 | 1R35GM133602,,,,,eng,
