# discovered queue (disorder) generated at 2026-02-12T09:01:33.670579+00:00
# doi,compound,disorder,optional_study_title,optional_study_year,optional_authors
10.1002/eat.70056,Psilocybin,Eating disorders,A Pilot Randomized Controlled Trial of Eye Movement Desensitization and Reprocessing Therapy for Adults With Binge-Eating Disorder.,2026,Amaani H. Hatoum; Katie Richard; Amy L. Burton; Elizabeth Rieger; S. Touyz; Maree J. Abbott
10.1002/eat.70053,Psilocybin,Eating disorders,A Program-Led Motivational App (MI-Coach: ED) for Eating Disorder Waitlists: Findings From a Feasibility and Acceptability Pilot Trial.,2026,Amané Halicki-Asakawa; Emily Fuller; Maya Libben
10.1159/000550863,Ketamine,Suicidal ideation,A Randomized Controlled Trial on the Efficacy of Ketamine vs. Electroconvulsive Therapy in Severe Depression with Suicidal Ideation,2026,Lavanya Seth; Jitendriya Biswal; Surjeet Sahoo; Riya Shetty; Jamuna Das
10.1186/s40337-025-01508-3,Psilocybin,Eating disorders,An open-label pilot study of psilocybin-assisted therapy for binge eating disorder,2026,Jesse Dallery; Jennifer L Miller; Jeff Boissoneault; Lauren Harvey; Lindsey A Ives; A. Knerr; Shelby Blaes; Morgan N Ransom; Melissa Munson; James P Gilligan
10.1177/00912174261422307,Psilocybin,End-of-life anxiety,"Effects of Combined Psychological and Functional Exercise Interventions on Emotion, Life Quality, and Brain-Derived Neurotrophic Factor Levels in Patients With Parkinson's Disease: A Randomized Controlled Trial.",2026,Tao Ding; Jing Zhang; Xue Jiang; Huayu Chen
10.1016/j.nsa.2025.105779,Psilocybin,Treatment-resistant depression,Efficacy and safety of psilocybin in treatment-resistant major depression (EPIsoDE): Results of a randomized active placebo-controlled trial,2026,L.J. Mertens; M. Koslowski; F. Betzler; M. Brand; R. Evens; L. Krätner; A. Jungaberle; H. Jungaberle; T. Majić; C.N. Schmitz
10.1080/10826084.2025.2606861,Psilocybin,Substance use disorder,Evoking Change Through Acceptance and Awareness: A Sysematic Review of Third-Wave Therapies for Substance Use Disorder.,2026,Andrea Calderone; Desirée Latella; Antonino Todaro; R. De Luca; D. Militi; Elvira La Fauci; Arturo Sergi; A. Quartarone; R. S. Calabrò
10.1177/29767342251390075,Ibogaine,Opioid use disorder,Factors Associated With Opioid-Involved Overdose: Descriptive Data From a Randomized Controlled Trial Evaluating Extended-Release Buprenorphine for Perinatal Opioid Use Disorder.,2026,S. Witcraft; Leah A. Holcomb; Yingjia Wei; Gerald Cochran; John T. Winhusen; Michelle R. Lofwall; Peter R Martin; Jessica L. Young; Jessica Spinali; Constance Guille
10.1111/add.70315,Psilocybin,Methamphetamine use disorder,Gender differences in the impact of psychological distress on methamphetamine use disorder outcomes and treatment effect.,2026,Masoumeh Aminesmaeili; Himani Byregowda; Ryoko Susukida; Ramin Mojtabai; Rosa M Crum
10.1093/cid/ciag006,Psilocybin,Methamphetamine use disorder,Integrating HIV and Stimulant Use Disorder Treatment: A Pilot Implementation Effectiveness Trial of Contingency Management in HIV Care.,2026,Ayesha Appa; Gabriela Steiner; Stefan Baral; Elise D Riley; L. Suchman; Kate Roberts; Kelly Knight; Meghan Murphy; G. Chamie; Steve Shoptaw
10.1200/JCO-25-00726,Psilocybin,End-of-life anxiety,Music Therapy Versus Cognitive Behavioral Therapy via Telehealth for Anxiety in Survivors of Cancer: A Randomized Clinical Trial,2026,Kevin T Liou; J. Bradt; M. B. Currier; Ray Baser; K. Panageas; J. MacLeod; Desiree Walker; Susan Li; A. Lopez; K. McConnell
10.1016/j.bbr.2026.116084,Psilocybin,Methamphetamine use disorder,Non-pharmacotherapy for craving in methamphetamine use disorder: a systematic review and network meta-analysis of randomised controlled trials.,2026,Jisheng Xu; Xue Li; Zhicheng Zhu; Junwei Wang; Yan Yang; Xulin Zhou; Guosi Ying
10.1080/17581869.2026.2613800,Ketamine,Chronic pain,"Opioid-sparing by low-dose ketamine for endometriosis surgery. A single-center, prospective, randomized, trial.",2026,Christian Vetter
10.1155/ane/5110463,LSD,Cluster headache,Overview and Research Trends on Cluster Headache Disease: A Bibliometric and Natural Language Processing Approach,2026,Mohsen Hoseinnezhad; Mahdieh Khazaneha; Hamide Arvan; M. Togha
10.1093/ecco-jcc/jjaf231.847,Psilocybin,End-of-life anxiety,"P0666 Impact of advanced therapies for inflammatory bowel disease on disease activity, health-related quality of life, fatigue and psychological symptoms – real-world evidence from a prospective pilot cohort study at a tertiary care center",2026,S. Sediq; F. Thielen; T. Hof; L. Mayer; P. Hasselblatt
10.1177/02692163261416269,Psilocybin,End-of-life anxiety,PSilocybin for psYCHological and existential distress in PALliative care (PSYCHED-PAL): A single arm unblinded clinical trial.,2026,James Downar; J. Lapenskie; Koby Anderson; Gaelle Parsons; Nadia Polskaia; Genevieve Lalumiere; Peter G. Lawlor
10.1111/head.70031,LSD,Cluster headache,Patient perspectives on research gaps in cluster headache.,2026,F. Haghdoost; Dilara Bahceci; C. Delcourt; Tissa Wijeratne; R. Jensen; Carl Cincinnato; Susan Tomlinson; Bob Wold; V. Polito; Cheryl Carcel
10.1002/hup.70032,Psilocybin,End-of-life anxiety,"Pharmacological Management of Anxiety in End‐of‐Life Care: A Systematic Review of Benzodiazepines, Opioids, and Psilocybin",2026,Brunno Freitas da Costa; Paula Hartmann; Daniel Pagnin
10.6084/m9.figshare.31260127,Ketamine,Suicidal ideation,Supplementary Material for: A Randomized Controlled Trial on the Efficacy of Ketamine vs. Electroconvulsive Therapy in Severe Depression with Suicidal Ideation,2026,figshare admin karger; Seth L.; Biswal J.; Sahoo S.; Shetty R.; Das J.
10.6084/m9.figshare.31260127.v1,Ketamine,Suicidal ideation,Supplementary Material for: A Randomized Controlled Trial on the Efficacy of Ketamine vs. Electroconvulsive Therapy in Severe Depression with Suicidal Ideation,2026,figshare admin karger; Seth L.; Biswal J.; Sahoo S.; Shetty R.; Das J.
10.1186/s40359-025-03935-y,Psilocybin,Cancer-related anxiety and depression,The effects of psilocybin on psychological distress in cancer patients: a systematic review and meta-analysis,2026,Reza Moshfeghinia; Sara Mostafavi; Kimia Jazi; Amir Reza Ghasemi; Yasamin Khosravaninezhad; Santhosshi Narayanan; Jamshid Ahmadi; Mehdi Pasalar
10.18071/isz.79.0045,LSD,Cluster headache,The efficacy of Gasserian ganglion block and pulsed radiofrequency in the treatment of chronic cluster headache: A retrospective cohort study.,2026,M. İlik; F. Ilik; D. Ertem
