# LLM full-text candidate queue for disorder generated at 2026-05-18T21:06:31.922230+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1001/jamanetworkopen.2026.12589,Psilocybin,Major Depressive Disorder,Short-Term and Late-Term Effects of Psilocybin on Symptoms in Major Depression,2026,Hampus Yngwe; Pontus Plavén-Sigray; Carl Johan Ekman; Eva Henje; Anders Berglund; Mikael Tiger; Maria Beckman; Johan Lundberg,JAMA Network Open,journal-article,NCT04630964,2026-05-15,2574-3805,2574-3805,American Medical Association (AMA),Humans | Psilocybin / therapeutic use | Psilocybin / administration & dosage | Major Depressive Disorder / drug therapy | Major Depressive Disorder / psychology | Female | Male | Adult | Double-Blind Method | Middle Aged | Treatment Outcome | Antidepressive Agents / therapeutic use | Hallucinogens / therapeutic use,,,,,,,,eng,
10.1001/jamapsychiatry.2017.3572,Ketamine,Psychotic Disorders,Utility of Imaging-Based Biomarkers for Glutamate-Targeted Drug Development in Psychotic Disorders,2017,Daniel C. Javitt; Cameron S. Carter; John H. Krystal; Joshua T. Kantrowitz; Ragy R. Girgis; Lawrence S. Kegeles; John D. Ragland; Richard J. Maddock; Tyler A. Lesh; Costin Tanase,JAMA Psychiatry,journal-article,NCT02134951,2017-11-22,2168-622X,2168-6238,American Medical Association (AMA),"Adult | Antipsychotic Agents / therapeutic use | Biomarkers / blood | Brain / diagnostic imaging | Drug Development | Female | Glutamic Acid / blood | Glutamine / blood | Humans | Ketamine / pharmacology | Magnetic Resonance Imaging | Male | Middle Aged | Molecular Targeted Therapy | Neuroimaging | Oxygen / blood | Psychotic Disorders / blood | Psychotic Disorders / diagnostic imaging | Psychotic Disorders / drug therapy | Receptors, Glutamate / metabolism | Schizophrenia / blood | Schizophrenia / diagnostic imaging | Schizophrenia / drug therapy | Young Adult",,NCATS NIH HHS,UL1 TR001863,10.1001/jamapsychiatry.2017.3501,CommentIn PMID:29167884 JAMA Psychiatry. 2018 Jan 1;75(1):19-20. doi: 10.1001/jamapsychiatry.2017.3501.,,,eng,
10.1001/jamapsychiatry.2023.0562,Ketamine,Major depressive disorder,Ketamine vs Electroconvulsive Therapy for Major Depressive Episode,2023,Vikas Menon; Natarajan Varadharajan; Abdul Faheem; Chittaranjan Andrade,JAMA Psychiatry,journal-article,,2023-04-12,2168-622X,2168-6238,American Medical Association (AMA),Adult | Humans | Ketamine / adverse effects | Electroconvulsive Therapy / adverse effects | Major Depressive Disorder / drug therapy,,,,10.1001/jamapsychiatry.2023.1752,ErratumIn PMID:37284883 JAMA Psychiatry. 2023 Jun 1;80(6):651. doi: 10.1001/jamapsychiatry.2023.1752.,,true,eng,
10.1002/aur.3172,Ketamine,Autism spectrum disorder,Comparison of propofol‐esketamine versus propofol‐sufentanil for deep sedation and analgesia in children with autism: A randomized double‐blind clinical trial,2024,Yanxiang Miao; Minghui Zheng; Qing Li; Lixia Xiong; Jinxiang Feng; Xiaoyu Liu; Guoxiang Fan; Rupesh Chaturvedi; Faming Zhang; Ning Yin,Autism Research,journal-article,,2024-06-08,1939-3792,1939-3806,Wiley,"Humans | Ketamine / administration & dosage | Male | Propofol / administration & dosage | Female | Double-Blind Method | Sufentanil / administration & dosage | Autistic Disorder | Child | Deep Sedation / methods | Hypnotics and Sedatives / administration & dosage | Colonoscopy / methods | Analgesia / methods | Child, Preschool",anesthesia | autism | colonoscopy | esketamine | propofol | sufentanil,Nanjing Health Technology Project,YKK23200,,,,,eng,
10.1002/mds.1070,,,Long‐duration effect and the postsynaptic compartment: Study using a dopamine agonist with a short half‐life,2001,Fabrizio Stocchi; Laura Vacca; Alfredo Berardelli; Francesca De Pandis; Stefano Ruggieri,Movement Disorders,journal-article,,2001-03-01,0885-3185,1531-8257,Wiley,Adult | Dopamine Agonists / adverse effects | Dopamine Agonists / therapeutic use | Double-Blind Method | Excitatory Postsynaptic Potentials / drug effects | Female | Half-Life | Humans | Lisuride / adverse effects | Lisuride / therapeutic use | Male | Middle Aged | Parkinson Disease / drug therapy | Time,,,,,,,,eng,
10.1007/bf03160964,MDMA,Neurogenic bladder,Neurogenic bladder and chronic urinary retention associated with MDMA abuse,2008,John R. Beuerle; Fermin Barrueto,Journal of Medical Toxicology,journal-article,,2008-06-01,1556-9039,1937-6995,Springer Science and Business Media LLC,"Adult | Amphetamine-Related Disorders / complications | Anti-Infective Agents, Urinary / therapeutic use | Bethanechol / therapeutic use | Central Nervous System Stimulants / adverse effects | Chronic Disease | Cystoscopy | Humans | Male | Muscarinic Agonists / therapeutic use | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Phenazopyridine / therapeutic use | Treatment Outcome | Trimethoprim, Sulfamethoxazole Drug Combination / therapeutic use | Urinary Bladder, Neurogenic / chemically induced | Urinary Bladder, Neurogenic / pathology | Urinary Bladder, Neurogenic / therapy | Urinary Catheterization | Urinary Retention / chemically induced | Urinary Retention / pathology | Urinary Retention / therapy",,,,,,,,eng,
10.1007/bf03160964,MDMA,Urinary Retention,Neurogenic bladder and chronic urinary retention associated with MDMA abuse,2008,John R. Beuerle; Fermin Barrueto,Journal of Medical Toxicology,journal-article,,2008-06-01,1556-9039,1937-6995,Springer Science and Business Media LLC,"Adult | Amphetamine-Related Disorders / complications | Anti-Infective Agents, Urinary / therapeutic use | Bethanechol / therapeutic use | Central Nervous System Stimulants / adverse effects | Chronic Disease | Cystoscopy | Humans | Male | Muscarinic Agonists / therapeutic use | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Phenazopyridine / therapeutic use | Treatment Outcome | Trimethoprim, Sulfamethoxazole Drug Combination / therapeutic use | Urinary Bladder, Neurogenic / chemically induced | Urinary Bladder, Neurogenic / pathology | Urinary Bladder, Neurogenic / therapy | Urinary Catheterization | Urinary Retention / chemically induced | Urinary Retention / pathology | Urinary Retention / therapy",,,,,,,,eng,
10.1007/s11916-023-01161-y,Ketamine,Headache disorders,"New Daily Persistent Headache (NDPH): Unraveling the Complexities of Diagnosis, Pathophysiology, and Treatment.",2023,Sadeghpour M; Abdolizadeh A; Yousefi P; Rastegar-Kashkouli A; Chitsaz A,Current pain and headache reports,Journal Article | Review,,2023-08-26,1534-3081,1534-3081,,"Adult | Child | Humans | Neuroinflammatory Diseases | Headache Disorders / diagnosis | Headache Disorders / therapy | Headache / diagnosis | Treatment Outcome | Diagnosis, Differential",CDH | Evaluation | Headache | NDPH | Pathophysiology | Treatment,,,,,,,eng,
10.1007/s13181-013-0287-x,2C-I,Serotonin syndrome,Recurrent Seizures and Serotonin Syndrome Following “2C-I” Ingestion,2013,Adam Bosak; Frank LoVecchio; Michael Levine,Journal of Medical Toxicology,journal-article,,2013-02-01,1556-9039,1937-6995,Springer Science and Business Media LLC,"Adult | Designer Drugs / administration & dosage | Designer Drugs / analysis | Designer Drugs / toxicity | Dimethoxyphenylethylamine / administration & dosage | Dimethoxyphenylethylamine / analogs & derivatives | Dimethoxyphenylethylamine / toxicity | Dimethoxyphenylethylamine / urine | Emergency Service, Hospital | Humans | Insufflation | Male | Phenethylamines / administration & dosage | Phenethylamines / toxicity | Phenethylamines / urine | Respiratory Insufficiency / etiology | Seizures / etiology | Serotonin Syndrome / etiology | Substance-Related Disorders / physiopathology | Substance-Related Disorders / urine | Treatment Outcome | Young Adult",,,,,,,,eng,
10.1007/s13181-013-0287-x,2C-I,Seizures,Recurrent Seizures and Serotonin Syndrome Following “2C-I” Ingestion,2013,Adam Bosak; Frank LoVecchio; Michael Levine,Journal of Medical Toxicology,journal-article,,2013-02-01,1556-9039,1937-6995,Springer Science and Business Media LLC,"Adult | Designer Drugs / administration & dosage | Designer Drugs / analysis | Designer Drugs / toxicity | Dimethoxyphenylethylamine / administration & dosage | Dimethoxyphenylethylamine / analogs & derivatives | Dimethoxyphenylethylamine / toxicity | Dimethoxyphenylethylamine / urine | Emergency Service, Hospital | Humans | Insufflation | Male | Phenethylamines / administration & dosage | Phenethylamines / toxicity | Phenethylamines / urine | Respiratory Insufficiency / etiology | Seizures / etiology | Serotonin Syndrome / etiology | Substance-Related Disorders / physiopathology | Substance-Related Disorders / urine | Treatment Outcome | Young Adult",,,,,,,,eng,
