# LLM full-text candidate queue for disorder generated at 2026-05-10T09:10:21.348566+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1017/s0033291722002963,,,Effect of lysergic acid diethylamide (LSD) on reinforcement learning in humans,2022,Jonathan W. Kanen; Qiang Luo; Mojtaba Rostami Kandroodi; Rudolf N. Cardinal; Trevor W. Robbins; David J. Nutt; Robin L. Carhart-Harris; Hanneke E. M. den Ouden,Psychological Medicine,journal-article,,2022-11-22,0033-2917,1469-8978,Cambridge University Press (CUP),"Humans | Lysergic Acid Diethylamide / pharmacology | Lysergic Acid Diethylamide / administration & dosage | Adult | Male | Reinforcement, Psychology | Female | Hallucinogens / pharmacology | Hallucinogens / administration & dosage | Young Adult | Reversal Learning / drug effects | Healthy Volunteers | Reward",5-HT2A | LSD | cognitive flexibility | computational modeling | probabilistic reversal learning | psychedelics | reinforcement learning | serotonin,Medical Research Council | National Natural Science Foundation of China,MC_PC_17213 | MR/W014386/1 | 81873909,,,,,eng,
10.1021/acsmedchemlett.3c00077,5-MeO-DMT,Major depressive disorder,"Orally Active Forms of DMT, 5-MeO-DMT, and Long-Acting MDMA for the Treatment of Neuropsychiatric Disorders",2023,Robert B. Kargbo,ACS Medicinal Chemistry Letters,journal-article,,2023-03-16,1948-5875,,American Chemical Society (ACS),,,,,,,,,eng,
10.1038/s41386-022-01266-9,,,"Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial",2022,Chadi G. Abdallah; John D. Roache; Ralitza Gueorguieva; Lynnette A. Averill; Stacey Young-McCaughan; Paulo R. Shiroma; Prerana Purohit; Antoinette Brundige; William Murff; Kyung-Heup Ahn,Neuropsychopharmacology,journal-article,NCT02655692,2022-01-19,0893-133X,1740-634X,Springer Science and Business Media LLC,"Antidepressive Agents / therapeutic use | Double-Blind Method | Humans | Ketamine / therapeutic use | Military Personnel | Stress Disorders, Post-Traumatic / drug therapy | Treatment Outcome | Veterans",,NINDS NIH HHS | NCATS NIH HHS,R25 NS124530 | UL1 TR001863,10.1038/s41386-022-01339-9,ErratumIn PMID:35545665 Neuropsychopharmacology. 2022 Jul;47(8):1583-1584. doi: 10.1038/s41386-022-01339-9.,,true,eng,
10.1080/19490976.2024.2310603,,,"Repeated (
            <i>S</i>
            )-ketamine administration ameliorates the spatial working memory impairment in mice with chronic pain: role of the gut microbiota–brain axis",2024,Yubin Jiang; Xingming Wang; Jiawei Chen; Yibao Zhang; Kenji Hashimoto; Jian-Jun Yang; Zhiqiang Zhou,Gut Microbes,journal-article,,2024-02-08,1949-0976,1949-0984,Informa UK Limited,"Mice | Animals | Ketamine / pharmacology | Ketamine / therapeutic use | Brain-Derived Neurotrophic Factor / genetics | Brain-Derived Neurotrophic Factor / metabolism | Brain-Derived Neurotrophic Factor / pharmacology | Memory, Short-Term | Gastrointestinal Microbiome | Chronic Pain / drug therapy | RNA, Ribosomal, 16S | Hippocampus / metabolism | Memory Disorders / drug therapy | Butyrates / pharmacology",(s)-ketamine | Chronic pain | gut microbiota | gut–brain axis | hippocampus | spatial working memory,,,,,,,eng,
10.1192/j.eurpsy.2025.471,Ketamine,Treatment-resistant depression,Antidepressant effect of ketamine unrelated to dissociation: Results from an exploratory mediation analysis of the KET01-02 study,2025,L. Arvastson; E. Papanastasiou; K. Schmid; A. Damyanova; A. Glas; C. Strote; C. Eulenburg; D. Gehrlach; K. Maiboe; H. Eriksson,European Psychiatry,journal-article,2021-004927-34,2025-04,0924-9338,1778-3585,Royal College of Psychiatrists,,,,,,,,,en,
10.1192/j.eurpsy.2025.471,Ketamine,Dissociation,Antidepressant effect of ketamine unrelated to dissociation: Results from an exploratory mediation analysis of the KET01-02 study,2025,L. Arvastson; E. Papanastasiou; K. Schmid; A. Damyanova; A. Glas; C. Strote; C. Eulenburg; D. Gehrlach; K. Maiboe; H. Eriksson,European Psychiatry,journal-article,2021-004927-34,2025-04,0924-9338,1778-3585,Royal College of Psychiatrists,,,,,,,,,en,
10.3389/fpsyt.2026.1726909,Ayahuasca,Depressive disorders,"The therapeutic potential of ayahuasca in depression, generalized anxiety, and substance use disorders: modulation of the depressive burden in a longitudinal study",2026,Gláucio Silva Camargos; Geraldo Magela de Faria Júnior; Marcelo Lourenço; Gerardo Maria de Araújo Filho,Frontiers in Psychiatry,journal-article,,2026-01-29,1664-0640,,Frontiers Media SA,,ayahuasca | mental disorders | psychedelics | psychotherapy | resistant depression,,,,,,,eng,
10.3389/fpsyt.2026.1726909,Ayahuasca,Generalized anxiety,"The therapeutic potential of ayahuasca in depression, generalized anxiety, and substance use disorders: modulation of the depressive burden in a longitudinal study",2026,Gláucio Silva Camargos; Geraldo Magela de Faria Júnior; Marcelo Lourenço; Gerardo Maria de Araújo Filho,Frontiers in Psychiatry,journal-article,,2026-01-29,1664-0640,,Frontiers Media SA,,ayahuasca | mental disorders | psychedelics | psychotherapy | resistant depression,,,,,,,eng,
10.3389/fpsyt.2026.1726909,Ayahuasca,Substance use disorders,"The therapeutic potential of ayahuasca in depression, generalized anxiety, and substance use disorders: modulation of the depressive burden in a longitudinal study",2026,Gláucio Silva Camargos; Geraldo Magela de Faria Júnior; Marcelo Lourenço; Gerardo Maria de Araújo Filho,Frontiers in Psychiatry,journal-article,,2026-01-29,1664-0640,,Frontiers Media SA,,ayahuasca | mental disorders | psychedelics | psychotherapy | resistant depression,,,,,,,eng,
10.1001/ARCHPSYC.63.8.856,Ketamine,Treatment-resistant depression,A Randomized Trial of an N-methyl-D-aspartate Antagonist in Treatment-Resistant Major Depression,2006,Carlos A. Zarate; Jaskaran B. Singh; Paul J. Carlson; Nancy E. Brutsche; Rezvan Ameli; David A. Luckenbaugh; Dennis S. Charney; Husseini K. Manji,Archives of General Psychiatry,journal-article,NCT00088699,2006-08-01,0003-990X,1538-3636,American Medical Association (AMA),"Adult | Antidepressive Agents / administration & dosage | Antidepressive Agents / therapeutic use | Cross-Over Studies | Major Depressive Disorder / drug therapy | Major Depressive Disorder / psychology | Dose-Response Relationship, Drug | Double-Blind Method | Drug Administration Schedule | Drug Resistance | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Female | Humans | Infusions, Intravenous | Ketamine / administration & dosage | Ketamine / therapeutic use | Male | Middle Aged | Placebos | Psychiatric Status Rating Scales / statistics & numerical data | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Treatment Outcome",,Intramural NIH HHS,,10.1001/archpsyc.64.9.1099,CommentIn PMID:17768278 Arch Gen Psychiatry. 2007 Sep;64(9):1099-100; author reply 1100-1. doi: 10.1001/archpsyc.64.9.1099.,,,eng,
