# LLM uncertain full-text candidate queue for disorder generated at 2026-05-18T04:32:37.570733+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1007/s00213-007-0792-1,,,Incidental use of ecstasy: no evidence for harmful effects on cognitive brain function in a prospective fMRI study,2007,Gerry Jager; Maartje M. de Win; Hylke K. Vervaeke; Thelma Schilt; Rene S. Kahn; Wim van den Brink; Jan M. van Ree; Nick F. Ramsey,Psychopharmacology,journal-article,,2007-05-03,0033-3158,1432-2072,Springer Science and Business Media LLC,"Adult | Brain / drug effects | Dose-Response Relationship, Drug | Female | Hallucinogens / adverse effects | Humans | Magnetic Resonance Imaging | Male | Memory / drug effects | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Prospective Studies | Psychomotor Performance / drug effects",,,,,,,,eng,
10.1007/s12144-024-07017-x,,,Pattern of psychedelic substance use: a comparison between populations in Spain and South America using the Psychedelic Use Scale (PUS),2024,Jaime Rojas-Hernández; Lucas F. Borkel; Domingo J. Quintana-Hernández; Ángelo Santana del Pino; Luis Alberto Henríquez-Hernández,Current Psychology,journal-article,,2024-11-21,1046-1310,1936-4733,Springer Science and Business Media LLC,,,Universidad de las Palmas de Gran Canaria,,,,,,en,
10.1007/s12671-017-0849-0,MDMA,self-compassion,"Additive Effects of 3,4-Methylenedioxymethamphetamine (MDMA) and Compassionate Imagery on Self-Compassion in Recreational Users of Ecstasy",2017,Sunjeev K. Kamboj; Ylva S. E. Walldén; Caroline J. Falconer; Majdah Raji Alotaibi; Ian S. Blagbrough; Stephen M. Husbands; Tom P. Freeman,Mindfulness,journal-article,,2017-11-04,1868-8527,1868-8535,Springer Science and Business Media LLC,,Compassion | Compassionate imagery | Empathy | MDMA | Prosocial | Self-compassion | Self-criticism,,,,,,,eng,
10.1016/j.bja.2020.06.067,,,"Pharmacokinetics of ketamine and its major metabolites norketamine, hydroxynorketamine, and dehydronorketamine: a model-based analysis",2020,Jasper Kamp; Kelly Jonkman; Monique van Velzen; Leon Aarts; Marieke Niesters; Albert Dahan; Erik Olofsen,British Journal of Anaesthesia,journal-article,,2020-08-21,0007-0912,1471-6771,Elsevier BV,"Adult | Anesthetics, Dissociative / administration & dosage | Anesthetics, Dissociative / pharmacokinetics | Biotransformation | Computer Simulation | Cross-Over Studies | Double-Blind Method | Drug Compounding | Female | Humans | Injections, Intravenous | Ketamine / administration & dosage | Ketamine / analogs & derivatives | Ketamine / blood | Ketamine / chemistry | Ketamine / pharmacokinetics | Male | Models, Theoretical | Nitroprusside / therapeutic use | Postoperative Complications / prevention & control | Postoperative Complications / psychology | Stereoisomerism | Young Adult",NONMEM | S-ketamine | ketamine | modelling | population pharmacokinetics | racemic ketamine,,,,,,,eng,
10.1016/j.ejphar.2019.172732,,,Off-label uses of drugs for depression,2019,Sigrid S. Skånland; Artur Cieślar-Pobuda,European Journal of Pharmacology,journal-article,,2019-10-14,0014-2999,1879-0712,Elsevier BV,Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Depression / drug therapy | Humans | Off-Label Use,Antidepressants | Chronic pain | Eating disorders | Off-label | Sleep disorders | Smoking cessation,,,,,,,eng,
10.1016/j.forsciint.2016.06.014,"Rauvolfia alkaloids (ajmaline, yohimbine, reserpine)",poisoning,Death related to consumption of Rauvolfia sp. powder mislabeled as Tabernanthe iboga,2016,Thomas Gicquel; Chloé Hugbart; Françoise Le Devehat; Sylvie Lepage; Alain Baert; Renaud Bouvet; Isabelle Morel,Forensic Science International,journal-article,,2016-06-27,0379-0738,1872-6283,Elsevier BV,"Adult | Chromatography, Liquid | Female | Forensic Toxicology | Humans | Powders | Product Labeling | Rauwolfia / poisoning | Secologanin Tryptamine Alkaloids / isolation & purification | Secologanin Tryptamine Alkaloids / poisoning | Tandem Mass Spectrometry",Ajmaline | Poisoning | Rauvolfia | Reserpine | Yohimbine | iboga,,,,,,,eng,
10.1016/j.jpsychires.2021.06.039,,,Blood transcriptional response to treatment-resistant depression during electroconvulsive therapy,2021,Ifat Israel-Elgali; Libi Hertzberg; Guy Shapira; Aviv Segev; Israel Krieger; Uri Nitzan; Yuval Bloch; Nir Pillar; Ori Mayer; Abraham Weizman,Journal of Psychiatric Research,journal-article,,2021-06-21,0022-3956,1879-1379,Elsevier BV,"Depression | Major Depressive Disorder / genetics | Major Depressive Disorder / therapy | Depressive Disorder, Treatment-Resistant / genetics | Depressive Disorder, Treatment-Resistant / therapy | Electroconvulsive Therapy | Humans | Leukocytes, Mononuclear | Treatment Outcome",Electroconvulsive therapy | FKBP5 | ITGA2B | Major depressive disorder | Treatment-resistant depression,,,,,,,eng,
10.1038/npp.2017.80,"3,4-Methylenedioxymethamphetamine (MDMA)",social behaviors,"3,4-Methylenedioxymethamphetamine Increases Affiliative Behaviors in Squirrel Monkeys in a Serotonin 2A Receptor-Dependent Manner",2017,Elizabeth G Pitts; Adelaide R Minerva; Erika B Chandler; Jordan N Kohn; Meghan T Logun; Agnieszka Sulima; Kenner C Rice; Leonard L Howell,Neuropsychopharmacology,journal-article,,2017-04-20,0893-133X,1740-634X,Springer Science and Business Media LLC,"Animals | Dose-Response Relationship, Drug | Linear Models | Male | Methamphetamine / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Psychotropic Drugs / pharmacology | Receptor, Serotonin, 5-HT1A / metabolism | Receptor, Serotonin, 5-HT2A / metabolism | Saimiri | Serotonin Agents / pharmacology | Social Behavior | Vocalization, Animal / drug effects | Vocalization, Animal / physiology",,NIDA NIH HHS | NIH HHS | NINDS NIH HHS,K05 DA031246 | P51 OD011132 | R01 DA012514 | T32 NS096050,,,,,eng,
10.1038/s41598-023-34938-7,,,The difference between ‘placebo group’ and ‘placebo control’: a case study in psychedelic microdosing,2023,Balázs Szigeti; David Nutt; Robin Carhart-Harris; David Erritzoe,Scientific Reports,journal-article,NCT00000389,2023-07-26,2045-2322,2045-2322,Springer Science and Business Media LLC,Humans | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Research Design,,,,,,,,eng,
10.1038/s41598-025-25818-3,,,Exploring practitioners’ perceptions of health behavior changes associated with psychedelic experiences,2025,Laura C. Carvalho; Jorge Encantado; Michiel van Elk; Arlen C. Moller; Talea Cornelius; Christopher Timmermann; Diogo Veiga; Pedro J. Teixeira,Scientific Reports,journal-article,,2025-11-25,2045-2322,2045-2322,Springer Science and Business Media LLC,Humans | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Female | Male | Health Behavior / drug effects | Adult | Retrospective Studies | Middle Aged | Surveys and Questionnaires | Exercise | Perception,Diet | Health behavior change | Physical activity | Psychedelic practitioners | Psychedelics,Fundação para a Ciência e a Tecnologia,UI/BD/151344/2021,10.1038/s41598-025-33296-w,ErratumIn PMID:41461887 Sci Rep. 2025 Dec 29;15(1):44731. doi: 10.1038/s41598-025-33296-w.,,true,eng,
