# LLM uncertain full-text candidate queue for disorder generated at 2026-05-18T21:06:31.944849+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1124/jpet.119.264069,,,Extending the Specificity of DRL 72-s Behavior for Screening Antidepressant-Like Effects of Glutamatergic Clinically Validated Anxiolytic or Antidepressant Drugs in Rats,2020,Gerard J. Marek; Allyson A. Salek,Journal of Pharmacology and Experimental Therapeutics,journal-article,,2020-04-07,0022-3565,1521-0103,Elsevier BV,"Animals | Anti-Anxiety Agents / pharmacology | Antidepressive Agents / pharmacology | Behavior, Animal / drug effects | Bridged Bicyclo Compounds / pharmacology | Cognition / drug effects | Drug Evaluation, Preclinical | Executive Function / drug effects | Glutamic Acid / metabolism | Impulsive Behavior / drug effects | Ketamine / pharmacology | Male | Rats | Rats, Sprague-Dawley | Reinforcement, Psychology | Reproducibility of Results",,,,,,,,eng,
10.1177/0271678x20938137,Salvinorin A,Ischemic Stroke,Intranasal salvinorin A improves neurological outcome in rhesus monkey ischemic stroke model using autologous blood clot,2020,Longfei Wu; Di Wu; Jian Chen; Chunhua Chen; Tianqi Yao; Xiaoduo He; Yanqin Ma; Xinglong Zhi; Renyu Liu; Xunming Ji,Journal of Cerebral Blood Flow & Metabolism,journal-article,,2020-07-02,0271-678X,1559-7016,SAGE Publications,"Animals | Blood Coagulation | Disease Models, Animal | Diterpenes, Clerodane / therapeutic use | Infarction, Middle Cerebral Artery / diagnostic imaging | Infarction, Middle Cerebral Artery / pathology | Infarction, Middle Cerebral Artery / prevention & control | Ischemic Stroke / complications | Ischemic Stroke / diagnostic imaging | Macaca mulatta | Magnetic Resonance Imaging | Male | Nervous System Diseases / diagnostic imaging | Nervous System Diseases / etiology | Nervous System Diseases / prevention & control | Neuroprotective Agents / therapeutic use | Treatment Outcome",Ischemia | neuroprotection | rhesus | salvinorin A | stroke,,,,,,,eng,
10.4103/abr.abr_166_21,Ketamine,Pain,Comparison of the Effect of Intravenous Fentanyl with Low-Dose Ketamine on Pain Relief in Patients Taking Methadone and Suffering from Limb Fractures.,2023,Forghani M; Nasr Esfahani M; Vali M,Advanced biomedical research,Journal Article,,2023-01-27,2277-9175,,,,Addict | Drug | fentanyl | fracture | ketamine | pain,,,,,,,eng,
10.5312/wjo.v15.i9.882,,,Pain management in acute musculoskeletal injury: Effect of opioid vs nonopioid medications.,2024,Fiore M; Nasto LA; McCaffery E; Barletta F; Visconti A; Gargano F; Pola E; Pace MC,World journal of orthopedics,Journal Article,,2024-09-18,2218-5836,,,,Acute musculoskeletal injury | Acute traumatic pain | Non-opioid analgesia | Non-opioid pain control | Opioid crisis | Opioid disorder | Opioid-sparing analgesia | Systematic review,,,,,,,eng,
10.1016/j.jsxm.2019.02.018,,,"Substance-Linked Sex in Heterosexual, Homosexual, and Bisexual Men and Women: An Online, Cross-Sectional “Global Drug Survey” Report",2019,Will Lawn; Alexandra Aldridge; Richard Xia; Adam R. Winstock,The Journal of Sexual Medicine,journal-article,,2019-04-02,1743-6095,1743-6109,Oxford University Press (OUP),"Adult | Bisexuality / statistics & numerical data | Cross-Sectional Studies | Female | Heterosexuality / statistics & numerical data | Homosexuality, Male | Humans | Male | Sexual Behavior / statistics & numerical data | Sexual and Gender Minorities | Substance-Related Disorders / epidemiology | Surveys and Questionnaires | Young Adult",Chemsex | Harm reduction | Pleasure | Recreational drugs | Sex | Sexual orientation | SexualiZed drug use | Substance-linked Sex | Survey,,,,,,,eng,
10.1016/j.pbb.2011.05.006,MDMA,Hyperthermia,Influences of activity wheel access on the body temperature response to MDMA and methamphetamine,2011,N.W. Gilpin; M.J. Wright; G. Dickinson; S.A. Vandewater; J.U. Price; M.A. Taffe,Pharmacology Biochemistry and Behavior,journal-article,,2011-05-21,0091-3057,1873-5177,Elsevier BV,"Animals | Behavior, Animal / drug effects | Behavior, Animal / physiology | Body Temperature / drug effects | Body Temperature / physiology | Dose-Response Relationship, Drug | Fever / chemically induced | Fever / physiopathology | Male | Methamphetamine / pharmacology | Motor Activity / drug effects | Motor Activity / physiology | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Rats | Rats, Wistar",,NIDA NIH HHS,R01 DA018418 | R01 DA024705 | DA024705 | DA018418,,,,,eng,
10.1055/s-2007-1014321,,,Relapse Prevention in Alcoholics with an Anticraving Drug Treatment: First Results of the Berlin Study*,1994,L. Schmidt; P. Dufeu; S. Kuhn; H. Rommelspacher,Pharmacopsychiatry,journal-article,,1994-07-01,0176-3679,1439-0795,Georg Thieme Verlag KG,Adult | Aged | Alcoholism / drug therapy | Alcoholism / psychology | Double-Blind Method | Female | Humans | Lisuride / therapeutic use | Male | Middle Aged | Recurrence,,,,,,,,eng,
10.1080/02791072.1985.10524331,,,LSD and Psychotherapy,1985,Richard Yensen,Journal of Psychoactive Drugs,journal-article,,1985-10-01,0279-1072,2159-9777,Informa UK Limited,"Alcoholism / therapy | Double-Blind Method | Drug and Narcotic Control / legislation & jurisprudence | History, 20th Century | Humans | Lysergic Acid Diethylamide / history | Lysergic Acid Diethylamide / therapeutic use | Mental Disorders / therapy | Psychotherapy / methods | Psychotherapy, Group / methods | Research | Research Design | Switzerland | United States",,,,,,,,eng,
10.1080/02791072.2006.10399853,,,An Extended Nondrug MDMA-Like Experience Evoked Through Posthypnotic Suggestion,2006,Arthur Hastings,Journal of Psychoactive Drugs,journal-article,,2006-09-01,0279-1072,2159-9777,Informa UK Limited,"Adult | Aged | Female | Hallucinogens / pharmacology | Humans | Hypnosis | Male | Middle Aged | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Psychological Tests | Psychotherapy | Substance-Related Disorders / psychology | Substance-Related Disorders / therapy",,,,,,,,eng,
10.1080/10550887.2025.2612501,,,"Clinical and inflammatory profiles in substance use disorder: gender, substance type, and comorbidity in a single-center cross-sectional study in Turkey",2026,Kader Semra Karatas; Samin Soudkhah; Sibel Haci; Toultse Gioventikli; Hande Arslan; Onur Gokcen; Feyza Donmez; Merve Akkus,Journal of Addictive Diseases,journal-article,,2026-01-23,1055-0887,1545-0848,Informa UK Limited,,CRP | IBI | Substance use disorder | Turkey | cognition | gender differences | inflammatory biomarkers | psychiatric comorbidity,,,,,,,eng,
