# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1001/jamanetworkopen.2023.47886,Ketamine,Alcohol use disorder,Effect of Esketamine Added to Propofol Sedation on Desaturation and Hypotension in Bidirectional Endoscopy,2023,Nan Song; Yi Yang; Zhong Zheng; Wen-cheng Shi; Ai-ping Tan; Xi-sheng Shan; Hong Liu; Lingzhong Meng; Ke Peng; Fu-hai Ji
10.1001/jamanetworkopen.2023.9321,S-ketamine,Treatment-resistant depression,RETRACTED: Efficacy and Safety of Esketamine for Supplemental Analgesia During Elective Cesarean Delivery,2023,Li-Li Xu; Chun Wang; Chun-Mei Deng; Shao-Bing Dai; Qun Zhou; Yong-Bao Peng; Hong-Yan Shou; Yin-Qiu Han; Jing Yu; Chao-Hui Liu
10.1001/jamanetworkopen.2026.0972,Psilocybin,Major depressive disorder,Psilocybin or Nicotine Patch for Smoking Cessation,2026,Matthew W. Johnson; Gideon P. Naudé; Peter S. Hendricks; Albert Garcia-Romeu
10.1002/14651858.CD008921.pub2,Ketamine,Fibromyalgia,Neuromodulators for pain management in rheumatoid arthritis,2012,Bethan L Richards; Samuel L Whittle; Rachelle Buchbinder
10.1002/14651858.CD008940.pub4,5-MeO-DMT,Cannabis use disorder,Pharmacotherapies for cannabis use disorder,2025,Francesca Spiga; Thomas Parkhouse; Victor M. Tang; Jelena Savović; Bernard Le Foll; Suzanne Nielsen
10.1002/14651858.CD012182.pub3,5-MeO-DMT,Cannabis use disorder,Cannabis-based medicines for chronic neuropathic pain in adults,2026,Gülay Ateş; Patrick Welsch; Petra Klose; Tudor Phillips; Britta Lambers; Winfried Häuser; Lukas Radbruch
10.1002/adaw.34470,DOI,Alcohol use disorder,RCT: Semaglutide reduces alcohol craving and consumption,2025,Alison Knopf
10.1002/ardp.70022,Bufotenin,Major depressive disorder,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,Judith Stirn; Christian D. Klein
10.1002/cncr.70003,Psilocybin,Major depressive disorder,Correction to “Acceptability of psilocybin‐assisted group therapy in patients with cancer and major depressive disorder: Qualitative analysis”,2025,
10.1002/cpt.3391,Ketamine,Suicidal ideation,"A Phase 1 Assessment of the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of (2<i>R</i>,6<i>R</i>)‐Hydroxynorketamine in Healthy Volunteers",2024,Shruti M. Raja; Jeffrey T. Guptill; Michelle Mack; Marni Peterson; Stephen Byard; Robert Twieg; Lynn Jordan; Natalie Rich; Richard Castledine; Samuel Bourne
10.1002/eat.24528,S-ketamine,Anorexia nervosa,"How Do Outpatients Experience 20‐Session Cognitive‐Behavioral Therapy for Anorexia Nervosa (
                    <scp>CBT</scp>
                    ‐
                    <scp>AN</scp>
                    ‐20)? A Qualitative Exploration",2025,Heather C. Duggan; Charlotte Rose; Hannah Turner; Jessica Cox; Rachel Ebbens; Jade Southron; Glenn Waller
10.1002/npr2.12360,MDA,Obsessive-compulsive disorder,"Effects of N‐acetylcysteine on oxidative stress biomarkers, depression, and anxiety symptoms in patients with multiple sclerosis",2023,Golsa Khalatbari Mohseni; Seyed Ahmad Hosseini; Nastaran Majdinasab; Bahman Cheraghian
10.1002/phar.70063,Ketamine,Treatment-resistant depression,Lithium Augmentation in Treatment‐Resistant Depression: A Qualitative Review of the Literature,2025,Angela Acero‐González; Yahira Guzman; Nadia Juliana Proaños; Rosa‐Helena Bustos; María Aconcha; Ivan Guerrero; Laura Alejandra Martinez; Michael Berk; Seetal Dodd
10.1002/wps.21136,S-ketamine,Treatment-resistant depression,Challenges of research on treatment‐resistant depression: a clinician's perspective,2023,A. John Rush
10.1007/s00213-024-06654-1,Psilocybin,Treatment-resistant depression,Correction to: Unraveling psilocybin’s therapeutic potential: behavioral and neuroplasticity insights in Wistar-Kyoto and Wistar male rat models of treatment-resistant depression,2024,M. Kolasa; A. Nikiforuk; A. Korlatowicz; J. Solich; A. Potasiewicz; M. Dziedzicka-Wasylewska; R. Bugno; A. Hogendorf; Andrzej J. Bojarski; A. Faron-Górecka
10.1007/s00213-024-06665-y,MDMA,Post-traumatic stress disorder,Retraction Note: Long-term follow-up outcomes of MDMA-assisted psychotherapy for treatment of PTSD: a longitudinal pooled analysis of six phase 2 trials,2024,Lisa Jerome; Allison A. Feduccia; Julie B. Wang; Scott Hamilton; Berra Yazar‐Klosinski; Amy Emerson; Michael C. Mithoefer; Rick Doblin
10.1007/s00213-024-06666-x,MDMA,Post-traumatic stress disorder,Retraction Note: MDMA-assisted psychotherapy for treatment of PTSD: study design and rationale for phase 3 trials based on pooled analysis of six phase 2 randomized controlled trials,2024,Michael C. Mithoefer; Allison A. Feduccia; Lisa Jerome; Anne Mithoefer; Mark T. Wagner; Zach Walsh; Scott Hamilton; Berra Yazar‐Klosinski; Amy Emerson; Rick Doblin
10.1007/s00406-021-01287-3,LSD,Major depressive disorder,Antidepressant effect of repetitive transcranial magnetic stimulation is not impaired by intake of lithium or antiepileptic drugs,2021,T. Hebel; M. A. Abdelnaim; M. Deppe; P. M. Kreuzer; A. Mohonko; T. B. Poeppl; R. Rupprecht; B. Langguth; M. Schecklmann
10.1007/s00590-025-04435-w,LSD,Major depressive disorder,Do mini-fragment T-plates allow for more proximal rafting than pre-contoured anatomic plates in lateral split-depression tibial plateau fractures?,2025,Elizabeth Lechtholz-Zey; Michael Allen; Ivan Luu; Ian Hasegawa; Joseph Patterson; Joshua Gary
10.1007/s11864-022-00954-4,Psilocybin,distress associated with life-threatening disease,Depression and Long-Term Prescription Opioid Use and Opioid Use Disorder: Implications for Pain Management in Cancer,2022,Nicole Bates; Jennifer K. Bello; Nosayaba Osazuwa-Peters; Mark D. Sullivan; Jeffrey F. Scherrer
10.1007/s11920-025-01606-8,2C-B,Bipolar depression,Global Trends in the Use of Pharmacotherapy for the Treatment of Bipolar Disorder,2025,Anastasia K. Yocum; Balwinder Singh
10.1007/s13181-016-0571-7,LSD,Major depressive disorder,Acute Toxicity Associated with Use of 5F-Derivations of Synthetic Cannabinoid Receptor Agonists with Analytical Confirmation,2016,Rachelle Abouchedid; James H. Ho; Simon Hudson; Alison Dines; John R. H. Archer; David M. Wood; Paul I. Dargan
10.1007/s40122-017-0079-0,Ketamine,Chronic pain,Consensus Statement for Clinical Pathway Development for Perioperative Pain Management and Care Transitions.,2017,Kaye AD; Helander EM; Vadivelu N; Lumermann L; Suchy T; Rose M; Urman RD
10.1016/j.aninu.2020.03.008,LSD,Major depressive disorder,Role of dietary gamma-aminobutyric acid in broiler chickens raised under high stocking density.,2020,Jeong SB; Kim YB; Lee JW; Kim DH; Moon BH; Chang HH; Choi YH; Lee KW
10.1016/j.clnu.2024.08.029,LSD,Major depressive disorder,Effects of time-restricted eating and low-carbohydrate diet on psychosocial health and appetite in individuals with metabolic syndrome: A secondary analysis of a randomized controlled trial,2024,Yixuan Zheng; Xin Wang; Jingya Wang; Jing Yang; Ting Wang; Qian Li; Wenzhi Zhu; Yue Wang; Jing Sui; Wei Qiang
10.1016/j.cpnec.2022.100163,Ayahuasca,Obsessive-compulsive disorder,Subacute effects of a single dose of psilocybin on biomarkers of inflammation in healthy humans: An open-label preliminary investigation,2022,Daniel Burmester; M. Madsen; Attila Szabó; Sanjay S. Aripaka; Dea Siggaard Stenbæk; Vibe G. Frøkjær; Betina Elfving; Jens D. Mikkelsen; Gitte M. Knudsen; Patrick M. Fisher
10.1016/j.eclinm.2023.101841,Psilocybin,Major depressive disorder,"Corrigendum to ‘Single-dose psilocybin-assisted therapy in major depressive disorder: a placebo-controlled, double-blind, randomised clinical trial’",2023,Robin von Rotz; Eva M. Schindowski; Johannes Jungwirth; Anna Schuldt; Nathalie M. Rieser; Katharina Zahoranszky; Erich Seifritz; Albina Nowak; Peter Nowak; Lutz Jäncke
10.1016/j.isci.2023.108527,Ketamine,Chronic pain,Cerebrospinal fluid exploratory proteomics and ketamine metabolite pharmacokinetics in human volunteers after ketamine infusion.,2023,Moaddel R; Farmer CA; Yavi M; Kadriu B; Zhu M; Fan J; Chen Q; Lehrmann E; Fantoni G; De S
10.1016/j.jagp.2023.02.042,DOI,Treatment-resistant depression,Corrigendum to Optimizing Outcomes of Treatment-Resistant Depression in Older Adults (OPTIMUM): Study Design and Treatment Characteristics of the First 396 Participants Randomized. Am J Geriatr Psychiatry 2019;27(10):1138-1152. doi: 10.1016/j.jagp.2019.04.005.,2023,P. Cristancho; E. Lenard; E. Lenze; J. Miller; Patrick J. Brown; S. Roose; Carolina Montes-Garcia; D. Blumberger; B. Mulsant; H. Lavretsky
10.1016/j.jpain.2013.01.696,Ketamine,Chronic pain,The nurse's role in the development of an outpatient intravenous ketamine infusion program in the care of the chronic pain patient,2013,M. Gaillard
10.1016/j.jpainsymman.2024.02.236,S-ketamine,Treatment-resistant depression,Intranasal Esketamine for Treatment Resistant Depression with Suicidal Ideation in Cancer Patients: A Case Series,2024,William Alexander; Mercy Tomy; AmyAllen Case; Sanjay Gupta
10.1016/j.jval.2019.04.1059,S-ketamine,Treatment-resistant depression,PMH14 COST EFFICIENCY OF ESKETAMINE NASAL SPRAY VERSUS STANDARD OF CARE FOR TREATMENT RESISTANT DEPRESSION,2019,U. Desai; N. Kirson; A. Guglielmo; H. Le; T. Spittle; J. Tseng-Tham; M. Shawi; J. Sheehan
10.1016/j.jval.2019.04.1064,S-ketamine,Treatment-resistant depression,PMH19 COST-EFFECTIVENESS ANALYSIS OF ESKETAMINE IN TREATMENT-RESISTANT DEPRESSION IN THE UNITED STATES,2019,L. Hernandez; S. Li; H. Toro-Díaz; Q. Zhang; J. Sheehan; H. Le
10.1016/j.jval.2019.04.1068,S-ketamine,Treatment-resistant depression,PMH23 BUDGET IMPACT ANALYSIS OF ESKETAMINE IN TREATMENT-RESISTANT DEPRESSION IN THE UNITED STATES,2019,H. Le; Q. Zhang; J. Sheehan
10.1016/j.jval.2019.09.1490,S-ketamine,Treatment-resistant depression,PMH16 LONG-TERM COST-EFFECTIVENESS OF ESKETAMINE FOR THE TREATMENT OF TREATMENT-RESISTANT DEPRESSION,2019,Daniel R. Touchette; Nicole Boyer; Steven J. Atlas; Foluso Agboola; Brian Talon; Bob G. Schultz; VM Kumar; Katherine Fazioli; Noemi Fluetsch; David M. Rind
10.1016/j.mehy.2008.06.030,Ketamine,Chronic pain,Electrical stimulation therapies for CNS disorders and pain are mediated by competition between different neuronal networks in the brain,2008,Carl L. Faingold
10.1016/j.nlm.2024.107954,Psilocybin,Treatment-resistant depression,Effects of psilocybin on uncertain punishment learning,2024,David S. Jacobs; Alina P. Bogachuk; Chloé L. Le Moing; Bita Moghaddam
