# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.jad.2020.01.120,Ketamine,Chronic pain,Development of the Ketamine Side Effect Tool (KSET),2020,Brooke Short; Vanessa Dong; Verònica Gálvez; Vedran Vulovic; Donel Martin; Adam J Bayes; Carlos A Zarate; James W Murrough; Declan M McLoughlin; Patricio Riva-Posse
10.1177/02698811241265756,LSD,Demoralization,A framework for assessment of adverse events occurring in psychedelic-assisted therapies,2024,Roman Palitsky; Deanna M Kaplan; John Perna; Zachary Bosshardt; Jessica L Maples-Keller; Holly F Levin-Aspenson; Ali John Zarrabi; Caroline Peacock; Tanja Mletzko; Barbara O Rothbaum
10.17615/bkw1-d506,Psilocin,Cluster headache,Psychedelics as Transformative Therapeutics,2024,Roth B.L; Gumpper R.H
10.17615/rd8y-nq91,Noribogaine,Treatment-resistant depression,Mental Health Facilities With Ketamine Infusion Therapy in the United States in 2020: Co-Location of Dual Diagnosis Mental Health and Substance Use Disorder Treatment,2024,Orrin D. Ware
10.21608/muj.2025.407680.1241,Ketamine,Demoralization,"The Efficacy of Bolus Epidural Morphine with Ketamine as Postoperative Analgesia after Hepatic Resection: A Randomized, Controlled, Double Blind, Study",2025,Mohamed Aly Eloraby; Akram Moustafa Aly; Mohammed Ahmed Sultan; Amgad Abd-Elmagid Zaghloul; Tarek Habeeb Ramadan
10.2298/abs180918055v,Noribogaine,,Effects of ibogaine per os application on redox homeostasis in rat liver and erythrocytes,2019,Teodora Vidonja-Uzelac; Nikola Tatalovic; Milica Mijovic; Gordana Kozelj; Aleksandra Nikolic-Kokic; Zorana Orescanin-Dusic; Mara Bresjanac; Dusko Blagojevic
10.32592/ari.2023.78.5.1603,5-MeO-DMT,,"Molecular Docking, MM-GBSA, and Molecular Dynamics Approach: 5-MeO-DMT Analogues as Potential Antidepressants",2023,
10.34172/ddj.2023.437,Ketamine,Suicidal ideation,The Effect of Intravenous Ketamine on Suicidal Ideation in Depressed Patients: A Randomized Clinical Trial,2022,Farah Moayedi; Ali Massoudifar; Sholeh Namazi; Hossein Mirzaei Zadeh; Seyed Hamzeh Seddigh; Saeed Hosseini Teshnizi
10.5005/JP-JOURNALS-10055-0004,Ketamine,Chronic pain,Prospective Placebo-controlled Randomized Trial to compare the Efficacy of Ketamine as an Adjuvant to Epidural Steroids in preventing Repeat Blocks in Chronic Low Back Pain,2017,Saru Singh; Ruchi Gupta; Chashamjot Bawa; Lakshmi Mahajan; Bhanupreet Kaur; Tavleen Kaur
10.53785/2769-2779.1304,R-ketamine,,"Ketamine as a Novel Treatment for Bipolar Disorder: Efficacy, Safety, and Future Directions",2025,Sophia M Valerino
10.54377/9a2b-ebe7,Ketamine,Treatment-resistant depression,Ketamine helps change thinking patterns in people with treatment-resistant depression,2022,Liane Schmidt
