# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-18T02:31:40.753198+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1001/archgenpsychiatry.2009.58,,,A Reverse-Translational Study of Dysfunctional Exploration in Psychiatric Disorders,2009,William Perry; Arpi Minassian; Martin P. Paulus; Jared W. Young; Meegin J. Kincaid; Eliza J. Ferguson; Brook L. Henry; Xiaoxi Zhuang; Virginia L. Masten; Richard F. Sharp,Archives of General Psychiatry,journal-article,,2009-10-01,0003-990X,1538-3636,American Medical Association (AMA),"Adolescent | Adult | Amphetamine / pharmacology | Animals | Bipolar Disorder / diagnosis | Bipolar Disorder / genetics | Disease Models, Animal | Dopamine Plasma Membrane Transport Proteins / antagonists & inhibitors | Exploratory Behavior / physiology | Female | Habituation, Psychophysiologic / genetics | Humans | Male | Mice | Mice, Inbred C57BL | Mice, Knockout | Middle Aged | Motor Activity / genetics | Phenotype | Psychiatric Status Rating Scales | Schizophrenia / diagnosis | Schizophrenia / genetics",,NIMH NIH HHS,R01 MH071916 | R01-MH071916,,,,,eng,
10.1001/jamanetworkopen.2022.10339,,,Efficacy and Safety of Difelikefalin in Japanese Patients With Moderate to Severe Pruritus Receiving Hemodialysis,2022,Ichiei Narita; Yoshiharu Tsubakihara; Takuma Uchiyama; Shota Okamura; Nobuyo Oya; Naoki Takahashi; Fumitake Gejyo; MR13A9-4 Trial Investigators; Akikazu Yamamoto; Akiko Ichikawa,JAMA Network Open,journal-article,NCT03802617,2022-05-05,2574-3805,2574-3805,American Medical Association (AMA),Female | Humans | Japan | Male | Middle Aged | Piperidines | Pruritus / drug therapy | Pruritus / etiology | Quality of Life | Renal Dialysis / adverse effects,,,,,,,,eng,
10.1001/jamaneurol.2015.1921,,,Chemogenetics—A Transformational and Translational Platform,2015,Justin G. English; Bryan L. Roth,JAMA Neurology,journal-article,,2015-09-26,2168-6149,2168-6157,American Medical Association (AMA),"Animals | Brain / drug effects | Brain / metabolism | Drug Design | Humans | Nervous System Diseases / drug therapy | Neuroglia / metabolism | Neurons / metabolism | Protein Engineering / methods | Receptors, G-Protein-Coupled / genetics | Receptors, G-Protein-Coupled / metabolism | Signal Transduction / drug effects | Translational Research, Biomedical / methods",,NIMH NIH HHS,U01 MH105892 | 1U01MH105892-01,,,,,eng,
10.1001/jamapsychiatry.2013.399,,,RETRACTED: Association of Posttraumatic Stress Disorder With Reduced In Vivo Norepinephrine Transporter Availability in the Locus Coeruleus,2013,Robert H. Pietrzak; Jean-Dominique Gallezot; Yu-Shin Ding; Shannan Henry; Marc N. Potenza; Steven M. Southwick; John H. Krystal; Richard E. Carson; Alexander Neumeister,JAMA Psychiatry,journal-article,,2013-09-18,2168-622X,2168-6238,American Medical Association (AMA),"Adult | Carbon Isotopes | Case-Control Studies | Female | Functional Neuroimaging | Humans | Locus Coeruleus / diagnostic imaging | Locus Coeruleus / metabolism | Male | Morpholines | Norepinephrine Plasma Membrane Transport Proteins / metabolism | Radionuclide Imaging | Reboxetine | Severity of Illness Index | Stress Disorders, Post-Traumatic / diagnostic imaging | Stress Disorders, Post-Traumatic / metabolism | Wounds and Injuries / metabolism",,NIMH NIH HHS | NIAAA NIH HHS,R21 MH096105 | R01MH096876-01A1 | R01 MH102566 | RL1 AA017540 | R01 MH096876 | R21 MH081103 | R21 MH085627,10.1001/jamapsychiatry.2020.0365,CommentIn PMID:31929661 Fed Regist. 2020 Jan 7;85(4):723-724. | RetractionIn PMID:32074384 JAMA Psychiatry. 2020 May 1;77(5):454. doi: 10.1001/jamapsychiatry.2020.0365.,true,,eng,
10.1001/jamapsychiatry.2016.1478,,,Positron Emission Tomographic Imaging of the Serotonergic System and Prediction of Risk and Lethality of Future Suicidal Behavior,2016,Maria A. Oquendo; Hanga Galfalvy; Gregory M. Sullivan; Jeffrey M. Miller; Matthew M. Milak; M. Elizabeth Sublette; Sebastian Cisneros-Trujillo; Ainsley K. Burke; Ramin V. Parsey; J. John Mann,JAMA Psychiatry,journal-article,,2016-07-27,2168-622X,2168-6238,American Medical Association (AMA),"Adult | Benzylamines | Brain / diagnostic imaging | Brain / physiopathology | Brain Mapping | Carbon Radioisotopes | Major Depressive Disorder / diagnostic imaging | Major Depressive Disorder / mortality | Major Depressive Disorder / physiopathology | Female | Follow-Up Studies | Humans | Male | Middle Aged | Piperazines | Positron-Emission Tomography | Prospective Studies | Pyridines | Receptor, Serotonin, 5-HT1A / physiology | Serotonin Plasma Membrane Transport Proteins / physiology | Suicidal Ideation | Suicide / psychology | Suicide / statistics & numerical data | Suicide, Attempted / psychology | Suicide, Attempted / statistics & numerical data",,NIMH NIH HHS,R01 MH040695 | P50 MH062185 | R01 MH048514 | R01 MH074813 | P50 MH090964,10.1136/eb-2017-102650,CommentIn PMID:28663171 Evid Based Ment Health. 2017 Aug;20(3):e11. doi: 10.1136/eb-2017-102650.,,,eng,
10.1001/jamapsychiatry.2017.0135,,,"Association of Stimulant Use With Dopaminergic Alterations in Users of Cocaine, Amphetamine, or Methamphetamine",2017,Abhishekh H. Ashok; Yuya Mizuno; Nora D. Volkow; Oliver D. Howes,JAMA Psychiatry,journal-article,,2017-03-15,2168-622X,2168-6238,American Medical Association (AMA),"Amphetamine-Related Disorders / metabolism | Cocaine-Related Disorders / metabolism | Corpus Striatum / metabolism | Dopamine / metabolism | Dopamine Plasma Membrane Transport Proteins / metabolism | Humans | Receptors, Dopamine / metabolism",,Wellcome Trust | Medical Research Council,G0700995 | MC_U120097115 | MR/N026063/1,,,,,eng,
10.1002/adhm.202100639,,,"Liposomes and Extracellular Vesicles as Drug Delivery Systems: A Comparison of Composition, Pharmacokinetics, and Functionalization",2021,Luke van der Koog; Timea B. Gandek; Anika Nagelkerke,Advanced Healthcare Materials,journal-article,,2021-06-24,2192-2640,2192-2659,Wiley,Drug Delivery Systems | Extracellular Vesicles / chemistry | Hydrophobic and Hydrophilic Interactions | Liposomes | Nanoparticles,biodistribution | cellular uptake | targeting moiety incorporation | therapeutic cargo delivery | vesicle functionalization,,,,,,,eng,
10.1002/admi.201300069,,,Coating Engineering of MnFe<sub>2</sub>O<sub>4</sub> Nanoparticles with Superhigh <i>T<sub>2</sub></i> Relaxivity and Efficient Cellular Uptake for Highly Sensitive Magnetic Resonance Imaging,2014,Xiao Li Liu; Yu Tong Wang; Cheng Teng Ng; Rong Wang; Guang Yin Jing; Jia Bao Yi; Jian Yang; Boon Huat Bay; Lin‐Yue Lanry Yung; Dai Di Fan,Advanced Materials Interfaces,journal-article,,2014-01-24,2196-7350,2196-7350,Wiley,,,National Natural Science Foundation of China | Research Fund for the Doctoral Program of Higher Education China | Ministry of Education of China | MOE of Singapore,21006079 | 21376192 | 20126101110017 | DWYXSJ11000007 | -MOE2011-T2-1-043,,,,,en,
10.1002/ajmg.b.32388,,,The neurobiological basis of human aggression: A review on genetic and epigenetic mechanisms,2015,Regina Waltes; Andreas G. Chiocchetti; Christine M. Freitag,American Journal of Medical Genetics Part B Neuropsychiatric Genetics,journal-article,,2015-10-22,1552-4841,1552-485X,Wiley,"Aggression / physiology | Aggression / psychology | Animals | Behavior, Animal | Dopamine | Epigenesis, Genetic / genetics | Gene-Environment Interaction | Genetic Association Studies | Genome-Wide Association Study / methods | Humans | Neuroendocrine Cells | Risk Factors | Serotonin | Social Behavior",aggression | animal models | epigenetics | genetic association studies,,,,,,,eng,
10.1002/ange.202101262,,,Designing a Single Protein‐Chain Reporter for Opioid Detection at Cellular Resolution,2021,Kayla E. Kroning; Wenjing Wang,Angewandte Chemie,journal-article,,2021-03-04,0044-8249,1521-3757,Wiley,,,,,,,,,en,
10.1002/anie.202101262,,,Designing a Single Protein‐Chain Reporter for Opioid Detection at Cellular Resolution,2021,Kayla E. Kroning; Wenjing Wang,Angewandte Chemie International Edition,journal-article,,2021-03-04,1433-7851,1521-3773,Wiley,"Analgesics, Opioid / analysis | Fentanyl / analysis | Green Fluorescent Proteins / genetics | Green Fluorescent Proteins / immunology | Green Fluorescent Proteins / metabolism | HEK293 Cells | Humans | Microscopy, Fluorescence / methods | Receptors, Opioid, mu / genetics | Receptors, Opioid, mu / metabolism | Signal-To-Noise Ratio | Single-Chain Antibodies / chemistry | Single-Chain Antibodies / immunology",GPCR | cpGFP | drug screening | fluorescent sensor | opioid,,,,,,,eng,
10.1002/brb3.222,,,The role of kappa opioid receptors in stress‐induced reinstatement of alcohol seeking in rats,2014,Douglas Funk; Kathleen Coen; A. D. Lê,Brain and Behavior,journal-article,,2014-02-17,2162-3279,,Wiley,"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer / pharmacology | Analgesics, Opioid / pharmacology | Animals | Behavior, Addictive | Behavior, Animal / drug effects | Cues | Drug-Seeking Behavior / drug effects | Ethanol / administration & dosage | Male | Naltrexone / analogs & derivatives | Naltrexone / pharmacology | Narcotic Antagonists / pharmacology | Pyrimidines / pharmacology | Pyrroles / pharmacology | Rats | Rats, Long-Evans | Receptors, Corticotropin-Releasing Hormone / antagonists & inhibitors | Receptors, Opioid, kappa / agonists | Receptors, Opioid, kappa / antagonists & inhibitors | Self Administration | Stress, Physiological / drug effects | Yohimbine / pharmacology",Alcohol self-administration | CRF receptors | conditioned cue | kappa opioid receptors | reinstatement | stress,NIAAA NIH HHS,R01 AA013108 | AA13108,,,,,eng,
10.1002/brb3.78,,,"Prescription stimulants in individuals with and without attention deficit hyperactivity disorder: misuse, cognitive impact, and adverse effects",2012,Shaheen E. Lakhan; Annette Kirchgessner,Brain and Behavior,journal-article,,2012-07-23,2162-3279,2162-3279,Wiley,,Amphetamine | athletes | attention deficit hyperactivity disorder | cognition | methylphenidate | misuse | performance | students,,,,,,,eng,
