# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-19T07:31:34.240394+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/minf.201300013,,,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,A. Seddik; M. Holy; Rene Weissensteiner; Barbara Zdrazil; H. Sitte; G. Ecker,Molecular Informatics,JournalArticle,,2013-06-01,1868-1743,1868-1751,Wiley,,Chemistry | Medicine | external | s2-fos-model,Funded Access | Austrian Science Fund,F03502 | F3506 | W1232,,,,,en,b66dddba28797d68fccdec32ed9c0205274c1d54
10.1007/978-90-368-1117-0_1,,,Micro-organismen en infectieziekten bij de mens: algemene principes,2016,Y. Freund; N. Lemachatti; E. Krastinova; M. Van Laer; Y. Claessens; A. Avondo; Céline Occelli; A. Feral-Pierssens; J. Truchot; M. Ortega,Leerboek microbiologie en infectieziekten,Study | JournalArticle,NCT02738164,2016-06-03,,,Bohn Stafleu van Loghum,,Biology | Medicine | external | s2-fos-model,,,,,,,nl,14aba65dad61fd9a07e0ae4ff0b7b4ca044abd69
10.1007/s00204-025-03992-7,,,Quantitative in vitro-to-in vivo extrapolation of human adrenergic and trace amine-associated receptor 1 potencies of pre-workout supplement ingredients using physiologically based kinetic modelling-based reverse dosimetry,2025,Nicole E. T. Pinckaers; W. Matthijs Blankesteijn; Anastasiya Mircheva; Ans Punt; Antoon Opperhuizen; Frederik-Jan van Schooten; Misha Vrolijk,Archives of Toxicology,journal-article,,2025-04-03,0340-5761,1432-0738,Springer Science and Business Media LLC,"Humans | Phenethylamines / toxicity | Phenethylamines / pharmacokinetics | Phenethylamines / administration & dosage | Receptors, G-Protein-Coupled / metabolism | Receptors, G-Protein-Coupled / agonists | Dietary Supplements / toxicity | Models, Biological | Risk Assessment | Dose-Response Relationship, Drug | Receptors, Adrenergic / metabolism | Trace Amine-Associated Receptors",Adrenergic receptors | PBK modelling | Phenethylamine analogues | QIVIVE | Trace amine-associated receptor 1,,,,,,,eng,
10.1007/s00210-016-1245-3,,,"Study of a mechanism responsible for potential antidepressant activity of EMD 386088, a 5-HT6 partial agonist in rats",2016,Magdalena Jastrzębska-Więsek; Agata Siwek; Anna Partyka; Lucyna Antkiewicz-Michaluk; Jerzy Michaluk; Irena Romańska; Marcin Kołaczkowski; Anna Wesołowska,Naunyn-Schmiedeberg s Archives of Pharmacology,journal-article,,2016-04-23,0028-1298,1432-1912,Springer Science and Business Media LLC,"Animals | Antidepressive Agents / pharmacology | Behavior, Animal / drug effects | Brain / drug effects | Brain / metabolism | CHO Cells | Cricetulus | Depression / drug therapy | Depression / metabolism | Depression / psychology | Disease Models, Animal | Dopamine / metabolism | Dopamine Agonists / pharmacology | Dopamine D2 Receptor Antagonists / pharmacology | Dopamine Plasma Membrane Transport Proteins / antagonists & inhibitors | Dopamine Plasma Membrane Transport Proteins / genetics | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Drug Partial Agonism | Humans | Indoles / pharmacology | Male | Motor Activity / drug effects | Norepinephrine / metabolism | Pyridines / pharmacology | Rats, Wistar | Receptors, Dopamine D1 / agonists | Receptors, Dopamine D1 / metabolism | Receptors, Dopamine D2 / agonists | Receptors, Dopamine D2 / metabolism | Receptors, Serotonin / drug effects | Receptors, Serotonin / metabolism | Serotonin / metabolism | Serotonin Receptor Agonists / pharmacology | Transfection",5-HT6 receptor agonist | Depression | EMD386088 | Forced swim test | Monoamines metabolism | Rats,,,,,,,eng,
10.1007/s00210-024-03323-0,,,"Pharmacodynamic, pharmacokinetic and rat brain receptor occupancy profile of NLX-112, a highly selective 5-HT1A receptor biased agonist",2024,Ronan Y. Depoortère; Andrew C. McCreary; Benjamin Vidal; Mark A. Varney; Luc Zimmer; Adrian Newman-Tancredi,Naunyn-Schmiedeberg s Archives of Pharmacology,journal-article,,2024-08-03,0028-1298,1432-1912,Springer Science and Business Media LLC,"Animals | Male | Receptor, Serotonin, 5-HT1A / metabolism | Serotonin 5-HT1 Receptor Agonists / pharmacology | Serotonin 5-HT1 Receptor Agonists / pharmacokinetics | Serotonin 5-HT1 Receptor Agonists / blood | Brain / metabolism | Brain / drug effects | Levodopa / pharmacology | Rats, Sprague-Dawley | Rats | Pyridines / pharmacology | Pyridines / pharmacokinetics | Antiparkinson Agents / pharmacology | Antiparkinson Agents / pharmacokinetics | Piperazines / pharmacology | Piperidines",5-HT1A receptors | Dyskinesia | L-DOPA | NLX-112 | Parkison’s disease | Pharmacokinetics | Rat,Agence Nationale de la Recherche | Université Claude Bernard Lyon 1 | Michael J. Fox Foundation for Parkinson's Research,ANR-11-IDEX-0007 | ANR-11-LABX-0063 | Grant #9233,,,,,eng,
10.1007/s00213-008-1072-4,,,Realistic expectations of prepulse inhibition in translational models for schizophrenia research,2008,Neal R. Swerdlow; Martin Weber; Ying Qu; Gregory A. Light; David L. Braff,Psychopharmacology,journal-article,,2008-06-20,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Antipsychotic Agents / therapeutic use | Disease Models, Animal | Humans | Models, Psychological | Reflex, Startle / drug effects | Reflex, Startle / genetics | Reflex, Startle / physiology | Schizophrenia / drug therapy | Schizophrenia / genetics | Schizophrenic Psychology",,NIMH NIH HHS,R01 MH068366 | R01 MH042228 | R01 MH065571 | MH 65571 | R01 MH079777 | MH 79777 | R01 MH059803 | MH 69589 | MH 42228 | MH 68366 | R01 MH069589 | R01 MH053484 | R37 MH042228 | MH 58903 | MH 53484,,,,,eng,
10.1007/s00213-013-3141-6,,,"Noradrenergic versus dopaminergic modulation of impulsivity, attention and monitoring behaviour in rats performing the stop-signal task",2013,Andrea Bari; Trevor W. Robbins,Psychopharmacology,"Journal Article | Research Support, Non-U.S. Gov't",,2013-05-17,0033-3158,1432-2072,,"Animals | Attention / drug effects | Attention Deficit Disorder with Hyperactivity / drug therapy | Attention Deficit Disorder with Hyperactivity / physiopathology | Behavior, Animal / drug effects | Corpus Striatum / drug effects | Corpus Striatum / metabolism | Dopamine / metabolism | Impulsive Behavior / drug therapy | Impulsive Behavior / physiopathology | Male | Motivation | Norepinephrine / metabolism | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Rats | Reaction Time / drug effects | Receptors, Adrenergic, alpha-2 / drug effects | Receptors, Adrenergic, alpha-2 / metabolism | Receptors, Adrenergic, beta / drug effects | Receptors, Adrenergic, beta / metabolism | Receptors, Dopamine / drug effects | Receptors, Dopamine / metabolism | Receptors, Dopamine D3 / drug effects | Receptors, Dopamine D3 / metabolism",,Wellcome Trust | Medical Research Council,G0001354 | 089589/Z/09/Z,,,,,eng,
10.1007/s00213-013-3234-2,,,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats",2013,Katarzyna Fijał; Piotr Popik; Agnieszka Nikiforuk,Psychopharmacology,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2013-08-18,0033-3158,1432-2072,,"Animals | Antipsychotic Agents / pharmacology | Clozapine / pharmacology | Data Interpretation, Statistical | Dizocilpine Maleate / pharmacology | Dopamine Antagonists / pharmacology | Dose-Response Relationship, Drug | Drug Interactions | Excitatory Amino Acid Antagonists / pharmacology | Fluorobenzenes / pharmacology | Haloperidol / pharmacology | Male | Piperazines / pharmacology | Piperidines / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, Serotonin / drug effects | Reflex, Startle / drug effects | Risperidone / pharmacology | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Serotonin Antagonists / pharmacology | Sulfonamides / pharmacology | Thiophenes / pharmacology",,PHS HHS,HHSN-271-2008-00025-C,,,,,eng,
10.1007/s00213-015-3963-5,,,The role of 5-HT2C receptors in touchscreen visual reversal learning in the rat: a cross-site study,2015,J. Alsiö; S. R. O. Nilsson; F. Gastambide; R. A. H. Wang; S. A. Dam; A. C. Mar; M. Tricklebank; T. W. Robbins,Psychopharmacology,journal-article,,2015-05-25,0033-3158,1432-2072,Springer Science and Business Media LLC,"Aminopyridines / pharmacology | Animals | Association Learning / drug effects | Baclofen / pharmacology | Choice Behavior / drug effects | Indoles / pharmacology | Male | Muscimol / pharmacology | Prefrontal Cortex / drug effects | Rats | Receptor, Serotonin, 5-HT2C / metabolism | Reversal Learning / drug effects | Serotonin 5-HT2 Receptor Antagonists / pharmacology",5-HT2C receptor | Orbitofrontal cortex | Rat | Reversal learning | SB 242084,Medical Research Council | Biotechnology and Biological Sciences Research Council | Wellcome Trust,G0001354 | BB/F529054/1 | 089589/z/09/z | 093875 | G1000183 | 104631 | MR/J012084/1 | 104631/Z/14/Z,,,,,eng,
10.1007/s00213-015-3997-8,,,Pridopidine selectively occupies sigma-1 rather than dopamine D2 receptors at behaviorally active doses,2015,Kristoffer Sahlholm; Jurgen W. A. Sijbesma; Bram Maas; Chantal Kwizera; Daniel Marcellino; Nisha K. Ramakrishnan; Rudi A. J. O. Dierckx; Philip H. Elsinga; Aren van Waarde,Psychopharmacology,journal-article,,2015-07-09,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Carbon Radioisotopes | Dopamine Antagonists | Male | Neostriatum / metabolism | Piperazines | Piperidines / metabolism | Raclopride | Rats | Receptors, Dopamine D2 / metabolism | Receptors, sigma / metabolism | Sigma-1 Receptor",,,,,,,,eng,
10.1007/s00213-016-4483-7,,,Antidepressant effects of combination of brexpiprazole and fluoxetine on depression-like behavior and dendritic changes in mice after inflammation,2016,Min Ma; Qian Ren; Chun Yang; Ji-chun Zhang; Wei Yao; Chao Dong; Yuta Ohgi; Takashi Futamura; Kenji Hashimoto,Psychopharmacology,journal-article,,2016-11-14,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Antipsychotic Agents / pharmacology | Antipsychotic Agents / therapeutic use | Behavior, Animal / drug effects | Brain-Derived Neurotrophic Factor / metabolism | Dendritic Spines / drug effects | Dendritic Spines / metabolism | Depression / drug therapy | Depression / metabolism | Fluoxetine / pharmacology | Fluoxetine / therapeutic use | Inflammation / drug therapy | Inflammation / metabolism | Male | Mice | Neurons / drug effects | Neurons / metabolism | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Quinolones / pharmacology | Quinolones / therapeutic use | Signal Transduction / drug effects | Thiophenes / pharmacology | Thiophenes / therapeutic use",Brexpiprazole | Fluoxetine | Inflammation | SSRI | Spine,,,,,,,eng,
