# Deterministic prescreen retained queue for mechanistic generated at 2026-05-18T02:28:36.685857+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/cne.23048,,,"(±)3,4‐methylenedioxymethamphetamine (“ecstasy”) treatment modulates expression of neurotrophins and their receptors in multiple regions of adult rat brain",2012,Ann M. Hemmerle; Jonathan W. Dickerson; Nicole R. Herring; Tori L. Schaefer; Charles V. Vorhees; Michael T. Williams; Kim B. Seroogy,The Journal of Comparative Neurology,journal-article,,2012-01-11,0021-9967,1096-9861,Wiley,"Animals | Body Temperature / drug effects | Brain-Derived Neurotrophic Factor / drug effects | Brain-Derived Neurotrophic Factor / genetics | Brain-Derived Neurotrophic Factor / metabolism | Cerebral Cortex / drug effects | Cerebral Cortex / metabolism | Corticosterone / blood | Hallucinogens / pharmacology | Hippocampus / drug effects | Hippocampus / metabolism | Male | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Neostriatum / drug effects | Neostriatum / metabolism | Neurotrophin 3 / drug effects | Neurotrophin 3 / genetics | Neurotrophin 3 / metabolism | RNA, Messenger / analysis | Random Allocation | Rats | Rats, Sprague-Dawley | Receptor, trkB / drug effects | Receptor, trkB / genetics | Receptor, trkB / metabolism | Receptor, trkC / drug effects | Receptor, trkC / genetics | Receptor, trkC / metabolism | Serotonin Agents / pharmacology | Substantia Nigra / drug effects | Substantia Nigra / metabolism | Time Factors | Tyrosine 3-Monooxygenase / drug effects | Tyrosine 3-Monooxygenase / metabolism",,NINDS NIH HHS | NIDA NIH HHS | NIEHS NIH HHS,NS39128 | DA14269 | K01 DA014269 | R01 DA021394 | DA021394 | R01 NS039128 | T32 ES007051,,,,,eng,
10.1002/jdn.10407,,,Lutein Exerts Antioxidant and Neuroprotective Role on Schizophrenia‐Like Behaviours in Mice,2024,Helia Aziziha; Shahin Hassanpour; Morteza Zendehdel,International Journal of Developmental Neuroscience,journal-article,,2024-12-26,0736-5748,1873-474X,Wiley,"Animals | Lutein / pharmacology | Lutein / therapeutic use | Mice | Male | Schizophrenia / drug therapy | Schizophrenia / metabolism | Schizophrenia / chemically induced | Antioxidants / pharmacology | Ketamine / pharmacology | Neuroprotective Agents / pharmacology | Neuroprotective Agents / therapeutic use | Disease Models, Animal | Catalase / metabolism | Glutathione Peroxidase / metabolism | Brain / drug effects | Brain / metabolism | Malondialdehyde / metabolism | Superoxide Dismutase / metabolism | Recognition, Psychology / drug effects | Oxidative Stress / drug effects | Motor Activity / drug effects | Schizophrenic Psychology | Swimming / psychology",brain | ketamine | lutein | mice | schizophrenia‐like behaviours,,,,,,,eng,
10.1002/syn.10012,,,Ketamine alters the availability of striatal dopamine transporter as measured by [<sup>11</sup>C]β‐CFT and [<sup>11</sup>C]β‐CIT‐FE in the monkey brain,2001,Hideo Tsukada; Shingo Nishiyama; Takeharu Kakiuchi; Hiroyuki Ohba; Kengo Sato; Norihiro Harada,Synapse,journal-article,,2001-10-19,0887-4476,1098-2396,Wiley,"Anesthetics, Dissociative / pharmacology | Animals | Carbon Radioisotopes | Cerebrovascular Circulation | Cocaine / analogs & derivatives | Cocaine / pharmacokinetics | Contrast Media | Corpus Striatum / blood supply | Corpus Striatum / diagnostic imaging | Corpus Striatum / metabolism | Dopamine Plasma Membrane Transport Proteins | Ketamine / pharmacology | Macaca mulatta | Male | Membrane Glycoproteins | Membrane Transport Proteins / metabolism | Nerve Tissue Proteins | Nortropanes / pharmacokinetics | Time Factors | Tomography, Emission-Computed",,,,,,,,eng,
10.1002/syn.22294,,,Subanesthetic S‐ketamine does not acutely alter striatal dopamine transporter binding in healthy Sprague Dawley female rats,2024,Simone Larsen Bærentzen; Jakob Borup Thomsen; Majken Borup Thomsen; Steen Jakobsen; Mette Theilgaard Simonsen; Gregers Wegener; David J. Brooks; Anne M. Landau,Synapse,journal-article,,2024-05-30,0887-4476,1098-2396,Wiley,"Animals | Ketamine / pharmacology | Dopamine Plasma Membrane Transport Proteins / metabolism | Dopamine Plasma Membrane Transport Proteins / drug effects | Rats, Sprague-Dawley | Female | Corpus Striatum / metabolism | Corpus Striatum / drug effects | Corpus Striatum / diagnostic imaging | Rats | Positron-Emission Tomography | Autoradiography",GBR‐12935 | PE2I | PET | S‐ketamine | dopamine transporter (DAT) | fast‐acting antidepressant,"Aarhus Universitet | Institut for Klinisk Medicin, Aarhus Universitet",,,,,,eng,
10.1007/7854_2016_29,,,The Discriminative Stimulus Properties of Hallucinogenic and Dissociative Anesthetic Drugs,2016,Tomohisa Mori; Tsutomu Suzuki,Current topics in behavioral neurosciences,book-chapter,,2016-01-01,1866-3370,1866-3389,Springer International Publishing,"Anesthetics, Dissociative / pharmacology | Animals | Discrimination, Psychological / drug effects | Hallucinogens / pharmacology | Humans",Discriminative stimulus properties | Hallucinogens | Psychedelics | Serotonin | Sigma-1 receptor,,,,,,,eng,
10.1007/bf00178951,,,5-Hydroxytryptamine receptors with a 5-HT6 receptor-like profile stimulating adenylyl cyclase activity in pig caudate membranes,1994,Philippe Schoeffter; Christian Waeber,Naunyn-Schmiedeberg s Archives of Pharmacology,journal-article,,1994-10-01,0028-1298,1432-1912,Springer Science and Business Media LLC,"Adenylyl Cyclase Inhibitors | Adenylyl Cyclases / metabolism | Animals | Caudate Nucleus / enzymology | Cell Membrane / enzymology | Culture Techniques | Dose-Response Relationship, Drug | Receptors, Serotonin / metabolism | Serotonin Antagonists / pharmacology | Swine",,,,,,,,eng,
10.1007/s00213-010-2136-9,,,Effects of serotonin (5-HT)1A and 5-HT2A receptor agonists on schedule-controlled responding in rats: drug combination studies,2010,Jun-Xu Li; Caroline Crocker; Wouter Koek; Kenner C. Rice; Charles P. France,Psychopharmacology,journal-article,,2010-12-20,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Behavior, Animal / drug effects | Dose-Response Relationship, Drug | Drug Interactions | Drug Therapy, Combination | Male | Rats | Rats, Sprague-Dawley | Reinforcement Schedule | Serotonin 5-HT1 Receptor Agonists / administration & dosage | Serotonin 5-HT1 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Agonists / administration & dosage | Serotonin 5-HT2 Receptor Agonists / pharmacology",,NIDA NIH HHS | Intramural NIH HHS,K05 DA017918 | R01 DA005018 | K05 DA17918,,,,,eng,
10.1007/s00213-014-3759-z,,,"Mechanisms and environmental factors that underlying the intensification of 3,4-methylenedioxymethamphetamine (MDMA, Ecstasy)-induced serotonin syndrome in rats",2014,Rui Tao; Ibrahim M. Shokry; John J. Callanan; H. Daniel Adams; Zhiyuan Ma,Psychopharmacology,journal-article,,2014-10-10,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Dose-Response Relationship, Drug | Environment | Hot Temperature / adverse effects | Male | Maze Learning / drug effects | Maze Learning / physiology | Motor Activity / drug effects | Motor Activity / physiology | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Rats | Rats, Sprague-Dawley | Serotonin / metabolism | Serotonin Agents / toxicity | Serotonin Syndrome / chemically induced | Serotonin Syndrome / metabolism",,NIDA NIH HHS,R15 DA029863,,,,,eng,
10.1007/s00213-015-3982-2,,,Role of 5-HT2C receptors in effects of monoamine releasers on intracranial self-stimulation in rats,2015,Clayton T. Bauer; Matthew L. Banks; Bruce E. Blough; S. Stevens Negus,Psychopharmacology,journal-article,,2015-06-04,0033-3158,1432-2072,Springer Science and Business Media LLC,"Adrenergic Uptake Inhibitors / pharmacology | Aminopyridines / pharmacology | Animals | Benzeneacetamides / pharmacology | Biogenic Monoamines / metabolism | Conditioning, Operant / drug effects | Electrodes, Implanted | Fenfluramine / pharmacology | Indoles / pharmacology | Male | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Pyrrolidines / pharmacology | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT2C / drug effects | Receptors, Opioid, kappa / agonists | Self Stimulation / drug effects | Serotonin 5-HT2 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Selective Serotonin Reuptake Inhibitors / pharmacology",,NIDA NIH HHS,F30DA034478 | R01-DA012790 | R01 DA033930 | R01-DA033930 | F30 DA034478,,,,,eng,
10.1007/s00213-015-4073-0,,,Effects of NMDA receptor antagonists and antipsychotics on high frequency oscillations recorded in the nucleus accumbens of freely moving mice,2015,Mark J. Hunt; Maciej Olszewski; Joanna Piasecka; Miles A. Whittington; Stefan Kasicki,Psychopharmacology,journal-article,,2015-10-08,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Antipsychotic Agents / pharmacology | Clozapine / pharmacology | Dizocilpine Maleate / pharmacology | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / pharmacology | Haloperidol / pharmacology | Ketamine / pharmacology | Male | Mice | Nucleus Accumbens / drug effects | Rats, Wistar | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors",Antipsychotics | Mice | NMDA receptor antagonists | Oscillations | Schizophrenia,Wellcome Trust,098352,,,,,eng,
