# Deterministic prescreen retained queue for mechanistic generated at 2026-05-19T07:31:34.184747+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/1873-3468.15099,,,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,FEBS Letters,journal-article,,2025-01-26,0014-5793,1873-3468,Wiley,"Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / chemistry | Molecular Dynamics Simulation | Serotonin / chemistry | Serotonin / metabolism | Serotonin / pharmacology | Humans | Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Psilocybin / metabolism | Protein Binding | Ligands | Protein Conformation | Binding Sites",5HT2AR | G protein‐coupled receptors | free energy calculations | molecular dynamics simulations | psilocin | psychedelics,Novo Nordisk Fonden | Lundbeck Foundation,NNF18OC0032608 | NNF18OC0034936 | R344-2020-1023,,,,,eng,
10.1002/acn3.51406,,,Recurrent seizure-related GRIN1 variant: Molecular mechanism and targeted therapy.,2021,Xu Y; Song R; Chen W; Strong K; Shrey D; Gedela S; Traynelis SF; Zhang G; Yuan H,Annals of clinical and translational neurology,"Case Reports | Journal Article | Research Support, N.I.H., Extramural",,2021-07-06,2328-9503,2328-9503,,"Adolescent | Amino Acid Sequence | Animals | Anticonvulsants / pharmacology | Anticonvulsants / therapeutic use | Child, Preschool | Dose-Response Relationship, Drug | Excitatory Amino Acid Agents / pharmacology | Female | Genetic Variation / genetics | HEK293 Cells | Humans | Male | Mutation, Missense / genetics | Nerve Tissue Proteins / agonists | Nerve Tissue Proteins / chemistry | Nerve Tissue Proteins / genetics | Pedigree | Protein Structure, Secondary | Receptors, N-Methyl-D-Aspartate / agonists | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / genetics | Recurrence | Seizures / drug therapy | Seizures / genetics | Seizures / physiopathology | Exome Sequencing / methods | Xenopus laevis",,NICHD NIH HHS | NIMH NIH HHS | NINDS NIH HHS,R01 HD082373 | R21 MH127404 | R35 NS111619,,,,,eng,
10.1002/advs.202500808,,,"Utilizing
                    <i>Caenorhabditis Elegans</i>
                    as a Rapid and Precise Model for Assessing Amphetamine‐Type Stimulants: A Novel Approach to Evaluating New Psychoactive Substances Activity and Mechanisms",2025,Yuanpeng Li; Hongyuan Li; Hongshuang Wang; Xiaohui Wang,Advanced Science,journal-article,,2025-03-11,2198-3844,2198-3844,Wiley,Animals | Caenorhabditis elegans / drug effects | Central Nervous System Stimulants / pharmacology | Amphetamines / pharmacology | Amphetamine / pharmacology | Psychotropic Drugs / pharmacology | Methamphetamine / pharmacology,amphetamine‐type stimulants | dopaminergic and serotonergic pathways | new psychoactive substances | structure‐activity relationships | swimming‐induced paralysis,"National Natural Science Foundation of China | STI2030-Major Projects | Science and Technology Development Plan Project of Jilin Province | Strategic Priority Research Program of the Chinese Academy of Sciences | Open Research Fund of the State Key Laboratory of Brain-Machine Intelligence, Zhejiang University",T2341003 | T2394480(T2394483) | 2021ZD0203000(2021ZD0203003) | 20240304115SF | XDB0450102 | BMI2400014,,,,,eng,
10.1002/advs.202516024,,,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,Yinxin Wang; Jiangang Xu; Xinyu Zhou; Lu Che; Minghan Qiu; Yang Liu; Ming Gao; Zhen Yang,Advanced Science,journal-article,,2025-12-14,2198-3844,2198-3844,Wiley,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Analgesics / pharmacology | Analgesics / therapeutic use | Psychiatry / methods | Animals | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Anesthesia / methods | Medical Oncology / methods",analgesia | antidepressant | antitumor | esketamine | immune‐inflammatory | ketamine,Tianjin Health Research Project | Natural Science Foundation of Tianjin Municipal Science and Technology Commission | Tianjin Municipal Transportation Commission Science and Technology Development Plan Project,TJWJ2023QN039 | 21JCYBJC01190 | 24JCYBJC01560 | 2024ZXZD013,,,,,eng,
10.1002/anie.202203034,,,"Enlightening the ""Spirit Molecule"": Photomodulation of the 5-HT(2A) Receptor by a Light-Controllable N,N-Dimethyltryptamine Derivative.",2022,Gerwe H; He F; Pottie E; Stove C; Decker M,Angewandte Chemie (International ed. in English),"Journal Article | Research Support, Non-U.S. Gov't | Research Support, N.I.H., Extramural",,2022-04-29,1433-7851,1521-3773,,"Hallucinogens / metabolism | Ligands | N,N-Dimethyltryptamine / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin",5-HT2A Receptor | Phenylazoindoles | Photopharmacology | Psychedelics | Tryptamines,NIDA NIH HHS,HHSN271201800023C,,,,,eng,
10.1002/ardp.70022,,,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,Judith Stirn; Christian D. Klein,Archiv der Pharmazie,journal-article,,2025-07-01,0365-6233,1521-4184,Wiley,Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Tryptamines / chemistry | Tryptamines / pharmacology | Prodrugs / chemical synthesis | Carbamates | Indoles | Molecular Structure | Sumatriptan / chemistry | Drug Administration Routes | Humans,ACOM prodrug | buccal/sublingual | psilocin | psychedelic‐assisted therapy | tryptamine,This work was financed solely by internal funds of Heidelberg University and the state of Baden-Württemberg.,,,,,,eng,
10.1002/brb3.1423,,,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,Chuanjun Zhuo; Hongjun Tian; Gongying Li; Min Chen; Deguo Jiang; Xiaodong Lin; Yong Xu; Wenqiang Wang,Brain and Behavior,journal-article,,2019-10-15,2162-3279,2162-3279,Wiley,"Adolescent | Adult | Aged | Brain / diagnostic imaging | Brain / metabolism | Brain / physiopathology | Circadian Rhythm | Major Depressive Disorder / diagnostic imaging | Major Depressive Disorder / drug therapy | Major Depressive Disorder / metabolism | Major Depressive Disorder / physiopathology | Depressive Disorder, Treatment-Resistant / diagnostic imaging | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / metabolism | Depressive Disorder, Treatment-Resistant / physiopathology | Drug Chronotherapy | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Female | Functional Neuroimaging | Homeostasis | Humans | Infusions, Intravenous | Ketamine / administration & dosage | Ketamine / therapeutic use | Magnetic Resonance Imaging | Male | Middle Aged | Polysomnography | Positron-Emission Tomography | Prospective Studies | Psychiatric Status Rating Scales | Synapses | Time Factors | Young Adult | Randomized Controlled Trials as Topic",circadian rhythm | depression | functional connectivity | functional magnetic resonance imaging | ketamine | major depressive disorder | synaptic homeostasis | treatment-resistant depression,,,,,,,eng,
10.1002/cbic.202200183,,,Assessment of Bioactivity-Modulating Pseudo-Ring Formation in Psilocin and Related Tryptamines.,2022,Lenz C; Dörner S; Trottmann F; Hertweck C; Sherwood A; Hoffmeister D,Chembiochem : a European journal of chemical biology,"Journal Article | Research Support, Non-U.S. Gov't",,2022-05-18,1439-4227,1439-7633,,Major Depressive Disorder | Hallucinogens / pharmacology | Humans | Prodrugs | Psilocybin / analogs & derivatives | Tryptamines,bufotenin | hydrogen bonds | pharmacology | psilocybin | tryptamine,,,,,,,eng,
10.1002/cpt.2487,,,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt,Clinical pharmacology and therapeutics,"Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",NCT03912974,2021-11-22,0009-9236,1532-6535,,Antidepressive Agents / adverse effects | Brain-Derived Neurotrophic Factor / genetics | Citalopram / adverse effects | Cross-Over Studies | Double-Blind Method | Escitalopram | Healthy Volunteers | Humans | Psilocybin / adverse effects,,University Hospital Basel and Mind Medicine,,,,,,eng,
10.1002/cpt.3478,,,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,K. A. Vekhova; Eugenia D. Namiot; Jörgen Jönsson; Helgi B. Schiöth,Clinical pharmacology and therapeutics,Journal Article | Review,,2024-10-20,0009-9236,1532-6535,,"Ketamine / therapeutic use | Ketamine / adverse effects | Ketamine / pharmacology | Ketamine / analogs & derivatives | Humans | United States | Depressive Disorder, Treatment-Resistant / drug therapy | United States Food and Drug Administration | Clinical Trials as Topic | Drug Approval | Antidepressive Agents / therapeutic use | Antidepressive Agents / adverse effects",,,,,,,,eng,
10.1002/cpt.70018,,,Safety and Efficacy of the NMDA-2b-Selective Negative Allosteric Modulator BI 1569912: A Phase Ib Randomized Trial in Major Depressive Disorder.,2025,McIntyre RS; Sanacora G; Walling DP; Cohen EA; Malhotra S; Rosenbrock H; Schmitz M; Scholz A; Süssmuth SD; De Crescenzo F,Clinical pharmacology and therapeutics,"Journal Article | Randomized Controlled Trial | Clinical Trial, Phase I | Multicenter Study",,2025-08-14,0009-9236,1532-6535,,"Humans | Major Depressive Disorder / drug therapy | Major Depressive Disorder / psychology | Major Depressive Disorder / diagnosis | Male | Female | Adult | Double-Blind Method | Middle Aged | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Antidepressive Agents / adverse effects | Antidepressive Agents / therapeutic use | Treatment Outcome | Young Adult | Allosteric Regulation | Dose-Response Relationship, Drug | Psychiatric Status Rating Scales",,,,,,,,eng,
