# discovered queue (mechanistic) generated at 2026-04-20T16:01:59.580545+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.7554/eLife.104006,Psilocin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons.,2026,Schmidt M; Hoffrichter A; Davoudi M; Horschitz S; Lau T; Meinhardt MW; Spanagel R; Ladewig J; Köhr G; Koch P
10.2174/011570159x370669250526115723,DMT,TAAR1,The Role of Trace Amine-Associated Receptor 1 (TAAR1) in the Pathophysiology and Treatment of Depression,2026,Wei Guan
10.1038/s41380-025-03128-4,MDMA,SERT (SLC6A4),5-HT(2C) receptors in the nucleus accumbens constrain the rewarding effects of MDMA.,2025,Pomrenze MB; Vaillancourt S; Salgado JS; Raymond KB; Llorach P; Sacai H; Rijsketic DR; Hietamies TM; Touponse GC; Cardozo Pinto DF
10.1007/s00213-023-06517-1,5-MeO-DMT,5-HT1A,"5-MeO-DMT: An atypical psychedelic with unique pharmacology, phenomenology & risk?",2025,Dourron HM; Nichols CD; Simonsson O; Bradley M; Carhart-Harris R; Hendricks PS
10.1177/02698811251378512,DMT,5-HT2A,"A novel psychedelic 5-HT(2A) receptor agonist GM-2505: The pharmacokinetic, safety, and pharmacodynamic profile from a randomized trial healthy volunteer.",2025,Marek GJ; Makai-Bölöni S; Umbricht D; Christian EP; Winters J; Dvorak D; Raines S; Hughes ZA; Austin EW; Klein AK
10.1016/j.neurot.2025.e00624,DMT,TAAR1,Applications of artificial intelligence in drug discovery for neurological diseases,2025,Sean Ekins; Thomas R. Lane
10.1177/02698811251330741,LSD,5-HT2A,Are the LSD-analogs lisuride and ergotamine examples of non-hallucinogenic serotonin 5-HT2A receptor agonists?,2025,Jan Kehler; Morten Skøtt Thomsen Lindskov
10.2174/011570159x340635241022113450,DMT,TAAR1,"Aryl Hydrocarbon Receptor Establishes a Delicate Balance between the Level of the Trace Amine Tryptamine and Monoamine Oxidase Activity in the Brain and Periphery in Health and Conditions such as Neurodegenerative, Neurodevelopmental, and Psychiatric Disorders",2025,Marta Kot
10.1002/hup.70019,DMT,Sigma-1 receptor (SIGMAR1),Could R-Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma-1 Receptor-Based Perspective.,2025,Kalkman HO; Smigielski L
10.3390/ph18020157,Ketamine,NMDA receptor,"Demystifying the Antidepressant Mechanism of Action of Stinels, a Novel Class of Neuroplastogens: Positive Allosteric Modulators of the NMDA Receptor.",2025,Donello JE; McIntyre RS; Pickel DB; Stahl SM
10.1007/s00018-024-05519-2,Ibogaine,kappa opioid receptor (OPRK1),Effects of psychedelics on opioid use disorder: a scoping review of preclinical studies,2025,Alejandra Pulido-Saavedra; Henrique Nunes Pereira Oliva; Tiago Paiva Prudente; Razi Kitaneh; Eric J. Nunes; Colleen Fogg; Melissa Funaro; Jeremy Weleff; Anahita Bassir Nia; Gustavo A. Angarita
10.1111/bph.70109,Psilocin,5-HT2A,Evidence that 5-HT(2A) receptor signalling efficacy and not biased agonism differentiates serotonergic psychedelic from non-psychedelic drugs.,2025,Ippolito A; Vasudevan S; Hurley S; Gilmour G; Westhorpe F; Churchill G; Sharp T
10.3390/ijms26051946,Psilocin,5-HT2A,Exploring the Potential of Coumarin Derivatives on Serotonin Receptors 5-HT(1A) and 5HT(2A).,2025,Ostrowska K; Horosz G; Kruk K; Sieroń B; Leśniak A; Czartoryska Z; Bujalska-Zadrożny M; Milenkovic D; Trzaskowski B
10.1073/pnas.2416106122,LSD,5-HT2A,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential.,2025,Tuck JR; Dunlap LE; Khatib YA; Hatzipantelis CJ; Weiser Novak S; Rahn RM; Davis AR; Mosswood A; Vernier AMM; Fenton EM
10.1021/acschemneuro.4c00789,Ayahuasca,,Monoamine Oxidase Inhibitors Present in Tobacco Modulate Dopamine Balance Via the Dopamine Transporter.,2025,Saro G; Johne S; Latino DARS; Moine F; van der Toorn M; Mathis C; Veljkovic E
10.1016/j.pnpbp.2025.111259,DMT,5-HT2A,"N, N-dimethyltryptamine (DMT) in rodent brain: Concentrations, distribution, and recent pharmacological data.",2025,Barker SA
