# LLM full-text candidate queue for mechanistic generated at 2026-05-17T01:15:33.405732+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/2211-5463.13219,salvinorin A,phosphoinositide 3-kinase/Akt pathway,Salvinorin A inhibits ovalbumin‐stimulated allergic rhinitis and RBL‐2H3 cells degranulation,2021,Qiyang Shou; Tao Tan; Faying Xu,FEBS Open Bio,journal-article,,2021-06-06,2211-5463,2211-5463,Wiley,,allergic rhinitis | inflammation | mast cells | ovalbumin | salvinorin A,Traditional Chinese Medicine Science and Technology Program of Zhejiang Province | Study on the Mechanism of the Effective Components of Salvia Miltiorrhiza in Regulating Mast Cell PLCγ/PKC/Ca2+ Pathway Against Allergic Rhinitis,C2019ZB079 | LY19H280009,,,,,eng,
10.1002/2211-5463.13219,salvinorin A,inflammatory response,Salvinorin A inhibits ovalbumin‐stimulated allergic rhinitis and RBL‐2H3 cells degranulation,2021,Qiyang Shou; Tao Tan; Faying Xu,FEBS Open Bio,journal-article,,2021-06-06,2211-5463,2211-5463,Wiley,,allergic rhinitis | inflammation | mast cells | ovalbumin | salvinorin A,Traditional Chinese Medicine Science and Technology Program of Zhejiang Province | Study on the Mechanism of the Effective Components of Salvia Miltiorrhiza in Regulating Mast Cell PLCγ/PKC/Ca2+ Pathway Against Allergic Rhinitis,C2019ZB079 | LY19H280009,,,,,eng,
10.1002/advs.202303503,ketamine,BDNF-TrkB signaling,Locus Coeruleus‐Dorsolateral Septum Projections Modulate Depression‐Like Behaviors via BDNF But Not Norepinephrine,2023,Qian Zhang; You Xue; Ke Wei; Hao Wang; Yuan Ma; Yao Wei; Yi Fan; Lei Gao; Hang Yao; Fangfang Wu,Advanced Science,journal-article,,2023-12-28,2198-3844,2198-3844,Wiley,Mice | Animals | Male | Female | Depression / metabolism | Locus Coeruleus / metabolism | Norepinephrine / metabolism | Brain-Derived Neurotrophic Factor / metabolism | Antidepressive Agents / metabolism,BDNF signaling | depression-like behavior | dorsolateral septum | locus coeruleus,National Key R&amp;D Program of China | National Natural Science Foundation of China | Natural Science Foundation of Jiangsu Province,2021ZD0202901 | 81991523 | 82104143 | BK20210683,,,,,eng,
10.1002/brb3.749,,,Short‐ and long‐term antidepressant effects of ketamine in a rat chronic unpredictable stress model,2017,Yinghong Jiang; Yiqiang Wang; Xiaoran Sun; Bo Lian; Hongwei Sun; Gang Wang; Zhongde Du; Qi Li; Lin Sun,Brain and Behavior,journal-article,,2017-06-23,2162-3279,2162-3279,Wiley,"Animals | Antidepressive Agents / pharmacology | Behavior Rating Scale | Behavior, Animal / drug effects | Depressive Disorder / drug therapy | Depressive Disorder / metabolism | Disease Models, Animal | Ketamine / pharmacology | Male | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Stress, Psychological / complications | Stress, Psychological / metabolism | Time | Treatment Outcome",antidepressant | behavioral test | chronic unpredictable stress | depression | ketamine,,,,,,,eng,
10.1002/cmdc.202500856,Ketamine,"Receptors, N-Methyl-D-Aspartate",A Novel Tertiary Carbamate Prodrug Strategy to Overcome Metabolic Barriers in Oral Ketamine Delivery,2026,Juulia Järvinen; Santosh Kumar Adla; Janne Tampio; Aaro Jalkanen; Kenneth B. Sloan; Kristiina M. Huttunen; Jarkko Rautio,ChemMedChem,journal-article,,2026-01-01,1860-7179,1860-7187,Wiley,"Prodrugs / chemistry | Prodrugs / metabolism | Prodrugs / administration & dosage | Prodrugs / pharmacokinetics | Prodrugs / chemical synthesis | Ketamine / administration & dosage | Ketamine / metabolism | Ketamine / pharmacokinetics | Ketamine / chemistry | Administration, Oral | Animals | Carbamates / chemistry | Carbamates / metabolism | Carbamates / administration & dosage | Mice | Molecular Structure | Biological Availability | Male | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism",bioavailability | ketamine | oral administration | pharmacokinetics | prodrug,,,,,,,eng,
10.1002/epi4.12270,ketamine,NMDA receptors,Role of <scp>NMDA</scp> receptors in the pathophysiology and treatment of status epilepticus,2018,Jaideep Kapur,Epilepsia open,Journal Article,,2018-11-02,2470-9239,,,,AMPA | GABA | Ketamine | NMDA receptors,,,,,,,eng,
10.1002/iub.1911,ketamine,brain-derived neurotrophic factor (BDNF),MicroRNA‐107 regulates anesthesia‐induced neural injury in embryonic stem cell derived neurons,2018,Jun Dan Jiang; Xiao Chun Zheng; Feng Yi Huang; Fei Gao; Mei Zhen You; Ting Zheng,IUBMB Life,journal-article,,2018-10-11,1521-6543,1521-6551,Wiley,"Anesthesia / adverse effects | Animals | Apoptosis / genetics | Brain Injuries / chemically induced | Brain-Derived Neurotrophic Factor / genetics | Cell Differentiation / genetics | Embryonic Stem Cells / drug effects | Embryonic Stem Cells / metabolism | Gene Expression Regulation, Developmental / drug effects | Humans | Ketamine / adverse effects | MicroRNAs / antagonists & inhibitors | MicroRNAs / genetics | Neurites / drug effects | Neurites / pathology | Neurogenesis / genetics | Neurons / metabolism | Neurons / pathology | Neurotoxicity Syndromes / genetics | Neurotoxicity Syndromes / pathology | RNA, Small Interfering / genetics | Rats | Signal Transduction / drug effects",BDNF | embryonic stem cell | ketamine | miR-107 | microRNA | neural injury,,,,,,,eng,
10.1002/iub.1911,ketamine,neural injury,MicroRNA‐107 regulates anesthesia‐induced neural injury in embryonic stem cell derived neurons,2018,Jun Dan Jiang; Xiao Chun Zheng; Feng Yi Huang; Fei Gao; Mei Zhen You; Ting Zheng,IUBMB Life,journal-article,,2018-10-11,1521-6543,1521-6551,Wiley,"Anesthesia / adverse effects | Animals | Apoptosis / genetics | Brain Injuries / chemically induced | Brain-Derived Neurotrophic Factor / genetics | Cell Differentiation / genetics | Embryonic Stem Cells / drug effects | Embryonic Stem Cells / metabolism | Gene Expression Regulation, Developmental / drug effects | Humans | Ketamine / adverse effects | MicroRNAs / antagonists & inhibitors | MicroRNAs / genetics | Neurites / drug effects | Neurites / pathology | Neurogenesis / genetics | Neurons / metabolism | Neurons / pathology | Neurotoxicity Syndromes / genetics | Neurotoxicity Syndromes / pathology | RNA, Small Interfering / genetics | Rats | Signal Transduction / drug effects",BDNF | embryonic stem cell | ketamine | miR-107 | microRNA | neural injury,,,,,,,eng,
10.1002/vms3.936,ketamine,NMDA receptor,Optimisation of ketamine‐xylazine anaesthetic dose and its association with changes in the dendritic spine of CA1 hippocampus in the young and old male and female Wistar rats,2022,Narges Sotoudeh; Mohammad Reza Namavar,Veterinary Medicine and Science,journal-article,,2022-09-12,2053-1095,2053-1095,Wiley,"Male | Female | Rats | Animals | Xylazine / pharmacology | Ketamine / pharmacology | Rats, Wistar | Dendritic Spines | Hippocampus | Anesthetics / pharmacology",CA1 region | aging | anaesthesia | dendritic spine | ketamine | xylazine,,,,,,,eng,
10.1002/vms3.936,ketamine,dendritic spine,Optimisation of ketamine‐xylazine anaesthetic dose and its association with changes in the dendritic spine of CA1 hippocampus in the young and old male and female Wistar rats,2022,Narges Sotoudeh; Mohammad Reza Namavar,Veterinary Medicine and Science,journal-article,,2022-09-12,2053-1095,2053-1095,Wiley,"Male | Female | Rats | Animals | Xylazine / pharmacology | Ketamine / pharmacology | Rats, Wistar | Dendritic Spines | Hippocampus | Anesthetics / pharmacology",CA1 region | aging | anaesthesia | dendritic spine | ketamine | xylazine,,,,,,,eng,
