# LLM uncertain full-text candidate queue for mechanistic generated at 2026-05-18T03:57:43.825495+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1007/s00213-023-06410-x,ketamine,BDNF/TrkB signaling,Antidepressant effects of novel positive allosteric modulators of Trk-receptor mediated signaling – a potential therapeutic concept?,2023,Nather Madjid; Veronica Lidell; Gunnar Nordvall; Maria Lindskog; Sven-Ove Ögren; Pontus Forsell; Johan Sandin,Psychopharmacology,journal-article,,2023-07-03,0033-3158,1432-2072,Springer Science and Business Media LLC,"Rats | Animals | Fluoxetine / pharmacology | Brain-Derived Neurotrophic Factor / metabolism | Major Depressive Disorder / drug therapy | Ketamine / pharmacology | Antidepressive Agents / pharmacology | Receptor, trkB / metabolism",BDNF | Fluoxetine | Ketamine | MDD | Mice | Positive allosteric modulator | TrkB,,,,,,,eng,
10.1007/s00213-024-06724-4,M-5MPEP,mGlu5 receptor,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu5 receptor, M-5MPEP",2024,Agnieszka Pałucha-Poniewiera; Bartosz Bobula; Anna Rafało-Ulińska; Katarzyna Kaczorowska,Psychopharmacology,journal-article,,2024-11-30,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Receptor, Metabotropic Glutamate 5 / metabolism | Receptor, Metabotropic Glutamate 5 / drug effects | Stress, Psychological / drug therapy | Stress, Psychological / metabolism | Male | Mice | Antidepressive Agents / pharmacology | Antidepressive Agents / administration & dosage | Depression / drug therapy | Depression / metabolism | Disease Models, Animal | Allosteric Regulation / drug effects | Hippocampus / drug effects | Hippocampus / metabolism | Pyridines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | TOR Serine-Threonine Kinases / metabolism | Long-Term Potentiation / drug effects | Receptor, trkB / metabolism | Protein-Tyrosine Kinases / metabolism",Antidepressant | CUMS | LTP | M-5MPEP | RAAD | Sucrose preference | TrkB | eEF2 | mGlu5 receptor | mTOR,Narodowe Centrum Nauki,2017/27/B/NZ7/01873,,,,,eng,
10.1007/s00213-024-06724-4,M-5MPEP,TrkB,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu5 receptor, M-5MPEP",2024,Agnieszka Pałucha-Poniewiera; Bartosz Bobula; Anna Rafało-Ulińska; Katarzyna Kaczorowska,Psychopharmacology,journal-article,,2024-11-30,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Receptor, Metabotropic Glutamate 5 / metabolism | Receptor, Metabotropic Glutamate 5 / drug effects | Stress, Psychological / drug therapy | Stress, Psychological / metabolism | Male | Mice | Antidepressive Agents / pharmacology | Antidepressive Agents / administration & dosage | Depression / drug therapy | Depression / metabolism | Disease Models, Animal | Allosteric Regulation / drug effects | Hippocampus / drug effects | Hippocampus / metabolism | Pyridines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | TOR Serine-Threonine Kinases / metabolism | Long-Term Potentiation / drug effects | Receptor, trkB / metabolism | Protein-Tyrosine Kinases / metabolism",Antidepressant | CUMS | LTP | M-5MPEP | RAAD | Sucrose preference | TrkB | eEF2 | mGlu5 receptor | mTOR,Narodowe Centrum Nauki,2017/27/B/NZ7/01873,,,,,eng,
10.1007/s00213-024-06724-4,M-5MPEP,mTOR,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu5 receptor, M-5MPEP",2024,Agnieszka Pałucha-Poniewiera; Bartosz Bobula; Anna Rafało-Ulińska; Katarzyna Kaczorowska,Psychopharmacology,journal-article,,2024-11-30,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Receptor, Metabotropic Glutamate 5 / metabolism | Receptor, Metabotropic Glutamate 5 / drug effects | Stress, Psychological / drug therapy | Stress, Psychological / metabolism | Male | Mice | Antidepressive Agents / pharmacology | Antidepressive Agents / administration & dosage | Depression / drug therapy | Depression / metabolism | Disease Models, Animal | Allosteric Regulation / drug effects | Hippocampus / drug effects | Hippocampus / metabolism | Pyridines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | TOR Serine-Threonine Kinases / metabolism | Long-Term Potentiation / drug effects | Receptor, trkB / metabolism | Protein-Tyrosine Kinases / metabolism",Antidepressant | CUMS | LTP | M-5MPEP | RAAD | Sucrose preference | TrkB | eEF2 | mGlu5 receptor | mTOR,Narodowe Centrum Nauki,2017/27/B/NZ7/01873,,,,,eng,
10.1007/s00213-024-06724-4,M-5MPEP,eEF2,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu5 receptor, M-5MPEP",2024,Agnieszka Pałucha-Poniewiera; Bartosz Bobula; Anna Rafało-Ulińska; Katarzyna Kaczorowska,Psychopharmacology,journal-article,,2024-11-30,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Receptor, Metabotropic Glutamate 5 / metabolism | Receptor, Metabotropic Glutamate 5 / drug effects | Stress, Psychological / drug therapy | Stress, Psychological / metabolism | Male | Mice | Antidepressive Agents / pharmacology | Antidepressive Agents / administration & dosage | Depression / drug therapy | Depression / metabolism | Disease Models, Animal | Allosteric Regulation / drug effects | Hippocampus / drug effects | Hippocampus / metabolism | Pyridines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | TOR Serine-Threonine Kinases / metabolism | Long-Term Potentiation / drug effects | Receptor, trkB / metabolism | Protein-Tyrosine Kinases / metabolism",Antidepressant | CUMS | LTP | M-5MPEP | RAAD | Sucrose preference | TrkB | eEF2 | mGlu5 receptor | mTOR,Narodowe Centrum Nauki,2017/27/B/NZ7/01873,,,,,eng,
10.1007/s12031-024-02234-2,NAP (davunetide),ADNP gene,Sex-Specific ADNP/NAP (Davunetide) Regulation of Cocaine-Induced Plasticity,2024,Yael Toren; Yarden Ziv; Shlomo Sragovich; R. Anne McKinney; Segev Barak; Shula Shazman; Illana Gozes,Journal of Molecular Neuroscience,journal-article,,2024-09-09,0895-8696,1559-1166,Springer Science and Business Media LLC,"Animals | Male | Mice | Cocaine / pharmacology | Female | Nerve Tissue Proteins / genetics | Nerve Tissue Proteins / metabolism | Neuronal Plasticity / drug effects | Hippocampus / metabolism | Hippocampus / drug effects | Homeodomain Proteins / genetics | Homeodomain Proteins / metabolism | Mice, Inbred C57BL | Nucleus Accumbens / metabolism | Nucleus Accumbens / drug effects | Dendritic Spines / drug effects | Dendritic Spines / metabolism | Ventral Tegmental Area / metabolism | Ventral Tegmental Area / drug effects | Oligopeptides",ADNP | Addiction | Cocaine | NAP | Sex differences | Structural plasticity,,,,,,,eng,
10.1038/s41380-019-0615-x,,,Neuroplasticity in cognitive and psychological mechanisms of depression: an integrative model,2019,Rebecca B. Price; Ronald Duman,Molecular Psychiatry,journal-article,,2019-12-04,1359-4184,1476-5578,Springer Science and Business Media LLC,"Animals | Brain / physiopathology | Cognition / physiology | Cognition Disorders / physiopathology | Cognitive Dysfunction / physiopathology | Depression / physiopathology | Depressive Disorder / physiopathology | Hippocampus / physiopathology | Humans | Memory / physiology | Nerve Net / physiopathology | Neuronal Plasticity / physiology | Neurons | Prefrontal Cortex / physiopathology | Stress, Psychological / psychology",,NIMH NIH HHS,R01 MH113857,,,,,eng,
10.1038/s41421-018-0060-z,,,"Response dynamics of midbrain dopamine neurons and serotonin neurons to heroin, nicotine, cocaine, and MDMA",2018,Chao Wei; Xiao Han; Danwei Weng; Qiru Feng; Xiangbing Qi; Jin Li; Minmin Luo,Cell Discovery,journal-article,,2018-10-05,2056-5968,,Springer Science and Business Media LLC,,,,,,,,,eng,
10.1038/s41467-026-71962-3,psilocybin,brain network modularity,Human brain changes after first psilocybin use,2024,T Lyons; M Spriggs; L Kerkelä; FE Rosas; L Roseman; PAM Mediano; C Timmermann; L Oestreich; BA Pagni; RJ Zeifman,Nature Communications,journal-article,,2024-10-14,2041-1723,2041-1723,Springer Science and Business Media LLC,Humans | Psilocybin / pharmacology | Psilocybin / administration & dosage | Brain / drug effects | Brain / diagnostic imaging | Brain / physiology | Male | Hallucinogens / pharmacology | Hallucinogens / administration & dosage | Female | Adult | Electroencephalography | Magnetic Resonance Imaging | Young Adult | Diffusion Tensor Imaging | Cognition / drug effects,,,,,,,,eng,
10.1038/s41598-017-17546-0,,,Connectome-harmonic decomposition of human brain activity reveals dynamical repertoire re-organization under LSD,2017,Selen Atasoy; Leor Roseman; Mendel Kaelen; Morten L. Kringelbach; Gustavo Deco; Robin L. Carhart-Harris,Scientific Reports,journal-article,,2017-12-11,2045-2322,2045-2322,Springer Science and Business Media LLC,"Adult | Brain / physiology | Connectome | Energy Metabolism | Female | Hallucinogens / metabolism | Healthy Volunteers | Humans | Lysergic Acid Diethylamide / metabolism | Magnetic Resonance Imaging | Male | Models, Theoretical | Music | Nervous System Physiological Phenomena | Young Adult",,European Research Council,295129 | 615539,,,,,eng,
