# LLM uncertain full-text candidate queue for mechanistic generated at 2026-05-18T17:43:48.588386+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/jdn.10407,lutein,NMDA receptor,Lutein Exerts Antioxidant and Neuroprotective Role on Schizophrenia‐Like Behaviours in Mice,2024,Helia Aziziha; Shahin Hassanpour; Morteza Zendehdel,International Journal of Developmental Neuroscience,journal-article,,2024-12-26,0736-5748,1873-474X,Wiley,"Animals | Lutein / pharmacology | Lutein / therapeutic use | Mice | Male | Schizophrenia / drug therapy | Schizophrenia / metabolism | Schizophrenia / chemically induced | Antioxidants / pharmacology | Ketamine / pharmacology | Neuroprotective Agents / pharmacology | Neuroprotective Agents / therapeutic use | Disease Models, Animal | Catalase / metabolism | Glutathione Peroxidase / metabolism | Brain / drug effects | Brain / metabolism | Malondialdehyde / metabolism | Superoxide Dismutase / metabolism | Recognition, Psychology / drug effects | Oxidative Stress / drug effects | Motor Activity / drug effects | Schizophrenic Psychology | Swimming / psychology",brain | ketamine | lutein | mice | schizophrenia‐like behaviours,,,,,,,eng,
10.1007/7854_2016_29,,,The Discriminative Stimulus Properties of Hallucinogenic and Dissociative Anesthetic Drugs,2016,Tomohisa Mori; Tsutomu Suzuki,Current topics in behavioral neurosciences,book-chapter,,2016-01-01,1866-3370,1866-3389,Springer International Publishing,"Anesthetics, Dissociative / pharmacology | Animals | Discrimination, Psychological / drug effects | Hallucinogens / pharmacology | Humans",Discriminative stimulus properties | Hallucinogens | Psychedelics | Serotonin | Sigma-1 receptor,,,,,,,eng,
10.1007/s12035-025-05608-8,Cannabidiol,5-HT1AR,Unraveling Cannabidiol's Dual Modulatory Role in Schizophrenia: Network Pharmacology and In Vivo Validation of Neuroinflammatory and Behavioral Modulation.,2025,Wei Y; Liu X; Lin S; Jia Z; Liu L; Wang B; Liao L; Mei X,Molecular neurobiology,Journal Article,,2025-12-10,0893-7648,1559-1182,,"Cannabidiol / pharmacology | Cannabidiol / therapeutic use | Animals | Schizophrenia / drug therapy | Schizophrenia / metabolism | Schizophrenia / pathology | Network Pharmacology / methods | Male | Neuroinflammatory Diseases / drug therapy | Neuroinflammatory Diseases / pathology | Behavior, Animal / drug effects | Cytokines / metabolism | Mice | Microglia / drug effects | Microglia / metabolism | Lipopolysaccharides | Receptor, Serotonin, 5-HT1A / metabolism | Disease Models, Animal | Mice, Inbred C57BL",5HT1AR-MAPK signaling pathway | Cannabidiol | Network pharmacology | Neuroinflammation | Schizophrenia therapy,the Scientific Startup Foundation for Doctors of North Sichuan Medical College | the Nanchong Science and Technology Bureau | the Famous and Senior Traditional Chinese Medicine Physicians' Medical Records Research Center | Sichuan Provincial Natural Science Foundation,CBY23-QDA03 | CBY23-QDA11 | No. 22SXQT0162 | YAZX21-YB-34 | 24NSFSC1730,,,,,eng,
10.1007/s12035-025-05608-8,Cannabidiol,MAPK/ERK1/2,Unraveling Cannabidiol's Dual Modulatory Role in Schizophrenia: Network Pharmacology and In Vivo Validation of Neuroinflammatory and Behavioral Modulation.,2025,Wei Y; Liu X; Lin S; Jia Z; Liu L; Wang B; Liao L; Mei X,Molecular neurobiology,Journal Article,,2025-12-10,0893-7648,1559-1182,,"Cannabidiol / pharmacology | Cannabidiol / therapeutic use | Animals | Schizophrenia / drug therapy | Schizophrenia / metabolism | Schizophrenia / pathology | Network Pharmacology / methods | Male | Neuroinflammatory Diseases / drug therapy | Neuroinflammatory Diseases / pathology | Behavior, Animal / drug effects | Cytokines / metabolism | Mice | Microglia / drug effects | Microglia / metabolism | Lipopolysaccharides | Receptor, Serotonin, 5-HT1A / metabolism | Disease Models, Animal | Mice, Inbred C57BL",5HT1AR-MAPK signaling pathway | Cannabidiol | Network pharmacology | Neuroinflammation | Schizophrenia therapy,the Scientific Startup Foundation for Doctors of North Sichuan Medical College | the Nanchong Science and Technology Bureau | the Famous and Senior Traditional Chinese Medicine Physicians' Medical Records Research Center | Sichuan Provincial Natural Science Foundation,CBY23-QDA03 | CBY23-QDA11 | No. 22SXQT0162 | YAZX21-YB-34 | 24NSFSC1730,,,,,eng,
10.1016/j.ejphar.2007.11.047,,,Behavioral effects of amphetamine in streptozotocin-treated rats,2007,Rajkumar J. Sevak; Wouter Koek; Lynette C. Daws; William Anthony Owens; Aurelio Galli; Charles P. France,European Journal of Pharmacology,journal-article,,2007-12-05,0014-2999,1879-0712,Elsevier BV,"Amphetamine / pharmacology | Animals | Behavior, Animal / drug effects | Blood Glucose / analysis | Body Weight | Conditioning, Psychological / drug effects | Diabetes Mellitus, Experimental / psychology | Dopamine / physiology | Dopamine Plasma Membrane Transport Proteins / physiology | Male | Motor Activity / drug effects | Rats | Rats, Sprague-Dawley | Streptozocin",,NIDA NIH HHS,K05 DA017918 | R01 DA014684 | DA17918 | DA14684,,,,,eng,
10.1016/j.neuro.2016.04.020,,,Neurotoxicity screening of (illicit) drugs using novel methods for analysis of microelectrode array (MEA) recordings,2016,L. Hondebrink; A.H.A. Verboven; W.S. Drega; S. Schmeink; M.W.G.D.M. de Groot; R.G.D.M. van Kleef; F.M.J. Wijnolts; A. de Groot; J. Meulenbelt; R.H.S. Westerink,NeuroToxicology,journal-article,,2016-05-02,0161-813X,1872-9711,Elsevier BV,"6-Cyano-7-nitroquinoxaline-2,3-dione / pharmacology | Action Potentials / drug effects | Animals | Animals, Newborn | Astrocytes / drug effects | Cerebral Cortex / cytology | Dizocilpine Maleate / pharmacology | Drug Evaluation, Preclinical / methods | Excitatory Amino Acid Antagonists / pharmacology | GABA Agents / pharmacology | GABA Plasma Membrane Transport Proteins / metabolism | Glial Fibrillary Acidic Protein / metabolism | Illicit Drugs / toxicity | Microelectrodes | Neurons / drug effects | Rats | Rats, Wistar | Time Factors | Tyrosine 3-Monooxygenase / metabolism | Vesicular Glutamate Transport Protein 1 / metabolism",Analysis strategy | Characterisation | Illicit drugs | Integrated testing strategy | Neurotoxicity screening,,,,,,,eng,
10.1046/j.0022-3042.2001.00703.x,LSD,5-HTap2,Functional characterization of a novel serotonin receptor (5‐HT<sub>ap2</sub>) expressed in the CNS of <i>Aplysia californica</i>,2002,Demian Barbas; Jacques P. Zappulla; Stéphane Angers; Michel Bouvier; Vincent F. Castellucci; Luc DesGroseillers,Journal of Neurochemistry,journal-article,,2002-01-01,0022-3042,1471-4159,Wiley,"Action Potentials / drug effects | Action Potentials / physiology | Adenylyl Cyclase Inhibitors | Adenylyl Cyclases / metabolism | Amino Acid Sequence | Animals | Aplysia | COS Cells | Cloning, Molecular | Cyclic AMP / pharmacokinetics | GTP-Binding Proteins / metabolism | Gene Expression / physiology | Molecular Sequence Data | Neurons / physiology | RNA, Messenger / analysis | Receptors, Serotonin / genetics | Receptors, Serotonin / metabolism | Serotonin / pharmacology | Signal Transduction / physiology | Synapses / physiology | Tritium",,,,,,,,eng,
10.1073/pnas.1518377113,,,Neural correlates of the LSD experience revealed by multimodal neuroimaging,2016,Robin L. Carhart-Harris; Suresh Muthukumaraswamy; Leor Roseman; Mendel Kaelen; Wouter Droog; Kevin Murphy; Enzo Tagliazucchi; Eduardo E. Schenberg; Timothy Nest; Csaba Orban,Proceedings of the National Academy of Sciences,journal-article,,2016-04-11,0027-8424,1091-6490,Proceedings of the National Academy of Sciences,"Brain / drug effects | Brain / physiopathology | Brain Mapping / methods | Cerebrovascular Circulation / drug effects | Connectome | Consciousness / drug effects | Consciousness / physiology | Hallucinations / chemically induced | Hallucinations / physiopathology | Hallucinogens / pharmacology | Humans | Lysergic Acid Diethylamide / pharmacology | Magnetic Resonance Imaging / methods | Magnetoencephalography / methods | Multimodal Imaging / methods | Nerve Net / drug effects | Oxygen / blood | Receptor, Serotonin, 5-HT2A / physiology | Serotonin 5-HT2 Receptor Agonists / pharmacology | Spin Labels | Synaptic Transmission / drug effects",LSD | brain | consciousness | psychedelic | serotonin,Wellcome Trust,200804/Z/16/Z | WT090199,,,,,eng,
10.1080/13696998.2024.2382641,Auvelity,NMDA receptor,Real-world treatment patterns of patients with major depressive                    disorder treated with Auvelity in the United States,2024,Andrew Muzyk; Fatima Zahara Syed; Huanxue Zhou; Junjun Cong; Herriot Tabuteau; Yang Zhao,Journal of Medical Economics,journal-article,,2024-07-23,1369-6998,1941-837X,Informa UK Limited,Humans | Major Depressive Disorder / drug therapy | Male | Female | Middle Aged | Adult | United States | Comorbidity | Bupropion / therapeutic use | Drug Combinations | Antidepressive Agents / therapeutic use | Insurance Claim Review | Retrospective Studies | Young Adult | Aged,A | A1 | A12 | Auvelity | I | I1 | I11 | comorbidity | major depressive disorder | patient characteristics | real-world utilization | treatment pattern,,,,,,,eng,
10.1080/13696998.2024.2382641,Auvelity,Sigma-1 receptor,Real-world treatment patterns of patients with major depressive                    disorder treated with Auvelity in the United States,2024,Andrew Muzyk; Fatima Zahara Syed; Huanxue Zhou; Junjun Cong; Herriot Tabuteau; Yang Zhao,Journal of Medical Economics,journal-article,,2024-07-23,1369-6998,1941-837X,Informa UK Limited,Humans | Major Depressive Disorder / drug therapy | Male | Female | Middle Aged | Adult | United States | Comorbidity | Bupropion / therapeutic use | Drug Combinations | Antidepressive Agents / therapeutic use | Insurance Claim Review | Retrospective Studies | Young Adult | Aged,A | A1 | A12 | Auvelity | I | I1 | I11 | comorbidity | major depressive disorder | patient characteristics | real-world utilization | treatment pattern,,,,,,,eng,
10.1093/ijnp/pyx079,,,Reversal of Stress-Induced Social Interaction Deficits by Buprenorphine,2017,Caroline A Browne; Edgardo Falcon; Shivon A Robinson; Olivier Berton; Irwin Lucki,The International Journal of Neuropsychopharmacology,journal-article,,2017-08-22,1461-1457,1469-5111,Oxford University Press (OUP),"Animals | Behavior, Animal / drug effects | Brain / drug effects | Buprenorphine / administration & dosage | Buprenorphine / pharmacology | Disease Models, Animal | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / pharmacology | Fluoxetine / administration & dosage | Fluoxetine / pharmacology | Ketamine / administration & dosage | Ketamine / pharmacology | Male | Mice | Mice, Inbred C57BL | Narcotic Antagonists / administration & dosage | Narcotic Antagonists / pharmacology | Receptors, Opioid, kappa / antagonists & inhibitors | Receptors, Opioid, kappa / drug effects | Receptors, Opioid, mu / antagonists & inhibitors | Receptors, Opioid, mu / drug effects | Selective Serotonin Reuptake Inhibitors / administration & dosage | Selective Serotonin Reuptake Inhibitors / pharmacology | Social Behavior | Stress Disorders, Post-Traumatic / drug therapy | Stress, Psychological / drug therapy | Stress, Psychological / etiology",CERC-501 | PTSD | buprenorphine | chronic social defeat stress | fluoxetine | ketamine | social interaction,NIGMS NIH HHS | NIMH NIH HHS,K12 GM081259 | R01 MH092412 | T32 MH014654 | R01 MH105623,,,,,eng,
