# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1002/ardp.70022,Psilocybin,5-HT2A,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,Judith Stirn; Christian D. Klein
10.1007/s00213-014-3446-0,LSD,5-HT2A,Mefloquine and psychotomimetics share neurotransmitter receptor and transporter interactions in vitro,2014,Aaron Janowsky; Amy J. Eshleman; Robert A. Johnson; Katherine M. Wolfrum; David J. Hinrichs; Jongtae Yang; T. Mark Zabriskie; Martin J. Smilkstein; Michael K. Riscoe
10.1007/s00213-016-4356-0,DOI,5-HT2A,2-Bromoterguride–a potential atypical antipsychotic drug without metabolic effects in rats,2016,Robert T. Franke; Emilia Tarland; Heidrun Fink; Heinz H. Pertz; Jan Brosda
10.1007/s12035-017-0605-4,DMT,5-HT2A,"Single Administration of HBK-15—a Triple 5-HT1A, 5-HT7, and 5-HT3 Receptor Antagonist—Reverses Depressive-Like Behaviors in Mouse Model of Depression Induced by Corticosterone",2017,Karolina Pytka; Monika Głuch-Lutwin; Magdalena Kotańska; Anna Waszkielewicz; Agnieszka Kij; Maria Walczak
10.1016/j.biopsych.2012.05.020,Ibogaine,NMDA receptor,Psychiatric Drugs Bind to Classical Targets Within Early Exocytotic Pathways: Therapeutic Effects,2012,Henry A. Lester; Julie M. Miwa; Rahul Srinivasan
10.1016/j.biopsych.2015.10.018,S-ketamine,NMDA receptor,"Intravenous Esketamine in Adult Treatment-Resistant Depression: A Double-Blind, Double-Randomization, Placebo-Controlled Study",2015,Jaskaran B. Singh; Maggie Fedgchin; Ella Daly; Liwen Xi; Caroline Melman; Geert De Bruecker; Andre Tadic; Pascal Sienaert; Frank Wiegand; Husseini Manji
10.1016/j.bpj.2012.11.637,MDMA,SERT (SLC6A4),S(+)MDMA and 5-HT Evoke Dissimilar Ionic Currents in Human Serotonin Transporter-Expressing Cells,2013,V. Cabra; E. Leal-Pinto; M. Samsó; R. Glennon; L. Felice; Jose M. Eltit
10.1016/j.bpj.2018.11.1336,Ketamine,NMDA receptor,Uncoupling NMDA Receptor Mechanism of Ketamine Block and Proton Inhibition,2019,Jamie A. Abbott
10.1016/j.bpj.2022.11.2161,Ketamine,NMDA receptor,"Kinetic mechanism of NMDA receptor inhibition by the ketamine metabolite 2R,6R-hydroxynorketamine.",2023,Faye Raymond
10.1016/j.cont.2023.100969,Psilocybin,5-HT2A,5-HT2A/2C RECEPTOR AGONIST(DOI) IMPROVES VOIDING DYSFUNCTION OF RATS WITH NEUROGENIC UNDERACTIVE BLADDER,2023,J. Ni; M. Xie; B. Xu
10.1016/j.cpnec.2022.100163,Psilocybin,5-HT2A,Subacute effects of a single dose of psilocybin on biomarkers of inflammation in healthy humans: An open-label preliminary investigation,2022,Daniel Burmester; M. Madsen; Attila Szabó; Sanjay S. Aripaka; Dea Siggaard Stenbæk; Vibe G. Frøkjær; Betina Elfving; Jens D. Mikkelsen; Gitte M. Knudsen; Patrick M. Fisher
10.1016/j.ejphar.2012.12.006,MDMA,SERT (SLC6A4),Neurochemical profiles of some novel psychoactive substances,2012,Les Iversen; Simon Gibbons; Ric Treble; Vincent Setola; Xi-Ping Huang; Bryan L. Roth
10.1016/j.jad.2024.08.050,S-ketamine,NMDA receptor,Psychometric properties of the 23-Item Clinician Administered Dissociative States Scale (CADSS) in a psychological trauma population,2024,J. Douglas Bremner; David Williamson; Viola Vaccarino
