# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1038/s41421-022-00412-3,,5-HT5A,Structural insights into the ligand binding and Gi coupling of serotonin receptor 5-HT5A.,2022,Tan Y; Xu P; Huang S; Yang G; Zhou F; He X; Ma H; Xu HE; Jiang Y
10.1038/s41423-023-00982-6,DOI,5-HT2A,HTR2A agonists play a therapeutic role by restricting ILC2 activation in papain-induced lung inflammation,2023,Zhishuo Wang; Chenghua Yan; Qizhen Du; Yuying Huang; Xuezhen Li; Dan Zeng; Ruizhi Mao; Rama Krishna Gurram; Shipeng Cheng; Wangpeng Gu
10.1038/s41467-019-13809-8,Ketamine,NMDA receptor,Ketamine disinhibits dendrites and enhances calcium signals in prefrontal dendritic spines,2020,Farhan Ali; Danielle M. Gerhard; Katherine Sweasy; Santosh Pothula; Christopher Pittenger; Ronald S. Duman; Alex C. Kwan
10.1038/s41467-024-45157-7,Ketamine,NMDA receptor,Sex dependence of opioid-mediated responses to subanesthetic ketamine in rats,2024,Tommaso Di Ianni; Sedona N. Ewbank; Marjorie R. Levinstein; Matine M. Azadian; Reece C. Budinich; Michael Michaelides; Raag D. Airan
10.1038/s41467-024-48196-2,,5-HT1B,G protein-specific mechanisms in the serotonin 5-HT2A receptor regulate psychosis-related effects and memory deficits,2024,Elk Kossatz; Rebeca Diez-Alarcia; Supriya A. Gaitonde; Carla Ramon-Duaso; Tomasz Maciej Stepniewski; David Aranda-Garcia; Itziar Muneta-Arrate; Elodie Tepaz; Suwipa Saen-Oon; Robert Soliva
10.1038/s41467-025-56850-6,5-MeO-DMT,5-HT1A,Classification of psychedelics and psychoactive drugs based on brain-wide imaging of cellular c-Fos expression.,2025,Aboharb F; Davoudian PA; Shao LX; Liao C; Rzepka GN; Wojtasiewicz C; Indajang J; Dibbs M; Rondeau J; Sherwood AM
10.1038/s41467-025-57956-7,Psilocybin,5-HT2A,The structural diversity of psychedelic drug actions revealed.,2025,Gumpper RH; Jain MK; Kim K; Sun R; Sun N; Xu Z; DiBerto JF; Krumm BE; Kapolka NJ; Kaniskan HÜ
10.1038/s41557-024-01714-7,Noribogaine,,Efficient and modular synthesis of ibogaine and related alkaloids,2025,Rishab N. Iyer; David Favela; Andras Domokos; Guoliang Zhang; Arabo A. Avanes; Samuel J. Carter; Andrian G. Basargin; Alexis R. Davis; Dean J. Tantillo; David E. Olson
10.1038/s41583-024-00876-0,,AMPA receptor,Structural neural plasticity evoked by rapid-acting antidepressant interventions,2024,Clara Liao; Alisha N. Dua; Cassandra Wojtasiewicz; Conor Liston; Alex C. Kwan
10.1038/s41586-020-3008-z,Ibogaine,kappa opioid receptor (OPRK1),A non-hallucinogenic psychedelic analogue with therapeutic potential,2020,Lindsay P. Cameron; Robert J. Tombari; Ju Lu; Alexander J. Pell; Zefan Q. Hurley; Yann Ehinger; Maxemiliano V. Vargas; Matthew N. McCarroll; Jack C. Taylor; Douglas Myers-Turnbull
10.1038/s41586-024-07403-2,Psilocin,5-HT2A,Structural pharmacology and therapeutic potential of 5-methoxytryptamines,2024,Audrey L. Warren; David Lankri; Michael J. Cunningham; Inis C. Serrano; Lyonna F. Parise; Andrew C. Kruegel; Priscilla Duggan; Gregory Zilberg; Michael J. Capper; Vaclav Havel
