# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1002/ab.22022,Ketamine,NMDA receptor,Opposing effects of NMDA receptor antagonists on early life stress‐induced aggression in mice,2022,Jacob C. Nordman; Caitlyn J. Bartsch; Zheng Li
10.1002/dta.1686,LSD,5-HT2A,The new drug phenomenon,2014,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown
10.1002/dta.3547,MDMA,DAT (SLC6A3),Characterization of neurotransmitter inhibition for seven cathinones by a proprietary fluorescent dye method,2023,Mattias Persson; Svante Vikingsson; Robert Kronstrand; Henrik Green
10.1002/ejp.847,Ketamine,NMDA receptor,Effects of the noncompetitive <i>N</i>‐methyl‐<scp>d</scp>‐aspartate receptor antagonists ketamine and <scp>MK</scp>‐801 on pain‐stimulated and pain‐depressed behaviour in rats,2016,T.M. Hillhouse; S.S. Negus
10.1002/j.1939-4640.2000.tb02122.x,Ketamine,NMDA receptor,Presence of NMDA Receptor Subunits in the Male Lower Urogenital Tract,2000,NESTOR F. GONZALEZ‐CADAVID; IGOR RYNDIN; DOLORES VERNET; THOMAS R. MAGEE; JACOB RAJFER
10.1002/jcph.1917,Ibogaine,NMDA receptor,Pharmacologic Similarities and Differences Among Hallucinogens,2021,Kristin Waters
10.1002/jnr.22367,DMT,TAAR1,"Normal thermoregulatory responses to 3‐iodothyronamine, trace amines and amphetamine‐like psychostimulants in trace amine associated receptor 1 knockout mice",2010,Helen N. Panas; Laurie J. Lynch; Eric J. Vallender; Zhihua Xie; Guo‐lin Chen; Spencer K. Lynn; Thomas S. Scanlan; Gregory M. Miller
10.1002/syn.20804,MDMA,SERT (SLC6A4),Evidence for noncompetitive modulation of substrate‐induced serotonin release,2010,Richard B. Rothman; Michael H. Baumann; Bruce E. Blough; Arthur E. Jacobson; Kenner C. Rice; John S. Partilla
10.1002/wmts.10,MDMA,SERT,Differential regulation of serotonin transporter cell surface expression,2012,Thorsten Lau; Patrick Schloss
10.1002/wps.20269,S-ketamine,NMDA receptor,"Ketamine for depression: evidence, challenges and promise",2015,Carlos A. Zarate; Mark J. Niciu
10.1007/978-1-59259-158-9_1,MDMA,NET (SLC6A2),Regulation of Monoamine Transporters,2002,Sammanda Ramamoorthy
