# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1001/archpsyc.63.8.856,Ketamine,NMDA receptor,A Randomized Trial of an N-methyl-D-aspartate Antagonist in Treatment-Resistant Major Depression,2006,Carlos A. Zarate; Jaskaran B. Singh; Paul J. Carlson; Nancy E. Brutsche; Rezvan Ameli; David A. Luckenbaugh; Dennis S. Charney; Husseini K. Manji
10.1007/s00213-007-0895-8,MDMA,SERT (SLC6A4),Acute and constitutive increases in central serotonin levels reduce social play behaviour in peri-adolescent rats,2007,Judith R. Homberg; Olga J. G. Schiepers; Anton N. M. Schoffelmeer; Edwin Cuppen; Louk J. M. J. Vanderschuren
10.1007/s00213-014-3704-1,DOI,5-HT2A,"Functional profile of a novel modulator of serotonin, dopamine, and glutamate neurotransmission",2014,Gretchen L. Snyder; Kimberly E. Vanover; Hongwen Zhu; Diane B. Miller; James P. O’Callaghan; John Tomesch; Peng Li; Qiang Zhang; Vaishnav Krishnan; Joseph P. Hendrick
10.1016/j.biopha.2024.116867,,5-HT6,Non-hallucinogenic compounds derived from iboga alkaloids alleviate neuropathic and visceral pain in mice through a mechanism involving 5-HT2A receptor activation,2024,Hugo R. Arias; Laura Micheli; Deborah Rudin; Ophelie Bento; Saskia Borsdorf; Clara Ciampi; Philippe Marin; Evgeni Ponimaskin; Dina Manetti; Maria Novella Romanelli
10.1016/j.pbb.2009.05.014,Bufotenin,,5-HT1A receptor activation is necessary for 5-MeODMT-dependent potentiation of feeding inhibition,2009,Vikas Duvvuri; Victoria B. Risbrough; Walter H. Kaye; Mark A. Geyer
10.1016/s2221-1691(12)60116-6,DOI,5-HT2A,"A review on medicinal importance, pharmacological activity and bioanalytical aspects of beta-carboline alkaloid “Harmine”",2012,K Patel; M Gadewar; R Tripathi; SK Prasad; Dinesh Kumar Patel
10.1021/acsbiomedchemau.5c00011,Ibogaine,NMDA receptor,Discovery of Iboga-Derived Ligands for the Sigma-2 Receptor,2025,Alexander J. Hughes; Julie A. Talbert; Steven D. Townsend
10.1021/acsomega.9b03430,2C-B,5-HT2A,Dibenzofuranylethylamines as 5-HT<sub>2A/2C</sub> Receptor Agonists,2020,Thirumal Yempala; José Brea; María Isabel Loza; Douglas J. Matthies; Gerald Zapata-Torres; Bruce K. Cassels
10.1038/s41398-024-03055-y,Ayahuasca,,Epigenetic mechanisms of rapid-acting antidepressants,2024,Antonio Inserra; Antonella Campanale; Tamim Rezai; Patrizia Romualdi; Tiziana Rubino
10.1039/d0np00028k,Salvinorin A,kappa opioid receptor (OPRK1),Chemical syntheses of the salvinorin chemotype of KOR agonist,2020,Sarah J. Hill; Aurélien U. C. M. Brion; Ryan A. Shenvi
10.1039/d0np00033g,Ibogaine,kappa opioid receptor (OPRK1),The iboga enigma: the chemistry and neuropharmacology of iboga alkaloids and related analogs,2020,Rishab N. Iyer; David Favela; Guoliang Zhang; David E. Olson
