# triage-filtered queue generated at 2026-04-21T15:16:35.013578+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1002/1521-3838(200012)19:6<565::aid-qsar565>3.0.co;2-2,LSD,5-HT2A,Induced Fit—The Key for Understanding LSD Activity? A 4D-QSAR Study on the 5-HT2A Receptor System,2000,
10.1002/ab.22022,Ketamine,NMDA receptor,Opposing effects of NMDA receptor antagonists on early life stress‐induced aggression in mice,2022,
10.1002/advs.202516024,S-ketamine,NMDA receptor,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,
10.1002/brb3.1423,S-ketamine,NMDA receptor,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,
10.1002/cmdc.201700810,Ketamine,NMDA receptor,Comparative Pharmacological Study of Common NMDA Receptor Open Channel Blockers Regarding Their Affinity and Functional Activity toward GluN2A and GluN2B NMDA Receptors,2018,
10.1002/cmdc.201700810,R-ketamine,NMDA receptor,Comparative Pharmacological Study of Common NMDA Receptor Open Channel Blockers Regarding Their Affinity and Functional Activity toward GluN2A and GluN2B NMDA Receptors,2018,
10.1002/dev.21169,MDMA,SERT (SLC6A4),Adolescent MDMA exposure diminishes the physiological and neurotoxic consequences of an MDMA binge in female rats,2013,
10.1002/dta.1685,DMT,5-HT2A,"Metabolism and urinary disposition of <i>N</i>,<i>N</i>‐dimethyltryptamine after oral and smoked administration: a comparative study",2014,
10.1002/dta.1732,MDMA,DAT (SLC6A3),"Synthesis, characterization, and monoamine transporter activity of the new psychoactive substance 3′,4′‐methylenedioxy‐4‐methylaminorex (MDMAR)",2014,
10.1002/dta.1884,LSD,5-HT2A,Return of the lysergamides. Part I: Analytical and behavioural characterization of 1‐propionyl‐<i>d</i>‐lysergic acid diethylamide (1P‐LSD),2015,
10.1002/dta.3547,MDMA,DAT (SLC6A3),Characterization of neurotransmitter inhibition for seven cathinones by a proprietary fluorescent dye method,2023,
10.1002/ejp.847,Ketamine,NMDA receptor,Effects of the noncompetitive <i>N</i>‐methyl‐<scp>d</scp>‐aspartate receptor antagonists ketamine and <scp>MK</scp>‐801 on pain‐stimulated and pain‐depressed behaviour in rats,2016,
10.1002/hbm.24511,Psilocybin,5-HT2A,Trait Openness and serotonin 2A receptors in healthy volunteers: A positron emission tomography study,2019,
10.1002/hup.2811,MDMA,SERT (SLC6A4),"Serotonin transporter availability, neurocognitive function and their correlation in abstinent 3,4‐methylenedioxymethamphetamine users",2021,
10.1002/hup.70019,Ketamine,Sigma-1 receptor (SIGMAR1),Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,
10.1002/hup.70019,S-ketamine,Sigma-1 receptor (SIGMAR1),Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,
10.1002/hup.70019,R-ketamine,Sigma-1 receptor (SIGMAR1),Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,
10.1002/j.1939-4640.2000.tb02122.x,Ketamine,NMDA receptor,Presence of NMDA Receptor Subunits in the Male Lower Urogenital Tract,2000,
10.1002/jcph.1918,MDMA,SERT (SLC6A4),Pharmacology of Drugs Used as Stimulants,2021,
10.1002/jnr.23198,LSD,5-HT2A,Enhanced prefrontal serotonin 2A receptor signaling in the subchronic phencyclidine mouse model of schizophrenia,2013,
10.1002/jnr.25257,Ketamine,NMDA receptor,"Understanding the role of the <scp>NMDA</scp> receptor subunit, <scp>GluN2D</scp> , in mediating <scp>NMDA</scp> receptor antagonist‐induced behavioral disruptions in male and female mice",2023,
10.1002/minf.201300013,MDMA,DAT (SLC6A3),Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,
