line_no,doi,compound,entity,title,year,authors,existing_sources
4,10.1016/j.phrs.2025.107918,,,All roads lead to glutamate: NMDA and AMPA receptors as targets for rapid-acting antidepressants,2025,Florian Freudenberg; Christine Reif-Leonhard; Gerard R. Dawson; Ruth M. McKernan; Andreas Reif,candidate_paper_corpus | disorder:paper_library | disorder:stubs
6,10.1016/j.biopsych.2025.02.903,,,Current Evidence for the Role of Rapid-Acting Antidepressants in Bipolar Depression: A Perspective and Plan for Action,2025,Jonathan Repple; Maximilian Bayas; Chiara Möser; Nene F. Kobayashi; Andreas Reif,candidate_paper_corpus | disorder:paper_library | disorder:stubs
7,10.3390/ph18020157,,,"Demystifying the Antidepressant Mechanism of Action of Stinels, a Novel Class of Neuroplastogens: Positive Allosteric Modulators of the NMDA Receptor",2025,John E. Donello; Roger S. McIntyre; Donald B. Pickel; Stephen M. Stahl,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
8,10.1038/s41557-024-01714-7,,,Efficient and modular synthesis of ibogaine and related alkaloids,2025,Rishab N. Iyer; David Favela; Andras Domokos; Guoliang Zhang; Arabo A. Avanes; Samuel J. Carter; Andrian G. Basargin; Alexis R. Davis; Dean J. Tantillo; David E. Olson,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
9,10.1126/science.abb6748,,,Enhanced ERK activity extends ketamine’s antidepressant effects by augmenting synaptic plasticity,2025,Zhenzhong Ma; Natalie J. Guzikowski; Ji‐Woon Kim; Ege T. Kavalali; Lisa M. Monteggia,candidate_paper_corpus | disorder:paper_library
10,10.3389/fpsyt.2025.1565852,,,Harnessing neuroplasticity with psychoplastogens: the essential role of psychotherapy in psychedelic treatment optimization,2025,Jennifer Jones,candidate_paper_corpus | disorder:paper_library
11,10.1016/j.pbb.2025.174056,,,KOR agonists for the treatment and/or prevention of opioid use disorder and cocaine use disorder,2025,Lee-Yuan Liu-Chen; Peng Huang,candidate_paper_corpus | disorder:paper_library
14,10.3390/molecules30132824,,,"Ketamine—From an Anesthetic to a Psychiatric Drug: Mechanisms of Action, Clinical Applications and Potential Risks",2025,Ewa Gibuła‐Tarłowska; Anna Wiszniewska; Magdalena Turyk; Paulina Szymczyk; Jolanta H. Kotlińska; Ewa Kędzierska,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
16,10.1073/pnas.2416106122,,,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential,2025,Jeremy R. Tuck; Lee E. Dunlap; Yara A. Khatib; Cassandra J. Hatzipantelis; Sammy Weiser Novak; Rachel M. Rahn; Alexis R. Davis; Adam Mosswood; Anna M. M. Vernier; Ethan M. Fenton,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
17,10.1007/s00213-025-06756-4,,,Molecular pathways of ketamine: A systematic review of immediate and sustained effects on PTSD,2025,Nathan J. Wellington; Ana Paula Bouças; Jim Lagopoulos; Bonnie L. Quigley; Anna Kuballa,candidate_paper_corpus | mechanistic:paper_library
