# new DOI queue (disorder) generated at 2026-05-15T06:39:48.827578+00:00
# doi,compound,disorder,optional_study_title,optional_study_year,optional_authors
10.12775/qs.2026.54.70302,,,"3,4-Methylenedioxymethamphetamine: From Dangerous Party Drug to Potential Therapeutic Agent",2026,Magdalena Ostaszewska; Milena Majchrzyk; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Weronika Walendziak; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk
10.64898/2026.03.27.26349536,,,"A living systematic review, meta-analysis, and open data resource of trials of MDMA-assisted therapy for PTSD",2026,Brooke L. Sevchik; S. Parker Singleton; Analiese Lahey; Pim Cuijpers; Mathias Harrer; Megan T. Jones; Sandeep M. Nayak; Eric C. Strain; Simon Vandekar; David B. Yaden
10.20944/preprints202604.0415.v1,,,"Altered States of Consciousness and the Subconscious Mind: A Comprehensive Comparative Review of Disciplines, Neurobiological Mechanisms, Clinical Applications, and Philosophical Frameworks — Including Life Between Lives and Transpersonal Hypnotherapy",2026,Luis Miguel Gallardo
10.64898/2026.04.21.719811,,,An auxiliary protein tunes reductase activity in alkaloid biosynthesis,2026,Samuel C. Carr; Song Wu; Klaus Gase; Yoko Nakamura; Mohamed O. Kamileen; Maritta Kunert; sarah Heinicke; Moonyoung Kang; Veit Grabe; Lorenzo Caputi
10.1177/28314425261429233,,,"Balancing Innovation and Evidence: Reflections on Structured Protocols in MDMA-Assisted Therapy Versus a Principle-Guided, Patient-Directed Approach",2026,Amy Lehrner; Miryam Sperka; Lauren Lepow; Laura C. Pratchett; Tamar Glatman Zaretsky; M. Mehmet Haznedar; Rachel Yehuda
10.3389/fpsyg.2026.1729722,,,Cognitive effects of methamphetamine and amphetamine withdrawal in rodents: a systematic review,2026,Reshiika Poorvii; Isa Naina Mohamed; Mohamad Fairuz Yahaya; Norazrina Azmi; Teoh Seong Lin; Rashidi Mohamed Pakri Mohamed; Azizah Ugusman; Prem Kumar Shanmugam; Jaya Kumar
10.1021/acsptsci.5c00301,,,Development of Bioisosteres of Iboga Alkaloids: A Step-Economical Synthesis to Enhance the Antinociceptive and Anxiolytic Activity with Neuroprotective Effects,2026,Abhishek Gupta; Tuhin Bhattacharya; Subhamoy Pratihar; Sabnur Parvage; Swrajit Nath Sharma; Arnab Sarkar; Akash De; Sanmoy Karmakar; Sanjit Dey; Surajit Sinha
10.1215/10539867-12110802,,,Drug Decriminalization and Recriminalization: Predicting the Future in Uncertain Times,2026,Laura I Appleman
10.37275/oaijmr.v6i2.883,,,Efficacy and Safety of Psilocybin-Assisted Therapy for Depression: A Meta-Analysis of Randomised Controlled Trials,2026,Siti Nashria Rusdhy; Andrian Fajar Kusumadewi; Carla Raymondalexas Marchira; Mustika Suci Mahardikaningrum; Teresa Lalita Wiryarini; Devira Ayu Wulandari
10.53941/cna.2026.100006,,,Epigenetic Mechanisms of Psychedelics in Addiction: Emerging Evidence and Therapeutic Potential,2026,Antonio Inserra; Francesca Zoratto; Mauro Pettorruso; Giovanni Martinotti
