# discovered queue (mechanistic) generated at 2026-05-15T06:35:09.796789+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.1016/j.phrs.2025.107918,,,All roads lead to glutamate: NMDA and AMPA receptors as targets for rapid-acting antidepressants,2025,Florian Freudenberg; Christine Reif-Leonhard; Gerard R. Dawson; Ruth M. McKernan; Andreas Reif
10.1101/2025.01.08.631940,,,Cell-type specific transcriptional modulation by psilocybin induces sustained plasticity in mouse medial prefrontal cortex,2025,Heike Schuler; Delong Zhou; Chloé Savignac; Vedrana Cvetkovska; Yiu-Chung Tse; Juliet Meccia; Joëlle Lopez; Ashot S. Harutyunyan; Jiannis Ragoussis; Danilo Bzdok
10.1016/j.biopsych.2025.02.903,,,Current Evidence for the Role of Rapid-Acting Antidepressants in Bipolar Depression: A Perspective and Plan for Action,2025,Jonathan Repple; Maximilian Bayas; Chiara Möser; Nene F. Kobayashi; Andreas Reif
10.3390/ph18020157,,,"Demystifying the Antidepressant Mechanism of Action of Stinels, a Novel Class of Neuroplastogens: Positive Allosteric Modulators of the NMDA Receptor",2025,John E. Donello; Roger S. McIntyre; Donald B. Pickel; Stephen M. Stahl
10.1038/s41557-024-01714-7,,,Efficient and modular synthesis of ibogaine and related alkaloids,2025,Rishab N. Iyer; David Favela; Andras Domokos; Guoliang Zhang; Arabo A. Avanes; Samuel J. Carter; Andrian G. Basargin; Alexis R. Davis; Dean J. Tantillo; David E. Olson
10.1126/science.abb6748,,,Enhanced ERK activity extends ketamine’s antidepressant effects by augmenting synaptic plasticity,2025,Zhenzhong Ma; Natalie J. Guzikowski; Ji‐Woon Kim; Ege T. Kavalali; Lisa M. Monteggia
10.3389/fpsyt.2025.1565852,,,Harnessing neuroplasticity with psychoplastogens: the essential role of psychotherapy in psychedelic treatment optimization,2025,Jennifer Jones
10.1016/j.pbb.2025.174056,,,KOR agonists for the treatment and/or prevention of opioid use disorder and cocaine use disorder,2025,Lee-Yuan Liu-Chen; Peng Huang
10.3390/psychoactives4030020,,,Ketamine and Esketamine in Psychiatry: A Comparative Review Emphasizing Neuroplasticity and Clinical Applications,2025,Georgios Mikellides
10.1097/aln.0000000000005595,,,Ketamine-induced Sustained Modulation of γ-Aminobutyric Acid Type A Receptor Function in Mouse Hippocampal Neurons after Anesthesia,2025,Dian-Shi Wang; Winston W. Li; Daheng Liu; Shahin Khodaei; Yalun Zhang; MeiFeng Yu; Howell Y. H. Fang; Agnes Crnic; Kirusanthy Kaneshwaran; Connor T. A. Brenna
10.3390/molecules30132824,,,"Ketamine—From an Anesthetic to a Psychiatric Drug: Mechanisms of Action, Clinical Applications and Potential Risks",2025,Ewa Gibuła‐Tarłowska; Anna Wiszniewska; Magdalena Turyk; Paulina Szymczyk; Jolanta H. Kotlińska; Ewa Kędzierska
10.1016/j.physbeh.2025.114956,,,Mechanisms underlying sustained resilience against anorexia nervosa from sub-anesthetic ketamine: A review and new research based on electron microscopic analyses of synapses using a mouse model,2025,Yiru Dong; Sebastian Goodwin‐Groen; Jing Ma; Esther Kim; Sophia Del Giudice; Michael M. Santos; Chiye Aoki
10.1073/pnas.2416106122,,,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential,2025,Jeremy R. Tuck; Lee E. Dunlap; Yara A. Khatib; Cassandra J. Hatzipantelis; Sammy Weiser Novak; Rachel M. Rahn; Alexis R. Davis; Adam Mosswood; Anna M. M. Vernier; Ethan M. Fenton
10.1007/s00213-025-06756-4,,,Molecular pathways of ketamine: A systematic review of immediate and sustained effects on PTSD,2025,Nathan J. Wellington; Ana Paula Bouças; Jim Lagopoulos; Bonnie L. Quigley; Anna Kuballa
10.1016/j.pnpbp.2025.111259,,,"N, N-dimethyltryptamine (DMT) in rodent brain: Concentrations, distribution, and recent pharmacological data",2025,Steven A. Barker
10.1038/s42003-025-08078-9,,,"Network control energy reductions under DMT relate to serotonin receptors, signal diversity, and subjective experience",2025,S. Parker Singleton; Christopher Timmermann; Andrea I. Luppi; Emma Eckernäs; Leor Roseman; Robin Carhart‐Harris; Amy Kuceyeski
10.1016/j.neubiorev.2025.106132,,,Neuroplasticity and psychedelics: A comprehensive examination of classic and non-classic compounds in pre and clinical models,2025,Claudio Agnorelli; Meg J. Spriggs; Kate Godfrey; Gabriela Sawicka; Bettina Bohl; Hannah Douglass; Andrea Fagiolini; Hashemi Parastoo; Robin Carhart‐Harris; D.J. Nutt
10.7554/elife.104006,,,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,Malin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus W. Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr; Philipp Koch
10.7554/elife.104006.1,,,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,Målin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus W. Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr; Philipp Koch
10.1016/j.intimp.2025.114940,,,Psilocybin and psilocin regulate microglial immunomodulation and support neuroplasticity via serotonergic and AhR signaling,2025,Salma Laabi; Claire LeMmon; Callie Vogel; M. Chacón; Víctor M. Jiménez
10.1016/j.cell.2025.11.009,,,Psilocybin triggers an activity-dependent rewiring of large-scale cortical networks,2025,Quan Jiang; Ling-Xiao Shao; Shenqin Yao; Neil K. Savalia; Amelia D. Gilbert; Pasha A. Davoudian; Jack D. Nothnagel; Guilian Tian; Tin Shing Hung; H. M. Lai
10.1101/2025.08.06.668927,,,Psilocybin triggers an activity-dependent rewiring of large-scale cortical networks,2025,Quan Jiang; Ling-Xiao Shao; Shenqin Yao; Neil K. Savalia; Annie-Kim Gilbert; Pasha A. Davoudian; Jack D. Nothnagel; Guilian Tian; Tin Shing Hung; H. M. Lai
10.3390/brainsci15020117,,,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications,2025,Francesco Weiss; Anna Magnesa; Matteo Gambini; Riccardo Gurrieri; E. Annuzzi; Camilla Elefante; Giulio Perugi; Donatella Marazziti
10.3389/fphar.2025.1649929,,,"Psychedelics and mental health: reimagining care through science, insight, and compassion",2025,Georgios Mikellides; Marios Kyriazis
10.1016/j.pnpbp.2025.111278,,,Psychedelics in neuroinflammation: Mechanisms and therapeutic potential,2025,Júnia L. de Deus; Juliana Marino Maia; Renato Nery Soriano; Mateus R. Amorim; Luiz G.S. Branco
