# discovered queue (mechanistic) generated at 2026-05-15T06:37:21.845471+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1002/cmdc.202500856,,,A Novel Tertiary Carbamate Prodrug Strategy to Overcome Metabolic Barriers in Oral Ketamine Delivery.,2026,Järvinen J; Adla SK; Tampio J; Jalkanen A; Sloan KB; Huttunen KM; Rautio J
10.1016/j.pbb.2025.174144,,,A systematic review of ketamine's anxiolytic potential in rodent behavioral models of anxiety and PTSD.,2026,Lemeshova A; Patel KA; Bloom AJ; Golan L; Haidari H; Limbada A; Zhao C; Honeycutt JA
10.1016/j.biopsych.2026.03.1008,,,"Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers - A ""Disordinal"" Effect.",2026,Cecchi M; Johannesen J; Farley B; Quirk MC; Mahmoud-Zadeh M; Uslaner JM; Terry-Lorenzo R; Smith DG; Ruhl DA; Rotte M
10.1016/j.psychres.2026.116995,,,Biological variations in ketamine sensitivity: insights from hyperlocomotion to psychotomimetic features in genetically diverse mouse strains.,2026,Siao WH; Wang TS; Wang LC; Chen ML; Chen YC
10.1080/15226514.2026.2632121,,,"Cerium dioxide nanoparticles protect Catharanthus roseus against arsenic (As) toxicity by enhancing oxidative tolerance, modulating gene expression and minimizing As uptake.",2026,Khan WU; Munir B; Akram W; Rehman A; Shaikh IA; Sardar R; Munir I; Yasin NA
10.1007/s42977-025-00293-z,,,"Combined use of proline and microbes on yield attributes, photosynthetic efficiency, water relations, nutrient acquisition and antioxidative defense mechanisms of fennel plants under drought conditions.",2026,Virk TA; Haider MZ; Ali Q
10.1038/s41586-026-10139-w,,,Conformational diversity and fully opening mechanism of native NMDA receptor.,2026,Xu R; Jiang Q; Xu H; Zhang L; Hu X; Lu Z; Deng H; Xiong H; Zhang S; Chen Z
10.1016/j.jaac.2026.03.007,,,Editorial: Retuning the Adolescent Brain: Esketamine and Rapid Structural Change in the rACC.,2026,Liu Y; Wang Q
10.1016/j.jphs.2026.04.002,,,Enhanced effect of the hallucinogen DOI in L-DOPA receptor Gpr143-deficient mice.,2026,Masukawa D; Tajika R; Ichimaru Y; Kurihara M; Suzuki T; Goshima Y
10.1002/jbt.70839,,,Esketamine Exposure Affects Neurodevelopment and Glutamate-NMDAR Signaling in Zebrafish Larvae.,2026,Wang J; Huang S; Lin T; Fu Z; Zuo Z; Chen Z; He C
10.1038/s41598-026-38137-y,,,Esketamine attenuates bone cancer pain by suppressing MAPK signaling and glial activation in the spinal dorsal horn of rats.,2026,Cheng L; Wang D; Zhang Z; Zhang Y; Tang Y; Bao K; Guo B; Zhang K; Chen Y; Ren H
10.1038/s41598-026-49287-4,,,Esketamine-sufentanil PCA reduces postoperative depression state in elderly colorectal cancer patients: a randomized controlled trial.,2026,Ding R; Wang D; Wang G; Lin Y; Wu D; Zhang M; Ren Y; Kang W; Lin G
10.7759/cureus.105219,,,Evaluation of Current Evidence on the Efficacy of Esketamine in Treating Substance-Use Disorders in Patients With Treatment-Resistant Depression (TRD): A Narrative Review.,2026,Shelke S; Thummalapally RR
10.1016/j.ecoenv.2026.119674,,,Heavy metal tolerance and metal ion homeostasis in soybean (Glycine max L.) driven by the synergistic effect of Pseudomonas qingdaonensis strain BD1 and Illite.,2026,Injamum-Ul-Hoque M; Imran M; Ahsan SM; Mahadi Hasan M; Atikur Rahman M; Kang SM; Shaffique S; Kumar Das A; Yun BW; Lee IJ
10.1093/ijnp/pyag020,,,"Increase of the AMPA-evoked response of pyramidal neurons in the rat medial prefrontal cortex following acute administration of ketamine and S-ketamine, but not R-ketamine.",2026,El Mansari M; Okamoto N; Blier P
