line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.3174/ajnr.a9364,,,"""Large-Scale and Local Functional Connectivity Changes Following Psilocybin Administration in Methamphetamine Use Disorder.",2026,Chaganti J; Siefried KJ; Vyakaranam VS; Acheson L; Brett J,candidate_paper_corpus | disorder:paper_library
8,10.7759/cureus.102421,,,A Promise Without Panacea: Psychedelic-Assisted Therapies in Modern Psychiatry.,2026,Raza M; Kaur J,candidate_paper_corpus | disorder:paper_library
9,10.2174/0115748871407261251215071206,,,A Systematic Review and Meta-Analysis of the Efficacy and Safety of Intranasal Esketamine for Rapid Symptom Relief in Treatment-resistant Depression.,2026,Saun R; Garg A; Khan MA,candidate_paper_corpus | disorder:paper_library
10,10.1080/20008066.2026.2631358,,,"A neurocognitive account of complex PTSD: self-modelling, affective dysregulation, and implications for MDMA-assisted and targeted psychotherapies.",2026,Gerrans P; Mcgovern H; Hohwy J; Oestreich LKL,candidate_paper_corpus | disorder:curated | disorder:paper_library
12,10.1177/02698811261420087,,,"A phase 2 uncontrolled, open-label study of intranasal BPL-003 (5-methoxy-N,N-dimethyltryptamine) in patients with treatment-resistant depression.",2026,Roberts C; Seynaeve M; Ermakova AO; Dunbar F; Wells H; Puri A; Bird C; Rucker JJ,candidate_paper_corpus | disorder:curated | disorder:paper_library
13,10.1080/10550887.2025.2450129,,,A pilot study of ketamine among individuals with tobacco use disorder: tolerability and initial impact on tobacco use outcomes.,2026,Chuang J; Lide RC; Kamath N; Oliveto A; Addicott M,candidate_paper_corpus | disorder:curated | disorder:paper_library
14,10.1177/02698811261424214,,,A randomized clinical trial of repeated doses of psilocybin for the treatment of obsessive-compulsive disorder.,2026,Moreno FA; Allen KE; Wiegand CB; Dunne R; Prickett JI; Bayze B; Allen JJB,benchmark_manifest | candidate_paper_corpus | disorder:paper_library | disorder:stubs
15,10.1016/j.socscimed.2025.118536,,,A scoping review of variations in psychedelic interventions for psychological suffering associated with the end of life.,2026,Kratina S; Strike C; Schwartz R; Nayfeh A; Jopling S; Lo C; Rush B,candidate_paper_corpus | disorder:paper_library
16,10.1038/s41591-025-04154-z,,,A short-acting psychedelic intervention for major depressive disorder: a phase IIa randomized placebo-controlled trial.,2026,Erritzoe D; Barba T; Benway T; Joel Z; Good M; Layzell M; Jones MB; Campbell G; Murphy-Beiner A; Rands P,candidate_paper_corpus | disorder:paper_library
18,10.1038/s41386-025-02248-3,,,"Acute effects of MDMA, MDA, lysine-MDMA, and lysine-MDA in a randomized, double-blind, placebo-controlled, crossover trial in healthy participants.",2026,Straumann I; Vizeli P; Avedisian I; Erne L; Noorshams D; Vukalovic I; Eckert A; Luethi D; Rudin D; Liechti ME,candidate_paper_corpus | disorder:paper_library
19,10.1097/ta.0000000000004835,,,Acute traumatic pain treatment with ketamine decreased PTSD and anxiety symptoms 6 months post hospital discharge.,2026,Trevino CM; Carver T; Tomas C; Larson C; Mantz-Wichman M; Peppard WJ; deRoon-Cassini T,candidate_paper_corpus | disorder:curated | disorder:paper_library | disorder:stubs
20,10.1016/j.genhosppsych.2026.02.011,,,Advancing cancer neuroscience through stress modulation: Interdisciplinary potential of psilocybin and ketamine.,2026,Courtes AC; Myers B; Daly N; Jones G; Soares JC; Zarate CA Jr; Machado-Vieira R,candidate_paper_corpus | disorder:paper_library
21,10.1016/j.psychres.2025.116929,,,Adverse events associated with classic psychedelics and MDMA: a real-world population-based study using the WHO pharmacovigilance database (VigiBase).,2026,Syed OA; Nestor SM; Husain MI; Sinyor M; Alam F; Giacobbe P,candidate_paper_corpus | disorder:paper_library | disorder:stubs
22,10.1186/s40337-025-01508-3,,,An open-label pilot study of psilocybin-assisted therapy for binge eating disorder.,2026,Dallery J; Miller JL; Boissoneault J; Harvey L; Ives L; Knerr A; Blaes S; Ransom MN; Munson M; Gilligan JP,candidate_paper_corpus | disorder:paper_library
23,10.1093/pm/pnag022,,,Analgesic Efficacy of Intravenous Lidocaine versus Ketamine in Refractory Chronic Pain: A Retrospective Analytic Study with 3-Month Follow-up.,2026,Kositanurit K; Chalermkitpanit P; Limtrakool N; Assavanop S,candidate_paper_corpus | disorder:paper_library | disorder:stubs
27,10.1007/s40263-025-01248-7,,,Approved and Pipeline Pharmacological Interventions for Eating Disorders (2010-2025): 15 Years of Progress (or Lack Thereof).,2026,Hirsch D; Reed J; Naqvi A; Ngor A; Dugan L; Costa K; Ganasi RS; Truman K; Danovitch I; IsHak WW,candidate_paper_corpus | disorder:paper_library
28,10.1007/s40263-025-01252-x,,,"Assessing Cognitive Function over Time in Patients with Refractory Chronic Migraine Who Received Ketamine Infusions: A Prospective, Observational Study.",2026,Vinokur M; Schwenk ES; Alabad S; Hamilton W; Yuan H; Fallon S; Marmura MJ,candidate_paper_corpus | disorder:paper_library
30,10.1097/adm.0000000000001517,,,Attitudes Toward Psychedelic Treatments by Individuals With Histories of Substance Use or Psychiatric Disorders: A Survey Study.,2026,Prostko S; Wu A; Maddams S; Szpak V; Rosenblum N; Hilt LM; Suzuki J,candidate_paper_corpus | disorder:paper_library
32,10.3390/biomedicines14030506,,,"Ayahuasca and Its Main Component N,N-Dimethyltryptamine (DMT) for the Treatment of Mental Disorders: Mechanisms of Action, Clinical Studies, and Tools to Explore the Human Mind.",2026,Melani A; Papini G; Bonaso M; Biso L; Kolachalam S; Bragazzi NL; Conversano C; Orrù G; Longoni B; Scarselli M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
34,10.3390/children13030356,,,Biological Risk Factors for Suicidal Behavior in Children and Adolescents: A Narrative Review.,2026,Vatrál M; Jurík J; Katrenčíková B; Muchová J; Ďuračková Z; Trebatická J,candidate_paper_corpus | disorder:paper_library
35,10.1111/jne.70133,,,Blunted arginine vasopressin secretion in individuals experiencing a major depressive episode with comorbid post-traumatic stress disorder: Results from an exploratory study using copeptin as a surrogate marker.,2026,Hu H; Lee Y; Tillman AN; Ballard ED; Waldman L; Yuan P; Johnston JN; Peng S; Kvarta MD; Verbalis JG,candidate_paper_corpus | disorder:paper_library
36,10.1016/j.jad.2025.120882,,,Breaking the chains of depression: A systematic review and meta-analysis of psilocybin therapy.,2026,Khan FA; Pandupuspitasari NS; Tencomnao T; Chuchawankul S,candidate_paper_corpus | disorder:paper_library | disorder:stubs
37,10.1016/j.euroneuro.2025.112746,,,Bridging the reporting gap: Application of the ReSPCT guidelines in psilocybin clinical trial protocols.,2026,Swieczkowski D; Kwaśny A; Sadko K; Cubała WJ,candidate_paper_corpus | disorder:paper_library
39,10.1016/j.drugpo.2025.104938,,,"Building standards of psychedelic care: Qualitative examination of expert perspectives on safety, inclusion, and accountability.",2026,Chwyl C; Wilson-Poe AR; Hoffman KA; Bazinet A; Pertl K; Luoma JB; des Jarlais D; Bielavitz S; Korthuis PT,candidate_paper_corpus | disorder:paper_library
42,10.1016/j.genhosppsych.2025.12.019,,,Challenges of enrolling participants with alcohol and opioid use disorders in the emergency department for clinical trials of ketamine: The experience from two randomized controlled trials.,2026,Chai PR; Lee E; Hasdianda MA; Bianchi M; Campbell D; Goldfine C; Suzuki J,candidate_paper_corpus | disorder:paper_library
43,10.1177/02698811251413490,,,Challenges with clinical trial participants in studies with classical psychedelics: A position statement from the National Network of Depression Centers' task group on psychedelics and related compounds.,2026,Lewis BR; Reid MJ; Novick AM; Byrne K; Niciu MJ; Fonzo GA; Meyer TD; Feifel D; El-Mallakh RS; Soares J,candidate_paper_corpus | disorder:paper_library
47,10.1016/j.isci.2025.114445,,,Combining DNA methylation features and clinical characteristics predicts ketamine treatment response for PTSD.,2026,Valizadeh A; Roache JD; Zhang X; Hu Y; Gueorguieva R; Averill LA; Ranganathan M; Wang Z; Williamson DE; Shiroma PR,candidate_paper_corpus | disorder:curated | disorder:paper_library
49,10.1016/j.jad.2026.121487,,,Comparative effectiveness and safety of esketamine versus injectable racemic ketamine and oral antidepressants for major depressive disorder: A population-based target trial emulation.,2026,Lee CJ; Qian Y; Yu W; Cusin C; Ma KS,candidate_paper_corpus | disorder:paper_library
50,10.1111/head.70024,,,Comparing single- and repeat-dose psilocybin with active placebo for migraine prevention in an exploratory randomized controlled clinical trial.,2026,Schindler EAD; Gottschalk CH; Pittman BP; D'Souza DC,candidate_paper_corpus | disorder:paper_library | disorder:stubs
52,10.3389/fnins.2026.1816932,,,Editorial: Psychedelic-assisted psychotherapies: from clinical trials to credibility.,2026,Evans M; Charrette A,candidate_paper_corpus | disorder:paper_library
53,10.1007/s00213-026-07016-9,,,"Effectiveness of intranasal esketamine in the treatment of patients with treatment-resistant depression: an observational study based on data collected in a Spravato treatment program at the Institute of Living, Hartford, CT.",2026,Anderson B; Winokur A; Chan G,candidate_paper_corpus | disorder:paper_library
