# new DOI queue (mechanistic) generated at 2026-05-15T06:36:55.529674+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1177/10915818261419429,,,"5-Methoxy-N,N-Dimethyltryptamine: Functional Safety Pharmacology and Video-EEG Assessment of a Short-Acting Serotonergic Psychedelic in Beagle Canines.",2026,Lotfi A; Sparapani S; Pouliot M; Zhong Y; Montgomery S; Authier S
10.1097/md.0000000000048570,,,A comprehensive review of the clinical progress of esketamine: From anesthesia to antidepressant therapy.,2026,Hu HL; Huang QZ; Xie PX
10.1007/s10974-025-09720-z,,,A single S-ketamine injection enhances mTOR signaling in rat skeletal muscle.,2026,Andersen Skriver S; Arjmand S; Breenfeldt Andersen A; Wegener G; Hansen M
10.1021/jacs.5c06325,,,Deciphering Ibogaine's Matrix Pharmacology: Multiple Transporter Modulation at Serotonin Synapses.,2026,Hwu C; Havel V; Westergaard X; Mendieta AM; Serrano IC; Hwu J; Walther D; Lankri D; Selinger TL; He K
10.1177/0271678x261431447,,,Detecting neuroplastic effects induced by ketamine in healthy human subjects: A multimodal approach.,2026,Agnorelli C; Peill J; Sawicka G; Kurtin D; Shatalina E; Ahmad K; Wall MB; Rua C; Godfrey K; Ertl N
10.1021/acsptsci.5c00301,,,Development of Bioisosteres of Iboga Alkaloids: A Step-Economical Synthesis to Enhance the Antinociceptive and Anxiolytic Activity with Neuroprotective Effects.,2026,Gupta A; Bhattacharya T; Pratihar S; Parvage S; Sharma SN; Sarkar A; De A; Karmakar S; Dey S; Sinha S
10.3390/biom16040484,,,Distinct Molecular Responses to Ketamine and Imipramine in Cortical and Striatal Regions Following Acute Swim Stress.,2026,Begni V; De Cillis F; Pfeiffer N; Talbot SR; Gass P; Cattaneo A; Riva MA; Mallien AS
10.12809/eaap25103,,,Drug repurposing in the management of major depressive disorder: a perspective.,2026,Kulshreshtha V; Dixit A; Singh CV; Mishra AK; Kumar V; Kaktan K
10.25259/sni_1280_2025,,,Effect of erythropoietin on serum brain-derived neurotrophic factor after experimental traumatic brain injury in Wistar rats: A randomized controlled laboratory study.,2026,Hasan H; Suryaningtyas W; Parenrengi MA; Wungu CDK
10.64898/2026.01.02.697407,,,Fast-acting antidepressants trigger presynaptic BDNF release and structural plasticity at mouse mossy fiber-CA3 synapses.,2026,Atasoy-Rodriguez IL; Johnson KW; Patel K; Arain H; Zaidi S; Herold KF; Milner TA; Hemmings HC; Platholi J
10.1152/jn.00516.2025,,,From monoamine deficits to multiscale plasticity: twenty-five years of ketamine and the neurophysiology of depression.,2026,Bulek D; BaDour S
10.1186/s12868-026-01005-6,,,Ibogaine induces juvenile-like plasticity and modulates functional and structural regulators of plasticity in the adult mouse visual cortex.,2026,Acuña A; Billeri F; Totaro V; Carrera I; Mesa JM; Pizzorusso T; Rossi FM
10.1038/s41398-026-03979-7,,,Impact of subanesthetic ketamine delivered via AmyloLipid nanovesicle (ALN)-based intranasal system on biobehavioral responses in an animal model of PTSD.,2026,Levi G; Sintov AC; Zohar J; Todder D; Cohen H
10.1093/ijnp/pyag020,,,"Increase of the AMPA-evoked response of pyramidal neurons in the rat medial prefrontal cortex following acute administration of ketamine and S-ketamine, but not R-ketamine.",2026,El Mansari M; Okamoto N; Blier P
10.64898/2026.03.19.712961,,,Integrated 5-HT (2A) -TrkB and G protein signaling in serotonergic psychedelic responses.,2026,Taddei-Tardón M; Medina-Rodríguez L; Maltman JL; Hudson S; Potukanuma S; Jiménez JH; Martín-Guerrero SM; González-Maeso J; López-Giménez JF
10.3389/fmicb.2026.1765079,,,"Inulin ameliorates chronic ketamine-induced anxiety-like behaviors and impairments in spatial learning and memory: involvement of gut microbiota, microbial metabolite short-chain fatty acids, and the BDNF-TrkB-ERK1/2-CREB pathway.",2026,Xu Z; Zhang J; Hu C; Luo Y
10.1038/s41386-026-02390-6,,,It's not all DAT: harnessing the potential of organic cation transporter 3 inhibition to selectively attenuate amphetamine reinforcement and dopamine release.,2026,Honan LE; Mason B; Owens WA; Shin S; Ju YH; Shi Y; Horton RE; Fenno LE; Collins GT; Daws LC
10.3390/ijms27062815,,,Kappa-Opioid Receptor Antagonism Prolongs the Antidepressant Effects of Ketamine in Adult Mice with Depression-like Behavior Induced by Adolescent Chronic Unpredictable Stress.,2026,Zivanovic A; Mitic M; Lukic I; Glavonic E; Adzic M; Ivkovic S
10.1159/000551413,,,Ketamine as a Rapid-Acting Antidepressant: A Scoping Review of Mechanisms and Efficacy in Treatment-Resistant Depression.,2026,Ding X; Wu Y; Yang J; Zhu G; Sun H
10.1016/j.ajp.2026.104994,,,Ketamine infusion combined with accelerated sequential theta burst stimulation in multi-therapy-resistant bipolar depression: A case report.,2026,Vijayakumar HG; Shamanna V; Pathak H; Nayok SB; Subramanya S; Narasimhappa K; Bose A; Sreeraj VS; Mehta UM; Venkatasubramanian G
10.1002/jnr.70102,,,Modulation of Magnetic Resonance Spectroscopy Levels of Glutamate and GABA by Ketamine in Treatment-Resistant Depression.,2026,Njau S; Zavaliangos-Petropulu A; Joshi S; Brooks J; O'Neill J; Roger WP; Norris V; Espinoza RT; Narr KL
10.1016/j.pnpbp.2026.111742,,,NMDA receptor subtype differential affinity as a key enabler for precision neuropsychiatry.,2026,Freyssin A; Benabou R; Müller HZ; Davis S; Perin-Dureau F; Danker T; Rubinstenn G
10.64898/2026.01.15.699507,,,Negative allosteric modulation of α5-GABA(A) receptors engages dynamic cortical glutamatergic and GABAergic mechanisms underlying adaptive behavior in mice.,2026,Daher F; Fukushima CT; Ingebretsen EA; Bidlack JM; Atack JR; Popa MO; Fogaça MV
10.1016/j.csbj.2025.12.023,,,"Network pharmacology of cellular targets in major depressive disorder and differential mechanisms of fluoxetine, ketamine and esketamine.",2026,Tapia-Gonzalez S; Yagüe JG; Barreto GE
