line_no,doi,compound,entity,title,year,authors,existing_sources
4,10.1159/000549276,,,A Systematic Review of the Effects of N-Methyl-D-Aspartate Receptor Antagonists on Pancreatic Islets.,2026,Wong S; Le GH; Uhlig J; Yang E; Dri CE; Rosenblat JD; Mansur RB; McIntyre RS,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
5,10.1523/jneurosci.0958-25.2026,,,"A Time-Sensitive Plasticity Distinguishes the Rapid and Sustained Synaptic Actions of Ketamine from Its (2R,6R)-Hydroxynorketamine Metabolite.",2026,Brown KA; Morris PJ; Thomas CJ; Gould TD,candidate_paper_corpus | mechanistic:paper_library
8,10.1038/s44321-026-00381-0,,,Alpha-methyl-para-tyrosine and amphetamine ameliorate hyperactivity in a novel mouse model of dopamine transporter deficiency syndrome.,2026,Russo EE; Rezayof A; Wallace C; Williams EQ; Beerepoot P; Milenkovic M; Novalen M; Blundell A; Lipina TV; Locke J,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
9,10.1177/02698811251395386,,,"An exploration of the relationships between the effects of psilocybin on behavior, 5-HT(2A) receptor occupancy, and neuroplastic effects in mice.",2026,Maltby CJ; Klein AK; Paschen E; Pinto J; Dvorak D; Hedde JR; Hanks AN; Bianchi M; Hughes ZA,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library
10,10.3390/biomedicines14030506,,,"Ayahuasca and Its Main Component N,N-Dimethyltryptamine (DMT) for the Treatment of Mental Disorders: Mechanisms of Action, Clinical Studies, and Tools to Explore the Human Mind.",2026,Melani A; Papini G; Bonaso M; Biso L; Kolachalam S; Bragazzi NL; Conversano C; Orrù G; Longoni B; Scarselli M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
11,10.1016/j.euroneuro.2025.11.009,,,Ayahuasca modulation of traumatic-like fear memories requires infralimbic cortex BDNF-dependent mechanisms in rats.,2026,Werle I; Guimarães FS; Dos Santos RG; Hallak JEC; Bertoglio LJ,candidate_paper_corpus | mechanistic:paper_library
12,10.1038/s41380-025-03201-y,,,Cell membrane cholesterol affects serotonin transporter efflux due to altered transporter oligomerization.,2026,Rudin D; Luethi D; Niello M; Yang JW; Burger I; Sandtner W; Birner-Gruenberger R; Schütz GJ; Sitte HH,candidate_paper_corpus | mechanistic:paper_library
13,10.1038/s41586-026-10139-w,,,Conformational diversity and fully opening mechanism of native NMDA receptor.,2026,Xu R; Jiang Q; Xu H; Zhang L; Hu X; Lu Z; Deng H; Xiong H; Zhang S; Chen Z,candidate_paper_corpus | mechanistic:paper_library
20,10.1016/j.jphs.2026.04.002,,,Enhanced effect of the hallucinogen DOI in L-DOPA receptor Gpr143-deficient mice.,2026,Masukawa D; Tajika R; Ichimaru Y; Kurihara M; Suzuki T; Goshima Y,candidate_paper_corpus | mechanistic:paper_library
21,10.1002/jbt.70839,,,Esketamine Exposure Affects Neurodevelopment and Glutamate-NMDAR Signaling in Zebrafish Larvae.,2026,Wang J; Huang S; Lin T; Fu Z; Zuo Z; Chen Z; He C,candidate_paper_corpus | mechanistic:paper_library
