seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_00001,disorder,sentinel_default,psilocybin treatment-resistant depression randomized trial,Psilocybin,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00002,disorder,sentinel_default,psilocybin major depressive disorder randomized trial,Psilocybin,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00003,disorder,sentinel_default,ayahuasca major depressive disorder trial,Ayahuasca,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00004,disorder,sentinel_default,ayahuasca social anxiety disorder randomized trial,Ayahuasca,Social anxiety disorder,indication,DEFAULT_SEEDS
disorder_00005,disorder,sentinel_default,ayahuasca obsessive-compulsive disorder trial,Ayahuasca,Obsessive-compulsive disorder,indication,DEFAULT_SEEDS
disorder_00006,disorder,sentinel_default,ayahuasca generalized anxiety disorder trial,Ayahuasca,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00007,disorder,sentinel_default,ketamine treatment-resistant depression trial,Ketamine,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00008,disorder,sentinel_default,ketamine bipolar depression randomized trial,Ketamine,Bipolar depression,indication,DEFAULT_SEEDS
disorder_00009,disorder,sentinel_default,esketamine treatment-resistant depression phase 3,S-ketamine,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00010,disorder,sentinel_default,ketamine suicidal ideation randomized trial,Ketamine,Suicidal ideation,indication,DEFAULT_SEEDS
disorder_00011,disorder,sentinel_default,MDMA post-traumatic stress disorder randomized trial,MDMA,Post-traumatic stress disorder,indication,DEFAULT_SEEDS
disorder_00012,disorder,sentinel_default,LSD anxiety life-threatening disease trial,LSD,distress associated with life-threatening disease,indication,DEFAULT_SEEDS
disorder_00013,disorder,sentinel_default,LSD major depressive disorder randomized trial,LSD,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00014,disorder,sentinel_default,LSD generalized anxiety disorder randomized trial,LSD,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00015,disorder,sentinel_default,LSD alcohol use disorder trial,LSD,Alcohol use disorder,indication,DEFAULT_SEEDS
disorder_00016,disorder,sentinel_default,psilocybin cancer anxiety depression trial,Psilocybin,distress associated with life-threatening disease,indication,DEFAULT_SEEDS
disorder_00017,disorder,sentinel_default,psilocybin generalized anxiety disorder trial,Psilocybin,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00018,disorder,sentinel_default,psilocybin bipolar depression trial,Psilocybin,Bipolar depression,indication,DEFAULT_SEEDS
disorder_00019,disorder,sentinel_default,mescaline major depressive disorder clinical trial,Mescaline,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00020,disorder,sentinel_default,5-MeO-DMT major depressive disorder clinical trial,5-MeO-DMT,Major depressive disorder,indication,DEFAULT_SEEDS
