seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_00001,mechanistic,sentinel_default,LSD 5-HT2A receptor binding affinity Ki radioligand,LSD,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00002,mechanistic,sentinel_default,LSD 5-HT2C receptor binding affinity,LSD,5-HT2C,target,DEFAULT_SEEDS
mechanistic_00003,mechanistic,sentinel_default,psilocin 5-HT2A receptor binding affinity,Psilocin,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00004,mechanistic,sentinel_default,psilocin 5-HT1A receptor binding affinity,Psilocin,5-HT1A,target,DEFAULT_SEEDS
mechanistic_00005,mechanistic,sentinel_default,psilocybin psilocin 5-HT2A agonist receptor,Psilocybin,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00006,mechanistic,sentinel_default,DMT 5-HT2A receptor binding affinity,DMT,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00007,mechanistic,sentinel_default,DMT sigma-1 receptor binding affinity,DMT,Sigma-1 receptor (SIGMAR1),target,DEFAULT_SEEDS
mechanistic_00008,mechanistic,sentinel_default,psychedelic TAAR1 trace amine receptor 1 binding,DMT,TAAR1,target,DEFAULT_SEEDS
mechanistic_00009,mechanistic,sentinel_default,5-MeO-DMT 5-HT1A receptor binding affinity,5-MeO-DMT,5-HT1A,target,DEFAULT_SEEDS
mechanistic_00010,mechanistic,sentinel_default,mescaline 5-HT2A receptor binding affinity,Mescaline,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00011,mechanistic,sentinel_default,MDMA SERT DAT NET transporter affinity,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00012,mechanistic,sentinel_default,MDMA dopamine transporter DAT affinity,MDMA,DAT (SLC6A3),target,DEFAULT_SEEDS
mechanistic_00013,mechanistic,sentinel_default,MDMA norepinephrine transporter NET affinity,MDMA,NET (SLC6A2),target,DEFAULT_SEEDS
mechanistic_00014,mechanistic,sentinel_default,MDMA SERT amphetamine serotonin transporter CaMKII,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00015,mechanistic,sentinel_default,MDMA enantiomers MPTP-lesioned primate SERT in vitro,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00016,mechanistic,sentinel_default,ibogaine noribogaine kappa opioid receptor binding,Ibogaine,kappa opioid receptor (OPRK1),target,DEFAULT_SEEDS
mechanistic_00017,mechanistic,sentinel_default,ibogaine NMDA receptor binding affinity,Ibogaine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00018,mechanistic,sentinel_default,ketamine NMDA receptor affinity binding Ki,Ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00019,mechanistic,sentinel_default,esketamine NMDA receptor affinity binding,S-ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00020,mechanistic,sentinel_default,arketamine NMDA receptor affinity binding,R-ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00021,mechanistic,sentinel_default,salvinorin A kappa opioid receptor affinity,Salvinorin A,kappa opioid receptor (OPRK1),target,DEFAULT_SEEDS
mechanistic_00022,mechanistic,sentinel_default,2C-B 5-HT2A receptor binding affinity,2C-B,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00023,mechanistic,sentinel_default,DOI 5-HT2A receptor binding affinity,DOI,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00024,mechanistic,sentinel_default,psychedelic mGluR2 GRM2 receptor interaction,LSD,mGluR2 (GRM2),target,DEFAULT_SEEDS
mechanistic_00025,mechanistic,class_level,psychedelic receptor binding affinity pharmacology,,,target,psychedelic receptor binding affinity pharmacology
mechanistic_00026,mechanistic,class_level,serotonergic psychedelic 5-HT receptor binding,,,target,serotonergic psychedelic 5-HT receptor binding
mechanistic_00027,mechanistic,class_level,hallucinogen receptor affinity assay,,,target,hallucinogen receptor affinity assay
mechanistic_00028,mechanistic,class_level,psychoplastogen receptor target mechanism,,,target,psychoplastogen receptor target mechanism
mechanistic_00029,mechanistic,compound_broad,LSD pharmacology receptor binding affinity,LSD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00030,mechanistic,compound_broad,LSD receptor transporter target profile,LSD,,target,{compound} receptor transporter target profile
mechanistic_00031,mechanistic,compound_broad,LSD mechanism signaling neuroplasticity pharmacology,LSD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00032,mechanistic,compound_broad,Psilocybin pharmacology receptor binding affinity,Psilocybin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00033,mechanistic,compound_broad,Psilocybin receptor transporter target profile,Psilocybin,,target,{compound} receptor transporter target profile
mechanistic_00034,mechanistic,compound_broad,Psilocybin mechanism signaling neuroplasticity pharmacology,Psilocybin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00035,mechanistic,compound_broad,Psilocin pharmacology receptor binding affinity,Psilocin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00036,mechanistic,compound_broad,Psilocin receptor transporter target profile,Psilocin,,target,{compound} receptor transporter target profile
mechanistic_00037,mechanistic,compound_broad,Psilocin mechanism signaling neuroplasticity pharmacology,Psilocin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00038,mechanistic,compound_broad,Mescaline pharmacology receptor binding affinity,Mescaline,,target,{compound} pharmacology receptor binding affinity
mechanistic_00039,mechanistic,compound_broad,Mescaline receptor transporter target profile,Mescaline,,target,{compound} receptor transporter target profile
mechanistic_00040,mechanistic,compound_broad,Mescaline mechanism signaling neuroplasticity pharmacology,Mescaline,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00041,mechanistic,compound_broad,DMT pharmacology receptor binding affinity,DMT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00042,mechanistic,compound_broad,DMT receptor transporter target profile,DMT,,target,{compound} receptor transporter target profile
mechanistic_00043,mechanistic,compound_broad,DMT mechanism signaling neuroplasticity pharmacology,DMT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00044,mechanistic,compound_broad,5-MeO-DMT pharmacology receptor binding affinity,5-MeO-DMT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00045,mechanistic,compound_broad,5-MeO-DMT receptor transporter target profile,5-MeO-DMT,,target,{compound} receptor transporter target profile
mechanistic_00046,mechanistic,compound_broad,5-MeO-DMT mechanism signaling neuroplasticity pharmacology,5-MeO-DMT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00047,mechanistic,compound_broad,Bufotenin pharmacology receptor binding affinity,Bufotenin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00048,mechanistic,compound_broad,Bufotenin receptor transporter target profile,Bufotenin,,target,{compound} receptor transporter target profile
mechanistic_00049,mechanistic,compound_broad,Bufotenin mechanism signaling neuroplasticity pharmacology,Bufotenin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00050,mechanistic,compound_broad,Ayahuasca pharmacology receptor binding affinity,Ayahuasca,,target,{compound} pharmacology receptor binding affinity
mechanistic_00051,mechanistic,compound_broad,Ayahuasca receptor transporter target profile,Ayahuasca,,target,{compound} receptor transporter target profile
mechanistic_00052,mechanistic,compound_broad,Ayahuasca mechanism signaling neuroplasticity pharmacology,Ayahuasca,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00053,mechanistic,compound_broad,Ibogaine pharmacology receptor binding affinity,Ibogaine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00054,mechanistic,compound_broad,Ibogaine receptor transporter target profile,Ibogaine,,target,{compound} receptor transporter target profile
mechanistic_00055,mechanistic,compound_broad,Ibogaine mechanism signaling neuroplasticity pharmacology,Ibogaine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00056,mechanistic,compound_broad,Noribogaine pharmacology receptor binding affinity,Noribogaine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00057,mechanistic,compound_broad,Noribogaine receptor transporter target profile,Noribogaine,,target,{compound} receptor transporter target profile
mechanistic_00058,mechanistic,compound_broad,Noribogaine mechanism signaling neuroplasticity pharmacology,Noribogaine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00059,mechanistic,compound_broad,MDMA pharmacology receptor binding affinity,MDMA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00060,mechanistic,compound_broad,MDMA receptor transporter target profile,MDMA,,target,{compound} receptor transporter target profile
mechanistic_00061,mechanistic,compound_broad,MDMA mechanism signaling neuroplasticity pharmacology,MDMA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00062,mechanistic,compound_broad,MDA pharmacology receptor binding affinity,MDA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00063,mechanistic,compound_broad,MDA receptor transporter target profile,MDA,,target,{compound} receptor transporter target profile
mechanistic_00064,mechanistic,compound_broad,MDA mechanism signaling neuroplasticity pharmacology,MDA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00065,mechanistic,compound_broad,Ketamine pharmacology receptor binding affinity,Ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00066,mechanistic,compound_broad,Ketamine receptor transporter target profile,Ketamine,,target,{compound} receptor transporter target profile
mechanistic_00067,mechanistic,compound_broad,Ketamine mechanism signaling neuroplasticity pharmacology,Ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00068,mechanistic,compound_broad,S-ketamine pharmacology receptor binding affinity,S-ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00069,mechanistic,compound_broad,S-ketamine receptor transporter target profile,S-ketamine,,target,{compound} receptor transporter target profile
mechanistic_00070,mechanistic,compound_broad,S-ketamine mechanism signaling neuroplasticity pharmacology,S-ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00071,mechanistic,compound_broad,R-ketamine pharmacology receptor binding affinity,R-ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00072,mechanistic,compound_broad,R-ketamine receptor transporter target profile,R-ketamine,,target,{compound} receptor transporter target profile
mechanistic_00073,mechanistic,compound_broad,R-ketamine mechanism signaling neuroplasticity pharmacology,R-ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00074,mechanistic,compound_broad,DOI pharmacology receptor binding affinity,DOI,,target,{compound} pharmacology receptor binding affinity
mechanistic_00075,mechanistic,compound_broad,DOI receptor transporter target profile,DOI,,target,{compound} receptor transporter target profile
mechanistic_00076,mechanistic,compound_broad,DOI mechanism signaling neuroplasticity pharmacology,DOI,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00077,mechanistic,compound_broad,DOB pharmacology receptor binding affinity,DOB,,target,{compound} pharmacology receptor binding affinity
mechanistic_00078,mechanistic,compound_broad,DOB receptor transporter target profile,DOB,,target,{compound} receptor transporter target profile
mechanistic_00079,mechanistic,compound_broad,DOB mechanism signaling neuroplasticity pharmacology,DOB,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00080,mechanistic,compound_broad,DOM pharmacology receptor binding affinity,DOM,,target,{compound} pharmacology receptor binding affinity
mechanistic_00081,mechanistic,compound_broad,DOM receptor transporter target profile,DOM,,target,{compound} receptor transporter target profile
mechanistic_00082,mechanistic,compound_broad,DOM mechanism signaling neuroplasticity pharmacology,DOM,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00083,mechanistic,compound_broad,DOET pharmacology receptor binding affinity,DOET,,target,{compound} pharmacology receptor binding affinity
mechanistic_00084,mechanistic,compound_broad,DOET receptor transporter target profile,DOET,,target,{compound} receptor transporter target profile
mechanistic_00085,mechanistic,compound_broad,DOET mechanism signaling neuroplasticity pharmacology,DOET,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00086,mechanistic,compound_broad,2C-B pharmacology receptor binding affinity,2C-B,,target,{compound} pharmacology receptor binding affinity
mechanistic_00087,mechanistic,compound_broad,2C-B receptor transporter target profile,2C-B,,target,{compound} receptor transporter target profile
mechanistic_00088,mechanistic,compound_broad,2C-B mechanism signaling neuroplasticity pharmacology,2C-B,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00089,mechanistic,compound_broad,2C-E pharmacology receptor binding affinity,2C-E,,target,{compound} pharmacology receptor binding affinity
mechanistic_00090,mechanistic,compound_broad,2C-E receptor transporter target profile,2C-E,,target,{compound} receptor transporter target profile
mechanistic_00091,mechanistic,compound_broad,2C-E mechanism signaling neuroplasticity pharmacology,2C-E,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00092,mechanistic,compound_broad,2C-I pharmacology receptor binding affinity,2C-I,,target,{compound} pharmacology receptor binding affinity
mechanistic_00093,mechanistic,compound_broad,2C-I receptor transporter target profile,2C-I,,target,{compound} receptor transporter target profile
mechanistic_00094,mechanistic,compound_broad,2C-I mechanism signaling neuroplasticity pharmacology,2C-I,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00095,mechanistic,compound_broad,2C-T-2 pharmacology receptor binding affinity,2C-T-2,,target,{compound} pharmacology receptor binding affinity
mechanistic_00096,mechanistic,compound_broad,2C-T-2 receptor transporter target profile,2C-T-2,,target,{compound} receptor transporter target profile
mechanistic_00097,mechanistic,compound_broad,2C-T-2 mechanism signaling neuroplasticity pharmacology,2C-T-2,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00098,mechanistic,compound_broad,2C-T-7 pharmacology receptor binding affinity,2C-T-7,,target,{compound} pharmacology receptor binding affinity
mechanistic_00099,mechanistic,compound_broad,2C-T-7 receptor transporter target profile,2C-T-7,,target,{compound} receptor transporter target profile
mechanistic_00100,mechanistic,compound_broad,2C-T-7 mechanism signaling neuroplasticity pharmacology,2C-T-7,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00101,mechanistic,compound_broad,5-MeO-DiPT pharmacology receptor binding affinity,5-MeO-DiPT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00102,mechanistic,compound_broad,5-MeO-DiPT receptor transporter target profile,5-MeO-DiPT,,target,{compound} receptor transporter target profile
mechanistic_00103,mechanistic,compound_broad,5-MeO-DiPT mechanism signaling neuroplasticity pharmacology,5-MeO-DiPT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00104,mechanistic,compound_broad,DiPT pharmacology receptor binding affinity,DiPT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00105,mechanistic,compound_broad,DiPT receptor transporter target profile,DiPT,,target,{compound} receptor transporter target profile
mechanistic_00106,mechanistic,compound_broad,DiPT mechanism signaling neuroplasticity pharmacology,DiPT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00107,mechanistic,compound_broad,DPT pharmacology receptor binding affinity,DPT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00108,mechanistic,compound_broad,DPT receptor transporter target profile,DPT,,target,{compound} receptor transporter target profile
mechanistic_00109,mechanistic,compound_broad,DPT mechanism signaling neuroplasticity pharmacology,DPT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00110,mechanistic,compound_broad,LSA pharmacology receptor binding affinity,LSA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00111,mechanistic,compound_broad,LSA receptor transporter target profile,LSA,,target,{compound} receptor transporter target profile
mechanistic_00112,mechanistic,compound_broad,LSA mechanism signaling neuroplasticity pharmacology,LSA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00113,mechanistic,compound_broad,AL-LAD pharmacology receptor binding affinity,AL-LAD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00114,mechanistic,compound_broad,AL-LAD receptor transporter target profile,AL-LAD,,target,{compound} receptor transporter target profile
mechanistic_00115,mechanistic,compound_broad,AL-LAD mechanism signaling neuroplasticity pharmacology,AL-LAD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00116,mechanistic,compound_broad,ETH-LAD pharmacology receptor binding affinity,ETH-LAD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00117,mechanistic,compound_broad,ETH-LAD receptor transporter target profile,ETH-LAD,,target,{compound} receptor transporter target profile
mechanistic_00118,mechanistic,compound_broad,ETH-LAD mechanism signaling neuroplasticity pharmacology,ETH-LAD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00119,mechanistic,compound_broad,PRO-LAD pharmacology receptor binding affinity,PRO-LAD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00120,mechanistic,compound_broad,PRO-LAD receptor transporter target profile,PRO-LAD,,target,{compound} receptor transporter target profile
mechanistic_00121,mechanistic,compound_broad,PRO-LAD mechanism signaling neuroplasticity pharmacology,PRO-LAD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00122,mechanistic,compound_broad,1P-LSD pharmacology receptor binding affinity,1P-LSD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00123,mechanistic,compound_broad,1P-LSD receptor transporter target profile,1P-LSD,,target,{compound} receptor transporter target profile
mechanistic_00124,mechanistic,compound_broad,1P-LSD mechanism signaling neuroplasticity pharmacology,1P-LSD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00125,mechanistic,compound_broad,Salvinorin A pharmacology receptor binding affinity,Salvinorin A,,target,{compound} pharmacology receptor binding affinity
mechanistic_00126,mechanistic,compound_broad,Salvinorin A receptor transporter target profile,Salvinorin A,,target,{compound} receptor transporter target profile
mechanistic_00127,mechanistic,compound_broad,Salvinorin A mechanism signaling neuroplasticity pharmacology,Salvinorin A,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00128,mechanistic,compound_broad,Lisuride pharmacology receptor binding affinity,Lisuride,,target,{compound} pharmacology receptor binding affinity
mechanistic_00129,mechanistic,compound_broad,Lisuride receptor transporter target profile,Lisuride,,target,{compound} receptor transporter target profile
mechanistic_00130,mechanistic,compound_broad,Lisuride mechanism signaling neuroplasticity pharmacology,Lisuride,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00131,mechanistic,compound_broad,Bromo-DragonFLY pharmacology receptor binding affinity,Bromo-DragonFLY,,target,{compound} pharmacology receptor binding affinity
mechanistic_00132,mechanistic,compound_broad,Bromo-DragonFLY receptor transporter target profile,Bromo-DragonFLY,,target,{compound} receptor transporter target profile
mechanistic_00133,mechanistic,compound_broad,Bromo-DragonFLY mechanism signaling neuroplasticity pharmacology,Bromo-DragonFLY,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00134,mechanistic,compound_broad,25I-NBOMe pharmacology receptor binding affinity,25I-NBOMe,,target,{compound} pharmacology receptor binding affinity
mechanistic_00135,mechanistic,compound_broad,25I-NBOMe receptor transporter target profile,25I-NBOMe,,target,{compound} receptor transporter target profile
mechanistic_00136,mechanistic,compound_broad,25I-NBOMe mechanism signaling neuroplasticity pharmacology,25I-NBOMe,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00137,mechanistic,compound_broad,25B-NBOMe pharmacology receptor binding affinity,25B-NBOMe,,target,{compound} pharmacology receptor binding affinity
mechanistic_00138,mechanistic,compound_broad,25B-NBOMe receptor transporter target profile,25B-NBOMe,,target,{compound} receptor transporter target profile
mechanistic_00139,mechanistic,compound_broad,25B-NBOMe mechanism signaling neuroplasticity pharmacology,25B-NBOMe,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00140,mechanistic,compound_broad,25C-NBOMe pharmacology receptor binding affinity,25C-NBOMe,,target,{compound} pharmacology receptor binding affinity
mechanistic_00141,mechanistic,compound_broad,25C-NBOMe receptor transporter target profile,25C-NBOMe,,target,{compound} receptor transporter target profile
mechanistic_00142,mechanistic,compound_broad,25C-NBOMe mechanism signaling neuroplasticity pharmacology,25C-NBOMe,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00143,mechanistic,compound_broad,TMA pharmacology receptor binding affinity,TMA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00144,mechanistic,compound_broad,TMA receptor transporter target profile,TMA,,target,{compound} receptor transporter target profile
mechanistic_00145,mechanistic,compound_broad,TMA mechanism signaling neuroplasticity pharmacology,TMA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00146,mechanistic,compound_broad,TMA-2 pharmacology receptor binding affinity,TMA-2,,target,{compound} pharmacology receptor binding affinity
mechanistic_00147,mechanistic,compound_broad,TMA-2 receptor transporter target profile,TMA-2,,target,{compound} receptor transporter target profile
mechanistic_00148,mechanistic,compound_broad,TMA-2 mechanism signaling neuroplasticity pharmacology,TMA-2,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00149,mechanistic,entity_broad,psychedelic 5-HT2A pharmacology binding affinity,,5-HT2A,target,psychedelic {entity} pharmacology binding affinity
