# query|compound|entity
LSD 5-HT2A receptor binding affinity Ki radioligand|LSD|5-HT2A
LSD 5-HT2C receptor binding affinity|LSD|5-HT2C
psilocin 5-HT2A receptor binding affinity|Psilocin|5-HT2A
psilocin 5-HT1A receptor binding affinity|Psilocin|5-HT1A
psilocybin psilocin 5-HT2A agonist receptor|Psilocybin|5-HT2A
DMT 5-HT2A receptor binding affinity|DMT|5-HT2A
DMT sigma-1 receptor binding affinity|DMT|Sigma-1 receptor (SIGMAR1)
psychedelic TAAR1 trace amine receptor 1 binding|DMT|TAAR1
5-MeO-DMT 5-HT1A receptor binding affinity|5-MeO-DMT|5-HT1A
mescaline 5-HT2A receptor binding affinity|Mescaline|5-HT2A
MDMA SERT DAT NET transporter affinity|MDMA|SERT (SLC6A4)
MDMA dopamine transporter DAT affinity|MDMA|DAT (SLC6A3)
MDMA norepinephrine transporter NET affinity|MDMA|NET (SLC6A2)
MDMA SERT amphetamine serotonin transporter CaMKII|MDMA|SERT (SLC6A4)
MDMA enantiomers MPTP-lesioned primate SERT in vitro|MDMA|SERT (SLC6A4)
ibogaine noribogaine kappa opioid receptor binding|Ibogaine|kappa opioid receptor (OPRK1)
ibogaine NMDA receptor binding affinity|Ibogaine|NMDA receptor
ketamine NMDA receptor affinity binding Ki|Ketamine|NMDA receptor
esketamine NMDA receptor affinity binding|S-ketamine|NMDA receptor
arketamine NMDA receptor affinity binding|R-ketamine|NMDA receptor
salvinorin A kappa opioid receptor affinity|Salvinorin A|kappa opioid receptor (OPRK1)
2C-B 5-HT2A receptor binding affinity|2C-B|5-HT2A
DOI 5-HT2A receptor binding affinity|DOI|5-HT2A
psychedelic mGluR2 GRM2 receptor interaction|LSD|mGluR2 (GRM2)
psychedelic receptor binding affinity pharmacology||
serotonergic psychedelic 5-HT receptor binding||
hallucinogen receptor affinity assay||
psychoplastogen receptor target mechanism||
LSD pharmacology receptor binding affinity|LSD|
LSD receptor transporter target profile|LSD|
LSD mechanism signaling neuroplasticity pharmacology|LSD|
Psilocybin pharmacology receptor binding affinity|Psilocybin|
Psilocybin receptor transporter target profile|Psilocybin|
Psilocybin mechanism signaling neuroplasticity pharmacology|Psilocybin|
Psilocin pharmacology receptor binding affinity|Psilocin|
Psilocin receptor transporter target profile|Psilocin|
Psilocin mechanism signaling neuroplasticity pharmacology|Psilocin|
Mescaline pharmacology receptor binding affinity|Mescaline|
Mescaline receptor transporter target profile|Mescaline|
Mescaline mechanism signaling neuroplasticity pharmacology|Mescaline|
DMT pharmacology receptor binding affinity|DMT|
DMT receptor transporter target profile|DMT|
DMT mechanism signaling neuroplasticity pharmacology|DMT|
5-MeO-DMT pharmacology receptor binding affinity|5-MeO-DMT|
5-MeO-DMT receptor transporter target profile|5-MeO-DMT|
5-MeO-DMT mechanism signaling neuroplasticity pharmacology|5-MeO-DMT|
Bufotenin pharmacology receptor binding affinity|Bufotenin|
Bufotenin receptor transporter target profile|Bufotenin|
Bufotenin mechanism signaling neuroplasticity pharmacology|Bufotenin|
Ayahuasca pharmacology receptor binding affinity|Ayahuasca|
Ayahuasca receptor transporter target profile|Ayahuasca|
Ayahuasca mechanism signaling neuroplasticity pharmacology|Ayahuasca|
Ibogaine pharmacology receptor binding affinity|Ibogaine|
Ibogaine receptor transporter target profile|Ibogaine|
Ibogaine mechanism signaling neuroplasticity pharmacology|Ibogaine|
Noribogaine pharmacology receptor binding affinity|Noribogaine|
Noribogaine receptor transporter target profile|Noribogaine|
Noribogaine mechanism signaling neuroplasticity pharmacology|Noribogaine|
MDMA pharmacology receptor binding affinity|MDMA|
MDMA receptor transporter target profile|MDMA|
MDMA mechanism signaling neuroplasticity pharmacology|MDMA|
MDA pharmacology receptor binding affinity|MDA|
MDA receptor transporter target profile|MDA|
MDA mechanism signaling neuroplasticity pharmacology|MDA|
Ketamine pharmacology receptor binding affinity|Ketamine|
Ketamine receptor transporter target profile|Ketamine|
Ketamine mechanism signaling neuroplasticity pharmacology|Ketamine|
S-ketamine pharmacology receptor binding affinity|S-ketamine|
S-ketamine receptor transporter target profile|S-ketamine|
S-ketamine mechanism signaling neuroplasticity pharmacology|S-ketamine|
R-ketamine pharmacology receptor binding affinity|R-ketamine|
R-ketamine receptor transporter target profile|R-ketamine|
R-ketamine mechanism signaling neuroplasticity pharmacology|R-ketamine|
DOI pharmacology receptor binding affinity|DOI|
DOI receptor transporter target profile|DOI|
DOI mechanism signaling neuroplasticity pharmacology|DOI|
DOB pharmacology receptor binding affinity|DOB|
DOB receptor transporter target profile|DOB|
DOB mechanism signaling neuroplasticity pharmacology|DOB|
DOM pharmacology receptor binding affinity|DOM|
DOM receptor transporter target profile|DOM|
