# discovered queue (mechanistic) generated at 2026-05-15T06:47:46.759828+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.3389/fpsyt.2025.1565852,,,Harnessing neuroplasticity with psychoplastogens: the essential role of psychotherapy in psychedelic treatment optimization,2025,Jennifer Jones
10.1073/pnas.2416106122,,,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential,2025,Jeremy R. Tuck; Lee E. Dunlap; Yara A. Khatib; Cassandra J. Hatzipantelis; Sammy Weiser Novak; Rachel M. Rahn; Alexis R. Davis; Adam Mosswood; Anna M. M. Vernier; Ethan M. Fenton
10.3390/brainsci15020117,,,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications,2025,Francesco Weiss; Anna Magnesa; Matteo Gambini; Riccardo Gurrieri; E. Annuzzi; Camilla Elefante; Giulio Perugi; Donatella Marazziti
10.1016/j.pneurobio.2024.102660,,,"Distinct 5-HT receptor subtypes regulate claustrum excitability by serotonin and the psychedelic, DOI",2024,Tanner L. Anderson; Jack Keady; Judy C. Songrady; Navid Tavakoli; Artin Asadipooya; Ryson E Neeley; Jill Turner; Pavel I. Ortinski
10.1038/s41392-024-01738-y,,,"Major depressive disorder: hypothesis, mechanism, prevention and treatment",2024,Lulu Cui; Shu Li; Siman Wang; Xiafang Wu; Yingyu Liu; Weiyang Yu; Yijun Wang; Yong Tang; Maosheng Xia; Baoman Li
10.1021/acschemneuro.2c00718,,,5-HT2ARs Mediate Therapeutic Behavioral Effects of Psychedelic Tryptamines,2023,Lindsay P. Cameron; Seona D. Patel; Maxemiliano V. Vargas; Eden V. Barragan; Hannah N. Saeger; Hunter T. Warren; Winston L. Chow; J.A. Gray; David E. Olson
10.1016/j.celrep.2023.112203,,,A non-hallucinogenic LSD analog with therapeutic potential for mood disorders,2023,Vern Lewis; Emma M. Bonniwell; Janelle K. Lanham; Abdi Ghaffari; Hooshmand Sheshbaradaran; Andrew B. Cao; Maggie M. Calkins; Mario Alberto Bautista-Carro; Emily Arsenault; Andre Telfer
10.1523/jneurosci.1384-23.2023,,,Beyond the 5-HT<sub>2A</sub>Receptor: Classic and Nonclassic Targets in Psychedelic Drug Action,2023,Lindsay P. Cameron; Joseph Benetatos; Vern Lewis; Emma M. Bonniwell; Alaina M. Jaster; Rafael Moliner; Eero Ċastrén; John D. McCorvy; Mikael Palner; Argel Aguilar‐Valles
10.1038/s41386-023-01629-w,,,Ketamine and rapid antidepressant action: new treatments and novel synaptic signaling mechanisms,2023,John H. Krystal; Ege T. Kavalali; Lisa M. Monteggia
10.3389/fnins.2023.1156319,,,Mini-review: The neurobiology of treating substance use disorders with classical psychedelics,2023,Marvin M. Urban; Moritz R. Stingl; Marcus W. Meinhardt
10.1038/s41591-022-02197-0,,,New and emerging approaches to treat psychiatric disorders,2023,Katherine W. Scangos; Matthew W. State; Andrew H. Miller; Justin T. Baker; Leanne M. Williams
10.1126/science.adf0435,,,Psychedelics promote neuroplasticity through the activation of intracellular 5-HT2A receptors,2023,Maxemiliano V. Vargas; Lee E. Dunlap; Chunyang Dong; Samuel J. Carter; Robert J. Tombari; Shekib A. Jami; Lindsay P. Cameron; Seona D. Patel; Joseph J. Hennessey; Hannah N. Saeger
10.1038/s41593-023-01316-5,,,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,2023,Rafael Moliner; Mykhailo Girych; Cecilia A. Brunello; Vera Kovaleva; Caroline Biojone; Giray Enkavi; Lina Antenucci; Erik F. Kot; Sergey A. Goncharuk; Katja Kaurinkoski
10.1038/s41586-023-06204-3,,,Psychedelics reopen the social reward learning critical period,2023,Romain Nardou; Edward J. Sawyer; Young Jun Song; M. F. Wilkinson; Yasmin Padovan‐Hernandez; Júnia L. de Deus; Noelle Wright; Carine Lama; Sehr Faltin; Loyal A. Goff
10.1021/acschemneuro.2c00637,,,Shared and Distinct Brain Regions Targeted for Immediate Early Gene Expression by Ketamine and Psilocybin,2023,Pasha A. Davoudian; Ling-Xiao Shao; Alex C. Kwan
10.3390/ijms24021329,,,The Bright Side of Psychedelics: Latest Advances and Challenges in Neuropharmacology,2023,Andrea Mastinu; Margrate Anyanwu; Marinella Carone; Giulia Abate; Sara Anna Bonini; Gregorio Peron; Emanuela Tirelli; Mariachiara Pucci; Giovanni Ribaudo; Erika Oselladore
10.1146/annurev-physiol-042022-020923,,,The Effects of Psychedelics on Neuronal Physiology,2023,Cassandra J. Hatzipantelis; David E. Olson
10.3390/antiox12030663,,,The Potential of Flavonoids and Flavonoid Metabolites in the Treatment of Neurodegenerative Pathology in Disorders of Cognitive Decline,2023,James Melrose
10.1177/20451253231154125,,,The potential of ketamine for posttraumatic stress disorder: a review of clinical evidence,2023,Anya Ragnhildstveit; Jeremy Roscoe; Lisa C. Bass; Christopher L. Averill; Chadi G. Abdallah; Lynnette A. Averill
